id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339126505079705601,2020-12-16 08:33:33,@itsjoanbb Why would it not be?,b'@itsjoanbb Why would it not be?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'itsjoanbb', 'name': 'joan', 'id': 1193621349928976387, 'id_str': '1193621349928976387', 'indices': [0, 10]}], 'urls': []}",,en
1339126366290243584,2020-12-16 08:33:00,I already know with the first mistake leading to a goal that he makes Milan Twitter is gonna ask for him to be moved to the Primeivera team😂😂 https://t.co/h4uk6ZyfOV,b'I already know with the first mistake leading to a goal that he makes Milan Twitter is gonna ask for him to be moved to the Primeivera team\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/h4uk6ZyfOV',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/h4uk6ZyfOV', 'expanded_url': 'https://twitter.com/finallymaeglas/status/1339124827953762304', 'display_url': 'twitter.com/finallymaeglas…', 'indices': [142, 165]}]}",,en
1339126154628902913,2020-12-16 08:32:09,@lolnotaagain Gotta start planning how to assassinate him now🤷🏽‍♂️I don’t make the rules,b'@lolnotaagain Gotta start planning how to assassinate him now\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8fI don\xe2\x80\x99t make the rules',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lolnotaagain', 'name': 'tutankhamun', 'id': 1302811897289486338, 'id_str': '1302811897289486338', 'indices': [0, 13]}], 'urls': []}",,en
1339125916954406913,2020-12-16 08:31:13,@woofifx Smokin that zaza it goes straight to the mata,b'@woofifx Smokin that zaza it goes straight to the mata',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'woofifx', 'name': '✨', 'id': 1107094599305187333, 'id_str': '1107094599305187333', 'indices': [0, 8]}], 'urls': []}",,en
1339125781000286208,2020-12-16 08:30:40,@Katerinab2417 I didn’t say that😂😂I said fuck it get blacked out drunk....also since when do you listen to me,b'@Katerinab2417 I didn\xe2\x80\x99t say that\xf0\x9f\x98\x82\xf0\x9f\x98\x82I said fuck it get blacked out drunk....also since when do you listen to me',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Katerinab2417', 'name': 'Kat', 'id': 1338042357971898368, 'id_str': '1338042357971898368', 'indices': [0, 14]}], 'urls': []}",,en
1339122799072464896,2020-12-16 08:18:49,@Katerinab2417 Shouldn’t u be getting blacked out drunk rn? Shoo shoo go away,b'@Katerinab2417 Shouldn\xe2\x80\x99t u be getting blacked out drunk rn? Shoo shoo go away',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Katerinab2417', 'name': 'Kat', 'id': 1338042357971898368, 'id_str': '1338042357971898368', 'indices': [0, 14]}], 'urls': []}",,en
1339122013533839361,2020-12-16 08:15:42,"RT @Mhiz_pretty__: Feminists, when they realize that they’ve been blinking and not blinqueen: https://t.co/OdpZB1xwYo","b'RT @Mhiz_pretty__: Feminists, when they realize that they\xe2\x80\x99ve been blinking and not blinqueen: https://t.co/OdpZB1xwYo'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mhiz_pretty__', 'name': '𝗹❁𝘃𝗲🖤', 'id': 1259490778969145345, 'id_str': '1259490778969145345', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1338876908877066240, 'id_str': '1338876908877066240', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/media/EpSldHeXMAAtBnx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpSldHeXMAAtBnx.jpg', 'url': 'https://t.co/OdpZB1xwYo', 'display_url': 'pic.twitter.com/OdpZB1xwYo', 'expanded_url': 'https://twitter.com/Mhiz_pretty__/status/1338876915315335171/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 200, 'h': 200, 'resize': 'fit'}, 'large': {'w': 200, 'h': 200, 'resize': 'fit'}, 'medium': {'w': 200, 'h': 200, 'resize': 'fit'}}, 'source_status_id': 1338876915315335171, 'source_status_id_str': '1338876915315335171', 'source_user_id': 1259490778969145345, 'source_user_id_str': '1259490778969145345'}]}",,en
1339121343586037760,2020-12-16 08:13:02,@Dolly20Bratz https://t.co/I56wldxMvR,b'@Dolly20Bratz https://t.co/I56wldxMvR',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dolly20Bratz', 'name': 'lucifer’s daughter 😈', 'id': 1312629818136186880, 'id_str': '1312629818136186880', 'indices': [0, 13]}], 'urls': [], 'media': [{'id': 1339121341103038465, 'id_str': '1339121341103038465', 'indices': [14, 37], 'media_url': 'http://pbs.twimg.com/media/EpWDw8eXYAENcC1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpWDw8eXYAENcC1.jpg', 'url': 'https://t.co/I56wldxMvR', 'display_url': 'pic.twitter.com/I56wldxMvR', 'expanded_url': 'https://twitter.com/Abdullaaah_2000/status/1339121343586037760/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 585, 'h': 609, 'resize': 'fit'}, 'large': {'w': 585, 'h': 609, 'resize': 'fit'}, 'medium': {'w': 585, 'h': 609, 'resize': 'fit'}}}]}",,und
1339118854044266497,2020-12-16 08:03:09,@rhylybell Better brace yourself for New Years😂it’s a busy season,b'@rhylybell Better brace yourself for New Years\xf0\x9f\x98\x82it\xe2\x80\x99s a busy season',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rhylybell', 'name': 'rhy \U0001f90e', 'id': 1291613549731577861, 'id_str': '1291613549731577861', 'indices': [0, 10]}], 'urls': []}",,en
1339118324140171264,2020-12-16 08:01:02,@Dolly20Bratz If they do that they either not really bros or they tryna see who can get the girl first🤷🏽‍♂️,b'@Dolly20Bratz If they do that they either not really bros or they tryna see who can get the girl first\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dolly20Bratz', 'name': 'lucifer’s daughter 😈', 'id': 1312629818136186880, 'id_str': '1312629818136186880', 'indices': [0, 13]}], 'urls': []}",,en
