id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339018847689584643,2020-12-16 01:25:45,@GiggleQueen2018 What is this ‘morning thing’ you speak of? I feel I may be missing out.,b'@GiggleQueen2018 What is this \xe2\x80\x98morning thing\xe2\x80\x99 you speak of? I feel I may be missing out.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GiggleQueen2018', 'name': 'Miss. Sunshine', 'id': 741959869, 'id_str': '741959869', 'indices': [0, 16]}], 'urls': []}",,en
1339017664530886657,2020-12-16 01:21:03,@mytmyway I am. Thank you. Take care and all the best.,b'@mytmyway I am. Thank you. Take care and all the best.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mytmyway', 'name': '🎄BlueJingleBaby🎄', 'id': 1266297324214513665, 'id_str': '1266297324214513665', 'indices': [0, 9]}], 'urls': []}",,en
1339017213966233601,2020-12-16 01:19:16,Goodnight people of this Twitterness. Hope you have a great one. All the best to you all.,b'Goodnight people of this Twitterness. Hope you have a great one. All the best to you all.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339015656293998592,2020-12-16 01:13:04,@mytmyway A great sentiment. Good one.,b'@mytmyway A great sentiment. Good one.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mytmyway', 'name': '🎄BlueJingleBaby🎄', 'id': 1266297324214513665, 'id_str': '1266297324214513665', 'indices': [0, 9]}], 'urls': []}",,en
1339015201035853824,2020-12-16 01:11:16,"@theDRaGnrebOrN Well said, my friend.","b'@theDRaGnrebOrN Well said, my friend.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'theDRaGnrebOrN', 'name': 'Machine Cum Kelly', 'id': 2233767878, 'id_str': '2233767878', 'indices': [0, 15]}], 'urls': []}",,en
1339014603376914432,2020-12-16 01:08:53,"@jshawmiller All the best, my friend. Have a great one.","b'@jshawmiller All the best, my friend. Have a great one.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jshawmiller', 'name': 'John | Bah Humbug', 'id': 23227097, 'id_str': '23227097', 'indices': [0, 12]}], 'urls': []}",,en
1339014380118290432,2020-12-16 01:08:00,@neledmax @donjame21391739 I couldn’t see! My glasses were steamed up. Bloody face masks.,b'@neledmax @donjame21391739 I couldn\xe2\x80\x99t see! My glasses were steamed up. Bloody face masks.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'neledmax', 'name': 'Festus', 'id': 2850468688, 'id_str': '2850468688', 'indices': [0, 9]}, {'screen_name': 'donjame21391739', 'name': 'Seymour Riva', 'id': 1280680454945943554, 'id_str': '1280680454945943554', 'indices': [10, 26]}], 'urls': []}",,en
1339013913703309313,2020-12-16 01:06:09,@Chelle_Coops I’ll have to say good morning. Because I’m a bad dude. (Given half a chance)!,b'@Chelle_Coops I\xe2\x80\x99ll have to say good morning. Because I\xe2\x80\x99m a bad dude. (Given half a chance)!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Chelle_Coops', 'name': 'Jingle Chelles☃️🔔🔔', 'id': 1279825505764749312, 'id_str': '1279825505764749312', 'indices': [0, 13]}], 'urls': []}",,en
1339013530591358976,2020-12-16 01:04:38,"A generally rotten day. Sat for hours in stationary traffic to travel a few miles. Got back home, opened a few beers and spent time on music. In a happy place again. Contented!","b'A generally rotten day. Sat for hours in stationary traffic to travel a few miles. Got back home, opened a few beers and spent time on music. In a happy place again. Contented!'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338635386176892928,2020-12-15 00:02:01,"It’s Tuesday. Goodnight, good people. Have a great day. Be kind to each other. All the best to you all.","b'It\xe2\x80\x99s Tuesday. Goodnight, good people. Have a great day. Be kind to each other. All the best to you all.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338635015123570693,2020-12-15 00:00:32,Creating music. I couldn’t live without it. I would end up madder than I am.,b'Creating music. I couldn\xe2\x80\x99t live without it. I would end up madder than I am.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338634248681558017,2020-12-14 23:57:30,Nearly another day closer to Christmas. Time is passing so quickly! I’m all set though. As long as I don’t eat my stash of munchies first. Already re-topped up once.,b'Nearly another day closer to Christmas. Time is passing so quickly! I\xe2\x80\x99m all set though. As long as I don\xe2\x80\x99t eat my stash of munchies first. Already re-topped up once.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338289158696136709,2020-12-14 01:06:14,Have a good one people. Hope tomorrow is good to you.,b'Have a good one people. Hope tomorrow is good to you.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
