id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017657828352001,2020-12-16 01:21:02,"Buon Compleanno @acmilan ....
HBD to My love club...
The Sp121t to be Famous in the World
#121_ACMILAN https://t.co/MuK2eLUswQ",b'Buon Compleanno @acmilan ....\nHBD to My love club...\nThe Sp121t to be Famous in the World\n#121_ACMILAN https://t.co/MuK2eLUswQ',"{'hashtags': [{'text': '121_ACMILAN', 'indices': [90, 102]}], 'symbols': [], 'user_mentions': [{'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [16, 24]}], 'urls': [], 'media': [{'id': 1339017643232165888, 'id_str': '1339017643232165888', 'indices': [103, 126], 'media_url': 'http://pbs.twimg.com/media/EpUlc7zVgAAmUw8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUlc7zVgAAmUw8.jpg', 'url': 'https://t.co/MuK2eLUswQ', 'display_url': 'pic.twitter.com/MuK2eLUswQ', 'expanded_url': 'https://twitter.com/Deconen/status/1339017657828352001/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 673, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 381, 'h': 680, 'resize': 'fit'}, 'large': {'w': 736, 'h': 1312, 'resize': 'fit'}}}]}",,en
1338322406327242752,2020-12-14 03:18:21,@TheoHernandez @acmilan Good job 👍👍,b'@TheoHernandez @acmilan Good job \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheoHernandez', 'name': 'Theo Hernandez', 'id': 1356726277, 'id_str': '1356726277', 'indices': [0, 14]}, {'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [15, 23]}], 'urls': []}",,en
1311528775914463232,2020-10-01 04:50:01,@RafaeLeao7 @acmilan ❤️🖤💪💪,b'@RafaeLeao7 @acmilan \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x96\xa4\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RafaeLeao7', 'name': 'Rafael Leão', 'id': 826459665542283264, 'id_str': '826459665542283264', 'indices': [0, 11]}, {'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [12, 20]}], 'urls': []}",,und
1299185850140385281,2020-08-28 03:23:39,@roger_milla_9 @ACMilanNYC @TwitterID @TwitterSports @verified Legend 💪💪,b'@roger_milla_9 @ACMilanNYC @TwitterID @TwitterSports @verified Legend \xf0\x9f\x92\xaa\xf0\x9f\x92\xaa',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'roger_milla_9', 'name': 'Roger Milla', 'id': 1258480871637749760, 'id_str': '1258480871637749760', 'indices': [0, 14]}, {'screen_name': 'ACMilanNYC', 'name': 'AC Milan Club New York City', 'id': 67454269, 'id_str': '67454269', 'indices': [15, 26]}, {'screen_name': 'TwitterID', 'name': 'Twitter Indonesia', 'id': 2550997820, 'id_str': '2550997820', 'indices': [27, 37]}, {'screen_name': 'TwitterSports', 'name': 'Twitter Sports', 'id': 300392950, 'id_str': '300392950', 'indices': [38, 52]}, {'screen_name': 'verified', 'name': 'Twitter Verified', 'id': 63796828, 'id_str': '63796828', 'indices': [53, 62]}], 'urls': []}",,en
1290516361139982336,2020-08-04 05:14:11,Dia ninggalin milan tuk transfer pemain bro...bukan pergi dr milannya... https://t.co/wpaUAw77OF,b'Dia ninggalin milan tuk transfer pemain bro...bukan pergi dr milannya... https://t.co/wpaUAw77OF',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wpaUAw77OF', 'expanded_url': 'https://twitter.com/md_khairulizat/status/1290461939878043651', 'display_url': 'twitter.com/md_khairulizat…', 'indices': [73, 96]}]}",,in
1279984605479624704,2020-07-06 03:44:45,@Laziale_Belgio Can you see ?please focus https://t.co/fOSd4MIBMn,b'@Laziale_Belgio Can you see ?please focus https://t.co/fOSd4MIBMn',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Laziale_Belgio', 'name': 'Evesto 🇧🇪', 'id': 1001241206179926016, 'id_str': '1001241206179926016', 'indices': [0, 15]}], 'urls': [], 'media': [{'id': 1279983315634622465, 'id_str': '1279983315634622465', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1279983315634622465/pu/img/VMtfvg83-49QpA25.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1279983315634622465/pu/img/VMtfvg83-49QpA25.jpg', 'url': 'https://t.co/fOSd4MIBMn', 'display_url': 'pic.twitter.com/fOSd4MIBMn', 'expanded_url': 'https://twitter.com/Deconen/status/1279984605479624704/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 322, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 568, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 606, 'resize': 'fit'}}}]}",,en
1265800914440351744,2020-05-28 00:23:50,@BlackYellow Amazing... https://t.co/ksAlhTXpAD,b'@BlackYellow Amazing... https://t.co/ksAlhTXpAD',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BlackYellow', 'name': 'Borussia Dortmund', 'id': 961930212656275456, 'id_str': '961930212656275456', 'indices': [0, 12]}], 'urls': [], 'media': [{'id': 1265800906114609153, 'id_str': '1265800906114609153', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EZEHN7VUMAEHcYJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EZEHN7VUMAEHcYJ.jpg', 'url': 'https://t.co/ksAlhTXpAD', 'display_url': 'pic.twitter.com/ksAlhTXpAD', 'expanded_url': 'https://twitter.com/Deconen/status/1265800914440351744/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 568, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 322, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 1520, 'resize': 'fit'}}}]}",,en
1212902285312843777,2020-01-03 01:03:34,@brfootball Smile.....,b'@brfootball Smile.....',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'brfootball', 'name': 'B/R Football', 'id': 1561123663, 'id_str': '1561123663', 'indices': [0, 11]}], 'urls': []}",,en
1210701017827790848,2019-12-27 23:16:31,@acmilan @Ibra_official Don't give number 9.....but give him number 11,"b""@acmilan @Ibra_official Don't give number 9.....but give him number 11""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [0, 8]}, {'screen_name': 'Ibra_official', 'name': 'Zlatan Ibrahimović', 'id': 461922813, 'id_str': '461922813', 'indices': [9, 23]}], 'urls': []}",,en
1208937673831792640,2019-12-23 02:29:37,@MilanEye 🖐️-👌,b'@MilanEye \xf0\x9f\x96\x90\xef\xb8\x8f-\xf0\x9f\x91\x8c',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MilanEye', 'name': 'Milan Eye', 'id': 372616740, 'id_str': '372616740', 'indices': [0, 9]}], 'urls': []}",,und
