id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339018159379132422,2020-12-16 01:23:01,"@misfitleaf Joined June 2019
kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885",b'@misfitleaf Joined June 2019\nkindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'misfitleaf', 'name': 'misfit', 'id': 1320450473929756672, 'id_str': '1320450473929756672', 'indices': [0, 11]}], 'urls': []}",,en
1339018098368720903,2020-12-16 01:22:47,@bulmaXO kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885,b'@bulmaXO kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bulmaXO', 'name': 'bulma', 'id': 870701096573952002, 'id_str': '870701096573952002', 'indices': [0, 8]}], 'urls': []}",,en
1339017676656664583,2020-12-16 01:21:06,"@finestrl Joined June 2019
kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885",b'@finestrl Joined June 2019\nkindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'finestrl', 'name': 'Finest', 'id': 939606206418530304, 'id_str': '939606206418530304', 'indices': [0, 9]}], 'urls': []}",,en
1338784976490389505,2020-12-15 09:56:26,@WinsorCourtney kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885,b'@WinsorCourtney kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WinsorCourtney', 'name': 'Courtney Winsor', 'id': 3353896521, 'id_str': '3353896521', 'indices': [0, 15]}], 'urls': []}",,en
1338784290767859713,2020-12-15 09:53:42,@KornFan2005 kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885,b'@KornFan2005 kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KornFan2005', 'name': 'KoЯnFan2005', 'id': 1169781130704408576, 'id_str': '1169781130704408576', 'indices': [0, 12]}], 'urls': []}",,en
1338784241216262146,2020-12-15 09:53:31,@catboybri kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885,b'@catboybri kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'catboybri', 'name': 'mimi 🌙', 'id': 1221087759558791168, 'id_str': '1221087759558791168', 'indices': [0, 10]}], 'urls': []}",,en
1338784039067676673,2020-12-15 09:52:42,@skzyeri kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885,b'@skzyeri kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'skzyeri', 'name': 'nova', 'id': 1305900421236625409, 'id_str': '1305900421236625409', 'indices': [0, 8]}], 'urls': []}",,en
1338783868137123840,2020-12-15 09:52:02,@aangxla kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885,b'@aangxla kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aangxla', 'name': 'angela', 'id': 1663637096, 'id_str': '1663637096', 'indices': [0, 8]}], 'urls': []}",,en
1338275898831872005,2020-12-14 00:13:32,@evermorebrina kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885,b'@evermorebrina kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'evermorebrina', 'name': 'eun', 'id': 926193632188780544, 'id_str': '926193632188780544', 'indices': [0, 14]}], 'urls': []}",,en
1338275736185081857,2020-12-14 00:12:54,@lovebrianaxo_ kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885,b'@lovebrianaxo_ kindly allow me to help with the assignment Whatsapp/Textnow/ Call+1 (518) 299-8885',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lovebrianaxo_', 'name': 'bri ♡', 'id': 1119242562001350656, 'id_str': '1119242562001350656', 'indices': [0, 14]}], 'urls': []}",,en
