id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339066996537823236,2020-12-16 04:37:05,"@DanFunko @DisFunko Yeah for sure - some look terrible with certain stickers, but in general I like it. It’s well above a few US retailers.","b'@DanFunko @DisFunko Yeah for sure - some look terrible with certain stickers, but in general I like it. It\xe2\x80\x99s well above a few US retailers.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DanFunko', 'name': 'Prof. UltraDan', 'id': 952834125815312384, 'id_str': '952834125815312384', 'indices': [0, 9]}, {'screen_name': 'DisFunko', 'name': 'DisFunko', 'id': 238858322, 'id_str': '238858322', 'indices': [10, 19]}], 'urls': []}",,en
1339065897219141635,2020-12-16 04:32:43,@DanFunko @DisFunko I like their sticker.,b'@DanFunko @DisFunko I like their sticker.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DanFunko', 'name': 'Prof. UltraDan', 'id': 952834125815312384, 'id_str': '952834125815312384', 'indices': [0, 9]}, {'screen_name': 'DisFunko', 'name': 'DisFunko', 'id': 238858322, 'id_str': '238858322', 'indices': [10, 19]}], 'urls': []}",,en
1339062117211791360,2020-12-16 04:17:41,@DoPeSuN @Serlentpops That would be amazing https://t.co/LfeCfzV8pU,b'@DoPeSuN @Serlentpops That would be amazing https://t.co/LfeCfzV8pU',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DoPeSuN', 'name': 'Ray $', 'id': 48710541, 'id_str': '48710541', 'indices': [0, 8]}, {'screen_name': 'Serlentpops', 'name': 'Serlent Pops', 'id': 2170791624, 'id_str': '2170791624', 'indices': [9, 21]}], 'urls': [], 'media': [{'id': 1339062111419453442, 'id_str': '1339062111419453442', 'indices': [44, 67], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpVN5UtXUAIP5Z0.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpVN5UtXUAIP5Z0.jpg', 'url': 'https://t.co/LfeCfzV8pU', 'display_url': 'pic.twitter.com/LfeCfzV8pU', 'expanded_url': 'https://twitter.com/FunkToTheO/status/1339062117211791360/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 414, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 414, 'resize': 'fit'}, 'small': {'w': 498, 'h': 414, 'resize': 'fit'}}}]}",,en
1339048691555049472,2020-12-16 03:24:21,@DanFunko @DoPeSuN @PrettyBoyM_Sota That’s great https://t.co/J433cly5m3,b'@DanFunko @DoPeSuN @PrettyBoyM_Sota That\xe2\x80\x99s great https://t.co/J433cly5m3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DanFunko', 'name': 'Prof. UltraDan', 'id': 952834125815312384, 'id_str': '952834125815312384', 'indices': [0, 9]}, {'screen_name': 'DoPeSuN', 'name': 'Ray $', 'id': 48710541, 'id_str': '48710541', 'indices': [10, 18]}, {'screen_name': 'PrettyBoyM_Sota', 'name': 'Troy Brinkley ✊🏾', 'id': 228822930, 'id_str': '228822930', 'indices': [19, 35]}], 'urls': [], 'media': [{'id': 1339048686463102982, 'id_str': '1339048686463102982', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpVBr42WMAY_xYA.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpVBr42WMAY_xYA.jpg', 'url': 'https://t.co/J433cly5m3', 'display_url': 'pic.twitter.com/J433cly5m3', 'expanded_url': 'https://twitter.com/FunkToTheO/status/1339048691555049472/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 244, 'h': 154, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 244, 'h': 154, 'resize': 'fit'}, 'large': {'w': 244, 'h': 154, 'resize': 'fit'}}}]}",,en
1339030875384799234,2020-12-16 02:13:33,"@POPnBeards @WAZZUPZEBRA @DisFunko Yeah it’s been chaotic from everyone. CoVID being used as an excuse by some that have bad cs, while it’s actually impacting others that have great cs, like y’all. Don’t worry I’ll be back.","b'@POPnBeards @WAZZUPZEBRA @DisFunko Yeah it\xe2\x80\x99s been chaotic from everyone. CoVID being used as an excuse by some that have bad cs, while it\xe2\x80\x99s actually impacting others that have great cs, like y\xe2\x80\x99all. Don\xe2\x80\x99t worry I\xe2\x80\x99ll be back.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'POPnBeards', 'name': 'POPnBeards', 'id': 855179588229615617, 'id_str': '855179588229615617', 'indices': [0, 11]}, {'screen_name': 'WAZZUPZEBRA', 'name': 'WAZZupZEBRA', 'id': 873264580574801920, 'id_str': '873264580574801920', 'indices': [12, 24]}, {'screen_name': 'DisFunko', 'name': 'DisFunko', 'id': 238858322, 'id_str': '238858322', 'indices': [25, 34]}], 'urls': []}",,en
1339027949719334912,2020-12-16 02:01:55,"@POPnBeards @WAZZUPZEBRA @DisFunko Understand 🦾 still it’s a balance for collectors too. I had to double buy something to get it on time even though it was ordered a few months ago. Not mad, just realistic.","b'@POPnBeards @WAZZUPZEBRA @DisFunko Understand \xf0\x9f\xa6\xbe still it\xe2\x80\x99s a balance for collectors too. I had to double buy something to get it on time even though it was ordered a few months ago. Not mad, just realistic.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'POPnBeards', 'name': 'POPnBeards', 'id': 855179588229615617, 'id_str': '855179588229615617', 'indices': [0, 11]}, {'screen_name': 'WAZZUPZEBRA', 'name': 'WAZZupZEBRA', 'id': 873264580574801920, 'id_str': '873264580574801920', 'indices': [12, 24]}, {'screen_name': 'DisFunko', 'name': 'DisFunko', 'id': 238858322, 'id_str': '238858322', 'indices': [25, 34]}], 'urls': []}",,en
1339026289202696193,2020-12-16 01:55:19,"@DoPeSuN No because some of the PX are 3 chase in box of 27, instead of 1 in 6. And then yes, because this is a pretty high price for a chase bundle.","b'@DoPeSuN No because some of the PX are 3 chase in box of 27, instead of 1 in 6. And then yes, because this is a pretty high price for a chase bundle.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DoPeSuN', 'name': 'Ray $', 'id': 48710541, 'id_str': '48710541', 'indices': [0, 8]}], 'urls': []}",,en
1339024662702022665,2020-12-16 01:48:52,@DoPeSuN Does that mean it’s a 1/9 chase? Seems high? And I have seen 1/6 and 1/9 claims now.,b'@DoPeSuN Does that mean it\xe2\x80\x99s a 1/9 chase? Seems high? And I have seen 1/6 and 1/9 claims now.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DoPeSuN', 'name': 'Ray $', 'id': 48710541, 'id_str': '48710541', 'indices': [0, 8]}], 'urls': []}",,en
1339017670193246209,2020-12-16 01:21:04,@SimpleManJ_5 @WAZZUPZEBRA @DisFunko @OriginalFunko @FunkoPOPsNews @TweetacularMatt @DoPeSuN @AnimePopChick @Funko112 @SuperFunkoMan @megstocker @krypto2276 @DeclinGaming @jordanpbenge Did you add the flame?!? 😂 awesome!,b'@SimpleManJ_5 @WAZZUPZEBRA @DisFunko @OriginalFunko @FunkoPOPsNews @TweetacularMatt @DoPeSuN @AnimePopChick @Funko112 @SuperFunkoMan @megstocker @krypto2276 @DeclinGaming @jordanpbenge Did you add the flame?!? \xf0\x9f\x98\x82 awesome!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SimpleManJ_5', 'name': '📦 The Simple Man 📦', 'id': 1187028840335532032, 'id_str': '1187028840335532032', 'indices': [0, 13]}, {'screen_name': 'WAZZUPZEBRA', 'name': 'WAZZupZEBRA', 'id': 873264580574801920, 'id_str': '873264580574801920', 'indices': [14, 26]}, {'screen_name': 'DisFunko', 'name': 'DisFunko', 'id': 238858322, 'id_str': '238858322', 'indices': [27, 36]}, {'screen_name': 'OriginalFunko', 'name': 'Funko at Peppermint Lane 🎄', 'id': 1378000488, 'id_str': '1378000488', 'indices': [37, 51]}, {'screen_name': 'FunkoPOPsNews', 'name': 'Funko POP News !', 'id': 138338122, 'id_str': '138338122', 'indices': [52, 66]}, {'screen_name': 'TweetacularMatt', 'name': 'Mando Matt', 'id': 933728541971136512, 'id_str': '933728541971136512', 'indices': [67, 83]}, {'screen_name': 'DoPeSuN', 'name': 'Ray $', 'id': 48710541, 'id_str': '48710541', 'indices': [84, 92]}, {'screen_name': 'AnimePopChick', 'name': 'Anime Pop Chick', 'id': 1275955504406241280, 'id_str': '1275955504406241280', 'indices': [93, 107]}, {'screen_name': 'Funko112', 'name': 'Funko11', 'id': 1015045575073521664, 'id_str': '1015045575073521664', 'indices': [108, 117]}, {'screen_name': 'SuperFunkoMan', 'name': 'Super Funko Man', 'id': 1230020160217444352, 'id_str': '1230020160217444352', 'indices': [118, 132]}, {'screen_name': 'megstocker', 'name': 'mountain meg 🏞🌄🌌 #nerdsunite', 'id': 16404435, 'id_str': '16404435', 'indices': [133, 144]}, {'screen_name': 'krypto2276', 'name': 'DEAFSTROKE 👂🏼💀', 'id': 2846167483, 'id_str': '2846167483', 'indices': [145, 156]}, {'screen_name': 'DeclinGaming', 'name': 'DeclinGaming', 'id': 1286032684389732354, 'id_str': '1286032684389732354', 'indices': [157, 170]}, {'screen_name': 'jordanpbenge', 'name': 'Jordan Benge', 'id': 2865072712, 'id_str': '2865072712', 'indices': [171, 184]}], 'urls': []}",,en
1339009409297620992,2020-12-16 00:48:15,"@WAZZUPZEBRA @DisFunko @OriginalFunko @FunkoPOPsNews @TweetacularMatt @DoPeSuN @AnimePopChick @Funko112 @SuperFunkoMan @megstocker @krypto2276 @DeclinGaming @jordanpbenge “Donated” 😂 

JK - glad we could make a deal. Thanks again.",b'@WAZZUPZEBRA @DisFunko @OriginalFunko @FunkoPOPsNews @TweetacularMatt @DoPeSuN @AnimePopChick @Funko112 @SuperFunkoMan @megstocker @krypto2276 @DeclinGaming @jordanpbenge \xe2\x80\x9cDonated\xe2\x80\x9d \xf0\x9f\x98\x82 \n\nJK - glad we could make a deal. Thanks again.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WAZZUPZEBRA', 'name': 'WAZZupZEBRA', 'id': 873264580574801920, 'id_str': '873264580574801920', 'indices': [0, 12]}, {'screen_name': 'DisFunko', 'name': 'DisFunko', 'id': 238858322, 'id_str': '238858322', 'indices': [13, 22]}, {'screen_name': 'OriginalFunko', 'name': 'Funko at Peppermint Lane 🎄', 'id': 1378000488, 'id_str': '1378000488', 'indices': [23, 37]}, {'screen_name': 'FunkoPOPsNews', 'name': 'Funko POP News !', 'id': 138338122, 'id_str': '138338122', 'indices': [38, 52]}, {'screen_name': 'TweetacularMatt', 'name': 'Mando Matt', 'id': 933728541971136512, 'id_str': '933728541971136512', 'indices': [53, 69]}, {'screen_name': 'DoPeSuN', 'name': 'Ray $', 'id': 48710541, 'id_str': '48710541', 'indices': [70, 78]}, {'screen_name': 'AnimePopChick', 'name': 'Anime Pop Chick', 'id': 1275955504406241280, 'id_str': '1275955504406241280', 'indices': [79, 93]}, {'screen_name': 'Funko112', 'name': 'Funko11', 'id': 1015045575073521664, 'id_str': '1015045575073521664', 'indices': [94, 103]}, {'screen_name': 'SuperFunkoMan', 'name': 'Super Funko Man', 'id': 1230020160217444352, 'id_str': '1230020160217444352', 'indices': [104, 118]}, {'screen_name': 'megstocker', 'name': 'mountain meg 🏞🌄🌌 #nerdsunite', 'id': 16404435, 'id_str': '16404435', 'indices': [119, 130]}, {'screen_name': 'krypto2276', 'name': 'DEAFSTROKE 👂🏼💀', 'id': 2846167483, 'id_str': '2846167483', 'indices': [131, 142]}, {'screen_name': 'DeclinGaming', 'name': 'DeclinGaming', 'id': 1286032684389732354, 'id_str': '1286032684389732354', 'indices': [143, 156]}, {'screen_name': 'jordanpbenge', 'name': 'Jordan Benge', 'id': 2865072712, 'id_str': '2865072712', 'indices': [157, 170]}], 'urls': []}",,en
