id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017656612032517,2020-12-16 01:21:01,"Have you watched Dr. Harvey Alter's Nobel Prize acceptance speech? At 46:59,  he says ""The cure now depends on the political, corporate, philanthropic &amp; moral will to make it happen."" He believes HCV elimination/eradication are possible. So do we.
🎞️: https://t.co/XO5OnfAuEq https://t.co/asdMu53f9a","b'Have you watched Dr. Harvey Alter\'s Nobel Prize acceptance speech? At 46:59,  he says ""The cure now depends on the political, corporate, philanthropic &amp; moral will to make it happen."" He believes HCV elimination/eradication are possible. So do we.\n\xf0\x9f\x8e\x9e\xef\xb8\x8f: https://t.co/XO5OnfAuEq https://t.co/asdMu53f9a'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XO5OnfAuEq', 'expanded_url': 'https://buff.ly/3nkdxlx', 'display_url': 'buff.ly/3nkdxlx', 'indices': [256, 279]}], 'media': [{'id': 1339017655207010306, 'id_str': '1339017655207010306', 'indices': [280, 303], 'media_url': 'http://pbs.twimg.com/media/EpUldoaXIAILPxP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUldoaXIAILPxP.jpg', 'url': 'https://t.co/asdMu53f9a', 'display_url': 'pic.twitter.com/asdMu53f9a', 'expanded_url': 'https://twitter.com/GlobalHep/status/1339017656612032517/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",,en
1338657044614754304,2020-12-15 01:28:05,".@PHE_uk published its 2020 ""Hepatitis C in England and UK"" report today. 

25% ⬇️ in HCV-related mortality 2015-2019
15,449 people treated for #HCV in 2019/20, up 142% from pre-2015

Excellent progress towards elimination!

Check it out: https://t.co/La27dFrvBQ https://t.co/iMBE5T5Sbr","b'.@PHE_uk published its 2020 ""Hepatitis C in England and UK"" report today. \n\n25% \xe2\xac\x87\xef\xb8\x8f in HCV-related mortality 2015-2019\n15,449 people treated for #HCV in 2019/20, up 142% from pre-2015\n\nExcellent progress towards elimination!\n\nCheck it out: https://t.co/La27dFrvBQ https://t.co/iMBE5T5Sbr'","{'hashtags': [{'text': 'HCV', 'indices': [144, 148]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PHE_uk', 'name': 'Public Health England', 'id': 41822696, 'id_str': '41822696', 'indices': [1, 8]}], 'urls': [{'url': 'https://t.co/La27dFrvBQ', 'expanded_url': 'https://buff.ly/2JUIuyn', 'display_url': 'buff.ly/2JUIuyn', 'indices': [239, 262]}, {'url': 'https://t.co/iMBE5T5Sbr', 'expanded_url': 'https://twitter.com/PHE_uk/status/1338449986309263361', 'display_url': 'twitter.com/PHE_uk/status/…', 'indices': [263, 286]}]}",,en
1338655162089566208,2020-12-15 01:20:36,"RT @CLD_Learning: Screening Adult Children of Hepatitis C Infected Baby Boomers: Barriers to Testing and Prevalence Estimates
@GlobalHep @A…",b'RT @CLD_Learning: Screening Adult Children of Hepatitis C Infected Baby Boomers: Barriers to Testing and Prevalence Estimates\n@GlobalHep @A\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CLD_Learning', 'name': 'ClinicalLiverDisease', 'id': 386256119, 'id_str': '386256119', 'indices': [3, 16]}, {'screen_name': 'GlobalHep', 'name': 'Coalition for Global Hepatitis Elimination', 'id': 1039866464168280064, 'id_str': '1039866464168280064', 'indices': [126, 136]}], 'urls': []}",,en
1338649644759474176,2020-12-15 00:58:40,"It's here! ""A Global Tour of Options for Scaling-Up HCV Testing to Reach Elimination Goals"" 🛤️ Tuesday at 10 AM Atlanta/4 PM Geneva/8 PM Karachi

We will hear from programs in Rwanda, Egypt, Mexico, Vietnam, &amp; Georgia🌍

Not too late to register: https://t.co/0RQ26WWLbJ https://t.co/zrSewLoPLp","b'It\'s here! ""A Global Tour of Options for Scaling-Up HCV Testing to Reach Elimination Goals"" \xf0\x9f\x9b\xa4\xef\xb8\x8f Tuesday at 10 AM Atlanta/4 PM Geneva/8 PM Karachi\n\nWe will hear from programs in Rwanda, Egypt, Mexico, Vietnam, &amp; Georgia\xf0\x9f\x8c\x8d\n\nNot too late to register: https://t.co/0RQ26WWLbJ https://t.co/zrSewLoPLp'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0RQ26WWLbJ', 'expanded_url': 'https://buff.ly/3foCyJc', 'display_url': 'buff.ly/3foCyJc', 'indices': [250, 273]}], 'media': [{'id': 1338649643543105536, 'id_str': '1338649643543105536', 'indices': [274, 297], 'media_url': 'http://pbs.twimg.com/media/EpPWwiIXEAAgIsL.png', 'media_url_https': 'https://pbs.twimg.com/media/EpPWwiIXEAAgIsL.png', 'url': 'https://t.co/zrSewLoPLp', 'display_url': 'pic.twitter.com/zrSewLoPLp', 'expanded_url': 'https://twitter.com/GlobalHep/status/1338649644759474176/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 640, 'h': 200, 'resize': 'fit'}, 'small': {'w': 640, 'h': 200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 200, 'resize': 'fit'}}}]}",,en
1337861533964120066,2020-12-12 20:47:00,"3 days left until the webinar! 📆
Join us as we discuss #HCV programs in various countries with questions like: ""What testing platforms are used? Where is testing available? How are patients linked to care?"" @Hep_Alliance @WHO @cdchep 

Register at: https://t.co/0RQ26WWLbJ","b'3 days left until the webinar! \xf0\x9f\x93\x86\nJoin us as we discuss #HCV programs in various countries with questions like: ""What testing platforms are used? Where is testing available? How are patients linked to care?"" @Hep_Alliance @WHO @cdchep \n\nRegister at: https://t.co/0RQ26WWLbJ'","{'hashtags': [{'text': 'HCV', 'indices': [55, 59]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Hep_Alliance', 'name': 'World Hepatitis Alliance', 'id': 20170584, 'id_str': '20170584', 'indices': [207, 220]}, {'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [221, 225]}, {'screen_name': 'cdchep', 'name': 'CDC Hepatitis', 'id': 40271841, 'id_str': '40271841', 'indices': [226, 233]}], 'urls': [{'url': 'https://t.co/0RQ26WWLbJ', 'expanded_url': 'https://buff.ly/3foCyJc', 'display_url': 'buff.ly/3foCyJc', 'indices': [249, 272]}]}",,en
1337136767762395138,2020-12-10 20:47:02,"5 days left until the next Hep Test webinar! Have you registered yet?⏳
This webinar will explore the operational details of #HCV testing programs across the world with presentations from @RBCRwanda @drgagangrover + more!
@FINDdx @Hep_Alliance
Register at: https://t.co/mX8V43Tkoh https://t.co/icJ33bnogh",b'5 days left until the next Hep Test webinar! Have you registered yet?\xe2\x8f\xb3\nThis webinar will explore the operational details of #HCV testing programs across the world with presentations from @RBCRwanda @drgagangrover + more!\n@FINDdx @Hep_Alliance\nRegister at: https://t.co/mX8V43Tkoh https://t.co/icJ33bnogh',"{'hashtags': [{'text': 'HCV', 'indices': [124, 128]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RBCRwanda', 'name': 'Rwanda Biomedical Centre', 'id': 452850112, 'id_str': '452850112', 'indices': [187, 197]}, {'screen_name': 'DrGaganGrover', 'name': 'Gagandeep Singh Grover', 'id': 2560449248, 'id_str': '2560449248', 'indices': [198, 212]}, {'screen_name': 'FINDdx', 'name': 'FIND (Foundation for Innovative New Diagnostics)', 'id': 272002209, 'id_str': '272002209', 'indices': [221, 228]}, {'screen_name': 'Hep_Alliance', 'name': 'World Hepatitis Alliance', 'id': 20170584, 'id_str': '20170584', 'indices': [229, 242]}], 'urls': [{'url': 'https://t.co/mX8V43Tkoh', 'expanded_url': 'https://buff.ly/36SCNcX', 'display_url': 'buff.ly/36SCNcX', 'indices': [256, 279]}], 'media': [{'id': 1337136765774290955, 'id_str': '1337136765774290955', 'indices': [280, 303], 'media_url': 'http://pbs.twimg.com/media/Eo52zdQXYAsAmBf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo52zdQXYAsAmBf.jpg', 'url': 'https://t.co/icJ33bnogh', 'display_url': 'pic.twitter.com/icJ33bnogh', 'expanded_url': 'https://twitter.com/GlobalHep/status/1337136767762395138/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",,en
1336790269765804041,2020-12-09 21:50:11,"It's not too late to join us tomorrow for an interview w/ Prof. Odimayo on his recent article in @CLD_Learning
""Hep B prevalence and access to preventive services among Internally Displaced Persons in Edo State, Nigeria""
@AASLDtweets
Register at: https://t.co/fv2jS5yyWv https://t.co/4Io7hilF8H","b'It\'s not too late to join us tomorrow for an interview w/ Prof. Odimayo on his recent article in @CLD_Learning\n""Hep B prevalence and access to preventive services among Internally Displaced Persons in Edo State, Nigeria""\n@AASLDtweets\nRegister at: https://t.co/fv2jS5yyWv https://t.co/4Io7hilF8H'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CLD_Learning', 'name': 'ClinicalLiverDisease', 'id': 386256119, 'id_str': '386256119', 'indices': [97, 110]}, {'screen_name': 'AASLDtweets', 'name': 'AASLD', 'id': 65063164, 'id_str': '65063164', 'indices': [221, 233]}], 'urls': [{'url': 'https://t.co/fv2jS5yyWv', 'expanded_url': 'https://buff.ly/3q2siuP', 'display_url': 'buff.ly/3q2siuP', 'indices': [247, 270]}], 'media': [{'id': 1336790268289445891, 'id_str': '1336790268289445891', 'indices': [271, 294], 'media_url': 'http://pbs.twimg.com/media/Eo07qpiXcAMckyw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo07qpiXcAMckyw.jpg', 'url': 'https://t.co/4Io7hilF8H', 'display_url': 'pic.twitter.com/4Io7hilF8H', 'expanded_url': 'https://twitter.com/GlobalHep/status/1336790269765804041/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",,en
1336739519320760320,2020-12-09 18:28:31,"RT @AASLDtweets: Mark your calendars for the next @CLD_Learning @GlobalHep author interview on Thurs., Dec. 10. 

Prof. Simidele discusses…","b'RT @AASLDtweets: Mark your calendars for the next @CLD_Learning @GlobalHep author interview on Thurs., Dec. 10. \n\nProf. Simidele discusses\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AASLDtweets', 'name': 'AASLD', 'id': 65063164, 'id_str': '65063164', 'indices': [3, 15]}, {'screen_name': 'CLD_Learning', 'name': 'ClinicalLiverDisease', 'id': 386256119, 'id_str': '386256119', 'indices': [50, 63]}, {'screen_name': 'GlobalHep', 'name': 'Coalition for Global Hepatitis Elimination', 'id': 1039866464168280064, 'id_str': '1039866464168280064', 'indices': [64, 74]}], 'urls': []}",,en
1336463558553563138,2020-12-09 00:11:57,@JVLazarus @DrGaganGrover @HenryEChang @Hep_Alliance @GlobalHepSummit @JagChhatwal @FINDdx @Mariabutif @Homie_Razavi @Virology_Edu Best IVHEM ever,b'@JVLazarus @DrGaganGrover @HenryEChang @Hep_Alliance @GlobalHepSummit @JagChhatwal @FINDdx @Mariabutif @Homie_Razavi @Virology_Edu Best IVHEM ever',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JVLazarus', 'name': 'Jeffrey V. Lazarus', 'id': 928312772, 'id_str': '928312772', 'indices': [0, 10]}, {'screen_name': 'DrGaganGrover', 'name': 'Gagandeep Singh Grover', 'id': 2560449248, 'id_str': '2560449248', 'indices': [11, 25]}, {'screen_name': 'HenryEChang', 'name': 'Henry E. Chang', 'id': 57406450, 'id_str': '57406450', 'indices': [26, 38]}, {'screen_name': 'Hep_Alliance', 'name': 'World Hepatitis Alliance', 'id': 20170584, 'id_str': '20170584', 'indices': [39, 52]}, {'screen_name': 'GlobalHepSummit', 'name': 'Global Hepatitis Summit', 'id': 720709332871077888, 'id_str': '720709332871077888', 'indices': [53, 69]}, {'screen_name': 'JagChhatwal', 'name': 'Jag Chhatwal', 'id': 61383596, 'id_str': '61383596', 'indices': [70, 82]}, {'screen_name': 'FINDdx', 'name': 'FIND (Foundation for Innovative New Diagnostics)', 'id': 272002209, 'id_str': '272002209', 'indices': [83, 90]}, {'screen_name': 'Mariabutif', 'name': 'Mariabuti', 'id': 856980320679276544, 'id_str': '856980320679276544', 'indices': [91, 102]}, {'screen_name': 'Homie_Razavi', 'name': 'Homie', 'id': 3822912742, 'id_str': '3822912742', 'indices': [103, 116]}, {'screen_name': 'Virology_Edu', 'name': 'Virology Education', 'id': 89460299, 'id_str': '89460299', 'indices': [117, 130]}], 'urls': []}",,no
1336441504089468930,2020-12-08 22:44:19,"RT @DrGaganGrover: @ivhem2020 @GlobalHep @HenryEChang @Hep_Alliance @GlobalHepSummit @JagChhatwal @FINDdx
Thank you IVHEM2020 for a wonderf…",b'RT @DrGaganGrover: @ivhem2020 @GlobalHep @HenryEChang @Hep_Alliance @GlobalHepSummit @JagChhatwal @FINDdx\nThank you IVHEM2020 for a wonderf\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrGaganGrover', 'name': 'Gagandeep Singh Grover', 'id': 2560449248, 'id_str': '2560449248', 'indices': [3, 17]}], 'urls': []}",,en
