id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339118173581312002,2020-12-16 08:00:26,"RT @SAlNTGABRlEL: I won’t tolerate problematic women, but I will always advocate for women’s right.

You might want to check my brand.

One…","b'RT @SAlNTGABRlEL: I won\xe2\x80\x99t tolerate problematic women, but I will always advocate for women\xe2\x80\x99s right.\n\nYou might want to check my brand.\n\nOne\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SAlNTGABRlEL', 'name': 'ً', 'id': 2438550667, 'id_str': '2438550667', 'indices': [3, 16]}], 'urls': []}",,en
1339114994600841216,2020-12-16 07:47:48,"huy hala, thankful rako kay amoang team kay mulihok jd 🥺💕 https://t.co/p8OCcmnN1b","b'huy hala, thankful rako kay amoang team kay mulihok jd \xf0\x9f\xa5\xba\xf0\x9f\x92\x95 https://t.co/p8OCcmnN1b'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/p8OCcmnN1b', 'expanded_url': 'https://twitter.com/France_Salvad/status/1338694641697214464', 'display_url': 'twitter.com/France_Salvad/…', 'indices': [58, 81]}]}",,tl
1339109546350899200,2020-12-16 07:26:09,RT @jikookarchive: jungkook smiling at jimin then tickling his chin :(((( https://t.co/78aZeaGGHp,b'RT @jikookarchive: jungkook smiling at jimin then tickling his chin :(((( https://t.co/78aZeaGGHp',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jikookarchive', 'name': '\u200fً', 'id': 803022400124108800, 'id_str': '803022400124108800', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1339056020719472640, 'id_str': '1339056020719472640', 'indices': [74, 97], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1339056020719472640/pu/img/YIbCyr6XW54jBiVm.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1339056020719472640/pu/img/YIbCyr6XW54jBiVm.jpg', 'url': 'https://t.co/78aZeaGGHp', 'display_url': 'pic.twitter.com/78aZeaGGHp', 'expanded_url': 'https://twitter.com/jikookarchive/status/1339056073651544065/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1339056073651544065, 'source_status_id_str': '1339056073651544065', 'source_user_id': 803022400124108800, 'source_user_id_str': '803022400124108800'}]}",,en
1339099005200998401,2020-12-16 06:44:16,RT @animatedtext: i have constant back pain from all the swag im carrying https://t.co/b1gxV9T2IT,b'RT @animatedtext: i have constant back pain from all the swag im carrying https://t.co/b1gxV9T2IT',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'animatedtext', 'name': 'animatedtext', 'id': 91593332, 'id_str': '91593332', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1339047236185907203, 'id_str': '1339047236185907203', 'indices': [74, 97], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpVAXeJUYAM_y-x.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpVAXeJUYAM_y-x.jpg', 'url': 'https://t.co/b1gxV9T2IT', 'display_url': 'pic.twitter.com/b1gxV9T2IT', 'expanded_url': 'https://twitter.com/animatedtext/status/1339097425923993602/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 347, 'resize': 'fit'}, 'large': {'w': 732, 'h': 374, 'resize': 'fit'}, 'medium': {'w': 732, 'h': 374, 'resize': 'fit'}}, 'source_status_id': 1339097425923993602, 'source_status_id_str': '1339097425923993602', 'source_user_id': 91593332, 'source_user_id_str': '91593332'}]}",,en
1339099004991205376,2020-12-16 06:44:16,"boang guro nis charlz, maminturag balay nya brush ra daw iya para ""eVerY sTroKe hAs iTs eMotioN"". gege abtan kag 2021 ana.","b'boang guro nis charlz, maminturag balay nya brush ra daw iya para ""eVerY sTroKe hAs iTs eMotioN"". gege abtan kag 2021 ana.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1339098196694290441,2020-12-16 06:41:03,RT @mikrocosjin: Let's talk about how beautiful winter package seokjin is https://t.co/XppwSNYnZQ,"b""RT @mikrocosjin: Let's talk about how beautiful winter package seokjin is https://t.co/XppwSNYnZQ""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mikrocosjin', 'name': '🐹⁷', 'id': 1115279254172971008, 'id_str': '1115279254172971008', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1338831162081501185, 'id_str': '1338831162081501185', 'indices': [74, 97], 'media_url': 'http://pbs.twimg.com/media/EpR72TYXYAEoeX1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpR72TYXYAEoeX1.jpg', 'url': 'https://t.co/XppwSNYnZQ', 'display_url': 'pic.twitter.com/XppwSNYnZQ', 'expanded_url': 'https://twitter.com/mikrocosjin/status/1338831179198423043/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1184, 'h': 947, 'resize': 'fit'}, 'small': {'w': 680, 'h': 544, 'resize': 'fit'}, 'large': {'w': 1184, 'h': 947, 'resize': 'fit'}}, 'source_status_id': 1338831179198423043, 'source_status_id_str': '1338831179198423043', 'source_user_id': 1115279254172971008, 'source_user_id_str': '1115279254172971008'}]}",,en
1339096345320177668,2020-12-16 06:33:42,aw brett 🥺🥰 https://t.co/BKUQ5zWVhu,b'aw brett \xf0\x9f\xa5\xba\xf0\x9f\xa5\xb0 https://t.co/BKUQ5zWVhu',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BKUQ5zWVhu', 'expanded_url': 'https://twitter.com/TwoSetViolin/status/1339077532931407872', 'display_url': 'twitter.com/TwoSetViolin/s…', 'indices': [12, 35]}]}",,en
1339019087683280897,2020-12-16 01:26:42,RT @hourlynmgi: i really do wonder what hoseok said to have namjoon and yoongi quickly look over in unison https://t.co/1OIBXHvSnQ,b'RT @hourlynmgi: i really do wonder what hoseok said to have namjoon and yoongi quickly look over in unison https://t.co/1OIBXHvSnQ',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hourlynmgi', 'name': 'hourly namgi', 'id': 1186506590981099520, 'id_str': '1186506590981099520', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1114669403629600771, 'id_str': '1114669403629600771', 'indices': [107, 130], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1114669403629600771/pu/img/EKjh-DrigZSHJEV0.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1114669403629600771/pu/img/EKjh-DrigZSHJEV0.jpg', 'url': 'https://t.co/1OIBXHvSnQ', 'display_url': 'pic.twitter.com/1OIBXHvSnQ', 'expanded_url': 'https://twitter.com/ludicjoon/status/1114669479479402498/video/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 720, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1114669479479402498, 'source_status_id_str': '1114669479479402498', 'source_user_id': 1033296497343909889, 'source_user_id_str': '1033296497343909889'}]}",,en
1339018264425365504,2020-12-16 01:23:26,"RT @jikookheart: jungkook:
jimin and his lollipop: WHY DIDN’T YOU SAY HI TO ME? 😡 https://t.co/hSVkWNZ96M",b'RT @jikookheart: jungkook:\njimin and his lollipop: WHY DIDN\xe2\x80\x99T YOU SAY HI TO ME? \xf0\x9f\x98\xa1 https://t.co/hSVkWNZ96M',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jikookheart', 'name': 'juls', 'id': 851802466211553280, 'id_str': '851802466211553280', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1338829513669685248, 'id_str': '1338829513669685248', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338829513669685248/pu/img/LRWPgBr-TIX1Y5sW.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338829513669685248/pu/img/LRWPgBr-TIX1Y5sW.jpg', 'url': 'https://t.co/hSVkWNZ96M', 'display_url': 'pic.twitter.com/hSVkWNZ96M', 'expanded_url': 'https://twitter.com/jikookheart/status/1338829572746465283/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1338829572746465283, 'source_status_id_str': '1338829572746465283', 'source_user_id': 851802466211553280, 'source_user_id_str': '851802466211553280'}]}",,en
1339017660114190336,2020-12-16 01:21:02,"at the same place, why not? https://t.co/YvshBjB1zy","b'at the same place, why not? https://t.co/YvshBjB1zy'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YvshBjB1zy', 'expanded_url': 'https://twitter.com/celario_jr/status/1338865222606409736', 'display_url': 'twitter.com/celario_jr/sta…', 'indices': [28, 51]}]}",,en
