id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339057061712289794,2020-12-16 03:57:36,@Tom_Seline Tim Hortons holds a certain nostalgia for me on hunting trips to Michigan. I would choose Steak n Shake though. 🤤,b'@Tom_Seline Tim Hortons holds a certain nostalgia for me on hunting trips to Michigan. I would choose Steak n Shake though. \xf0\x9f\xa4\xa4',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Tom_Seline', 'name': 'Tom Seline', 'id': 4644228800, 'id_str': '4644228800', 'indices': [0, 11]}], 'urls': []}",,en
1339055927681572865,2020-12-16 03:53:06,"@kgallet28 @PJFave I’m joking, KG. It’s an inside joke amongst Creighton fans.","b'@kgallet28 @PJFave I\xe2\x80\x99m joking, KG. It\xe2\x80\x99s an inside joke amongst Creighton fans.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kgallet28', 'name': 'KG', 'id': 19042963, 'id_str': '19042963', 'indices': [0, 10]}, {'screen_name': 'PJFave', 'name': 'PhyllisSnapeFavorite', 'id': 93926357, 'id_str': '93926357', 'indices': [11, 18]}], 'urls': []}",,en
1339048751713947649,2020-12-16 03:24:35,@downbadpatrol “Haha”,b'@downbadpatrol \xe2\x80\x9cHaha\xe2\x80\x9d',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'downbadpatrol', 'name': 'dudes who are down bad', 'id': 859786562883788805, 'id_str': '859786562883788805', 'indices': [0, 14]}], 'urls': []}",,tl
1339047999964651520,2020-12-16 03:21:36,@bredemske @OWHnews How’s that mandate working out in Omaha?,b'@bredemske @OWHnews How\xe2\x80\x99s that mandate working out in Omaha?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bredemske', 'name': 'Bryan Redemske', 'id': 15570378, 'id_str': '15570378', 'indices': [0, 10]}, {'screen_name': 'OWHnews', 'name': 'Omaha World-Herald', 'id': 15163577, 'id_str': '15163577', 'indices': [11, 19]}], 'urls': []}",,en
1339047760251772928,2020-12-16 03:20:39,@OWHnews Masks don’t work,b'@OWHnews Masks don\xe2\x80\x99t work',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OWHnews', 'name': 'Omaha World-Herald', 'id': 15163577, 'id_str': '15163577', 'indices': [0, 8]}], 'urls': []}",,en
1339047655721328641,2020-12-16 03:20:14,@JeffreyBane @OWHnews Papillion has a hospital,b'@JeffreyBane @OWHnews Papillion has a hospital',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JeffreyBane', 'name': 'Jeffrey Bane', 'id': 194677640, 'id_str': '194677640', 'indices': [0, 12]}, {'screen_name': 'OWHnews', 'name': 'Omaha World-Herald', 'id': 15163577, 'id_str': '15163577', 'indices': [13, 21]}], 'urls': []}",,en
1339047212576370688,2020-12-16 03:18:28,"@samtantweet @TimBrando Uh, well, those teams would likely have beaten several top 50 teams to get there.","b'@samtantweet @TimBrando Uh, well, those teams would likely have beaten several top 50 teams to get there.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'samtantweet', 'name': 'Sam Tan', 'id': 1287810424533135360, 'id_str': '1287810424533135360', 'indices': [0, 12]}, {'screen_name': 'TimBrando', 'name': 'Tim Brando', 'id': 59342982, 'id_str': '59342982', 'indices': [13, 23]}], 'urls': []}",,en
1339047019655081985,2020-12-16 03:17:42,@kgallet28 @PJFave Yah it is. Should be very easy for Cincinnati to get Ohio State.,b'@kgallet28 @PJFave Yah it is. Should be very easy for Cincinnati to get Ohio State.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kgallet28', 'name': 'KG', 'id': 19042963, 'id_str': '19042963', 'indices': [0, 10]}, {'screen_name': 'PJFave', 'name': 'PhyllisSnapeFavorite', 'id': 93926357, 'id_str': '93926357', 'indices': [11, 18]}], 'urls': []}",,en
1339046630104903680,2020-12-16 03:16:09,@downbadpatrol Oh wow,b'@downbadpatrol Oh wow',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'downbadpatrol', 'name': 'dudes who are down bad', 'id': 859786562883788805, 'id_str': '859786562883788805', 'indices': [0, 14]}], 'urls': []}",,en
1339038495201955840,2020-12-16 02:43:50,"@t2meg Shut up, racist","b'@t2meg Shut up, racist'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 't2meg', 'name': 'Not today, Trump', 'id': 795632410650087424, 'id_str': '795632410650087424', 'indices': [0, 6]}], 'urls': []}",,en
1339036360611688448,2020-12-16 02:35:21,"@jimmyltrent @TimBrando Uh, okay","b'@jimmyltrent @TimBrando Uh, okay'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jimmyltrent', 'name': 'Jimmy Trent', 'id': 300013118, 'id_str': '300013118', 'indices': [0, 12]}, {'screen_name': 'TimBrando', 'name': 'Tim Brando', 'id': 59342982, 'id_str': '59342982', 'indices': [13, 23]}], 'urls': []}",,en
1339028861581979658,2020-12-16 02:05:33,@thehill Racist,b'@thehill Racist',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thehill', 'name': 'The Hill', 'id': 1917731, 'id_str': '1917731', 'indices': [0, 8]}], 'urls': []}",,en
1339023916505894913,2020-12-16 01:45:54,@lucy_rohden Almost laughed,b'@lucy_rohden Almost laughed',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lucy_rohden', 'name': 'Lucy Rohden', 'id': 899037311534608385, 'id_str': '899037311534608385', 'indices': [0, 12]}], 'urls': []}",,en
1339023332788801542,2020-12-16 01:43:35,@riverotter1968 @PJFave You don’t have to play those teams to play someone.,b'@riverotter1968 @PJFave You don\xe2\x80\x99t have to play those teams to play someone.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'riverotter1968', 'name': 'Mark R. Pachankis', 'id': 49987529, 'id_str': '49987529', 'indices': [0, 15]}, {'screen_name': 'PJFave', 'name': 'PhyllisSnapeFavorite', 'id': 93926357, 'id_str': '93926357', 'indices': [16, 23]}], 'urls': []}",,en
1339017671543828482,2020-12-16 01:21:05,@PJFave Just pick up the phone!,b'@PJFave Just pick up the phone!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PJFave', 'name': 'PhyllisSnapeFavorite', 'id': 93926357, 'id_str': '93926357', 'indices': [0, 7]}], 'urls': []}",,en
1339014792632266752,2020-12-16 01:09:38,"@MartiniShark Oh, don't forget the new ""variant"" of COVID found in England. We have a vaccine and then ope, ""guess what, guys? You have more to worry about so keep locking down!!!""","b'@MartiniShark Oh, don\'t forget the new ""variant"" of COVID found in England. We have a vaccine and then ope, ""guess what, guys? You have more to worry about so keep locking down!!!""'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MartiniShark', 'name': 'Brad Slager Mail-splaining and Voter Resignation', 'id': 14592739, 'id_str': '14592739', 'indices': [0, 13]}], 'urls': []}",,en
1339013761714294788,2020-12-16 01:05:33,"@victoirecajun @TimBrando Then played UAB and Texas State, both games relatively close. Play somebody.","b'@victoirecajun @TimBrando Then played UAB and Texas State, both games relatively close. Play somebody.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'victoirecajun', 'name': 'Victoire cajun (9-1)', 'id': 1198857657479766017, 'id_str': '1198857657479766017', 'indices': [0, 14]}, {'screen_name': 'TimBrando', 'name': 'Tim Brando', 'id': 59342982, 'id_str': '59342982', 'indices': [15, 25]}], 'urls': []}",,en
1339013225443102723,2020-12-16 01:03:25,@jllanclos Then they went on to play nobody. G5 teams don't have a schedule even close to power teams.,"b""@jllanclos Then they went on to play nobody. G5 teams don't have a schedule even close to power teams.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jllanclos', 'name': '#cULture', 'id': 7830622, 'id_str': '7830622', 'indices': [0, 10]}], 'urls': []}",,en
1339012692061851649,2020-12-16 01:01:18,@MartiniShark I mean you could see this coming from a million miles away,b'@MartiniShark I mean you could see this coming from a million miles away',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MartiniShark', 'name': 'Brad Slager Mail-splaining and Voter Resignation', 'id': 14592739, 'id_str': '14592739', 'indices': [0, 13]}], 'urls': []}",,en
