id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339034940718141440,2020-12-16 02:29:42,@DrippityDropp @Officialj0nn @BR_NBA he’s right tho,b'@DrippityDropp @Officialj0nn @BR_NBA he\xe2\x80\x99s right tho',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrippityDropp', 'name': 'Here to Ratio that Tampa Fan', 'id': 1338922745220960257, 'id_str': '1338922745220960257', 'indices': [0, 14]}, {'screen_name': 'Officialj0nn', 'name': 'Official🧙\u200d♂️(0-0) And (8-5)', 'id': 1159673387788263427, 'id_str': '1159673387788263427', 'indices': [15, 28]}, {'screen_name': 'BR_NBA', 'name': 'Bleacher Report NBA', 'id': 36724576, 'id_str': '36724576', 'indices': [29, 36]}], 'urls': []}",,en
1339034917091635200,2020-12-16 02:29:36,@hot_nword_4ever @Officialj0nn @BR_NBA you’re an idiot,b'@hot_nword_4ever @Officialj0nn @BR_NBA you\xe2\x80\x99re an idiot',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hot_nword_4ever', 'name': 'Booby Shmurda', 'id': 1258933553527697410, 'id_str': '1258933553527697410', 'indices': [0, 16]}, {'screen_name': 'Officialj0nn', 'name': 'Official🧙\u200d♂️(0-0) And (8-5)', 'id': 1159673387788263427, 'id_str': '1159673387788263427', 'indices': [17, 30]}, {'screen_name': 'BR_NBA', 'name': 'Bleacher Report NBA', 'id': 36724576, 'id_str': '36724576', 'indices': [31, 38]}], 'urls': []}",,en
1339034872434790400,2020-12-16 02:29:26,@andmyaxe69 @Officialj0nn @BR_NBA he’s right,b'@andmyaxe69 @Officialj0nn @BR_NBA he\xe2\x80\x99s right',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'andmyaxe69', 'name': 'Hilda', 'id': 1162865342219243520, 'id_str': '1162865342219243520', 'indices': [0, 11]}, {'screen_name': 'Officialj0nn', 'name': 'Official🧙\u200d♂️(0-0) And (8-5)', 'id': 1159673387788263427, 'id_str': '1159673387788263427', 'indices': [12, 25]}, {'screen_name': 'BR_NBA', 'name': 'Bleacher Report NBA', 'id': 36724576, 'id_str': '36724576', 'indices': [26, 33]}], 'urls': []}",,en
1339034818345136130,2020-12-16 02:29:13,@BR_NBA bc mfs are delusional,b'@BR_NBA bc mfs are delusional',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BR_NBA', 'name': 'Bleacher Report NBA', 'id': 36724576, 'id_str': '36724576', 'indices': [0, 7]}], 'urls': []}",,en
1339034761365512195,2020-12-16 02:28:59,@BR_NBA jokic is better than this guy,b'@BR_NBA jokic is better than this guy',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BR_NBA', 'name': 'Bleacher Report NBA', 'id': 36724576, 'id_str': '36724576', 'indices': [0, 7]}], 'urls': []}",,en
1339034652175163393,2020-12-16 02:28:33,@LimitZGOD @natdogbillions @WhatSeperatesU @BR_NBA @BleacherReport lol?,b'@LimitZGOD @natdogbillions @WhatSeperatesU @BR_NBA @BleacherReport lol?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LimitZGOD', 'name': 'Ian Shalk', 'id': 2877909530, 'id_str': '2877909530', 'indices': [0, 10]}, {'screen_name': 'natdogbillions', 'name': 'Grogu', 'id': 828652623955795968, 'id_str': '828652623955795968', 'indices': [11, 26]}, {'screen_name': 'WhatSeperatesU', 'name': 'NBA Expert.', 'id': 1089954559479271425, 'id_str': '1089954559479271425', 'indices': [27, 42]}, {'screen_name': 'BR_NBA', 'name': 'Bleacher Report NBA', 'id': 36724576, 'id_str': '36724576', 'indices': [43, 50]}, {'screen_name': 'BleacherReport', 'name': 'Bleacher Report', 'id': 890891, 'id_str': '890891', 'indices': [51, 66]}], 'urls': []}",,und
1339033080363950080,2020-12-16 02:22:19,@NBABlackburn eh,b'@NBABlackburn eh',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NBABlackburn', 'name': 'Ryan Blackburn', 'id': 775134529, 'id_str': '775134529', 'indices': [0, 13]}], 'urls': []}",,und
1339032893281214464,2020-12-16 02:21:34,@official27kai @11111111aaabdbv @bigstrangfutbol @nuggets @facucampazzo flatiron red has been a nuggets color since the team was founded and pretty ironic statement about success coming from a jazz fan,b'@official27kai @11111111aaabdbv @bigstrangfutbol @nuggets @facucampazzo flatiron red has been a nuggets color since the team was founded and pretty ironic statement about success coming from a jazz fan',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'official27kai', 'name': 'Kai Cruz', 'id': 1221923597326811137, 'id_str': '1221923597326811137', 'indices': [0, 14]}, {'screen_name': '11111111aaabdbv', 'name': 'Amr11Salah', 'id': 1138244285864693760, 'id_str': '1138244285864693760', 'indices': [15, 31]}, {'screen_name': 'bigstrangfutbol', 'name': 'bigstrangefutbol', 'id': 236218857, 'id_str': '236218857', 'indices': [32, 48]}, {'screen_name': 'nuggets', 'name': 'Denver Nuggets', 'id': 26074296, 'id_str': '26074296', 'indices': [49, 57]}, {'screen_name': 'facucampazzo', 'name': 'Facu Campazzo', 'id': 351118737, 'id_str': '351118737', 'indices': [58, 71]}], 'urls': []}",,en
1339032766537674752,2020-12-16 02:21:04,@jubby_32 @11111111aaabdbv @bigstrangfutbol @nuggets @facucampazzo then what did we steal? the color that’s been a nuggets color since the team was formed?,b'@jubby_32 @11111111aaabdbv @bigstrangfutbol @nuggets @facucampazzo then what did we steal? the color that\xe2\x80\x99s been a nuggets color since the team was formed?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jubby_32', 'name': 'Jacob Hamilton', 'id': 1151949445917028352, 'id_str': '1151949445917028352', 'indices': [0, 9]}, {'screen_name': '11111111aaabdbv', 'name': 'Amr11Salah', 'id': 1138244285864693760, 'id_str': '1138244285864693760', 'indices': [10, 26]}, {'screen_name': 'bigstrangfutbol', 'name': 'bigstrangefutbol', 'id': 236218857, 'id_str': '236218857', 'indices': [27, 43]}, {'screen_name': 'nuggets', 'name': 'Denver Nuggets', 'id': 26074296, 'id_str': '26074296', 'indices': [44, 52]}, {'screen_name': 'facucampazzo', 'name': 'Facu Campazzo', 'id': 351118737, 'id_str': '351118737', 'indices': [53, 66]}], 'urls': []}",,en
1339017656557576197,2020-12-16 01:21:01,@PFF bryce is the most underrated in the league,b'@PFF bryce is the most underrated in the league',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PFF', 'name': 'PFF', 'id': 87954771, 'id_str': '87954771', 'indices': [0, 4]}], 'urls': []}",,en
