id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017664241528841,2020-12-16 01:21:03,"Join us for PolyTalk: The Language of Consent (Creating Safety and Fulfillment). Postponed from last week, this session will take place tomorrow, 12/16, at 6pm PST on Zoom. Sign up here: https://t.co/diBGaUgpXh #polyamory https://t.co/bTBJUPZ6t3","b'Join us for PolyTalk: The Language of Consent (Creating Safety and Fulfillment). Postponed from last week, this session will take place tomorrow, 12/16, at 6pm PST on Zoom. Sign up here: https://t.co/diBGaUgpXh #polyamory https://t.co/bTBJUPZ6t3'","{'hashtags': [{'text': 'polyamory', 'indices': [211, 221]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/diBGaUgpXh', 'expanded_url': 'https://buff.ly/2EQEMTz', 'display_url': 'buff.ly/2EQEMTz', 'indices': [187, 210]}], 'media': [{'id': 1339017661129383940, 'id_str': '1339017661129383940', 'indices': [222, 245], 'media_url': 'http://pbs.twimg.com/media/EpUld-eXYAQFXi6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUld-eXYAQFXi6.jpg', 'url': 'https://t.co/bTBJUPZ6t3', 'display_url': 'pic.twitter.com/bTBJUPZ6t3', 'expanded_url': 'https://twitter.com/KindraConnect/status/1339017664241528841/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",,en
1338971604294856704,2020-12-15 22:18:02,"What is something you've always wanted to learn, and why? https://t.co/ZuZOKLwudw","b""What is something you've always wanted to learn, and why? https://t.co/ZuZOKLwudw""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338971601900072962, 'id_str': '1338971601900072962', 'indices': [58, 81], 'media_url': 'http://pbs.twimg.com/media/EpT7k-eW8AI5ovV.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpT7k-eW8AI5ovV.jpg', 'url': 'https://t.co/ZuZOKLwudw', 'display_url': 'pic.twitter.com/ZuZOKLwudw', 'expanded_url': 'https://twitter.com/KindraConnect/status/1338971604294856704/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",,en
1338655272471064578,2020-12-15 01:21:02,Are you cuffed up for the winter? https://t.co/FflkRNzuhw,b'Are you cuffed up for the winter? https://t.co/FflkRNzuhw',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338655270868836352, 'id_str': '1338655270868836352', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/EpPb4FjXYAApXwU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPb4FjXYAApXwU.jpg', 'url': 'https://t.co/FflkRNzuhw', 'display_url': 'pic.twitter.com/FflkRNzuhw', 'expanded_url': 'https://twitter.com/KindraConnect/status/1338655272471064578/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}}}]}",,en
1338525162770210816,2020-12-14 16:44:02,How do you decide whether to breakup or makeup? https://t.co/Zlm26UtXVM,b'How do you decide whether to breakup or makeup? https://t.co/Zlm26UtXVM',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338525161226694659, 'id_str': '1338525161226694659', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/EpNlitXW8AMR_1Z.png', 'media_url_https': 'https://pbs.twimg.com/media/EpNlitXW8AMR_1Z.png', 'url': 'https://t.co/Zlm26UtXVM', 'display_url': 'pic.twitter.com/Zlm26UtXVM', 'expanded_url': 'https://twitter.com/KindraConnect/status/1338525162770210816/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",,en
1338162783347675139,2020-12-13 16:44:04,"For this upcoming Creative Manifestation Monday, Julia Berryman will be leading us in an eye-opening workshop - Loves, &amp; Learning: What's Your 2020 Story? Join us for Virtual Campfire Storytelling Time. 12/14 at 6pm PST on Zoom. Sign up: https://t.co/DyVgPWw4PV https://t.co/LyuhrzzBpd","b""For this upcoming Creative Manifestation Monday, Julia Berryman will be leading us in an eye-opening workshop - Loves, &amp; Learning: What's Your 2020 Story? Join us for Virtual Campfire Storytelling Time. 12/14 at 6pm PST on Zoom. Sign up: https://t.co/DyVgPWw4PV https://t.co/LyuhrzzBpd""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DyVgPWw4PV', 'expanded_url': 'https://buff.ly/2FLt39v', 'display_url': 'buff.ly/2FLt39v', 'indices': [242, 265]}], 'media': [{'id': 1338162780508213254, 'id_str': '1338162780508213254', 'indices': [266, 289], 'media_url': 'http://pbs.twimg.com/media/EpIb9X_XUAYK7bn.png', 'media_url_https': 'https://pbs.twimg.com/media/EpIb9X_XUAYK7bn.png', 'url': 'https://t.co/LyuhrzzBpd', 'display_url': 'pic.twitter.com/LyuhrzzBpd', 'expanded_url': 'https://twitter.com/KindraConnect/status/1338162783347675139/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 590, 'h': 596, 'resize': 'fit'}, 'large': {'w': 590, 'h': 596, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 590, 'h': 596, 'resize': 'fit'}}}]}",,en
1337884440874323970,2020-12-12 22:18:02,"""There are no strangers here. Only friends you haven't met yet."" - William Butler Yeats https://t.co/eV9GbwUmmk","b'""There are no strangers here. Only friends you haven\'t met yet."" - William Butler Yeats https://t.co/eV9GbwUmmk'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337884438747811849, 'id_str': '1337884438747811849', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/EpEezwIWEAkLPr5.png', 'media_url_https': 'https://pbs.twimg.com/media/EpEezwIWEAkLPr5.png', 'url': 'https://t.co/eV9GbwUmmk', 'display_url': 'pic.twitter.com/eV9GbwUmmk', 'expanded_url': 'https://twitter.com/KindraConnect/status/1337884440874323970/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",,en
1337438002155544577,2020-12-11 16:44:02,"Join Kindra in co-creating a #community that values authenticity, connection, kindness, creativity, and personal growth; where people can meet others who share these values for dating, friendship, collaboration, or whatever #relationship meets their needs. https://t.co/iQQWYaPf63","b'Join Kindra in co-creating a #community that values authenticity, connection, kindness, creativity, and personal growth; where people can meet others who share these values for dating, friendship, collaboration, or whatever #relationship meets their needs. https://t.co/iQQWYaPf63'","{'hashtags': [{'text': 'community', 'indices': [29, 39]}, {'text': 'relationship', 'indices': [224, 237]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337438000326844418, 'id_str': '1337438000326844418', 'indices': [257, 280], 'media_url': 'http://pbs.twimg.com/media/Eo-IxnaXIAI-Ftu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo-IxnaXIAI-Ftu.jpg', 'url': 'https://t.co/iQQWYaPf63', 'display_url': 'pic.twitter.com/iQQWYaPf63', 'expanded_url': 'https://twitter.com/KindraConnect/status/1337438002155544577/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1151, 'resize': 'fit'}}}]}",,en
1337205720547201025,2020-12-11 01:21:02,We miss seeing everyone's smiles. https://t.co/5igf7dE5ht,"b""We miss seeing everyone's smiles. https://t.co/5igf7dE5ht""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337205719003770882, 'id_str': '1337205719003770882', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/Eo61hEDXMAIf2YC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo61hEDXMAIf2YC.jpg', 'url': 'https://t.co/5igf7dE5ht', 'display_url': 'pic.twitter.com/5igf7dE5ht', 'expanded_url': 'https://twitter.com/KindraConnect/status/1337205720547201025/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1151, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}}}]}",,en
1337159665885597699,2020-12-10 22:18:02,“Three things in human life are important: the first is to be kind; the second is to be  kind; and the third is to be kind.” — Henry James #quotes https://t.co/KC8rLWE4Lw,b'\xe2\x80\x9cThree things in human life are important: the first is to be kind; the second is to be  kind; and the third is to be kind.\xe2\x80\x9d \xe2\x80\x94 Henry James #quotes https://t.co/KC8rLWE4Lw',"{'hashtags': [{'text': 'quotes', 'indices': [139, 146]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337159664178507783, 'id_str': '1337159664178507783', 'indices': [147, 170], 'media_url': 'http://pbs.twimg.com/media/Eo6LoUdXMAcasOZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo6LoUdXMAcasOZ.jpg', 'url': 'https://t.co/KC8rLWE4Lw', 'display_url': 'pic.twitter.com/KC8rLWE4Lw', 'expanded_url': 'https://twitter.com/KindraConnect/status/1337159665885597699/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",,en
1336876801558196224,2020-12-10 03:34:02,"Tomorrow, Dec. 10, is our #SoCal virtual #dating event: Conscious Connecting for Dating &amp; Friendship! This event is organized for those who live in Southern California. Sign up now, we can't wait to connect with you! https://t.co/NlMwzZPvy8 https://t.co/CKPPHfV39d","b""Tomorrow, Dec. 10, is our #SoCal virtual #dating event: Conscious Connecting for Dating &amp; Friendship! This event is organized for those who live in Southern California. Sign up now, we can't wait to connect with you! https://t.co/NlMwzZPvy8 https://t.co/CKPPHfV39d""","{'hashtags': [{'text': 'SoCal', 'indices': [26, 32]}, {'text': 'dating', 'indices': [41, 48]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NlMwzZPvy8', 'expanded_url': 'https://buff.ly/2HyOLya', 'display_url': 'buff.ly/2HyOLya', 'indices': [221, 244]}], 'media': [{'id': 1336876800081850368, 'id_str': '1336876800081850368', 'indices': [245, 268], 'media_url': 'http://pbs.twimg.com/media/Eo2KXdlW8AAv5GD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo2KXdlW8AAv5GD.jpg', 'url': 'https://t.co/CKPPHfV39d', 'display_url': 'pic.twitter.com/CKPPHfV39d', 'expanded_url': 'https://twitter.com/KindraConnect/status/1336876801558196224/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1590, 'h': 894, 'resize': 'fit'}}}]}",,en
1336843332899778562,2020-12-10 01:21:02,What are your favorite conversation starters when you meet someone new? https://t.co/CEA7BlCaNy,b'What are your favorite conversation starters when you meet someone new? https://t.co/CEA7BlCaNy',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1336843330806812672, 'id_str': '1336843330806812672', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/media/Eo1r7S0XEAAe7bV.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo1r7S0XEAAe7bV.jpg', 'url': 'https://t.co/CEA7BlCaNy', 'display_url': 'pic.twitter.com/CEA7BlCaNy', 'expanded_url': 'https://twitter.com/KindraConnect/status/1336843332899778562/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1151, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}}}]}",,en
1336797272877756416,2020-12-09 22:18:01,"Thank you to everyone who participated in the Kindra Townhall! Your feedback is so valuable to us. We're grateful you took the time to engage with us and your commitment to helping us co-create a community that values #authenticity, kindness, #creativity, and personal growth.","b""Thank you to everyone who participated in the Kindra Townhall! Your feedback is so valuable to us. We're grateful you took the time to engage with us and your commitment to helping us co-create a community that values #authenticity, kindness, #creativity, and personal growth.""","{'hashtags': [{'text': 'authenticity', 'indices': [218, 231]}, {'text': 'creativity', 'indices': [243, 254]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336713223245094921,2020-12-09 16:44:02,How do you decide whether to breakup or makeup? https://t.co/DrKYtwEmqJ https://t.co/E2e5wAVuAP,b'How do you decide whether to breakup or makeup? https://t.co/DrKYtwEmqJ https://t.co/E2e5wAVuAP',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DrKYtwEmqJ', 'expanded_url': 'https://buff.ly/37J29sV', 'display_url': 'buff.ly/37J29sV', 'indices': [48, 71]}], 'media': [{'id': 1336713221668016128, 'id_str': '1336713221668016128', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/media/Eoz1l8gXEAAHBcr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eoz1l8gXEAAHBcr.jpg', 'url': 'https://t.co/E2e5wAVuAP', 'display_url': 'pic.twitter.com/E2e5wAVuAP', 'expanded_url': 'https://twitter.com/KindraConnect/status/1336713223245094921/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 619, 'resize': 'fit'}, 'medium': {'w': 788, 'h': 717, 'resize': 'fit'}, 'large': {'w': 788, 'h': 717, 'resize': 'fit'}}}]}",,en
1336514424291647488,2020-12-09 03:34:04,"This week, as we continue to explore personal boundaries, we will dive into a discussion of consent. Join us for #Poly Talk: The Language of #Consent (Creating Safety and Fulfillment). 12/9, at 6pm PST on Zoom. Sign up here: https://t.co/diBGaUgpXh https://t.co/3xmkMye1Va","b'This week, as we continue to explore personal boundaries, we will dive into a discussion of consent. Join us for #Poly Talk: The Language of #Consent (Creating Safety and Fulfillment). 12/9, at 6pm PST on Zoom. Sign up here: https://t.co/diBGaUgpXh https://t.co/3xmkMye1Va'","{'hashtags': [{'text': 'Poly', 'indices': [113, 118]}, {'text': 'Consent', 'indices': [141, 149]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/diBGaUgpXh', 'expanded_url': 'https://buff.ly/2EQEMTz', 'display_url': 'buff.ly/2EQEMTz', 'indices': [225, 248]}], 'media': [{'id': 1336514421028478976, 'id_str': '1336514421028478976', 'indices': [249, 272], 'media_url': 'http://pbs.twimg.com/media/EoxAyOaW4AAwsBW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoxAyOaW4AAwsBW.jpg', 'url': 'https://t.co/3xmkMye1Va', 'display_url': 'pic.twitter.com/3xmkMye1Va', 'expanded_url': 'https://twitter.com/KindraConnect/status/1336514424291647488/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",,en
1336480946833551360,2020-12-09 01:21:02,What did you do in 2020 that you never would have predicted last year? https://t.co/78WFMjWzLb https://t.co/jtB4sLzGAY,b'What did you do in 2020 that you never would have predicted last year? https://t.co/78WFMjWzLb https://t.co/jtB4sLzGAY',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/78WFMjWzLb', 'expanded_url': 'https://buff.ly/39SebTj', 'display_url': 'buff.ly/39SebTj', 'indices': [71, 94]}], 'media': [{'id': 1336480945000624128, 'id_str': '1336480945000624128', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/EowiVqfXMAAUmUX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EowiVqfXMAAUmUX.jpg', 'url': 'https://t.co/jtB4sLzGAY', 'display_url': 'pic.twitter.com/jtB4sLzGAY', 'expanded_url': 'https://twitter.com/KindraConnect/status/1336480946833551360/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",,en
1336434890703822849,2020-12-08 22:18:02,Have you gotten your ticket yet for Conscious Connecting for #Dating &amp; Friendship💕? This Thursday 12/10 is the next #SoCal edition. Register now for just $10! Ticket prices rise to $15 day of. https://t.co/NlMwzZPvy8 https://t.co/GmAn1Qbe0t,b'Have you gotten your ticket yet for Conscious Connecting for #Dating &amp; Friendship\xf0\x9f\x92\x95? This Thursday 12/10 is the next #SoCal edition. Register now for just $10! Ticket prices rise to $15 day of. https://t.co/NlMwzZPvy8 https://t.co/GmAn1Qbe0t',"{'hashtags': [{'text': 'Dating', 'indices': [61, 68]}, {'text': 'SoCal', 'indices': [120, 126]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NlMwzZPvy8', 'expanded_url': 'https://buff.ly/2HyOLya', 'display_url': 'buff.ly/2HyOLya', 'indices': [197, 220]}], 'media': [{'id': 1336434889097433091, 'id_str': '1336434889097433091', 'indices': [221, 244], 'media_url': 'http://pbs.twimg.com/media/Eov4c24XUAMaVG9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eov4c24XUAMaVG9.jpg', 'url': 'https://t.co/GmAn1Qbe0t', 'display_url': 'pic.twitter.com/GmAn1Qbe0t', 'expanded_url': 'https://twitter.com/KindraConnect/status/1336434890703822849/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}}}]}",,en
1336118554534547456,2020-12-08 01:21:01,Nonviolent communication (NVC) is a practice to hear our own deeper needs and those of others. Through deep listening NVC helps us discover the depth of our own #compassion. 12/8 at 6pm on Zoom we'll be playing GROK- an #NVC based game. Register: https://t.co/HdFglsjkVL https://t.co/lCBGD5aOjQ,"b""Nonviolent communication (NVC) is a practice to hear our own deeper needs and those of others. Through deep listening NVC helps us discover the depth of our own #compassion. 12/8 at 6pm on Zoom we'll be playing GROK- an #NVC based game. Register: https://t.co/HdFglsjkVL https://t.co/lCBGD5aOjQ""","{'hashtags': [{'text': 'compassion', 'indices': [161, 172]}, {'text': 'NVC', 'indices': [220, 224]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HdFglsjkVL', 'expanded_url': 'https://buff.ly/38OVMGo', 'display_url': 'buff.ly/38OVMGo', 'indices': [247, 270]}], 'media': [{'id': 1336118552852656129, 'id_str': '1336118552852656129', 'indices': [271, 294], 'media_url': 'http://pbs.twimg.com/media/EorYvqiXcAE9ULP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EorYvqiXcAE9ULP.jpg', 'url': 'https://t.co/lCBGD5aOjQ', 'display_url': 'pic.twitter.com/lCBGD5aOjQ', 'expanded_url': 'https://twitter.com/KindraConnect/status/1336118554534547456/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",,en
1336072505652555777,2020-12-07 22:18:03,Were you ever set up on a date by friends? Do you miss that option? Research via @PNASNews https://t.co/cbNnnkx3Xa https://t.co/FOIimvZjuB,b'Were you ever set up on a date by friends? Do you miss that option? Research via @PNASNews https://t.co/cbNnnkx3Xa https://t.co/FOIimvZjuB',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PNASNews', 'name': 'PNASNews', 'id': 258847118, 'id_str': '258847118', 'indices': [81, 90]}], 'urls': [{'url': 'https://t.co/cbNnnkx3Xa', 'expanded_url': 'https://buff.ly/39OAzND', 'display_url': 'buff.ly/39OAzND', 'indices': [91, 114]}], 'media': [{'id': 1336072504226484225, 'id_str': '1336072504226484225', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/Eoqu3SCWEAEOeFQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eoqu3SCWEAEOeFQ.jpg', 'url': 'https://t.co/FOIimvZjuB', 'display_url': 'pic.twitter.com/FOIimvZjuB', 'expanded_url': 'https://twitter.com/KindraConnect/status/1336072505652555777/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 721, 'resize': 'fit'}}}]}",,en
1336034773907738625,2020-12-07 19:48:07,"Oh, how we miss cuddle puddles.🤗 https://t.co/998jAsrIer","b'Oh, how we miss cuddle puddles.\xf0\x9f\xa4\x97 https://t.co/998jAsrIer'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1336034771596668929, 'id_str': '1336034771596668929', 'indices': [33, 56], 'media_url': 'http://pbs.twimg.com/media/EoqMi9CW8AEoVRB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoqMi9CW8AEoVRB.jpg', 'url': 'https://t.co/998jAsrIer', 'display_url': 'pic.twitter.com/998jAsrIer', 'expanded_url': 'https://twitter.com/KindraConnect/status/1336034773907738625/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",,en
