id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339042389147623428,2020-12-16 02:59:18,@knightingaleaf @RealLathan ❤️,b'@knightingaleaf @RealLathan \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'knightingaleaf', 'name': 'Ånna F.', 'id': 966696253902880768, 'id_str': '966696253902880768', 'indices': [0, 15]}, {'screen_name': 'RealLathan', 'name': 'Lathan🇺🇸', 'id': 1321233154456326145, 'id_str': '1321233154456326145', 'indices': [16, 27]}], 'urls': []}",,und
1339031482933776384,2020-12-16 02:15:58,@ScottFishman This is Epic! 🤣🤣🤣💯,b'@ScottFishman This is Epic! \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x92\xaf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ScottFishman', 'name': 'Scott Fishman', 'id': 33417701, 'id_str': '33417701', 'indices': [0, 13]}], 'urls': []}",,en
1339031032654282755,2020-12-16 02:14:10,@DoniTheDon_ 🤣🤣🤣I ♥️ U 2 🤗 https://t.co/6MHaFW8tlz,b'@DoniTheDon_ \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3I \xe2\x99\xa5\xef\xb8\x8f U 2 \xf0\x9f\xa4\x97 https://t.co/6MHaFW8tlz',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DoniTheDon_', 'name': '𝐃𝐨𝐧𝐢 ""𝐓𝐡𝐞 𝐃𝐨𝐧""™', 'id': 1204930164389556224, 'id_str': '1204930164389556224', 'indices': [0, 12]}], 'urls': [], 'media': [{'id': 1339031026975174658, 'id_str': '1339031026975174658', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUxn-IU8AIyZaH.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUxn-IU8AIyZaH.jpg', 'url': 'https://t.co/6MHaFW8tlz', 'display_url': 'pic.twitter.com/6MHaFW8tlz', 'expanded_url': 'https://twitter.com/TB_IMPACT/status/1339031032654282755/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 250, 'h': 226, 'resize': 'fit'}, 'large': {'w': 250, 'h': 226, 'resize': 'fit'}, 'small': {'w': 250, 'h': 226, 'resize': 'fit'}}}]}",,und
1339021435440779264,2020-12-16 01:36:02,@TheOfficerTatum @ChristianWalk1r 🤣🤣🤣 Well Said Tatum 💯,b'@TheOfficerTatum @ChristianWalk1r \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 Well Said Tatum \xf0\x9f\x92\xaf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheOfficerTatum', 'name': 'Brandon Tatum', 'id': 2480268229, 'id_str': '2480268229', 'indices': [0, 16]}, {'screen_name': 'ChristianWalk1r', 'name': 'Christian Walker', 'id': 2411942305, 'id_str': '2411942305', 'indices': [17, 33]}], 'urls': []}",,en
1339019164304855040,2020-12-16 01:27:01,@ZubyMusic Your mom should be proud!! Inspiring bro. 💯✊🏿🇺🇲,b'@ZubyMusic Your mom should be proud!! Inspiring bro. \xf0\x9f\x92\xaf\xe2\x9c\x8a\xf0\x9f\x8f\xbf\xf0\x9f\x87\xba\xf0\x9f\x87\xb2',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ZubyMusic', 'name': 'ZUBY:', 'id': 57441414, 'id_str': '57441414', 'indices': [0, 10]}], 'urls': []}",,en
1339018593778819078,2020-12-16 01:24:45,@WofaYaw__ @DailyLoud @RealLathan 🤣🤣🤣🤣🤣,b'@WofaYaw__ @DailyLoud @RealLathan \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WofaYaw__', 'name': '🌈 EMMANUEL ⚡', 'id': 1250942615740178433, 'id_str': '1250942615740178433', 'indices': [0, 10]}, {'screen_name': 'DailyLoud', 'name': 'Daily Loud', 'id': 452540168, 'id_str': '452540168', 'indices': [11, 21]}, {'screen_name': 'RealLathan', 'name': 'Lathan🇺🇸', 'id': 1321233154456326145, 'id_str': '1321233154456326145', 'indices': [22, 33]}], 'urls': []}",,und
1339017668783874051,2020-12-16 01:21:04,"@RealLathan An emotional man couldn't be the head of his household nor lead the right way, however, a man shouldn't be emotionless.","b""@RealLathan An emotional man couldn't be the head of his household nor lead the right way, however, a man shouldn't be emotionless.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RealLathan', 'name': 'Lathan🇺🇸', 'id': 1321233154456326145, 'id_str': '1321233154456326145', 'indices': [0, 11]}], 'urls': []}",,en
1339017079647657984,2020-12-16 01:18:44,@RealLathan 💯,b'@RealLathan \xf0\x9f\x92\xaf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RealLathan', 'name': 'Lathan🇺🇸', 'id': 1321233154456326145, 'id_str': '1321233154456326145', 'indices': [0, 11]}], 'urls': []}",,und
1339017003554668545,2020-12-16 01:18:26,@easaolus 🤣🤣🤣🤣🤣🤣,b'@easaolus \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'easaolus', 'name': 'elizabeth✨', 'id': 307860880, 'id_str': '307860880', 'indices': [0, 9]}], 'urls': []}",,und
1339016656052396033,2020-12-16 01:17:03,"@CharriseLane Who cutting onions?! 😭 

Beautiful voice! ❤️",b'@CharriseLane Who cutting onions?! \xf0\x9f\x98\xad \n\nBeautiful voice! \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CharriseLane', 'name': 'Charrise Lane', 'id': 1032464083268841473, 'id_str': '1032464083268841473', 'indices': [0, 13]}], 'urls': []}",,en
