id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339051833386528769,2020-12-16 03:36:50,@rudiedudie heeeheeeheee,b'@rudiedudie heeeheeeheee',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rudiedudie', 'name': 'Ruthenator👻🐶😬', 'id': 279082373, 'id_str': '279082373', 'indices': [0, 11]}], 'urls': []}",,tl
1339048924829655041,2020-12-16 03:25:16,"#xpn2020 Raise your hands if you know all the words! 
Raise both hands if you can make them up!",b'#xpn2020 Raise your hands if you know all the words! \nRaise both hands if you can make them up!',"{'hashtags': [{'text': 'xpn2020', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339048805984051202,2020-12-16 03:24:48,"#xpn2020 Do you think there is a reason why so many of the songs on the list are ""story songs,"" basically?","b'#xpn2020 Do you think there is a reason why so many of the songs on the list are ""story songs,"" basically?'","{'hashtags': [{'text': 'xpn2020', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339043915811446791,2020-12-16 03:05:22,"#xpn2020  Hey, Sandy girl! https://t.co/4FMooDsK5H","b'#xpn2020  Hey, Sandy girl! https://t.co/4FMooDsK5H'","{'hashtags': [{'text': 'xpn2020', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339043910400811008, 'id_str': '1339043910400811008', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpU9V4oXIAAkRKF.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpU9V4oXIAAkRKF.jpg', 'url': 'https://t.co/4FMooDsK5H', 'display_url': 'pic.twitter.com/4FMooDsK5H', 'expanded_url': 'https://twitter.com/TheVeganAsana/status/1339043915811446791/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}}]}",,en
1339041941145735173,2020-12-16 02:57:31,@rossinphl https://t.co/rUdqSVZPb3,b'@rossinphl https://t.co/rUdqSVZPb3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rossinphl', 'name': 'Ross', 'id': 62613503, 'id_str': '62613503', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1339041935680483329, 'id_str': '1339041935680483329', 'indices': [11, 34], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpU7i8OWMAEXwVE.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpU7i8OWMAEXwVE.jpg', 'url': 'https://t.co/rUdqSVZPb3', 'display_url': 'pic.twitter.com/rUdqSVZPb3', 'expanded_url': 'https://twitter.com/TheVeganAsana/status/1339041941145735173/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 306, 'h': 284, 'resize': 'fit'}, 'large': {'w': 306, 'h': 284, 'resize': 'fit'}, 'small': {'w': 306, 'h': 284, 'resize': 'fit'}}}]}",,und
1339041677290463234,2020-12-16 02:56:28,@zephyrsky @johnvettese I was just typing that!,b'@zephyrsky @johnvettese I was just typing that!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zephyrsky', 'name': '♥♡Amanda♡♥', 'id': 7947452, 'id_str': '7947452', 'indices': [0, 10]}, {'screen_name': 'johnvettese', 'name': 'John Vettese', 'id': 169314580, 'id_str': '169314580', 'indices': [11, 23]}], 'urls': []}",,en
1339040539455393793,2020-12-16 02:51:57,@notanaries #ded,b'@notanaries #ded',"{'hashtags': [{'text': 'ded', 'indices': [12, 16]}], 'symbols': [], 'user_mentions': [{'screen_name': 'notanaries', 'name': 'Science Elvis', 'id': 983087797966848000, 'id_str': '983087797966848000', 'indices': [0, 11]}], 'urls': []}",,und
1339040159938076672,2020-12-16 02:50:26,"@kristenkurtis LOL! I went and checked on the unhappy dog, sat on the floor with her, tried to get her to take her pain meds, followed her around, talked to an adult kid, came back, and here we are...","b'@kristenkurtis LOL! I went and checked on the unhappy dog, sat on the floor with her, tried to get her to take her pain meds, followed her around, talked to an adult kid, came back, and here we are...'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kristenkurtis', 'name': 'Kristen Kurtis', 'id': 16153697, 'id_str': '16153697', 'indices': [0, 14]}], 'urls': []}",,en
1339034412038709248,2020-12-16 02:27:36,"#XPN2020 Because I am ""of an age,"" at one point early in their career, I heard Bono say that they weren't political and I remember wondering if  he ever listened to U2 ;)","b'#XPN2020 Because I am ""of an age,"" at one point early in their career, I heard Bono say that they weren\'t political and I remember wondering if  he ever listened to U2 ;)'","{'hashtags': [{'text': 'XPN2020', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339033602999414784,2020-12-16 02:24:23,"@kristenkurtis Ok, I might actually trade Bob for Prince (sorry, Bob)","b'@kristenkurtis Ok, I might actually trade Bob for Prince (sorry, Bob)'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kristenkurtis', 'name': 'Kristen Kurtis', 'id': 16153697, 'id_str': '16153697', 'indices': [0, 14]}], 'urls': []}",,en
