id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339038664165363715,2020-12-16 02:44:30,@Wce_ashley21 Thank you so much!!,b'@Wce_ashley21 Thank you so much!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Wce_ashley21', 'name': 'Ashley🌻🌵', 'id': 927189449976541185, 'id_str': '927189449976541185', 'indices': [0, 13]}], 'urls': []}",,en
1339027247047598081,2020-12-16 01:59:08,@trueecedes00 @mellll_07 Such a crybaby (; but our little peanut is so loved already! ❤️,b'@trueecedes00 @mellll_07 Such a crybaby (; but our little peanut is so loved already! \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'trueecedes00', 'name': 'Benz00', 'id': 105394029, 'id_str': '105394029', 'indices': [0, 13]}, {'screen_name': 'mellll_07', 'name': 'mel', 'id': 830982837939630081, 'id_str': '830982837939630081', 'indices': [14, 24]}], 'urls': []}",,en
1339026278297595904,2020-12-16 01:55:17,@kaitlynjulie15 Thank you so so much! ❤️,b'@kaitlynjulie15 Thank you so so much! \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kaitlynjulie15', 'name': 'Mrs.Contreras 💍', 'id': 3085225785, 'id_str': '3085225785', 'indices': [0, 15]}], 'urls': []}",,en
1339024036794408969,2020-12-16 01:46:22,"@_MandiiMae Thank you so much. And yes I know, so loved already! 💖","b'@_MandiiMae Thank you so much. And yes I know, so loved already! \xf0\x9f\x92\x96'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_MandiiMae', 'name': 'Mae 🦋', 'id': 165980152, 'id_str': '165980152', 'indices': [0, 11]}], 'urls': []}",,en
1339020422029905922,2020-12-16 01:32:01,@hiimalexx thank you so much girly! 💖,b'@hiimalexx thank you so much girly! \xf0\x9f\x92\x96',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hiimalexx', 'name': 'alex🍭', 'id': 2851425739, 'id_str': '2851425739', 'indices': [0, 10]}], 'urls': []}",,en
1339017761503260672,2020-12-16 01:21:26,@mellll_07 the best ones are worth waiting for ❤️,b'@mellll_07 the best ones are worth waiting for \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mellll_07', 'name': 'mel', 'id': 830982837939630081, 'id_str': '830982837939630081', 'indices': [0, 10]}], 'urls': []}",,en
1339017677600329728,2020-12-16 01:21:06,@desiraylujan23 Thank you so much! ❤️,b'@desiraylujan23 Thank you so much! \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'desiraylujan23', 'name': 'lujan', 'id': 3172087782, 'id_str': '3172087782', 'indices': [0, 15]}], 'urls': []}",,en
1339016090081521665,2020-12-16 01:14:48,"“After every storm, there is a rainbow”
_________________________________

To our baby K, we have waited for what seems like an eternity for you. Mommy and I are so excited to finally meet you. 

Thrilled to announce that we are expecting our rainbow baby 🌈
     August of 2021 https://t.co/HtZXUHirFQ","b'\xe2\x80\x9cAfter every storm, there is a rainbow\xe2\x80\x9d\n_________________________________\n\nTo our baby K, we have waited for what seems like an eternity for you. Mommy and I are so excited to finally meet you. \n\nThrilled to announce that we are expecting our rainbow baby \xf0\x9f\x8c\x88\n     August of 2021 https://t.co/HtZXUHirFQ'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339016085006381056, 'id_str': '1339016085006381056', 'indices': [278, 301], 'media_url': 'http://pbs.twimg.com/media/EpUkCO9W8AAJCVM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUkCO9W8AAJCVM.jpg', 'url': 'https://t.co/HtZXUHirFQ', 'display_url': 'pic.twitter.com/HtZXUHirFQ', 'expanded_url': 'https://twitter.com/The_h00per/status/1339016090081521665/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1364, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 799, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 453, 'h': 680, 'resize': 'fit'}}}]}",,en
1338547113194565632,2020-12-14 18:11:15,RT @rrxbbyy: the amount of love i have for this girl is crazy,b'RT @rrxbbyy: the amount of love i have for this girl is crazy',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rrxbbyy', 'name': 'ruby🦋✨', 'id': 3254768646, 'id_str': '3254768646', 'indices': [3, 11]}], 'urls': []}",,en
1338546948727566336,2020-12-14 18:10:36,RT @90sfeeIings: https://t.co/7uHTskjE2Q,b'RT @90sfeeIings: https://t.co/7uHTskjE2Q',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '90sfeeIings', 'name': '90s', 'id': 1271822084327563265, 'id_str': '1271822084327563265', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1338241999326076931, 'id_str': '1338241999326076931', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/media/EpJkAhFW4AMEOeU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpJkAhFW4AMEOeU.jpg', 'url': 'https://t.co/7uHTskjE2Q', 'display_url': 'pic.twitter.com/7uHTskjE2Q', 'expanded_url': 'https://twitter.com/90sfeeIings/status/1338242003482660869/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 480, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 480, 'resize': 'fit'}, 'small': {'w': 640, 'h': 480, 'resize': 'fit'}}, 'source_status_id': 1338242003482660869, 'source_status_id_str': '1338242003482660869', 'source_user_id': 1271822084327563265, 'source_user_id_str': '1271822084327563265'}]}",,und
1338546928137744386,2020-12-14 18:10:31,"RT @thatTXkid: I don’t fuck with a lot of people anymore, and I’m so content with that.","b'RT @thatTXkid: I don\xe2\x80\x99t fuck with a lot of people anymore, and I\xe2\x80\x99m so content with that.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thatTXkid', 'name': 'c 🥶', 'id': 2259370538, 'id_str': '2259370538', 'indices': [3, 13]}], 'urls': []}",,en
1338546602353410048,2020-12-14 18:09:13,"RT @cortneywest19: i’m so broken, i hate it here","b'RT @cortneywest19: i\xe2\x80\x99m so broken, i hate it here'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cortneywest19', 'name': 'cort 💞', 'id': 960525927246712834, 'id_str': '960525927246712834', 'indices': [3, 17]}], 'urls': []}",,en
1338529433578254338,2020-12-14 17:01:00,RT @BrownExellence: sharing my space with someone is big for me because I really love being to myself.,b'RT @BrownExellence: sharing my space with someone is big for me because I really love being to myself.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BrownExellence', 'name': 'Wifey.', 'id': 1014627972760862720, 'id_str': '1014627972760862720', 'indices': [3, 18]}], 'urls': []}",,en
1338528022765432832,2020-12-14 16:55:23,RT @sawxcy: 😗👍,b'RT @sawxcy: \xf0\x9f\x98\x97\xf0\x9f\x91\x8d',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sawxcy', 'name': 'saucy', 'id': 1034130079511527427, 'id_str': '1034130079511527427', 'indices': [3, 10]}], 'urls': []}",,und
1338263995602636804,2020-12-13 23:26:14,RT @lukaswonderland: feeling like a burden,b'RT @lukaswonderland: feeling like a burden',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lukaswonderland', 'name': 'l u k € \U0001f9a5', 'id': 1681344733, 'id_str': '1681344733', 'indices': [3, 19]}], 'urls': []}",,en
1336571637727113217,2020-12-09 07:21:25,RT @imnotthe1111: A person who feels like home... that’s a soulmate,b'RT @imnotthe1111: A person who feels like home... that\xe2\x80\x99s a soulmate',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'imnotthe1111', 'name': 'Aisha', 'id': 1158672863223828480, 'id_str': '1158672863223828480', 'indices': [3, 16]}], 'urls': []}",,en
