id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339084760425975808,2020-12-16 05:47:40,"相思长歌
https://t.co/DkKSNzsjhz
第11集 | 乱世战争中的爱情是否能度过重重难关走到一起
导演: 孔笙、李雪
主演: 黄晓明、刘昊然、佟丽娅、张慧雯
Huang Xiaoming  Zhang Huiwen Liu Haoran Tong Liya",b'\xe7\x9b\xb8\xe6\x80\x9d\xe9\x95\xbf\xe6\xad\x8c\nhttps://t.co/DkKSNzsjhz\n\xe7\xac\xac11\xe9\x9b\x86 | \xe4\xb9\xb1\xe4\xb8\x96\xe6\x88\x98\xe4\xba\x89\xe4\xb8\xad\xe7\x9a\x84\xe7\x88\xb1\xe6\x83\x85\xe6\x98\xaf\xe5\x90\xa6\xe8\x83\xbd\xe5\xba\xa6\xe8\xbf\x87\xe9\x87\x8d\xe9\x87\x8d\xe9\x9a\xbe\xe5\x85\xb3\xe8\xb5\xb0\xe5\x88\xb0\xe4\xb8\x80\xe8\xb5\xb7\n\xe5\xaf\xbc\xe6\xbc\x94: \xe5\xad\x94\xe7\xac\x99\xe3\x80\x81\xe6\x9d\x8e\xe9\x9b\xaa\n\xe4\xb8\xbb\xe6\xbc\x94: \xe9\xbb\x84\xe6\x99\x93\xe6\x98\x8e\xe3\x80\x81\xe5\x88\x98\xe6\x98\x8a\xe7\x84\xb6\xe3\x80\x81\xe4\xbd\x9f\xe4\xb8\xbd\xe5\xa8\x85\xe3\x80\x81\xe5\xbc\xa0\xe6\x85\xa7\xe9\x9b\xaf\nHuang Xiaoming  Zhang Huiwen Liu Haoran Tong Liya',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DkKSNzsjhz', 'expanded_url': 'https://youtu.be/DW6nUv-zXzU', 'display_url': 'youtu.be/DW6nUv-zXzU', 'indices': [5, 28]}]}",,zh
1339082786037059586,2020-12-16 05:39:49,"RT @Traveling_89: President-elect Biden picks Pete Buttigieg as transportation secretary -- to lead the US Transportation Department. 
http…",b'RT @Traveling_89: President-elect Biden picks Pete Buttigieg as transportation secretary -- to lead the US Transportation Department. \nhttp\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Traveling_89', 'name': 'Jung 📷89 Travel', 'id': 124010116, 'id_str': '124010116', 'indices': [3, 16]}], 'urls': []}",,en
1339082730114412544,2020-12-16 05:39:36,"RT @Traveling_89: 🚡🚠🚟🚃🚋🚞🚝🚄🚅🚈🚂🚆🚇🚊🚉✈️🛫 🛬 🛩💺🛰🚀🛸🚁🛶⛵️🚤🛥🛳⛴🚢⚓️⛽️🚧🚦🚥🚏 🗺🗿 🗽🗼🏰🏯🏟🎡🎢
Buttigieg: transportation secretary
https://t.co/7ZLE8c2f6t
🏪🏫🏩💒🏛…",b'RT @Traveling_89: \xf0\x9f\x9a\xa1\xf0\x9f\x9a\xa0\xf0\x9f\x9a\x9f\xf0\x9f\x9a\x83\xf0\x9f\x9a\x8b\xf0\x9f\x9a\x9e\xf0\x9f\x9a\x9d\xf0\x9f\x9a\x84\xf0\x9f\x9a\x85\xf0\x9f\x9a\x88\xf0\x9f\x9a\x82\xf0\x9f\x9a\x86\xf0\x9f\x9a\x87\xf0\x9f\x9a\x8a\xf0\x9f\x9a\x89\xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x9b\xab \xf0\x9f\x9b\xac \xf0\x9f\x9b\xa9\xf0\x9f\x92\xba\xf0\x9f\x9b\xb0\xf0\x9f\x9a\x80\xf0\x9f\x9b\xb8\xf0\x9f\x9a\x81\xf0\x9f\x9b\xb6\xe2\x9b\xb5\xef\xb8\x8f\xf0\x9f\x9a\xa4\xf0\x9f\x9b\xa5\xf0\x9f\x9b\xb3\xe2\x9b\xb4\xf0\x9f\x9a\xa2\xe2\x9a\x93\xef\xb8\x8f\xe2\x9b\xbd\xef\xb8\x8f\xf0\x9f\x9a\xa7\xf0\x9f\x9a\xa6\xf0\x9f\x9a\xa5\xf0\x9f\x9a\x8f \xf0\x9f\x97\xba\xf0\x9f\x97\xbf \xf0\x9f\x97\xbd\xf0\x9f\x97\xbc\xf0\x9f\x8f\xb0\xf0\x9f\x8f\xaf\xf0\x9f\x8f\x9f\xf0\x9f\x8e\xa1\xf0\x9f\x8e\xa2\nButtigieg: transportation secretary\nhttps://t.co/7ZLE8c2f6t\n\xf0\x9f\x8f\xaa\xf0\x9f\x8f\xab\xf0\x9f\x8f\xa9\xf0\x9f\x92\x92\xf0\x9f\x8f\x9b\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Traveling_89', 'name': 'Jung 📷89 Travel', 'id': 124010116, 'id_str': '124010116', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/7ZLE8c2f6t', 'expanded_url': 'https://www.cnn.com/2020/12/15/politics/pete-buttigieg-transportation-secretary/index.html', 'display_url': 'cnn.com/2020/12/15/pol…', 'indices': [109, 132]}]}",,en
1339081084789641216,2020-12-16 05:33:04,"RT @Traveling_89: @KatiePavlich Costco Warehouse Ceiling Height ≈100ft vs Restaurants mostly 30ft some is less.
&amp; time they spend normally…",b'RT @Traveling_89: @KatiePavlich Costco Warehouse Ceiling Height \xe2\x89\x88100ft vs Restaurants mostly 30ft some is less.\n&amp; time they spend normally\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Traveling_89', 'name': 'Jung 📷89 Travel', 'id': 124010116, 'id_str': '124010116', 'indices': [3, 16]}, {'screen_name': 'KatiePavlich', 'name': 'Katie Pavlich', 'id': 48459553, 'id_str': '48459553', 'indices': [18, 31]}], 'urls': []}",,en
1339059930859413504,2020-12-16 04:09:00,RT @julystar69: @sitaravirgo @Traveling_89 @shahista159 @S_Fahim_IQ @lalarukh6 @naz_shaina @MrNaassir @khuram_sahi @hostirfan @zuk60 @shahw…,b'RT @julystar69: @sitaravirgo @Traveling_89 @shahista159 @S_Fahim_IQ @lalarukh6 @naz_shaina @MrNaassir @khuram_sahi @hostirfan @zuk60 @shahw\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'julystar69', 'name': 'Julie_Queen 👰💕', 'id': 3222118724, 'id_str': '3222118724', 'indices': [3, 14]}, {'screen_name': 'sitaravirgo', 'name': 'SITARA GALAXY 💫✨🌟', 'id': 2197434396, 'id_str': '2197434396', 'indices': [16, 28]}, {'screen_name': 'Traveling_89', 'name': 'Jung 📷89 Travel', 'id': 124010116, 'id_str': '124010116', 'indices': [29, 42]}], 'urls': []}",,en
1339059890241748994,2020-12-16 04:08:51,RT @Traveling_89: @shahista159 @sitaravirgo @S_Fahim_IQ @lalarukh6 @julystar69 @naz_shaina @MrNaassir @khuram_sahi @hostirfan @zuk60 @shahw…,b'RT @Traveling_89: @shahista159 @sitaravirgo @S_Fahim_IQ @lalarukh6 @julystar69 @naz_shaina @MrNaassir @khuram_sahi @hostirfan @zuk60 @shahw\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Traveling_89', 'name': 'Jung 📷89 Travel', 'id': 124010116, 'id_str': '124010116', 'indices': [3, 16]}], 'urls': []}",,ja
1339059857232547840,2020-12-16 04:08:43,RT @lalarukh6: @khuram_sahi @shahista159 @sitaravirgo @Traveling_89 @S_Fahim_IQ @julystar69 @naz_shaina @MrNaassir @hostirfan @zuk60 @shahw…,b'RT @lalarukh6: @khuram_sahi @shahista159 @sitaravirgo @Traveling_89 @S_Fahim_IQ @julystar69 @naz_shaina @MrNaassir @hostirfan @zuk60 @shahw\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lalarukh6', 'name': 'Rukh-e-Lala', 'id': 408408045, 'id_str': '408408045', 'indices': [3, 13]}, {'screen_name': 'khuram_sahi', 'name': 'جاگیردار⚘🌷', 'id': 635924922, 'id_str': '635924922', 'indices': [15, 27]}], 'urls': []}",,und
1339059834809843712,2020-12-16 04:08:37,RT @khuram_sahi: @shahista159 @sitaravirgo @Traveling_89 @S_Fahim_IQ @lalarukh6 @julystar69 @naz_shaina @MrNaassir @hostirfan @zuk60 @shahw…,b'RT @khuram_sahi: @shahista159 @sitaravirgo @Traveling_89 @S_Fahim_IQ @lalarukh6 @julystar69 @naz_shaina @MrNaassir @hostirfan @zuk60 @shahw\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'khuram_sahi', 'name': 'جاگیردار⚘🌷', 'id': 635924922, 'id_str': '635924922', 'indices': [3, 15]}], 'urls': []}",,en
1339059812378714112,2020-12-16 04:08:32,RT @lalarukh6: @shahwartaj07 @shahista159 @sitaravirgo @Traveling_89 @S_Fahim_IQ @julystar69 @naz_shaina @MrNaassir @khuram_sahi @hostirfan…,b'RT @lalarukh6: @shahwartaj07 @shahista159 @sitaravirgo @Traveling_89 @S_Fahim_IQ @julystar69 @naz_shaina @MrNaassir @khuram_sahi @hostirfan\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lalarukh6', 'name': 'Rukh-e-Lala', 'id': 408408045, 'id_str': '408408045', 'indices': [3, 13]}, {'screen_name': 'shahwartaj07', 'name': 'SHAHWAR 🍃🌺🍃', 'id': 3229711927, 'id_str': '3229711927', 'indices': [15, 28]}], 'urls': []}",,und
1339059698289442816,2020-12-16 04:08:05,RT @shahista210: @sitaravirgo @Traveling_89 @S_Fahim_IQ @lalarukh6 @julystar69 @naz_shaina @MrNaassir @khuram_sahi @hostirfan @zuk60 @shahw…,b'RT @shahista210: @sitaravirgo @Traveling_89 @S_Fahim_IQ @lalarukh6 @julystar69 @naz_shaina @MrNaassir @khuram_sahi @hostirfan @zuk60 @shahw\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shahista210', 'name': 'SHAHISTA🚗❤️🚗', 'id': 3285788083, 'id_str': '3285788083', 'indices': [3, 15]}, {'screen_name': 'sitaravirgo', 'name': 'SITARA GALAXY 💫✨🌟', 'id': 2197434396, 'id_str': '2197434396', 'indices': [17, 29]}, {'screen_name': 'Traveling_89', 'name': 'Jung 📷89 Travel', 'id': 124010116, 'id_str': '124010116', 'indices': [30, 43]}, {'screen_name': 'S_Fahim_IQ', 'name': 'COWBOY🌺S.Fahim Naqvi', 'id': 618580281, 'id_str': '618580281', 'indices': [44, 55]}, {'screen_name': 'lalarukh6', 'name': 'Rukh-e-Lala', 'id': 408408045, 'id_str': '408408045', 'indices': [56, 66]}, {'screen_name': 'julystar69', 'name': 'Julie_Queen 👰💕', 'id': 3222118724, 'id_str': '3222118724', 'indices': [67, 78]}, {'screen_name': 'naz_shaina', 'name': 'Shaina naz💫🌸🌹🌸💫', 'id': 2950909779, 'id_str': '2950909779', 'indices': [79, 90]}, {'screen_name': 'MrNaassir', 'name': '🇵🇰Nasir💕Uddin🇺🇸', 'id': 48875310, 'id_str': '48875310', 'indices': [91, 101]}, {'screen_name': 'khuram_sahi', 'name': 'جاگیردار⚘🌷', 'id': 635924922, 'id_str': '635924922', 'indices': [102, 114]}, {'screen_name': 'hostirfan', 'name': 'irfan Ahmed', 'id': 2360502180, 'id_str': '2360502180', 'indices': [115, 125]}], 'urls': []}",,en
