id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339067596650520578,2020-12-16 04:39:28,@Daves_n0t_here @jonnysun Yeah! Just fun stuff and then you never see them again. Verbal graffiti,b'@Daves_n0t_here @jonnysun Yeah! Just fun stuff and then you never see them again. Verbal graffiti',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Daves_n0t_here', 'name': ""Dave's not here"", 'id': 288945243, 'id_str': '288945243', 'indices': [0, 15]}, {'screen_name': 'jonnysun', 'name': 'jonny sun wrote a new book!', 'id': 26259576, 'id_str': '26259576', 'indices': [16, 25]}], 'urls': []}",,en
1339065656407433217,2020-12-16 04:31:45,"@MichelleStenzel LOL, ah well, it's hard to different shots of the same places.","b""@MichelleStenzel LOL, ah well, it's hard to different shots of the same places.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MichelleStenzel', 'name': 'Michelle Stenzel', 'id': 45986895, 'id_str': '45986895', 'indices': [0, 16]}], 'urls': []}",,en
1339058600027762689,2020-12-16 04:03:43,"@JoshuaMellin @chicago @cta @Pres_Chicago @filming_chicago @ChooseChicago @enjoyillinois @ChicagoDCASE Make it a dining experience, outdoors! Ride the flat car and eat venison stew","b'@JoshuaMellin @chicago @cta @Pres_Chicago @filming_chicago @ChooseChicago @enjoyillinois @ChicagoDCASE Make it a dining experience, outdoors! Ride the flat car and eat venison stew'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoshuaMellin', 'name': 'Joshua Mellin', 'id': 196452939, 'id_str': '196452939', 'indices': [0, 13]}, {'screen_name': 'chicago', 'name': 'Chicago', 'id': 1222650745901633536, 'id_str': '1222650745901633536', 'indices': [14, 22]}, {'screen_name': 'cta', 'name': 'cta', 'id': 342782636, 'id_str': '342782636', 'indices': [23, 27]}, {'screen_name': 'Pres_Chicago', 'name': 'Preservation Chicago: Love Your City Fiercely!', 'id': 414127671, 'id_str': '414127671', 'indices': [28, 41]}, {'screen_name': 'filming_chicago', 'name': 'Filming in Chicago', 'id': 1514654911, 'id_str': '1514654911', 'indices': [42, 58]}, {'screen_name': 'ChooseChicago', 'name': 'Choose Chicago', 'id': 16225445, 'id_str': '16225445', 'indices': [59, 73]}, {'screen_name': 'enjoyillinois', 'name': 'enjoyillinois', 'id': 15997041, 'id_str': '15997041', 'indices': [74, 88]}, {'screen_name': 'ChicagoDCASE', 'name': 'Chicago DCASE', 'id': 275648907, 'id_str': '275648907', 'indices': [89, 102]}], 'urls': []}",,en
1339053352366313473,2020-12-16 03:42:52,"From 03 07 2013
#Chicago can you name this location? https://t.co/oPd7lZWdJc",b'From 03 07 2013\n#Chicago can you name this location? https://t.co/oPd7lZWdJc',"{'hashtags': [{'text': 'Chicago', 'indices': [16, 24]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339052885062119425, 'id_str': '1339052885062119425', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/media/EpVFgR2W8AEnhTM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpVFgR2W8AEnhTM.jpg', 'url': 'https://t.co/oPd7lZWdJc', 'display_url': 'pic.twitter.com/oPd7lZWdJc', 'expanded_url': 'https://twitter.com/WCTA_Chicago/status/1339053352366313473/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}}]}",,en
1339052435273289728,2020-12-16 03:39:13,@shazam_bangles The way the atm is just jammed in front of what use to be a display case it seems.,b'@shazam_bangles The way the atm is just jammed in front of what use to be a display case it seems.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shazam_bangles', 'name': 'TweeterFrancisGeraci', 'id': 15831372, 'id_str': '15831372', 'indices': [0, 15]}], 'urls': []}",,en
1339017670847569921,2020-12-16 01:21:05,"Work in progress, all pieces are bonfire and you can see things caught in the glass, pebbles, rust and chars. https://t.co/yLrD3ZFT8m","b'Work in progress, all pieces are bonfire and you can see things caught in the glass, pebbles, rust and chars. https://t.co/yLrD3ZFT8m'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339017210279374848, 'id_str': '1339017210279374848', 'indices': [110, 133], 'media_url': 'http://pbs.twimg.com/media/EpUlDu7WMAAaVje.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUlDu7WMAAaVje.jpg', 'url': 'https://t.co/yLrD3ZFT8m', 'display_url': 'pic.twitter.com/yLrD3ZFT8m', 'expanded_url': 'https://twitter.com/WCTA_Chicago/status/1339017670847569921/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}}]}",,en
1338969400830005253,2020-12-15 22:09:16,@travis_robert YES! I HATE HONKIES!,b'@travis_robert YES! I HATE HONKIES!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'travis_robert', 'name': 'Travis R. Eby', 'id': 48059505, 'id_str': '48059505', 'indices': [0, 14]}], 'urls': []}",,en
1338968977037537281,2020-12-15 22:07:35,"Some of my cgi
fourty zh 1 https://t.co/h6KdPe3Y89",b'Some of my cgi\nfourty zh 1 https://t.co/h6KdPe3Y89',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338968825275015173, 'id_str': '1338968825275015173', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/media/EpT5DWvW4AU93c5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpT5DWvW4AU93c5.jpg', 'url': 'https://t.co/h6KdPe3Y89', 'display_url': 'pic.twitter.com/h6KdPe3Y89', 'expanded_url': 'https://twitter.com/WCTA_Chicago/status/1338968977037537281/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1000, 'h': 1000, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1000, 'h': 1000, 'resize': 'fit'}}}]}",,en
1338967620071153665,2020-12-15 22:02:12,"@cynnabun73 Kel-Tec SUB 2000 ($409) has a 16.1-inch barrel. The rest of the rifle—including the receiver, action, trigger group, pistol grip (with internal mag well) and stock—measure only 14.5 inches long.","b'@cynnabun73 Kel-Tec SUB 2000 ($409) has a 16.1-inch barrel. The rest of the rifle\xe2\x80\x94including the receiver, action, trigger group, pistol grip (with internal mag well) and stock\xe2\x80\x94measure only 14.5 inches long.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cynnabun73', 'name': 'Cynnabun', 'id': 34064215, 'id_str': '34064215', 'indices': [0, 11]}], 'urls': []}",,en
1338964812664098817,2020-12-15 21:51:02,"@cynnabun73 ""collapsible rifle""
Dude thinks he a sniper or sumthin","b'@cynnabun73 ""collapsible rifle""\nDude thinks he a sniper or sumthin'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cynnabun73', 'name': 'Cynnabun', 'id': 34064215, 'id_str': '34064215', 'indices': [0, 11]}], 'urls': []}",,en
