id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339068164324220928,2020-12-16 04:41:43,@MysterySolvent There goes his Presidential donors!,b'@MysterySolvent There goes his Presidential donors!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MysterySolvent', 'name': 'Mystery Solvent', 'id': 1094713876132872192, 'id_str': '1094713876132872192', 'indices': [0, 15]}], 'urls': []}",,en
1339067990008991745,2020-12-16 04:41:02,@kurteichenwald @seanhannity Dr. Pot Stirrer.,b'@kurteichenwald @seanhannity Dr. Pot Stirrer.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kurteichenwald', 'name': 'Kurt ""Masks Save Lives"" Eichenwald', 'id': 215207998, 'id_str': '215207998', 'indices': [0, 15]}, {'screen_name': 'seanhannity', 'name': 'Sean Hannity', 'id': 41634520, 'id_str': '41634520', 'indices': [16, 28]}], 'urls': []}",,en
1339067280907333633,2020-12-16 04:38:13,@JackBear62 @CrazyInAZ1 Brother!!,b'@JackBear62 @CrazyInAZ1 Brother!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JackBear62', 'name': 'JackBear -Founder of Yo, Semites! 🌊✡', 'id': 1284681810044243970, 'id_str': '1284681810044243970', 'indices': [0, 11]}, {'screen_name': 'CrazyInAZ1', 'name': 'Just Ms.', 'id': 1299113487453446144, 'id_str': '1299113487453446144', 'indices': [12, 23]}], 'urls': []}",,en
1339045148458504194,2020-12-16 03:10:16,@Ordinary1World It's been an extremely long election.,"b""@Ordinary1World It's been an extremely long election.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ordinary1World', 'name': 'Amy', 'id': 260947492, 'id_str': '260947492', 'indices': [0, 15]}], 'urls': []}",,en
1339020620843995136,2020-12-16 01:32:48,@leonalioness6 @crzyfkinworld Red Red Wiiiine!,b'@leonalioness6 @crzyfkinworld Red Red Wiiiine!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'leonalioness6', 'name': 'Leona Lioness', 'id': 1162171744230215682, 'id_str': '1162171744230215682', 'indices': [0, 14]}, {'screen_name': 'crzyfkinworld', 'name': '🌸FEISTY🌸', 'id': 46269965, 'id_str': '46269965', 'indices': [15, 29]}], 'urls': []}",,en
1339020416795308033,2020-12-16 01:31:59,@Manny_Funes @realDonaldTrump @senatemajldr @JoeBiden F**ker still thinks he's king.,"b""@Manny_Funes @realDonaldTrump @senatemajldr @JoeBiden F**ker still thinks he's king.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Manny_Funes', 'name': 'Manny Funes', 'id': 3421301013, 'id_str': '3421301013', 'indices': [0, 12]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [13, 29]}, {'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [30, 43]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [44, 53]}], 'urls': []}",,en
1339017668255334402,2020-12-16 01:21:04,@h8Wankmaggot45 @NerdPyle Kneecaps...,b'@h8Wankmaggot45 @NerdPyle Kneecaps...',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'h8Wankmaggot45', 'name': 'Stacie', 'id': 1030074491466993664, 'id_str': '1030074491466993664', 'indices': [0, 15]}, {'screen_name': 'NerdPyle', 'name': 'Ned Pyle', 'id': 3227767206, 'id_str': '3227767206', 'indices': [16, 25]}], 'urls': []}",,en
1339017354685005824,2020-12-16 01:19:49,@acnewsitics Motel 6 as housekeeping.,b'@acnewsitics Motel 6 as housekeeping.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'acnewsitics', 'name': 'Alex Cole', 'id': 1080188052365029376, 'id_str': '1080188052365029376', 'indices': [0, 12]}], 'urls': []}",,en
1339017216298082304,2020-12-16 01:19:16,"@CandaceTX @thedailybeast And they say it's not a cult..
🤔","b""@CandaceTX @thedailybeast And they say it's not a cult..\n\xf0\x9f\xa4\x94""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CandaceTX', 'name': 'ᴮᴱCandaceTX⁷ #ByeDon2020😷', 'id': 21631041, 'id_str': '21631041', 'indices': [0, 10]}, {'screen_name': 'thedailybeast', 'name': 'The Daily Beast', 'id': 16012783, 'id_str': '16012783', 'indices': [11, 25]}], 'urls': []}",,en
1339016882737725440,2020-12-16 01:17:57,"@MikeB1MileHi No...but choking on the powdered sugar of a powdered sugar donut once or twice got my attention. 
🤣",b'@MikeB1MileHi No...but choking on the powdered sugar of a powdered sugar donut once or twice got my attention. \n\xf0\x9f\xa4\xa3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MikeB1MileHi', 'name': 'Mike B 1', 'id': 1308022855741865989, 'id_str': '1308022855741865989', 'indices': [0, 13]}], 'urls': []}",,en
