id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339071088840478723,2020-12-16 04:53:20,@Austyyy_ @msbruu @TooManeStream @greendoondoon @__justkeith Hahahahaha on me,b'@Austyyy_ @msbruu @TooManeStream @greendoondoon @__justkeith Hahahahaha on me',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Austyyy_', 'name': 'Austin🏁', 'id': 3033213086, 'id_str': '3033213086', 'indices': [0, 9]}, {'screen_name': 'msbruu', 'name': ""Bru'Nique"", 'id': 737881603175813124, 'id_str': '737881603175813124', 'indices': [10, 17]}, {'screen_name': 'TooManeStream', 'name': 'Mane', 'id': 316127133, 'id_str': '316127133', 'indices': [18, 32]}, {'screen_name': 'greendoondoon', 'name': 'YourFavBlackAuntie', 'id': 20320718, 'id_str': '20320718', 'indices': [33, 47]}, {'screen_name': '__justkeith', 'name': '“Is Jamal Coming?”', 'id': 1049921200783314947, 'id_str': '1049921200783314947', 'indices': [48, 60]}], 'urls': []}",,tl
1339070793578283009,2020-12-16 04:52:10,RT @Austyyy_: @msbruu @TooManeStream @greendoondoon @__justkeith @_Thaaaatsherr https://t.co/IDAheasxtE,b'RT @Austyyy_: @msbruu @TooManeStream @greendoondoon @__justkeith @_Thaaaatsherr https://t.co/IDAheasxtE',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Austyyy_', 'name': 'Austin🏁', 'id': 3033213086, 'id_str': '3033213086', 'indices': [3, 12]}, {'screen_name': 'msbruu', 'name': ""Bru'Nique"", 'id': 737881603175813124, 'id_str': '737881603175813124', 'indices': [14, 21]}, {'screen_name': 'TooManeStream', 'name': 'Mane', 'id': 316127133, 'id_str': '316127133', 'indices': [22, 36]}, {'screen_name': 'greendoondoon', 'name': 'YourFavBlackAuntie', 'id': 20320718, 'id_str': '20320718', 'indices': [37, 51]}, {'screen_name': '__justkeith', 'name': '“Is Jamal Coming?”', 'id': 1049921200783314947, 'id_str': '1049921200783314947', 'indices': [52, 64]}, {'screen_name': '_Thaaaatsherr', 'name': 'mommachaaai🧚🏽', 'id': 750062150, 'id_str': '750062150', 'indices': [65, 79]}], 'urls': [], 'media': [{'id': 1339070577714163713, 'id_str': '1339070577714163713', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpVVmIHUcAEbXXo.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpVVmIHUcAEbXXo.jpg', 'url': 'https://t.co/IDAheasxtE', 'display_url': 'pic.twitter.com/IDAheasxtE', 'expanded_url': 'https://twitter.com/Austyyy_/status/1339070582990598146/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 460, 'h': 296, 'resize': 'fit'}, 'small': {'w': 460, 'h': 296, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 460, 'h': 296, 'resize': 'fit'}}, 'source_status_id': 1339070582990598146, 'source_status_id_str': '1339070582990598146', 'source_user_id': 3033213086, 'source_user_id_str': '3033213086'}]}",,und
1339070111982833666,2020-12-16 04:49:28,@msbruu @TooManeStream @greendoondoon @__justkeith @Austyyy_ LMAOOOOOOO I pray my basket full so I can jst walk out 🤣🤣🤣,b'@msbruu @TooManeStream @greendoondoon @__justkeith @Austyyy_ LMAOOOOOOO I pray my basket full so I can jst walk out \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'msbruu', 'name': ""Bru'Nique"", 'id': 737881603175813124, 'id_str': '737881603175813124', 'indices': [0, 7]}, {'screen_name': 'TooManeStream', 'name': 'Mane', 'id': 316127133, 'id_str': '316127133', 'indices': [8, 22]}, {'screen_name': 'greendoondoon', 'name': 'YourFavBlackAuntie', 'id': 20320718, 'id_str': '20320718', 'indices': [23, 37]}, {'screen_name': '__justkeith', 'name': '“Is Jamal Coming?”', 'id': 1049921200783314947, 'id_str': '1049921200783314947', 'indices': [38, 50]}, {'screen_name': 'Austyyy_', 'name': 'Austin🏁', 'id': 3033213086, 'id_str': '3033213086', 'indices': [51, 60]}], 'urls': []}",,en
1339069962934132738,2020-12-16 04:48:52,RT @msbruu: @TooManeStream @greendoondoon @__justkeith @Austyyy_ @_Thaaaatsherr  LMFAOOOOO IM CRYIN THIS YALL,b'RT @msbruu: @TooManeStream @greendoondoon @__justkeith @Austyyy_ @_Thaaaatsherr  LMFAOOOOO IM CRYIN THIS YALL',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'msbruu', 'name': ""Bru'Nique"", 'id': 737881603175813124, 'id_str': '737881603175813124', 'indices': [3, 10]}, {'screen_name': 'TooManeStream', 'name': 'Mane', 'id': 316127133, 'id_str': '316127133', 'indices': [12, 26]}, {'screen_name': 'greendoondoon', 'name': 'YourFavBlackAuntie', 'id': 20320718, 'id_str': '20320718', 'indices': [27, 41]}, {'screen_name': '__justkeith', 'name': '“Is Jamal Coming?”', 'id': 1049921200783314947, 'id_str': '1049921200783314947', 'indices': [42, 54]}, {'screen_name': 'Austyyy_', 'name': 'Austin🏁', 'id': 3033213086, 'id_str': '3033213086', 'indices': [55, 64]}, {'screen_name': '_Thaaaatsherr', 'name': 'mommachaaai🧚🏽', 'id': 750062150, 'id_str': '750062150', 'indices': [65, 79]}], 'urls': []}",,en
1339020281310924804,2020-12-16 01:31:27,That’s it &amp; that’s all 🤪 https://t.co/zCNfTzGkjn,b'That\xe2\x80\x99s it &amp; that\xe2\x80\x99s all \xf0\x9f\xa4\xaa https://t.co/zCNfTzGkjn',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zCNfTzGkjn', 'expanded_url': 'https://twitter.com/_benjvmins_/status/1338857640760205313', 'display_url': 'twitter.com/_benjvmins_/st…', 'indices': [29, 52]}]}",,en
1339020134715858944,2020-12-16 01:30:52,LMAOOOOOOO https://t.co/gvz3dlhorF,b'LMAOOOOOOO https://t.co/gvz3dlhorF',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gvz3dlhorF', 'expanded_url': 'https://twitter.com/adamsb___/status/1338440975941849090', 'display_url': 'twitter.com/adamsb___/stat…', 'indices': [11, 34]}]}",,ht
1339019988959518722,2020-12-16 01:30:17,RT @iambrimiah: I really do deserve the best.,b'RT @iambrimiah: I really do deserve the best.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iambrimiah', 'name': 'BRI', 'id': 939318649550262272, 'id_str': '939318649550262272', 'indices': [3, 14]}], 'urls': []}",,en
1339018522530201601,2020-12-16 01:24:28,Happy birthday 🙂 https://t.co/vGUV4xJWrG,b'Happy birthday \xf0\x9f\x99\x82 https://t.co/vGUV4xJWrG',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vGUV4xJWrG', 'expanded_url': 'https://twitter.com/israelramirez93/status/1338757660468867072', 'display_url': 'twitter.com/israelramirez9…', 'indices': [17, 40]}]}",,en
1339018448249126913,2020-12-16 01:24:10,Best friend killin you hoes 😍🥵 https://t.co/NblIch8ZRB,b'Best friend killin you hoes \xf0\x9f\x98\x8d\xf0\x9f\xa5\xb5 https://t.co/NblIch8ZRB',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NblIch8ZRB', 'expanded_url': 'https://twitter.com/lanaaaxbby/status/1338928569146171392', 'display_url': 'twitter.com/lanaaaxbby/sta…', 'indices': [31, 54]}]}",,en
1339018263133470720,2020-12-16 01:23:26,RT @mefeater: Happy Birthday to Kim Porter. Today she would have turned 50 years old. RIP 💕 https://t.co/w9nqSmP2tO,b'RT @mefeater: Happy Birthday to Kim Porter. Today she would have turned 50 years old. RIP \xf0\x9f\x92\x95 https://t.co/w9nqSmP2tO',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mefeater', 'name': 'MEFeater Magazine', 'id': 1460621689, 'id_str': '1460621689', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1338864421762785281, 'id_str': '1338864421762785281', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/EpSaGRWUYAE6sap.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpSaGRWUYAE6sap.jpg', 'url': 'https://t.co/w9nqSmP2tO', 'display_url': 'pic.twitter.com/w9nqSmP2tO', 'expanded_url': 'https://twitter.com/mefeater/status/1338864427093741568/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 639, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 961, 'h': 903, 'resize': 'fit'}, 'medium': {'w': 961, 'h': 903, 'resize': 'fit'}}, 'source_status_id': 1338864427093741568, 'source_status_id_str': '1338864427093741568', 'source_user_id': 1460621689, 'source_user_id_str': '1460621689'}]}",,en
