id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339022277535526912,2020-12-16 01:39:23,@pieceofshawn_ @ShawnMendes @Camila_Cabello RIGHTTT,b'@pieceofshawn_ @ShawnMendes @Camila_Cabello RIGHTTT',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pieceofshawn_', 'name': 'jaylene \U0001f90e', 'id': 1182578990906855424, 'id_str': '1182578990906855424', 'indices': [0, 14]}, {'screen_name': 'ShawnMendes', 'name': 'Shawn Mendes', 'id': 379408088, 'id_str': '379408088', 'indices': [15, 27]}, {'screen_name': 'Camila_Cabello', 'name': 'camila', 'id': 739784130, 'id_str': '739784130', 'indices': [28, 43]}], 'urls': []}",,en
1339019603360567296,2020-12-16 01:28:45,anyways manifesting content https://t.co/bNOJMpwXF3,b'anyways manifesting content https://t.co/bNOJMpwXF3',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339019598436458496, 'id_str': '1339019598436458496', 'indices': [28, 51], 'media_url': 'http://pbs.twimg.com/media/EpUnOvgXYAAGJaX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUnOvgXYAAGJaX.jpg', 'url': 'https://t.co/bNOJMpwXF3', 'display_url': 'pic.twitter.com/bNOJMpwXF3', 'expanded_url': 'https://twitter.com/badkindawhy/status/1339019603360567296/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 458, 'h': 680, 'resize': 'fit'}, 'large': {'w': 458, 'h': 680, 'resize': 'fit'}, 'small': {'w': 458, 'h': 680, 'resize': 'fit'}}}]}",,en
1339018419564404737,2020-12-16 01:24:03,@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis by asking how old was she tHaT dOeSnT mEaN aNyThInG,b'@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis by asking how old was she tHaT dOeSnT mEaN aNyThInG',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taylorswiftpov', 'name': 'M☁️| 𝗰𝗼𝗻𝗲𝘆 𝗶𝘀𝗹𝗮𝗻𝗱', 'id': 1251674732384182274, 'id_str': '1251674732384182274', 'indices': [0, 15]}, {'screen_name': 'karo_ina0', 'name': 'Ƙαɾσʆίηα', 'id': 1164634123723595782, 'id_str': '1164634123723595782', 'indices': [16, 26]}, {'screen_name': 'daddycumila', 'name': 'daddy 🅺', 'id': 930914050086723586, 'id_str': '930914050086723586', 'indices': [27, 39]}, {'screen_name': 'ruinshigher', 'name': 'bernice || super ia', 'id': 1220016673916256257, 'id_str': '1220016673916256257', 'indices': [40, 52]}, {'screen_name': 'ToyJaureguis', 'name': 'plotting against escape pod', 'id': 1309614790566764544, 'id_str': '1309614790566764544', 'indices': [53, 66]}], 'urls': []}",,en
1339017809129594880,2020-12-16 01:21:38,@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis why would i want to know anything about her when i just pointed out what she did? 😭 u came up w the rest,b'@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis why would i want to know anything about her when i just pointed out what she did? \xf0\x9f\x98\xad u came up w the rest',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taylorswiftpov', 'name': 'M☁️| 𝗰𝗼𝗻𝗲𝘆 𝗶𝘀𝗹𝗮𝗻𝗱', 'id': 1251674732384182274, 'id_str': '1251674732384182274', 'indices': [0, 15]}, {'screen_name': 'karo_ina0', 'name': 'Ƙαɾσʆίηα', 'id': 1164634123723595782, 'id_str': '1164634123723595782', 'indices': [16, 26]}, {'screen_name': 'daddycumila', 'name': 'daddy 🅺', 'id': 930914050086723586, 'id_str': '930914050086723586', 'indices': [27, 39]}, {'screen_name': 'ruinshigher', 'name': 'bernice || super ia', 'id': 1220016673916256257, 'id_str': '1220016673916256257', 'indices': [40, 52]}, {'screen_name': 'ToyJaureguis', 'name': 'plotting against escape pod', 'id': 1309614790566764544, 'id_str': '1309614790566764544', 'indices': [53, 66]}], 'urls': []}",,en
1339017677982068736,2020-12-16 01:21:06,@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis now tell me what that has to do with that? i only pointed out facts the rest was not even important just shvt YOU tried to excuse her with😀,b'@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis now tell me what that has to do with that? i only pointed out facts the rest was not even important just shvt YOU tried to excuse her with\xf0\x9f\x98\x80',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taylorswiftpov', 'name': 'M☁️| 𝗰𝗼𝗻𝗲𝘆 𝗶𝘀𝗹𝗮𝗻𝗱', 'id': 1251674732384182274, 'id_str': '1251674732384182274', 'indices': [0, 15]}, {'screen_name': 'karo_ina0', 'name': 'Ƙαɾσʆίηα', 'id': 1164634123723595782, 'id_str': '1164634123723595782', 'indices': [16, 26]}, {'screen_name': 'daddycumila', 'name': 'daddy 🅺', 'id': 930914050086723586, 'id_str': '930914050086723586', 'indices': [27, 39]}, {'screen_name': 'ruinshigher', 'name': 'bernice || super ia', 'id': 1220016673916256257, 'id_str': '1220016673916256257', 'indices': [40, 52]}, {'screen_name': 'ToyJaureguis', 'name': 'plotting against escape pod', 'id': 1309614790566764544, 'id_str': '1309614790566764544', 'indices': [53, 66]}], 'urls': []}",,en
1339017208949829632,2020-12-16 01:19:15,@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis when did i say anything about that tho? 😀,b'@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis when did i say anything about that tho? \xf0\x9f\x98\x80',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taylorswiftpov', 'name': 'M☁️| 𝗰𝗼𝗻𝗲𝘆 𝗶𝘀𝗹𝗮𝗻𝗱', 'id': 1251674732384182274, 'id_str': '1251674732384182274', 'indices': [0, 15]}, {'screen_name': 'karo_ina0', 'name': 'Ƙαɾσʆίηα', 'id': 1164634123723595782, 'id_str': '1164634123723595782', 'indices': [16, 26]}, {'screen_name': 'daddycumila', 'name': 'daddy 🅺', 'id': 930914050086723586, 'id_str': '930914050086723586', 'indices': [27, 39]}, {'screen_name': 'ruinshigher', 'name': 'bernice || super ia', 'id': 1220016673916256257, 'id_str': '1220016673916256257', 'indices': [40, 52]}, {'screen_name': 'ToyJaureguis', 'name': 'plotting against escape pod', 'id': 1309614790566764544, 'id_str': '1309614790566764544', 'indices': [53, 66]}], 'urls': []}",,en
1339017007753285632,2020-12-16 01:18:27,@taylorswiftpov @ruinshigher @ToyJaureguis @karo_ina0 @daddycumila now u try again w all the shvt u said about shawn🧍‍♀️,b'@taylorswiftpov @ruinshigher @ToyJaureguis @karo_ina0 @daddycumila now u try again w all the shvt u said about shawn\xf0\x9f\xa7\x8d\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taylorswiftpov', 'name': 'M☁️| 𝗰𝗼𝗻𝗲𝘆 𝗶𝘀𝗹𝗮𝗻𝗱', 'id': 1251674732384182274, 'id_str': '1251674732384182274', 'indices': [0, 15]}, {'screen_name': 'ruinshigher', 'name': 'bernice || super ia', 'id': 1220016673916256257, 'id_str': '1220016673916256257', 'indices': [16, 28]}, {'screen_name': 'ToyJaureguis', 'name': 'plotting against escape pod', 'id': 1309614790566764544, 'id_str': '1309614790566764544', 'indices': [29, 42]}, {'screen_name': 'karo_ina0', 'name': 'Ƙαɾσʆίηα', 'id': 1164634123723595782, 'id_str': '1164634123723595782', 'indices': [43, 53]}, {'screen_name': 'daddycumila', 'name': 'daddy 🅺', 'id': 930914050086723586, 'id_str': '930914050086723586', 'indices': [54, 66]}], 'urls': []}",,en
1339016558555897857,2020-12-16 01:16:39,@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis girl do i look like i stalk lauren? only bc y’all are obsessed w shawn it doesn’t mean that i’m obsessed w her😭 we assumed that she was around 20 bc the ss was made then and the reblog was right there??,b'@taylorswiftpov @karo_ina0 @daddycumila @ruinshigher @ToyJaureguis girl do i look like i stalk lauren? only bc y\xe2\x80\x99all are obsessed w shawn it doesn\xe2\x80\x99t mean that i\xe2\x80\x99m obsessed w her\xf0\x9f\x98\xad we assumed that she was around 20 bc the ss was made then and the reblog was right there??',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taylorswiftpov', 'name': 'M☁️| 𝗰𝗼𝗻𝗲𝘆 𝗶𝘀𝗹𝗮𝗻𝗱', 'id': 1251674732384182274, 'id_str': '1251674732384182274', 'indices': [0, 15]}, {'screen_name': 'karo_ina0', 'name': 'Ƙαɾσʆίηα', 'id': 1164634123723595782, 'id_str': '1164634123723595782', 'indices': [16, 26]}, {'screen_name': 'daddycumila', 'name': 'daddy 🅺', 'id': 930914050086723586, 'id_str': '930914050086723586', 'indices': [27, 39]}, {'screen_name': 'ruinshigher', 'name': 'bernice || super ia', 'id': 1220016673916256257, 'id_str': '1220016673916256257', 'indices': [40, 52]}, {'screen_name': 'ToyJaureguis', 'name': 'plotting against escape pod', 'id': 1309614790566764544, 'id_str': '1309614790566764544', 'indices': [53, 66]}], 'urls': []}",,en
1339016113234075655,2020-12-16 01:14:53,@LGodregui @daddycumila my point is that we didn’t get offended bc of his dick size or whatever but we got angry bc of the replies-,b'@LGodregui @daddycumila my point is that we didn\xe2\x80\x99t get offended bc of his dick size or whatever but we got angry bc of the replies-',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LGodregui', 'name': 'Lalalalaalauren✨', 'id': 1323312405204664320, 'id_str': '1323312405204664320', 'indices': [0, 10]}, {'screen_name': 'daddycumila', 'name': 'daddy 🅺', 'id': 930914050086723586, 'id_str': '930914050086723586', 'indices': [11, 23]}], 'urls': []}",,en
1339015876738240513,2020-12-16 01:13:57,@ToyJaureguis @taylorswiftpov @ruinshigher @karo_ina0 @daddycumila LMAO SAYS U,b'@ToyJaureguis @taylorswiftpov @ruinshigher @karo_ina0 @daddycumila LMAO SAYS U',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ToyJaureguis', 'name': 'plotting against escape pod', 'id': 1309614790566764544, 'id_str': '1309614790566764544', 'indices': [0, 13]}, {'screen_name': 'taylorswiftpov', 'name': 'M☁️| 𝗰𝗼𝗻𝗲𝘆 𝗶𝘀𝗹𝗮𝗻𝗱', 'id': 1251674732384182274, 'id_str': '1251674732384182274', 'indices': [14, 29]}, {'screen_name': 'ruinshigher', 'name': 'bernice || super ia', 'id': 1220016673916256257, 'id_str': '1220016673916256257', 'indices': [30, 42]}, {'screen_name': 'karo_ina0', 'name': 'Ƙαɾσʆίηα', 'id': 1164634123723595782, 'id_str': '1164634123723595782', 'indices': [43, 53]}, {'screen_name': 'daddycumila', 'name': 'daddy 🅺', 'id': 930914050086723586, 'id_str': '930914050086723586', 'indices': [54, 66]}], 'urls': []}",,en
