id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339026981850140672,2020-12-16 01:58:05,"@covie_93 Flash those jubblies a few times and she’s a stone cold lock to win.  Just sayin, dudes are horny...","b'@covie_93 Flash those jubblies a few times and she\xe2\x80\x99s a stone cold lock to win.  Just sayin, dudes are horny...'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'covie_93', 'name': 'Covie', 'id': 2768271223, 'id_str': '2768271223', 'indices': [0, 9]}], 'urls': []}",,en
1339026183929913344,2020-12-16 01:54:54,@GopherHole https://t.co/UeG4XUPqhp,b'@GopherHole https://t.co/UeG4XUPqhp',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GopherHole', 'name': 'GopherHole.com', 'id': 26136095, 'id_str': '26136095', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1339026177797869571, 'id_str': '1339026177797869571', 'indices': [12, 35], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUtNtiXUAMTNPt.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUtNtiXUAMTNPt.jpg', 'url': 'https://t.co/UeG4XUPqhp', 'display_url': 'pic.twitter.com/UeG4XUPqhp', 'expanded_url': 'https://twitter.com/bobuhasspoken/status/1339026183929913344/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 372, 'h': 280, 'resize': 'fit'}, 'large': {'w': 372, 'h': 280, 'resize': 'fit'}, 'medium': {'w': 372, 'h': 280, 'resize': 'fit'}}}]}",,und
1339025987070291968,2020-12-16 01:54:07,A new Curse of Oak Island!  New bucket list item:  go and visit Oak Island.,b'A new Curse of Oak Island!  New bucket list item:  go and visit Oak Island.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339023288794746881,2020-12-16 01:43:24,@HelaoSouse That show is flat out legit.  And it takes off right from the first episode.  A real banger - a full fledged destroyer. https://t.co/hWT8qaPRqS,b'@HelaoSouse That show is flat out legit.  And it takes off right from the first episode.  A real banger - a full fledged destroyer. https://t.co/hWT8qaPRqS',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HelaoSouse', 'name': 'sean cuthbert j twillie', 'id': 742575580705476608, 'id_str': '742575580705476608', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1339023277977718784, 'id_str': '1339023277977718784', 'indices': [132, 155], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUqk63XUAAbwek.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUqk63XUAAbwek.jpg', 'url': 'https://t.co/hWT8qaPRqS', 'display_url': 'pic.twitter.com/hWT8qaPRqS', 'expanded_url': 'https://twitter.com/bobuhasspoken/status/1339023288794746881/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 346, 'h': 194, 'resize': 'fit'}, 'small': {'w': 346, 'h': 194, 'resize': 'fit'}, 'medium': {'w': 346, 'h': 194, 'resize': 'fit'}}}]}",,en
1339019940146405378,2020-12-16 01:30:06,@Dystopian_Rob @zen4ever2us Back home they call it ‘book smart and street dumb’,b'@Dystopian_Rob @zen4ever2us Back home they call it \xe2\x80\x98book smart and street dumb\xe2\x80\x99',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dystopian_Rob', 'name': ""Billionaires shouldn't exist. 🧐🍵"", 'id': 1259424777732677633, 'id_str': '1259424777732677633', 'indices': [0, 14]}, {'screen_name': 'zen4ever2us', 'name': '💛Liz (Lizzy 김혜성) 💫💛', 'id': 892128385492697088, 'id_str': '892128385492697088', 'indices': [15, 27]}], 'urls': []}",,en
1339019648981983232,2020-12-16 01:28:56,@Dystopian_Rob @zen4ever2us Ditto.  Have run into many ‘educated’ morons over the years.  Felt like and eagle soaring with a flock of turkeys.,b'@Dystopian_Rob @zen4ever2us Ditto.  Have run into many \xe2\x80\x98educated\xe2\x80\x99 morons over the years.  Felt like and eagle soaring with a flock of turkeys.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dystopian_Rob', 'name': ""Billionaires shouldn't exist. 🧐🍵"", 'id': 1259424777732677633, 'id_str': '1259424777732677633', 'indices': [0, 14]}, {'screen_name': 'zen4ever2us', 'name': '💛Liz (Lizzy 김혜성) 💫💛', 'id': 892128385492697088, 'id_str': '892128385492697088', 'indices': [15, 27]}], 'urls': []}",,en
1339019057346048002,2020-12-16 01:26:35,@HelaoSouse @macman747 They all be like: https://t.co/XlikVnDEAR,b'@HelaoSouse @macman747 They all be like: https://t.co/XlikVnDEAR',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HelaoSouse', 'name': 'sean cuthbert j twillie', 'id': 742575580705476608, 'id_str': '742575580705476608', 'indices': [0, 11]}, {'screen_name': 'macman747', 'name': 'Rob MacMillan 🇨🇦', 'id': 19227156, 'id_str': '19227156', 'indices': [12, 22]}], 'urls': [], 'media': [{'id': 1339019051331444740, 'id_str': '1339019051331444740', 'indices': [41, 64], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUmu5YXYAQAfYs.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUmu5YXYAQAfYs.jpg', 'url': 'https://t.co/XlikVnDEAR', 'display_url': 'pic.twitter.com/XlikVnDEAR', 'expanded_url': 'https://twitter.com/bobuhasspoken/status/1339019057346048002/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}}]}",,en
1339018580684369920,2020-12-16 01:24:42,@totwpetfood ...hump Ivanka’s leg?,b'@totwpetfood ...hump Ivanka\xe2\x80\x99s leg?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'totwpetfood', 'name': 'Taste of the Wild', 'id': 981998389658378241, 'id_str': '981998389658378241', 'indices': [0, 12]}], 'urls': []}",,en
1339017672504303618,2020-12-16 01:21:05,@mmpadellan Wait!  She’s not going on the strip circuit!?!  Darn.,b'@mmpadellan Wait!  She\xe2\x80\x99s not going on the strip circuit!?!  Darn.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mmpadellan', 'name': 'BrooklynDad_Defiant!', 'id': 1640929196, 'id_str': '1640929196', 'indices': [0, 11]}], 'urls': []}",,en
1339017525229719554,2020-12-16 01:20:30,@fake_biden You’re a survivor.  Keep it going.  #MOJO,b'@fake_biden You\xe2\x80\x99re a survivor.  Keep it going.  #MOJO',"{'hashtags': [{'text': 'MOJO', 'indices': [48, 53]}], 'symbols': [], 'user_mentions': [{'screen_name': 'fake_biden', 'name': 'FakeJoeBiden', 'id': 1262456293157003272, 'id_str': '1262456293157003272', 'indices': [0, 11]}], 'urls': []}",,en
