id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017998988947458,2020-12-16 01:22:23,Oh shitim a lil tipsy I meant the mandalorian father forgive me,b'Oh shitim a lil tipsy I meant the mandalorian father forgive me',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017681241075720,2020-12-16 01:21:07,Mom   gave me the Disney + password so I can keep watching the mandarin!!!,b'Mom   gave me the Disney + password so I can keep watching the mandarin!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338694154327625729,2020-12-15 03:55:32,@DIORSUNFLOWER DNGHFJDK,b'@DIORSUNFLOWER DNGHFJDK',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DIORSUNFLOWER', 'name': 'LOKI HIVE', 'id': 2646557437, 'id_str': '2646557437', 'indices': [0, 14]}], 'urls': []}",,in
1338657498170068998,2020-12-15 01:29:53,RT @only1interIude: if u find adam driver attractive do not worry about what’s in the vaccine,b'RT @only1interIude: if u find adam driver attractive do not worry about what\xe2\x80\x99s in the vaccine',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'only1interIude', 'name': 'jess', 'id': 432933636, 'id_str': '432933636', 'indices': [3, 18]}], 'urls': []}",,en
1338656690682650624,2020-12-15 01:26:40,Omg these iced lattes from Starbucks I been having almost everyday tearing my stomach up chile.... https://t.co/kKsrWac2LK,b'Omg these iced lattes from Starbucks I been having almost everyday tearing my stomach up chile.... https://t.co/kKsrWac2LK',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338656673162989568, 'id_str': '1338656673162989568', 'indices': [99, 122], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338656673162989568/pu/img/YiY8OsVX6Vt1wNO4.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338656673162989568/pu/img/YiY8OsVX6Vt1wNO4.jpg', 'url': 'https://t.co/kKsrWac2LK', 'display_url': 'pic.twitter.com/kKsrWac2LK', 'expanded_url': 'https://twitter.com/cinemascripts/status/1338656690682650624/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 640, 'h': 800, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 800, 'resize': 'fit'}}}]}",,en
1338650816832548864,2020-12-15 01:03:20,RT @DaniAtomicus: My family has COVID &amp; the health authority told my mom that if her lips turn blue to go to the hospital. She’s Black. Her…,b'RT @DaniAtomicus: My family has COVID &amp; the health authority told my mom that if her lips turn blue to go to the hospital. She\xe2\x80\x99s Black. Her\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DaniAtomicus', 'name': 'Antifascionista (Ethereal Bisexual in Black)', 'id': 194846015, 'id_str': '194846015', 'indices': [3, 16]}], 'urls': []}",,en
1338650681230626816,2020-12-15 01:02:47,"Also literally any marvel film on opening weekend,, ?? Especially black panther.🖤💜🥺","b'Also literally any marvel film on opening weekend,, ?? Especially black panther.\xf0\x9f\x96\xa4\xf0\x9f\x92\x9c\xf0\x9f\xa5\xba'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338650357782765571,2020-12-15 01:01:30,Too many To narrow it down but 1917 was an experience https://t.co/JdB1iNDzRN,b'Too many To narrow it down but 1917 was an experience https://t.co/JdB1iNDzRN',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JdB1iNDzRN', 'expanded_url': 'https://twitter.com/itskeyon/status/1338569108783173632', 'display_url': 'twitter.com/itskeyon/statu…', 'indices': [54, 77]}]}",,en
1338650102748033024,2020-12-15 01:00:30,@winemuva But nobody else was saying it.😭,b'@winemuva But nobody else was saying it.\xf0\x9f\x98\xad',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'winemuva', 'name': 'chocroaches', 'id': 2723947777, 'id_str': '2723947777', 'indices': [0, 9]}], 'urls': []}",,en
1338646517930991616,2020-12-15 00:46:15,Am I the only one thinking Chloe and Halle https://t.co/sHBiH5MoFC,b'Am I the only one thinking Chloe and Halle https://t.co/sHBiH5MoFC',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sHBiH5MoFC', 'expanded_url': 'https://twitter.com/beysiren/status/1338192371780100097', 'display_url': 'twitter.com/beysiren/statu…', 'indices': [43, 66]}]}",,en
