id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339020031720628224,2020-12-16 01:30:28,@Thatdeplorable2 I don’t know if this quote is real. I can’t find a source,b'@Thatdeplorable2 I don\xe2\x80\x99t know if this quote is real. I can\xe2\x80\x99t find a source',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Thatdeplorable2', 'name': 'ETphonehome', 'id': 1312020028670111744, 'id_str': '1312020028670111744', 'indices': [0, 16]}], 'urls': []}",,en
1339018394503417859,2020-12-16 01:23:57,"@lcdrrek @JohnHammontree It was Florida, but yea","b'@lcdrrek @JohnHammontree It was Florida, but yea'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lcdrrek', 'name': 'Sleepy Raf Kearns 😷', 'id': 17151375, 'id_str': '17151375', 'indices': [0, 8]}, {'screen_name': 'JohnHammontree', 'name': 'John Hammontree', 'id': 58510592, 'id_str': '58510592', 'indices': [9, 24]}], 'urls': []}",,en
1339018144912994304,2020-12-16 01:22:58,@poorpitifulyou @JohnHammontree These things really aren’t comparable. If Julio played in these offenses with those receivers there is no way to know what his numbers would be. He had JP Wilson &amp; G-Mac. It was a whole different ballgame,b'@poorpitifulyou @JohnHammontree These things really aren\xe2\x80\x99t comparable. If Julio played in these offenses with those receivers there is no way to know what his numbers would be. He had JP Wilson &amp; G-Mac. It was a whole different ballgame',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'poorpitifulyou', 'name': 'Hurt', 'id': 854924932836450304, 'id_str': '854924932836450304', 'indices': [0, 15]}, {'screen_name': 'JohnHammontree', 'name': 'John Hammontree', 'id': 58510592, 'id_str': '58510592', 'indices': [16, 31]}], 'urls': []}",,en
1339017663473999872,2020-12-16 01:21:03,@JayHerbo15 @theleviedwards The raiders thought so too,b'@JayHerbo15 @theleviedwards The raiders thought so too',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JayHerbo15', 'name': 'Jay 🦅', 'id': 4830164668, 'id_str': '4830164668', 'indices': [0, 11]}, {'screen_name': 'theleviedwards', 'name': 'Levi Edwards', 'id': 1522773074, 'id_str': '1522773074', 'indices': [12, 27]}], 'urls': []}",,en
1339017427271757829,2020-12-16 01:20:07,@BeastSoutheast @JohnHammontree He already won a natty. 2nd &amp; 26,b'@BeastSoutheast @JohnHammontree He already won a natty. 2nd &amp; 26',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BeastSoutheast', 'name': 'Wade', 'id': 453635622, 'id_str': '453635622', 'indices': [0, 15]}, {'screen_name': 'JohnHammontree', 'name': 'John Hammontree', 'id': 58510592, 'id_str': '58510592', 'indices': [16, 31]}], 'urls': []}",,en
1339017065433346050,2020-12-16 01:18:40,"RT @SystemOfATuchdn: @JoeBiden Ok, work hard to lower taxes and leave me alone","b'RT @SystemOfATuchdn: @JoeBiden Ok, work hard to lower taxes and leave me alone'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SystemOfATuchdn', 'name': 'Jonny Foozball', 'id': 785725160, 'id_str': '785725160', 'indices': [3, 19]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [21, 30]}], 'urls': []}",,en
1338999434491949056,2020-12-16 00:08:37,"RT @Snowden: When a crooked politician calls me traitor, ask yourself: who did I betray? The courts have ruled repeatedly that the programs…","b'RT @Snowden: When a crooked politician calls me traitor, ask yourself: who did I betray? The courts have ruled repeatedly that the programs\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Snowden', 'name': 'Edward Snowden', 'id': 2916305152, 'id_str': '2916305152', 'indices': [3, 11]}], 'urls': []}",,en
1338994972528431105,2020-12-15 23:50:53,@JumpPassIsBack @RossDellenger What about it? Spurrier beat Us in 2010,b'@JumpPassIsBack @RossDellenger What about it? Spurrier beat Us in 2010',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JumpPassIsBack', 'name': 'Marc B.', 'id': 927689994243854337, 'id_str': '927689994243854337', 'indices': [0, 15]}, {'screen_name': 'RossDellenger', 'name': 'Ross Dellenger', 'id': 67926628, 'id_str': '67926628', 'indices': [16, 30]}], 'urls': []}",,en
1338994244594372608,2020-12-15 23:47:59,RT @wontvote4pedro: https://t.co/WUJD7wjksu,b'RT @wontvote4pedro: https://t.co/WUJD7wjksu',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wontvote4pedro', 'name': 'stella', 'id': 836812140082253824, 'id_str': '836812140082253824', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338993055274328064, 'id_str': '1338993055274328064', 'indices': [20, 43], 'media_url': 'http://pbs.twimg.com/media/EpUPFuhXYAAMyb8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUPFuhXYAAMyb8.jpg', 'url': 'https://t.co/WUJD7wjksu', 'display_url': 'pic.twitter.com/WUJD7wjksu', 'expanded_url': 'https://twitter.com/wontvote4pedro/status/1338993059405639683/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 582, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 822, 'h': 960, 'resize': 'fit'}, 'large': {'w': 822, 'h': 960, 'resize': 'fit'}}, 'source_status_id': 1338993059405639683, 'source_status_id_str': '1338993059405639683', 'source_user_id': 836812140082253824, 'source_user_id_str': '836812140082253824'}]}",,und
1338994049353723907,2020-12-15 23:47:13,RT @Scotty_2017: @snikrep Correction: Taxes are the price we pay for not creating a civilized society.,b'RT @Scotty_2017: @snikrep Correction: Taxes are the price we pay for not creating a civilized society.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Scotty_2017', 'name': '♔𝓙𝓪𝓶𝓮𝓼 𝓣𝓱𝓮 𝓐𝓻𝓴𝓪𝓷𝓼𝓪𝔀𝔂𝓮𝓻♔ ジェームズ', 'id': 902922883625877504, 'id_str': '902922883625877504', 'indices': [3, 15]}, {'screen_name': 'snikrep', 'name': 'King Jeremy the Wicked🔔', 'id': 21539173, 'id_str': '21539173', 'indices': [17, 25]}], 'urls': []}",,en
