id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339109178590121984,2020-12-16 07:24:42,@FlanRiver Gm !! That’s a pretty photo :O,b'@FlanRiver Gm !! That\xe2\x80\x99s a pretty photo :O',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FlanRiver', 'name': 'River(is asleep)', 'id': 1096614093975281665, 'id_str': '1096614093975281665', 'indices': [0, 10]}], 'urls': []}",,en
1339109058544975873,2020-12-16 07:24:13,GDNDHDBGDBDGHDTDBDYDBTDHDGDBUDBRGEBDKFNGDBFYRBGEBSGSBGENDUDNGDJDGDNDHEJGD WHAT https://t.co/RH27Vyg8Cb,b'GDNDHDBGDBDGHDTDBDYDBTDHDGDBUDBRGEBDKFNGDBFYRBGEBSGSBGENDUDNGDJDGDNDHEJGD WHAT https://t.co/RH27Vyg8Cb',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339109026169176065, 'id_str': '1339109026169176065', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EpV4kHxVQAEA7GV.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpV4kHxVQAEA7GV.jpg', 'url': 'https://t.co/RH27Vyg8Cb', 'display_url': 'pic.twitter.com/RH27Vyg8Cb', 'expanded_url': 'https://twitter.com/dramadyyyy/status/1339109058544975873/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 644, 'resize': 'fit'}, 'large': {'w': 1979, 'h': 1873, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1136, 'resize': 'fit'}}}]}",,da
1339108691052691456,2020-12-16 07:22:46,I need to stop tweeting and focus on reading this,b'I need to stop tweeting and focus on reading this',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339108685591633920,2020-12-16 07:22:44,WOOOOO THERE THEY ARE LETS GOOO https://t.co/Su6iZwNO6K,b'WOOOOO THERE THEY ARE LETS GOOO https://t.co/Su6iZwNO6K',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339108665559674881, 'id_str': '1339108665559674881', 'indices': [32, 55], 'media_url': 'http://pbs.twimg.com/media/EpV4PIZU8AEb7zV.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpV4PIZU8AEb7zV.jpg', 'url': 'https://t.co/Su6iZwNO6K', 'display_url': 'pic.twitter.com/Su6iZwNO6K', 'expanded_url': 'https://twitter.com/dramadyyyy/status/1339108685591633920/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 425, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1279, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 749, 'resize': 'fit'}}}]}",,en
1339108150562050048,2020-12-16 07:20:37,@SUGARMOUNTAlNS Y-yeah totes... *awkward laughter*,b'@SUGARMOUNTAlNS Y-yeah totes... *awkward laughter*',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SUGARMOUNTAlNS', 'name': 'yeeyee lil cowboy', 'id': 1186414631406845953, 'id_str': '1186414631406845953', 'indices': [0, 15]}], 'urls': []}",,en
1339107872144195584,2020-12-16 07:19:30,@hierophantstarr OH WAIT HI CAN I 👉🏻👈🏻,b'@hierophantstarr OH WAIT HI CAN I \xf0\x9f\x91\x89\xf0\x9f\x8f\xbb\xf0\x9f\x91\x88\xf0\x9f\x8f\xbb',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hierophantstarr', 'name': 'ʜɪᴇʀᴏ *:･ﾟ✧', 'id': 1034273995657498626, 'id_str': '1034273995657498626', 'indices': [0, 16]}], 'urls': []}",,en
1339107656498257920,2020-12-16 07:18:39,@girlkissermikan I... do mean.......,b'@girlkissermikan I... do mean.......',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'girlkissermikan', 'name': '🎀 mika 🎀 (in heat!!)', 'id': 1287269749848567809, 'id_str': '1287269749848567809', 'indices': [0, 16]}], 'urls': []}",,en
1339107583794192384,2020-12-16 07:18:22,WHAT THE FUCK HAPPENED https://t.co/W6wtoEBkWY,b'WHAT THE FUCK HAPPENED https://t.co/W6wtoEBkWY',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339107565926375424, 'id_str': '1339107565926375424', 'indices': [23, 46], 'media_url': 'http://pbs.twimg.com/media/EpV3PH8UYAADyIx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpV3PH8UYAADyIx.jpg', 'url': 'https://t.co/W6wtoEBkWY', 'display_url': 'pic.twitter.com/W6wtoEBkWY', 'expanded_url': 'https://twitter.com/dramadyyyy/status/1339107583794192384/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1609, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 943, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 534, 'h': 680, 'resize': 'fit'}}}]}",,en
1339106721285820416,2020-12-16 07:14:56,"@coffeeshopkth sTAHP
You’re a kpop Stan acc abut your likes are entirely me
Likes are public broski",b'@coffeeshopkth sTAHP\nYou\xe2\x80\x99re a kpop Stan acc abut your likes are entirely me\nLikes are public broski',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'coffeeshopkth', 'name': 'peyton⁷⟭⟬°•𝓂ℴℴ𝓃𝒸𝒽𝒾𝓁𝒹•°', 'id': 1243443825520939008, 'id_str': '1243443825520939008', 'indices': [0, 14]}], 'urls': []}",,en
1339106512162103296,2020-12-16 07:14:06,@coffeeshopkth Grrbarkbark,b'@coffeeshopkth Grrbarkbark',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'coffeeshopkth', 'name': 'peyton⁷⟭⟬°•𝓂ℴℴ𝓃𝒸𝒽𝒾𝓁𝒹•°', 'id': 1243443825520939008, 'id_str': '1243443825520939008', 'indices': [0, 14]}], 'urls': []}",,sv
