id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339054325696516098,2020-12-16 03:46:44,RT @hamilt0n: Denial ain't just a river in Egypt https://t.co/QRkvzHajSu,"b""RT @hamilt0n: Denial ain't just a river in Egypt https://t.co/QRkvzHajSu""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hamilt0n', 'name': 'Michael🥑🏙️🌇🌃🏚️🏘️🏗️🛫🗽🍕🍻', 'id': 19301152, 'id_str': '19301152', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1338993375626874880, 'id_str': '1338993375626874880', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/media/EpUPYX7XUAAoPjb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUPYX7XUAAoPjb.jpg', 'url': 'https://t.co/QRkvzHajSu', 'display_url': 'pic.twitter.com/QRkvzHajSu', 'expanded_url': 'https://twitter.com/hamilt0n/status/1338993381649903622/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 674, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1189, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 2029, 'resize': 'fit'}}, 'source_status_id': 1338993381649903622, 'source_status_id_str': '1338993381649903622', 'source_user_id': 19301152, 'source_user_id_str': '19301152'}]}",,en
1339021645340680192,2020-12-16 01:36:52,@YIMBY_Princeton @mattyglesias Yeah I it might be as good to require exclusionary grantees to use CDBG on low-income housing as to cut them off entirely,b'@YIMBY_Princeton @mattyglesias Yeah I it might be as good to require exclusionary grantees to use CDBG on low-income housing as to cut them off entirely',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YIMBY_Princeton', 'name': 'Central NJ Yimby 🇺🇸🚲🏙', 'id': 792559032368304128, 'id_str': '792559032368304128', 'indices': [0, 16]}, {'screen_name': 'mattyglesias', 'name': 'Matthew Yglesias 🍦', 'id': 15446531, 'id_str': '15446531', 'indices': [17, 30]}], 'urls': []}",,en
1339020355990679553,2020-12-16 01:31:45,"@YIMBY_Princeton @mattyglesias Certainly not all exclusionary localities get funds, but these are all grantees https://t.co/mkahfQ18re","b'@YIMBY_Princeton @mattyglesias Certainly not all exclusionary localities get funds, but these are all grantees https://t.co/mkahfQ18re'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YIMBY_Princeton', 'name': 'Central NJ Yimby 🇺🇸🚲🏙', 'id': 792559032368304128, 'id_str': '792559032368304128', 'indices': [0, 16]}, {'screen_name': 'mattyglesias', 'name': 'Matthew Yglesias 🍦', 'id': 15446531, 'id_str': '15446531', 'indices': [17, 30]}], 'urls': [], 'media': [{'id': 1339020353931186178, 'id_str': '1339020353931186178', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/EpUn6t8WEAIJQ5_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUn6t8WEAIJQ5_.jpg', 'url': 'https://t.co/mkahfQ18re', 'display_url': 'pic.twitter.com/mkahfQ18re', 'expanded_url': 'https://twitter.com/ebwhamilton/status/1339020355990679553/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 369, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 882, 'h': 479, 'resize': 'fit'}, 'large': {'w': 882, 'h': 479, 'resize': 'fit'}}}]}",,en
1339019426163798017,2020-12-16 01:28:03,"@mattyglesias @YIMBY_Princeton I say put that CDBG statute to the test. If the funds are supposed to be benefitting primarily low- and moderate-income households, they shouldn’t be going to the most exclusionary jurisdictions unless they reform housing policy.","b'@mattyglesias @YIMBY_Princeton I say put that CDBG statute to the test. If the funds are supposed to be benefitting primarily low- and moderate-income households, they shouldn\xe2\x80\x99t be going to the most exclusionary jurisdictions unless they reform housing policy.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mattyglesias', 'name': 'Matthew Yglesias 🍦', 'id': 15446531, 'id_str': '15446531', 'indices': [0, 13]}, {'screen_name': 'YIMBY_Princeton', 'name': 'Central NJ Yimby 🇺🇸🚲🏙', 'id': 792559032368304128, 'id_str': '792559032368304128', 'indices': [14, 30]}], 'urls': []}",,en
1339017663633387522,2020-12-16 01:21:03,"I’m not writing off the potential for some housing action at HUD, but this is a good point from @mattyglesias https://t.co/IYgCbqqppd https://t.co/IC4xgV8Lyq","b'I\xe2\x80\x99m not writing off the potential for some housing action at HUD, but this is a good point from @mattyglesias https://t.co/IYgCbqqppd https://t.co/IC4xgV8Lyq'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mattyglesias', 'name': 'Matthew Yglesias 🍦', 'id': 15446531, 'id_str': '15446531', 'indices': [96, 109]}], 'urls': [{'url': 'https://t.co/IYgCbqqppd', 'expanded_url': 'https://www.slowboring.com/p/pete-buttigieg-dot', 'display_url': 'slowboring.com/p/pete-buttigi…', 'indices': [110, 133]}], 'media': [{'id': 1339017660131127297, 'id_str': '1339017660131127297', 'indices': [134, 157], 'media_url': 'http://pbs.twimg.com/media/EpUld6wXMAECz8i.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUld6wXMAECz8i.jpg', 'url': 'https://t.co/IC4xgV8Lyq', 'display_url': 'pic.twitter.com/IC4xgV8Lyq', 'expanded_url': 'https://twitter.com/ebwhamilton/status/1339017663633387522/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 427, 'resize': 'fit'}, 'large': {'w': 1125, 'h': 707, 'resize': 'fit'}, 'medium': {'w': 1125, 'h': 707, 'resize': 'fit'}}}]}",,en
1339002769701806080,2020-12-16 00:21:52,"@salimfurth That would be fun, I’d love to see your map!","b'@salimfurth That would be fun, I\xe2\x80\x99d love to see your map!'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'salimfurth', 'name': 'Salim Furth', 'id': 252123610, 'id_str': '252123610', 'indices': [0, 11]}], 'urls': []}",,en
1338998144395325440,2020-12-16 00:03:29,"RT @adamfromplatte: I spoke with @ebwhamilton about her new policy brief, 
which offers ways to make construction of ADUs and Missing Middl…","b'RT @adamfromplatte: I spoke with @ebwhamilton about her new policy brief, \nwhich offers ways to make construction of ADUs and Missing Middl\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'adamfromplatte', 'name': 'Adam Weinberg', 'id': 2370943598, 'id_str': '2370943598', 'indices': [3, 18]}, {'screen_name': 'ebwhamilton', 'name': 'Emily Hamilton', 'id': 377116521, 'id_str': '377116521', 'indices': [33, 45]}], 'urls': []}",,en
1338971364473057280,2020-12-15 22:17:04,@ejenk Probably how he learned Norwegian,b'@ejenk Probably how he learned Norwegian',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ejenk', 'name': 'Evan Jenkins', 'id': 14608335, 'id_str': '14608335', 'indices': [0, 6]}], 'urls': []}",,en
1338970662891872257,2020-12-15 22:14:17,Unfortunately it takes a Ticket to Ride: Europe player to have tunneling experience https://t.co/KE1fSJXwPW,b'Unfortunately it takes a Ticket to Ride: Europe player to have tunneling experience https://t.co/KE1fSJXwPW',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KE1fSJXwPW', 'expanded_url': 'https://twitter.com/adamwren/status/1338934982341963776', 'display_url': 'twitter.com/adamwren/statu…', 'indices': [84, 107]}]}",,en
1338910232295202817,2020-12-15 18:14:09,Although these planners of planners Lyle is covering thought it should have been even more of a priority,b'Although these planners of planners Lyle is covering thought it should have been even more of a priority',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
