id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339021302112407553,2020-12-16 01:35:30,I got women calling my husband bear cub in his Christmas cards. Do you think they know he's a mailman who is ALSO forklift certified 😭 Bob's so hot 😳 https://t.co/PPC5EjcXeD,"b""I got women calling my husband bear cub in his Christmas cards. Do you think they know he's a mailman who is ALSO forklift certified \xf0\x9f\x98\xad Bob's so hot \xf0\x9f\x98\xb3 https://t.co/PPC5EjcXeD""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339021294008999944, 'id_str': '1339021294008999944', 'indices': [150, 173], 'media_url': 'http://pbs.twimg.com/media/EpUoxcAXIAgWOZK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUoxcAXIAgWOZK.jpg', 'url': 'https://t.co/PPC5EjcXeD', 'display_url': 'pic.twitter.com/PPC5EjcXeD', 'expanded_url': 'https://twitter.com/imanaboat/status/1339021302112407553/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1118, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 371, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 655, 'h': 1200, 'resize': 'fit'}}}]}",,en
1339017669488627713,2020-12-16 01:21:04,Ok I started my day at about 6 pm. Being partially unemployed in the winter is *ultradepressing* maybe I'll start cleaning my house right now,"b""Ok I started my day at about 6 pm. Being partially unemployed in the winter is *ultradepressing* maybe I'll start cleaning my house right now""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338723429281886208,2020-12-15 05:51:52,The amount of hours Bob and I have spent playing peggle lately are embarrassing,b'The amount of hours Bob and I have spent playing peggle lately are embarrassing',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338557570970169344,2020-12-14 18:52:48,RT @cannamomm: https://t.co/l09OHpAOTr,b'RT @cannamomm: https://t.co/l09OHpAOTr',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cannamomm', 'name': 'shelby lynn☃️', 'id': 1268339106775470082, 'id_str': '1268339106775470082', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1337962578862075906, 'id_str': '1337962578862075906', 'indices': [15, 38], 'media_url': 'http://pbs.twimg.com/media/EpFl4GvW8AIDPvF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpFl4GvW8AIDPvF.jpg', 'url': 'https://t.co/l09OHpAOTr', 'display_url': 'pic.twitter.com/l09OHpAOTr', 'expanded_url': 'https://twitter.com/cannamomm/status/1337962583488421889/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 844, 'h': 847, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 844, 'h': 847, 'resize': 'fit'}, 'small': {'w': 678, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1337962583488421889, 'source_status_id_str': '1337962583488421889', 'source_user_id': 1268339106775470082, 'source_user_id_str': '1268339106775470082'}]}",,und
1338557519388700676,2020-12-14 18:52:36,@corntessa My daily vitamins lmao,b'@corntessa My daily vitamins lmao',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'corntessa', 'name': 'rosa blanca', 'id': 3024138827, 'id_str': '3024138827', 'indices': [0, 10]}], 'urls': []}",,en
1338013191113203712,2020-12-13 06:49:38,RT @mark_thepigeon: @imanaboat https://t.co/DpJLQB0vDc,b'RT @mark_thepigeon: @imanaboat https://t.co/DpJLQB0vDc',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mark_thepigeon', 'name': 'Mark Chang', 'id': 552422130, 'id_str': '552422130', 'indices': [3, 18]}, {'screen_name': 'imanaboat', 'name': 'Darla Shannon', 'id': 205901832, 'id_str': '205901832', 'indices': [20, 30]}], 'urls': [], 'media': [{'id': 1338012880453726211, 'id_str': '1338012880453726211', 'indices': [31, 54], 'media_url': 'http://pbs.twimg.com/media/EpGToCxXcAMBMRM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpGToCxXcAMBMRM.jpg', 'url': 'https://t.co/DpJLQB0vDc', 'display_url': 'pic.twitter.com/DpJLQB0vDc', 'expanded_url': 'https://twitter.com/mark_thepigeon/status/1338012883477786625/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 528, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 862, 'h': 1111, 'resize': 'fit'}, 'large': {'w': 862, 'h': 1111, 'resize': 'fit'}}, 'source_status_id': 1338012883477786625, 'source_status_id_str': '1338012883477786625', 'source_user_id': 552422130, 'source_user_id_str': '552422130'}]}",,und
1338012665931853826,2020-12-13 06:47:33,https://t.co/5mIzsnJxHn https://t.co/HDvSuk67lH,b'https://t.co/5mIzsnJxHn https://t.co/HDvSuk67lH',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5mIzsnJxHn', 'expanded_url': 'https://twitter.com/mark_thepigeon/status/1338012559568482304', 'display_url': 'twitter.com/mark_thepigeon…', 'indices': [0, 23]}], 'media': [{'id': 1338012663939522561, 'id_str': '1338012663939522561', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EpGTbcMW4AEfQ-D.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpGTbcMW4AEfQ-D.jpg', 'url': 'https://t.co/HDvSuk67lH', 'display_url': 'pic.twitter.com/HDvSuk67lH', 'expanded_url': 'https://twitter.com/imanaboat/status/1338012665931853826/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 639, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 663, 'h': 1246, 'resize': 'fit'}, 'small': {'w': 362, 'h': 680, 'resize': 'fit'}}}]}",,und
1338000757442883585,2020-12-13 06:00:14,"""I am baby yoda"" my mother","b'""I am baby yoda"" my mother'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337934218953969667,2020-12-13 01:35:50,@Himlin13 YOU'RE BEAUTIFUL PEACE N BLESSINS 🖤🖤🖤,"b""@Himlin13 YOU'RE BEAUTIFUL PEACE N BLESSINS \xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Himlin13', 'name': 'Cory Himlin', 'id': 755245420180144129, 'id_str': '755245420180144129', 'indices': [0, 9]}], 'urls': []}",,en
1337896416547631106,2020-12-12 23:05:37,@corntessa YEAH WOW 😲,b'@corntessa YEAH WOW \xf0\x9f\x98\xb2',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'corntessa', 'name': 'rosa blanca', 'id': 3024138827, 'id_str': '3024138827', 'indices': [0, 10]}], 'urls': []}",,en
