id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339041979301289985,2020-12-16 02:57:40,This period did not come to play this month,b'This period did not come to play this month',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339018880195420160,2020-12-16 01:25:53,I have so many angels. I hope they're all together,"b""I have so many angels. I hope they're all together""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017668897230849,2020-12-16 01:21:04,yo Eli was the best,b'yo Eli was the best',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339013112985489409,2020-12-16 01:02:58,about 4 seconds away from making an only fans,b'about 4 seconds away from making an only fans',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339012720860000256,2020-12-16 01:01:24,RT @joshieyamaguchi: I wanna be a sugar baby,b'RT @joshieyamaguchi: I wanna be a sugar baby',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'joshieyamaguchi', 'name': '🌚', 'id': 1199399070911078402, 'id_str': '1199399070911078402', 'indices': [3, 19]}], 'urls': []}",,en
1339002431095664644,2020-12-16 00:20:31,RT @__lexichristina: YA GIRL IS A CERTIFIED LASH TECH LETS GOOOOO,b'RT @__lexichristina: YA GIRL IS A CERTIFIED LASH TECH LETS GOOOOO',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '__lexichristina', 'name': 'Lexi\U0001f90d', 'id': 893196110172479489, 'id_str': '893196110172479489', 'indices': [3, 19]}], 'urls': []}",,en
1338913559376506883,2020-12-15 18:27:23,RT @joshieyamaguchi: I dead don’t have a dream job cause my dream isn’t to work😭,b'RT @joshieyamaguchi: I dead don\xe2\x80\x99t have a dream job cause my dream isn\xe2\x80\x99t to work\xf0\x9f\x98\xad',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'joshieyamaguchi', 'name': '🌚', 'id': 1199399070911078402, 'id_str': '1199399070911078402', 'indices': [3, 19]}], 'urls': []}",,en
1338913526535114758,2020-12-15 18:27:15,Wait are gyms closed?,b'Wait are gyms closed?',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338833271183040513,2020-12-15 13:08:20,"RT @sarahschauer: men always say shit like “one swipe and your makeup would be gone,” and it’s like sir, point me in the direction of those…","b'RT @sarahschauer: men always say shit like \xe2\x80\x9cone swipe and your makeup would be gone,\xe2\x80\x9d and it\xe2\x80\x99s like sir, point me in the direction of those\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sarahschauer', 'name': 'sarah schauer 🦂', 'id': 250887629, 'id_str': '250887629', 'indices': [3, 16]}], 'urls': []}",,en
1338833031981883393,2020-12-15 13:07:23,Men just get to walk around everyday without dealing with a uterus. Imagine,b'Men just get to walk around everyday without dealing with a uterus. Imagine',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
