id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339055321160019970,2020-12-16 03:50:41,Why we always getting slandered https://t.co/hmS9VpEB5L,b'Why we always getting slandered https://t.co/hmS9VpEB5L',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hmS9VpEB5L', 'expanded_url': 'https://twitter.com/ceohaize/status/1338858864968548353', 'display_url': 'twitter.com/ceohaize/statu…', 'indices': [32, 55]}]}",,en
1339017672999235584,2020-12-16 01:21:05,Keeping the peace between everyone else only creates war within yourself,b'Keeping the peace between everyone else only creates war within yourself',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339010883553538049,2020-12-16 00:54:06,LMAOOOOO NAH FR https://t.co/CwRuqlM0qE,b'LMAOOOOO NAH FR https://t.co/CwRuqlM0qE',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CwRuqlM0qE', 'expanded_url': 'https://twitter.com/VaqueroBebop2/status/1337425172022882306', 'display_url': 'twitter.com/VaqueroBebop2/…', 'indices': [16, 39]}]}",,en
1339010751755849732,2020-12-16 00:53:35,@ushijimababe Why is October devil man crybaby....,b'@ushijimababe Why is October devil man crybaby....',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ushijimababe', 'name': 'nicyღ', 'id': 1295753419479711749, 'id_str': '1295753419479711749', 'indices': [0, 13]}], 'urls': []}",,en
1339010620566474761,2020-12-16 00:53:04,@montyy3000 @triplet2000 Right 😂,b'@montyy3000 @triplet2000 Right \xf0\x9f\x98\x82',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'montyy3000', 'name': 'Jermayne4Real', 'id': 3288840117, 'id_str': '3288840117', 'indices': [0, 11]}, {'screen_name': 'triplet2000', 'name': 'I have GOT to get my dick sucked', 'id': 1161588010112233472, 'id_str': '1161588010112233472', 'indices': [12, 24]}], 'urls': []}",,en
1339010533132038145,2020-12-16 00:52:43,RT @highandhealing: transcript: im looking at the retweets of the “spiritual twitter opinion” post...why are yall so worried about “big acc…,b'RT @highandhealing: transcript: im looking at the retweets of the \xe2\x80\x9cspiritual twitter opinion\xe2\x80\x9d post...why are yall so worried about \xe2\x80\x9cbig acc\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'highandhealing', 'name': 'jada', 'id': 1227359646563917825, 'id_str': '1227359646563917825', 'indices': [3, 18]}], 'urls': []}",,en
1339010467424063494,2020-12-16 00:52:27,If u live in GA plz vote y’all,b'If u live in GA plz vote y\xe2\x80\x99all',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338998314122010625,2020-12-16 00:04:10,@_amiyadabrat This conversation needs to be moved to Imessage 🤣,b'@_amiyadabrat This conversation needs to be moved to Imessage \xf0\x9f\xa4\xa3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_amiyadabrat', 'name': 'Amiya.', 'id': 1191558717877166081, 'id_str': '1191558717877166081', 'indices': [0, 13]}], 'urls': []}",,en
1338996313699065861,2020-12-15 23:56:13,@_amiyadabrat U never seen Aang break out the ice? https://t.co/s6DP4aillN,b'@_amiyadabrat U never seen Aang break out the ice? https://t.co/s6DP4aillN',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_amiyadabrat', 'name': 'Amiya.', 'id': 1191558717877166081, 'id_str': '1191558717877166081', 'indices': [0, 13]}], 'urls': [], 'media': [{'id': 1338996308766552079, 'id_str': '1338996308766552079', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUSDGuW8A8K9TX.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUSDGuW8A8K9TX.jpg', 'url': 'https://t.co/s6DP4aillN', 'display_url': 'pic.twitter.com/s6DP4aillN', 'expanded_url': 'https://twitter.com/raafeke/status/1338996313699065861/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 350, 'h': 230, 'resize': 'fit'}, 'medium': {'w': 350, 'h': 230, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 350, 'h': 230, 'resize': 'fit'}}}]}",,en
1338995676374560773,2020-12-15 23:53:41,@_amiyadabrat Don’t disrespect us https://t.co/pXw6Lj6rON,b'@_amiyadabrat Don\xe2\x80\x99t disrespect us https://t.co/pXw6Lj6rON',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_amiyadabrat', 'name': 'Amiya.', 'id': 1191558717877166081, 'id_str': '1191558717877166081', 'indices': [0, 13]}], 'urls': [], 'media': [{'id': 1338995671517569024, 'id_str': '1338995671517569024', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUReAyXIAAzPZU.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUReAyXIAAzPZU.jpg', 'url': 'https://t.co/pXw6Lj6rON', 'display_url': 'pic.twitter.com/pXw6Lj6rON', 'expanded_url': 'https://twitter.com/raafeke/status/1338995676374560773/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 498, 'h': 270, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 270, 'resize': 'fit'}, 'large': {'w': 498, 'h': 270, 'resize': 'fit'}}}]}",,en
1338987780291108865,2020-12-15 23:22:18,@_amiyadabrat That’s such cap 😂,b'@_amiyadabrat That\xe2\x80\x99s such cap \xf0\x9f\x98\x82',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_amiyadabrat', 'name': 'Amiya.', 'id': 1191558717877166081, 'id_str': '1191558717877166081', 'indices': [0, 13]}], 'urls': []}",,en
