id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339048236103983105,2020-12-16 03:22:32,You know what they call this at Bethesda a day ending in Y. https://t.co/JTXx2DUHqN,b'You know what they call this at Bethesda a day ending in Y. https://t.co/JTXx2DUHqN',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JTXx2DUHqN', 'expanded_url': 'https://twitter.com/JumpOvertheAge/status/1338929166301990914', 'display_url': 'twitter.com/JumpOvertheAge…', 'indices': [60, 83]}]}",,en
1339047197590102017,2020-12-16 03:18:24,Post four fictional characters you relate to and let someone assume sonething about you. https://t.co/dBJLYxBIxV,b'Post four fictional characters you relate to and let someone assume sonething about you. https://t.co/dBJLYxBIxV',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339046482671001601, 'id_str': '1339046482671001601', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/EpU_rnFXYAE9_cx.png', 'media_url_https': 'https://pbs.twimg.com/media/EpU_rnFXYAE9_cx.png', 'url': 'https://t.co/dBJLYxBIxV', 'display_url': 'pic.twitter.com/dBJLYxBIxV', 'expanded_url': 'https://twitter.com/sheamcc21/status/1339047197590102017/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 333, 'h': 250, 'resize': 'fit'}, 'medium': {'w': 333, 'h': 250, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 333, 'h': 250, 'resize': 'fit'}}}]}",,en
1339027472269144068,2020-12-16 02:00:01,Its still funny to me how JK Rowling just looked at a news story about the Troubbles one morning and thought and Irish character who accidently blows stuff up is a good character.,b'Its still funny to me how JK Rowling just looked at a news story about the Troubbles one morning and thought and Irish character who accidently blows stuff up is a good character.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339024221318619137,2020-12-16 01:47:06,How is Cyberpunk 2077 with cops like I've been hearing its both copganda and in that place that Psycho Pass is in where your supossed to go hey cops shouldnt be using that much lethal force.,"b""How is Cyberpunk 2077 with cops like I've been hearing its both copganda and in that place that Psycho Pass is in where your supossed to go hey cops shouldnt be using that much lethal force.""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339018651467452421,2020-12-16 01:24:58,Like TLJ is a good movie but you give me the ability to memory hole any pop culture affilia that came out this decade its TLJ. https://t.co/zfyREQct7H,b'Like TLJ is a good movie but you give me the ability to memory hole any pop culture affilia that came out this decade its TLJ. https://t.co/zfyREQct7H',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zfyREQct7H', 'expanded_url': 'https://twitter.com/sheamcc21/status/1339017660525408257', 'display_url': 'twitter.com/sheamcc21/stat…', 'indices': [127, 150]}]}",,en
1339017660525408257,2020-12-16 01:21:02,The Last Jedi was the first time a things fans destroyed any enthusiam I had for something I loved. Like Avatar fans are annoying but I can still think about Avatar and be happy. I cant think of TLJ with out feeling a lot of fatigue.,b'The Last Jedi was the first time a things fans destroyed any enthusiam I had for something I loved. Like Avatar fans are annoying but I can still think about Avatar and be happy. I cant think of TLJ with out feeling a lot of fatigue.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338992458626162691,2020-12-15 23:40:54,Im seeing screens from this Cyberpunk game and again it doesnt look worse then anything I've seen from Bethesda.,"b""Im seeing screens from this Cyberpunk game and again it doesnt look worse then anything I've seen from Bethesda.""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338983800517386243,2020-12-15 23:06:29,Its true wat they say good comedians are a head of their time I said this 2020 is a time loop of a year right when the BLM protests started happing. https://t.co/Osvl7DsdjT,b'Its true wat they say good comedians are a head of their time I said this 2020 is a time loop of a year right when the BLM protests started happing. https://t.co/Osvl7DsdjT',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Osvl7DsdjT', 'expanded_url': 'https://twitter.com/G0ffThew/status/1338978695952781313', 'display_url': 'twitter.com/G0ffThew/statu…', 'indices': [149, 172]}]}",,en
1338966009278058506,2020-12-15 21:55:48,You know if Cyberpunk was made by Bethesda yall would love it.,b'You know if Cyberpunk was made by Bethesda yall would love it.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338960669798969344,2020-12-15 21:34:35,They dont know I'm autistic. https://t.co/n76z1WeYxF,"b""They dont know I'm autistic. https://t.co/n76z1WeYxF""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338960612727152646, 'id_str': '1338960612727152646', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/EpTxlUnXYAYNoti.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpTxlUnXYAYNoti.jpg', 'url': 'https://t.co/n76z1WeYxF', 'display_url': 'pic.twitter.com/n76z1WeYxF', 'expanded_url': 'https://twitter.com/sheamcc21/status/1338960669798969344/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 880, 'h': 480, 'resize': 'fit'}, 'small': {'w': 680, 'h': 371, 'resize': 'fit'}, 'medium': {'w': 880, 'h': 480, 'resize': 'fit'}}}]}",,en
1338960084794224641,2020-12-15 21:32:15,Eh at some point I have to go out and get the future I dreamed of.,b'Eh at some point I have to go out and get the future I dreamed of.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338948891128041473,2020-12-15 20:47:46,"So Isyamia Eren and Mikisa seem like they're in love and want to fuck. 
Isyamia; Whats love you must mean the Akarman gene. https://t.co/PKf2Xn502l","b""So Isyamia Eren and Mikisa seem like they're in love and want to fuck. \nIsyamia; Whats love you must mean the Akarman gene. https://t.co/PKf2Xn502l""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PKf2Xn502l', 'expanded_url': 'https://twitter.com/aotposts/status/1338821839410376704', 'display_url': 'twitter.com/aotposts/statu…', 'indices': [124, 147]}]}",,en
1338937104936611840,2020-12-15 20:00:56,I just want someone to save me from my hell house I hate it here.,b'I just want someone to save me from my hell house I hate it here.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338931409428295680,2020-12-15 19:38:18,I always interprated Annos hatred for otaku as the same hatred nerds have for other nerds.,b'I always interprated Annos hatred for otaku as the same hatred nerds have for other nerds.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338930709306732544,2020-12-15 19:35:31,Has anyone ever defended a poc or a female directir with the weird passion nerds have for Rain Johnson.,b'Has anyone ever defended a poc or a female directir with the weird passion nerds have for Rain Johnson.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338929077298847744,2020-12-15 19:29:02,Again the idea of Rain vs JJ only really exists in the minds of weird internet nerds.,b'Again the idea of Rain vs JJ only really exists in the minds of weird internet nerds.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338928198134935553,2020-12-15 19:25:33,At this point its less about Finns arc is less about what was good for the character and which wealthy white guy you prefer. https://t.co/rDSZYGE2Dv,b'At this point its less about Finns arc is less about what was good for the character and which wealthy white guy you prefer. https://t.co/rDSZYGE2Dv',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rDSZYGE2Dv', 'expanded_url': 'https://twitter.com/sheamcc21/status/1338927203275386881', 'display_url': 'twitter.com/sheamcc21/stat…', 'indices': [125, 148]}]}",,en
