id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339031390525022209,2020-12-16 02:15:36,@chuffLet follow for follow,b'@chuffLet follow for follow',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chuffLet', 'name': '𝓥𝓮𝓷𝓲𝔁 🤶', 'id': 622885334, 'id_str': '622885334', 'indices': [0, 9]}], 'urls': []}",,en
1339031104234381312,2020-12-16 02:14:27,@enaidrobles follow for follow,b'@enaidrobles follow for follow',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'enaidrobles', 'name': 'dianne 🐙 🧲 #LBE🌍☀️🤡', 'id': 270202499, 'id_str': '270202499', 'indices': [0, 12]}], 'urls': []}",,en
1339030955584065537,2020-12-16 02:13:52,@Haylee_Jade2 follow for follow,b'@Haylee_Jade2 follow for follow',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Haylee_Jade2', 'name': 'Haylee', 'id': 814449280274415616, 'id_str': '814449280274415616', 'indices': [0, 13]}], 'urls': []}",,en
1339030863888134147,2020-12-16 02:13:30,@Arnas555 follow for follow,b'@Arnas555 follow for follow',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Arnas555', 'name': '👁️\u200d🗨️sellga👁️\u200d🗨️', 'id': 791287803057438720, 'id_str': '791287803057438720', 'indices': [0, 9]}], 'urls': []}",,en
1339030815620149248,2020-12-16 02:13:19,@Sherita281 follow for follow,b'@Sherita281 follow for follow',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sherita281', 'name': 'rita', 'id': 1209238386701225986, 'id_str': '1209238386701225986', 'indices': [0, 11]}], 'urls': []}",,en
1339030743671042048,2020-12-16 02:13:01,@Alex07225372 follow for follow ?,b'@Alex07225372 follow for follow ?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Alex07225372', 'name': 'Alex ugsod', 'id': 1224860948273360896, 'id_str': '1224860948273360896', 'indices': [0, 13]}], 'urls': []}",,en
1339030294721155072,2020-12-16 02:11:14,#Cyberpunk 2077 We @ it all night !!! !subup  !twitter !gt !ig !yt For Socials  (song request can be turned on ) https://t.co/WGHsWFKLAN,b'#Cyberpunk 2077 We @ it all night !!! !subup  !twitter !gt !ig !yt For Socials  (song request can be turned on ) https://t.co/WGHsWFKLAN',"{'hashtags': [{'text': 'Cyberpunk', 'indices': [0, 10]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WGHsWFKLAN', 'expanded_url': 'https://twitch.tv/w3r1_x_sixerbaby', 'display_url': 'twitch.tv/w3r1_x_sixerba…', 'indices': [113, 136]}]}",,en
1339027523292844033,2020-12-16 02:00:14,@Stewyakovic Fair enough ?,b'@Stewyakovic Fair enough ?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Stewyakovic', 'name': 'Stew🏀', 'id': 926507047876689920, 'id_str': '926507047876689920', 'indices': [0, 12]}], 'urls': []}",,en
1339027475272265728,2020-12-16 02:00:02,@Stewyakovic I’ll just say he’s a good shooter,b'@Stewyakovic I\xe2\x80\x99ll just say he\xe2\x80\x99s a good shooter',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Stewyakovic', 'name': 'Stew🏀', 'id': 926507047876689920, 'id_str': '926507047876689920', 'indices': [0, 12]}], 'urls': []}",,en
1339027278903259139,2020-12-16 01:59:15,@Stewyakovic Still ... an assassin from 3 .. Jeff Teague ...??? Idk 🤷🏾‍♂️,b'@Stewyakovic Still ... an assassin from 3 .. Jeff Teague ...??? Idk \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Stewyakovic', 'name': 'Stew🏀', 'id': 926507047876689920, 'id_str': '926507047876689920', 'indices': [0, 12]}], 'urls': []}",,en
1339026812807077888,2020-12-16 01:57:24,"@Stewyakovic Yeah when , he can shoot but an assassin you think of other names not including his","b'@Stewyakovic Yeah when , he can shoot but an assassin you think of other names not including his'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Stewyakovic', 'name': 'Stew🏀', 'id': 926507047876689920, 'id_str': '926507047876689920', 'indices': [0, 12]}], 'urls': []}",,en
1339023540893478912,2020-12-16 01:44:24,@JMokely @iGreenGod ✊🏾,b'@JMokely @iGreenGod \xe2\x9c\x8a\xf0\x9f\x8f\xbe',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JMokely', 'name': '🤡😝🖕 𝐉𝕆𝐊ᵉＲ 𝐌. 😈😝🖕', 'id': 1158449685264261131, 'id_str': '1158449685264261131', 'indices': [0, 8]}, {'screen_name': 'iGreenGod', 'name': 'мя ɢʀɛɛռ ɢօɖ', 'id': 1228212970708013057, 'id_str': '1228212970708013057', 'indices': [9, 19]}], 'urls': []}",,und
1339023439865274370,2020-12-16 01:44:00,RT @BestBuy: The long wait is over for Cyberpunk 2077. How fast will you be getting it?,b'RT @BestBuy: The long wait is over for Cyberpunk 2077. How fast will you be getting it?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BestBuy', 'name': 'Best Buy', 'id': 17475575, 'id_str': '17475575', 'indices': [3, 11]}], 'urls': []}",,en
1339023382155767810,2020-12-16 01:43:46,Cyberpunk 2077 Stream coming soon,b'Cyberpunk 2077 Stream coming soon',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017674626641920,2020-12-16 01:21:06,Talk 2 me... RATE IT !!! Got other players these are the ones i like   #NBA2K21NextGeneration #XboxShare https://t.co/IsXLO1fX4q,b'Talk 2 me... RATE IT !!! Got other players these are the ones i like   #NBA2K21NextGeneration #XboxShare https://t.co/IsXLO1fX4q',"{'hashtags': [{'text': 'NBA2K21NextGeneration', 'indices': [71, 93]}, {'text': 'XboxShare', 'indices': [94, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339017647451742209, 'id_str': '1339017647451742209', 'indices': [105, 128], 'media_url': 'http://pbs.twimg.com/media/EpUldLhXIAEZ0PG.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUldLhXIAEZ0PG.jpg', 'url': 'https://t.co/IsXLO1fX4q', 'display_url': 'pic.twitter.com/IsXLO1fX4q', 'expanded_url': 'https://twitter.com/sixerbaby_1720/status/1339017674626641920/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",,en
1339014931841216513,2020-12-16 01:10:12,@ItsaBlitz I got the 3 year joint and paid from early shipping so I can get it sooner,b'@ItsaBlitz I got the 3 year joint and paid from early shipping so I can get it sooner',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339014805043208195,2020-12-16 01:09:41,https://t.co/r8Na33azNY Arrives 12/22 I’ll finally be able to test this 4K shit ... 🤦🏾‍♂️ I know I’m late but I’m content and doing all of this on my own just rock wit me y’all we gonna make it ☝🏾 day ...,b'https://t.co/r8Na33azNY Arrives 12/22 I\xe2\x80\x99ll finally be able to test this 4K shit ... \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f I know I\xe2\x80\x99m late but I\xe2\x80\x99m content and doing all of this on my own just rock wit me y\xe2\x80\x99all we gonna make it \xe2\x98\x9d\xf0\x9f\x8f\xbe day ...',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/r8Na33azNY', 'expanded_url': 'http://www.walmart.com/ip/ASUS-28-4K-3840x2160-60hz-1ms-DP-HDMI-AMD-FREESYNC-UHD-LED-Gaming-Monitor-VP28UQG/503780622', 'display_url': 'walmart.com/ip/ASUS-28-4K-…', 'indices': [0, 23]}]}",,en
1339007506912309248,2020-12-16 00:40:41,@ItsaBlitz yo check comments,b'@ItsaBlitz yo check comments',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339007431133814788,2020-12-16 00:40:23,Which is better ???,b'Which is better ???',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339006205390368768,2020-12-16 00:35:31,@ItsaBlitz Does it come with a manufactured warranty or I gotta pay for the 3/4 year one from Walmart,b'@ItsaBlitz Does it come with a manufactured warranty or I gotta pay for the 3/4 year one from Walmart',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339004559021252608,2020-12-16 00:28:59,@ItsaBlitz I thought so cause I know the 1ms response time is better than 5ms but I didn’t know if it was a big difference or not,b'@ItsaBlitz I thought so cause I know the 1ms response time is better than 5ms but I didn\xe2\x80\x99t know if it was a big difference or not',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339004372240523266,2020-12-16 00:28:14,@ItsaBlitz Yeah I have headphones don’t need speakers ( the cpu has speakers and etc. ),b'@ItsaBlitz Yeah I have headphones don\xe2\x80\x99t need speakers ( the cpu has speakers and etc. )',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339004218074673152,2020-12-16 00:27:37,@ItsaBlitz So it’s a good one &amp; is it better than the one I was gonna get ?,b'@ItsaBlitz So it\xe2\x80\x99s a good one &amp; is it better than the one I was gonna get ?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339003719321530371,2020-12-16 00:25:38,@ItsaBlitz https://t.co/r8Na33azNY,b'@ItsaBlitz https://t.co/r8Na33azNY',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/r8Na33azNY', 'expanded_url': 'http://www.walmart.com/ip/ASUS-28-4K-3840x2160-60hz-1ms-DP-HDMI-AMD-FREESYNC-UHD-LED-Gaming-Monitor-VP28UQG/503780622', 'display_url': 'walmart.com/ip/ASUS-28-4K-…', 'indices': [11, 34]}]}",,und
1339003520884879362,2020-12-16 00:24:51,@ItsaBlitz Yeah 1ms 4K get that one ???,b'@ItsaBlitz Yeah 1ms 4K get that one ???',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339003139807191044,2020-12-16 00:23:20,@JoseCanseco @NBAS4m He’s not following everyone bs know he ???,b'@JoseCanseco @NBAS4m He\xe2\x80\x99s not following everyone bs know he ???',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoseCanseco', 'name': 'Jose Canseco', 'id': 19715003, 'id_str': '19715003', 'indices': [0, 12]}, {'screen_name': 'NBAS4m', 'name': '𝒮𝒶𝓂', 'id': 1241870524537548804, 'id_str': '1241870524537548804', 'indices': [13, 20]}], 'urls': []}",,en
1339002766765805569,2020-12-16 00:21:51,@ItsaBlitz I see another one with 1ms response time is that better ?,b'@ItsaBlitz I see another one with 1ms response time is that better ?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339001897299169280,2020-12-16 00:18:24,@nG_Isolations @ItsaBlitz Don’t matter the reviews good and it’s well worth the amount appreciate the feedback,b'@nG_Isolations @ItsaBlitz Don\xe2\x80\x99t matter the reviews good and it\xe2\x80\x99s well worth the amount appreciate the feedback',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nG_Isolations', 'name': 'Beast-sama', 'id': 430256948, 'id_str': '430256948', 'indices': [0, 14]}, {'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [15, 25]}], 'urls': []}",,en
1339001633812992008,2020-12-16 00:17:21,@ItsaBlitz What’s the difference from 60 &amp; 70 Htz,b'@ItsaBlitz What\xe2\x80\x99s the difference from 60 &amp; 70 Htz',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339000655709663234,2020-12-16 00:13:28,@ItsaBlitz So 70 htz can’t play 2K/Madden21,b'@ItsaBlitz So 70 htz can\xe2\x80\x99t play 2K/Madden21',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1339000293107830784,2020-12-16 00:12:01,@nG_Isolations @ItsaBlitz 5ms,b'@nG_Isolations @ItsaBlitz 5ms',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nG_Isolations', 'name': 'Beast-sama', 'id': 430256948, 'id_str': '430256948', 'indices': [0, 14]}, {'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [15, 25]}], 'urls': []}",,und
1339000185498775554,2020-12-16 00:11:36,@ItsaBlitz I seen one with 70 htz but I don’t know which was better so I chose the one I liked more...,b'@ItsaBlitz I seen one with 70 htz but I don\xe2\x80\x99t know which was better so I chose the one I liked more...',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1338999978371506176,2020-12-16 00:10:46,@ItsaBlitz Couldn’t find one with quicker response time for the amount I’m spending this time so I just grabbed that one for the time being,b'@ItsaBlitz Couldn\xe2\x80\x99t find one with quicker response time for the amount I\xe2\x80\x99m spending this time so I just grabbed that one for the time being',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1338999482353143809,2020-12-16 00:08:48,@ItsaBlitz I’m a sell this one I have now it’s still a dope monitor just 1080p,b'@ItsaBlitz I\xe2\x80\x99m a sell this one I have now it\xe2\x80\x99s still a dope monitor just 1080p',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1338999358835073024,2020-12-16 00:08:19,@ItsaBlitz Just sent the link I gotta see what the 4K like,b'@ItsaBlitz Just sent the link I gotta see what the 4K like',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,en
1338999286734970881,2020-12-16 00:08:02,"@ItsaBlitz Philips 276E8VJSB 27"" Monitor, 4K UHD IPS, 1 Billion+ Colors, Ultranarrow Borders, Lowblue, Multiview, 4Yr Advance Replacement Warranty https://t.co/pCzr1fccsH","b'@ItsaBlitz Philips 276E8VJSB 27"" Monitor, 4K UHD IPS, 1 Billion+ Colors, Ultranarrow Borders, Lowblue, Multiview, 4Yr Advance Replacement Warranty https://t.co/pCzr1fccsH'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/pCzr1fccsH', 'expanded_url': 'https://www.amazon.com/dp/B07JXCR263/ref=cm_sw_r_cp_api_glt_fabc_T7u2FbBH5TTMH', 'display_url': 'amazon.com/dp/B07JXCR263/…', 'indices': [147, 170]}]}",,en
1338998975857356801,2020-12-16 00:06:47,@ItsaBlitz 4K,b'@ItsaBlitz 4K',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsaBlitz', 'name': 'ItsaBlitz', 'id': 2523068622, 'id_str': '2523068622', 'indices': [0, 10]}], 'urls': []}",,und
1338998742431772675,2020-12-16 00:05:52,From this https://t.co/cDwPPnxbFW,b'From this https://t.co/cDwPPnxbFW',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338998738677850113, 'id_str': '1338998738677850113', 'indices': [10, 33], 'media_url': 'http://pbs.twimg.com/media/EpUUQi2W4AElZbh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUUQi2W4AElZbh.jpg', 'url': 'https://t.co/cDwPPnxbFW', 'display_url': 'pic.twitter.com/cDwPPnxbFW', 'expanded_url': 'https://twitter.com/sixerbaby_1720/status/1338998742431772675/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}}}]}",,en
1338998736895307777,2020-12-16 00:05:50,W L or N ( upgrading to this ) https://t.co/EZfPPSGGAV,b'W L or N ( upgrading to this ) https://t.co/EZfPPSGGAV',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338998732717780994, 'id_str': '1338998732717780994', 'indices': [31, 54], 'media_url': 'http://pbs.twimg.com/media/EpUUQMpXcAI8SJk.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUUQMpXcAI8SJk.jpg', 'url': 'https://t.co/EZfPPSGGAV', 'display_url': 'pic.twitter.com/EZfPPSGGAV', 'expanded_url': 'https://twitter.com/sixerbaby_1720/status/1338998736895307777/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}}}]}",,en
1338927942999683072,2020-12-15 19:24:32,Xp Grind to start the day off !subup  !twitter !gt !ig !yt For Socials  (song request can be turned on ) https://t.co/WGHsWFKLAN,b'Xp Grind to start the day off !subup  !twitter !gt !ig !yt For Socials  (song request can be turned on ) https://t.co/WGHsWFKLAN',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WGHsWFKLAN', 'expanded_url': 'https://twitch.tv/w3r1_x_sixerbaby', 'display_url': 'twitch.tv/w3r1_x_sixerba…', 'indices': [105, 128]}]}",,en
1338923991973711872,2020-12-15 19:08:50,@ThatzMsSheriff @2KDogReport You definitely can get busy without deep 3’s what shot you using tho ...,b'@ThatzMsSheriff @2KDogReport You definitely can get busy without deep 3\xe2\x80\x99s what shot you using tho ...',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ThatzMsSheriff', 'name': '🦋Pri-Pri ✨', 'id': 239833694, 'id_str': '239833694', 'indices': [0, 15]}, {'screen_name': '2KDogReport', 'name': '#NBA2K21', 'id': 1230608336137183250, 'id_str': '1230608336137183250', 'indices': [16, 28]}], 'urls': []}",,en
1338923289050288128,2020-12-15 19:06:02,23 Subs from a giveaway so sub up and GOOD LUCK 🍀👍🏾  Sixer Baby https://t.co/zZEOIwr9fa via @YouTube,b'23 Subs from a giveaway so sub up and GOOD LUCK \xf0\x9f\x8d\x80\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbe  Sixer Baby https://t.co/zZEOIwr9fa via @YouTube',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [92, 100]}], 'urls': [{'url': 'https://t.co/zZEOIwr9fa', 'expanded_url': 'https://www.youtube.com/channel/UCUVw5T0wDqPisgiQpSb1shg', 'display_url': 'youtube.com/channel/UCUVw5…', 'indices': [64, 87]}]}",,en
1338922947482947584,2020-12-15 19:04:41,RT @BestBuy: The long wait is over for Cyberpunk 2077. How fast will you be getting it?,b'RT @BestBuy: The long wait is over for Cyberpunk 2077. How fast will you be getting it?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BestBuy', 'name': 'Best Buy', 'id': 17475575, 'id_str': '17475575', 'indices': [3, 11]}], 'urls': []}",,en
1338811007284744192,2020-12-15 11:39:52,https://t.co/jR0KnzW9Uv,b'https://t.co/jR0KnzW9Uv',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jR0KnzW9Uv', 'expanded_url': 'https://www.twitch.tv/videos/837742748?t=586s', 'display_url': 'twitch.tv/videos/8377427…', 'indices': [0, 23]}]}",,und
