id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339018268359725057,2020-12-16 01:23:27,"RT @blaze0497: LIMBAUGH EXPLAINS THE REAL REASON THE SUPREME COURT REFUSED THE TEXAS CASE AND AS USUAL, HE’S SPOT-ON

https://t.co/xaZIPjxR…","b'RT @blaze0497: LIMBAUGH EXPLAINS THE REAL REASON THE SUPREME COURT REFUSED THE TEXAS CASE AND AS USUAL, HE\xe2\x80\x99S SPOT-ON\n\nhttps://t.co/xaZIPjxR\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'blaze0497', 'name': 'Robert Combs', 'id': 2981776113, 'id_str': '2981776113', 'indices': [3, 13]}], 'urls': []}",,en
1339017679181668354,2020-12-16 01:21:07,President Trump should de-classify everything and burn both parties to the ground.  Retweet if you agree.,b'President Trump should de-classify everything and burn both parties to the ground.  Retweet if you agree.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339016384269922304,2020-12-16 01:15:58,"RT @YellowVest9: Map of terrorist attacks in Europe over the past 25 years.
The correlation between immigration &amp; terrorism is staggering..…",b'RT @YellowVest9: Map of terrorist attacks in Europe over the past 25 years.\nThe correlation between immigration &amp; terrorism is staggering..\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YellowVest9', 'name': 'Gilet Le Jaune', 'id': 1083757451630034945, 'id_str': '1083757451630034945', 'indices': [3, 15]}], 'urls': []}",,en
1339015892361949184,2020-12-16 01:14:01,@mspdcali @camayusa1 @GroveKilosdad73 @PaulWestonEden @GOP I left the weak ass Republican Party years ago!,b'@mspdcali @camayusa1 @GroveKilosdad73 @PaulWestonEden @GOP I left the weak ass Republican Party years ago!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mspdcali', 'name': '🎄🎁🎄MSTRISH KAG', 'id': 81399888, 'id_str': '81399888', 'indices': [0, 9]}, {'screen_name': 'camayusa1', 'name': 'President-Elect CAMAYUSA 🇺🇸👉🏾 #CONCEDEJOE🇨🇳', 'id': 1106758838055776257, 'id_str': '1106758838055776257', 'indices': [10, 20]}, {'screen_name': 'GroveKilosdad73', 'name': '💥👉Red Hat Pitbull👈💥 KNOWS 💥', 'id': 931277498, 'id_str': '931277498', 'indices': [21, 37]}, {'screen_name': 'PaulWestonEden', 'name': 'Fight the Good Fight™ Official Fact-Checker', 'id': 989888664032501761, 'id_str': '989888664032501761', 'indices': [38, 53]}, {'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [54, 58]}], 'urls': []}",,en
1338949067775291394,2020-12-15 20:48:28,@3sidedstory @karen_erotoo1 Yes.  @senatemajldr has always been a big government hack.,b'@3sidedstory @karen_erotoo1 Yes.  @senatemajldr has always been a big government hack.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '3sidedstory', 'name': 'Dr. 3sidedstory', 'id': 1170447582272708614, 'id_str': '1170447582272708614', 'indices': [0, 12]}, {'screen_name': 'karen_erotoo1', 'name': 'Proud Trumplican🇺🇲🇺🇲🇺🇲', 'id': 3529564162, 'id_str': '3529564162', 'indices': [13, 27]}, {'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [34, 47]}], 'urls': []}",,en
1338948928264429570,2020-12-15 20:47:55,RT @SweetThingWNC: JOE BIDEN WILL NEVER BE MY PRESIDENT!!!!!,b'RT @SweetThingWNC: JOE BIDEN WILL NEVER BE MY PRESIDENT!!!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SweetThingWNC', 'name': '🌲𝓢᭙ꫀꫀꪻ ꪻꫝ꠸ꪀᧁ🍓🦝', 'id': 1282766330383544320, 'id_str': '1282766330383544320', 'indices': [3, 17]}], 'urls': []}",,en
1338839622688845825,2020-12-15 13:33:35,"RT @OhMichael3: GET WOKE, GO BROKE, HORSE'S ASSES. 

File This Under ha ha ha ha ha ha ha ha ha ha ha ha..... HEH.

#GetWokeGoBroke

https:…","b""RT @OhMichael3: GET WOKE, GO BROKE, HORSE'S ASSES. \n\nFile This Under ha ha ha ha ha ha ha ha ha ha ha ha..... HEH.\n\n#GetWokeGoBroke\n\nhttps:\xe2\x80\xa6""","{'hashtags': [{'text': 'GetWokeGoBroke', 'indices': [116, 131]}], 'symbols': [], 'user_mentions': [{'screen_name': 'OhMichael3', 'name': 'OhMichael', 'id': 1176477972515213312, 'id_str': '1176477972515213312', 'indices': [3, 14]}], 'urls': []}",,en
1338838896109625344,2020-12-15 13:30:41,@ari_russian @Lathenerd Should have been gone.,b'@ari_russian @Lathenerd Should have been gone.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ari_russian', 'name': '🌹AЯI 💯ᖉ∩ƨƨ!ɐu ᗷO⊥ ❌', 'id': 3284358254, 'id_str': '3284358254', 'indices': [0, 12]}, {'screen_name': 'Lathenerd', 'name': 'Ɱąɾҟ', 'id': 3386222439, 'id_str': '3386222439', 'indices': [13, 23]}], 'urls': []}",,en
1338838665271926784,2020-12-15 13:29:46,@thehill @Wblscott1 Liars gonna lie.,b'@thehill @Wblscott1 Liars gonna lie.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thehill', 'name': 'The Hill', 'id': 1917731, 'id_str': '1917731', 'indices': [0, 8]}, {'screen_name': 'Wblscott1', 'name': 'President-Elect Wblscott1', 'id': 727559243419668480, 'id_str': '727559243419668480', 'indices': [9, 19]}], 'urls': []}",,en
1338838553237852162,2020-12-15 13:29:20,"RT @Wizard_Predicts: If Trump wins, we’ll keep our constitutional republic.

If Biden wins, we’ll get a banana republic.","b'RT @Wizard_Predicts: If Trump wins, we\xe2\x80\x99ll keep our constitutional republic.\n\nIf Biden wins, we\xe2\x80\x99ll get a banana republic.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Wizard_Predicts', 'name': 'The Election Wizard', 'id': 1290635110149169152, 'id_str': '1290635110149169152', 'indices': [3, 19]}], 'urls': []}",,en
