id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339018139019878400,2020-12-16 01:22:56,I love these two! https://t.co/DkE1yK1hW9,b'I love these two! https://t.co/DkE1yK1hW9',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DkE1yK1hW9', 'expanded_url': 'https://twitter.com/sunny/status/1338897179017097219', 'display_url': 'twitter.com/sunny/status/1…', 'indices': [18, 41]}]}",,en
1339017677222805505,2020-12-16 01:21:06,@Travis_Statham The Giving Head.,b'@Travis_Statham The Giving Head.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Travis_Statham', 'name': '©arniWay.nyc - Travis Statham', 'id': 30940684, 'id_str': '30940684', 'indices': [0, 15]}], 'urls': []}",,en
1339014300011089921,2020-12-16 01:07:41,@Sydelenasup @awarenews Haha. Going after the P🅰️P like that just made my morning perfect. It’s going to be a great day.,b'@Sydelenasup @awarenews Haha. Going after the P\xf0\x9f\x85\xb0\xef\xb8\x8fP like that just made my morning perfect. It\xe2\x80\x99s going to be a great day.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sydelenasup', 'name': '.', 'id': 2437146913, 'id_str': '2437146913', 'indices': [0, 12]}, {'screen_name': 'awarenews', 'name': 'AWARE Singapore', 'id': 202476293, 'id_str': '202476293', 'indices': [13, 23]}], 'urls': []}",,en
1339012814426411009,2020-12-16 01:01:47,@Sydelenasup @awarenews And I love on how they set up the historical context well! I didn’t know AWARE’s creation was partly motivated by the sexist eugenics policies of Singapore!,b'@Sydelenasup @awarenews And I love on how they set up the historical context well! I didn\xe2\x80\x99t know AWARE\xe2\x80\x99s creation was partly motivated by the sexist eugenics policies of Singapore!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sydelenasup', 'name': '.', 'id': 2437146913, 'id_str': '2437146913', 'indices': [0, 12]}, {'screen_name': 'awarenews', 'name': 'AWARE Singapore', 'id': 202476293, 'id_str': '202476293', 'indices': [13, 23]}], 'urls': []}",,en
1339011744543297537,2020-12-16 00:57:32,"Good morning to the listeners of the @awarenews Saga podcast only! 

https://t.co/7YyLwQQkdK",b'Good morning to the listeners of the @awarenews Saga podcast only! \n\nhttps://t.co/7YyLwQQkdK',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'awarenews', 'name': 'AWARE Singapore', 'id': 202476293, 'id_str': '202476293', 'indices': [37, 47]}], 'urls': [{'url': 'https://t.co/7YyLwQQkdK', 'expanded_url': 'https://podcasts.apple.com/sg/podcast/saga/id1541793250#episodeGuid=53b2f77f-53fd-499a-b6a7-a12cc6026a0b', 'display_url': 'podcasts.apple.com/sg/podcast/sag…', 'indices': [69, 92]}]}",,en
1339003073503510530,2020-12-16 00:23:04,@OphiePops I need my monthly dose of societal disappointment.,b'@OphiePops I need my monthly dose of societal disappointment.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OphiePops', 'name': 'Kris Dankest', 'id': 55507801, 'id_str': '55507801', 'indices': [0, 10]}], 'urls': []}",,en
1338874438901592065,2020-12-15 15:51:55,@howimissedyou https://t.co/I82icE0MIK,b'@howimissedyou https://t.co/I82icE0MIK',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'howimissedyou', 'name': 'syakir ryli', 'id': 813345084, 'id_str': '813345084', 'indices': [0, 14]}], 'urls': [], 'media': [{'id': 1338874431045730310, 'id_str': '1338874431045730310', 'indices': [15, 38], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpSjM41VgAYLD47.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpSjM41VgAYLD47.jpg', 'url': 'https://t.co/I82icE0MIK', 'display_url': 'pic.twitter.com/I82icE0MIK', 'expanded_url': 'https://twitter.com/wanjuro/status/1338874438901592065/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 498, 'h': 266, 'resize': 'fit'}, 'small': {'w': 498, 'h': 266, 'resize': 'fit'}, 'large': {'w': 498, 'h': 266, 'resize': 'fit'}}}]}",,und
1338855493536686081,2020-12-15 14:36:39,@zjadoon9 Haha. Well here’s to hopping you get a job at one of them non-profits soon!,b'@zjadoon9 Haha. Well here\xe2\x80\x99s to hopping you get a job at one of them non-profits soon!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zjadoon9', 'name': 'Zoha', 'id': 1013474390644871169, 'id_str': '1013474390644871169', 'indices': [0, 9]}], 'urls': []}",,en
1338854018458632196,2020-12-15 14:30:47,@zjadoon9 “Interesting choice interning for a non-profit!” That should humble them.,b'@zjadoon9 \xe2\x80\x9cInteresting choice interning for a non-profit!\xe2\x80\x9d That should humble them.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zjadoon9', 'name': 'Zoha', 'id': 1013474390644871169, 'id_str': '1013474390644871169', 'indices': [0, 9]}], 'urls': []}",,en
1338853115689271296,2020-12-15 14:27:12,@grrosegr Moderna? Oh must be nice working in an arts museum!,b'@grrosegr Moderna? Oh must be nice working in an arts museum!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'grrosegr', 'name': 'Gregory Rose', 'id': 88313436, 'id_str': '88313436', 'indices': [0, 9]}], 'urls': []}",,en
