id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339026488151117824,2020-12-16 01:56:07,@jsundmanus @CrowdWisdoms @stuartpstevens Oops 😬 I got to stop blaming Lincoln-,b'@jsundmanus @CrowdWisdoms @stuartpstevens Oops \xf0\x9f\x98\xac I got to stop blaming Lincoln-',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jsundmanus', 'name': 'john sundman', 'id': 5749002, 'id_str': '5749002', 'indices': [0, 11]}, {'screen_name': 'CrowdWisdoms', 'name': 'The Wisdom of Crowds', 'id': 1036734338560229377, 'id_str': '1036734338560229377', 'indices': [12, 25]}, {'screen_name': 'stuartpstevens', 'name': 'stuart stevens', 'id': 1543986138, 'id_str': '1543986138', 'indices': [26, 41]}], 'urls': []}",,en
1339025940568027137,2020-12-16 01:53:56,@Kitkattatmypack @GeorgeTakei She has also lost a lot of weight,b'@Kitkattatmypack @GeorgeTakei She has also lost a lot of weight',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Kitkattatmypack', 'name': 'Kathryn', 'id': 1324979015002820608, 'id_str': '1324979015002820608', 'indices': [0, 16]}, {'screen_name': 'GeorgeTakei', 'name': 'George Takei', 'id': 237845487, 'id_str': '237845487', 'indices': [17, 29]}], 'urls': []}",,en
1339024204251996161,2020-12-16 01:47:02,@joncoopertweets @lunaticopresid1 Agreed indeed,b'@joncoopertweets @lunaticopresid1 Agreed indeed',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'joncoopertweets', 'name': 'Jon Cooper 🇺🇸', 'id': 27493883, 'id_str': '27493883', 'indices': [0, 16]}, {'screen_name': 'lunaticopresid1', 'name': 'ᑭᖇᗴᘔ🌊🗽🔥🆘💙❄️💪', 'id': 1093732567986130949, 'id_str': '1093732567986130949', 'indices': [17, 33]}], 'urls': []}",,en
1339023862714036227,2020-12-16 01:45:41,@GeorgeTakei She doesn’t look Well to me,b'@GeorgeTakei She doesn\xe2\x80\x99t look Well to me',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GeorgeTakei', 'name': 'George Takei', 'id': 237845487, 'id_str': '237845487', 'indices': [0, 12]}], 'urls': []}",,en
1339023421766819842,2020-12-16 01:43:56,@RepublicanSwine @MairiLicious7 @politicususa Great article,b'@RepublicanSwine @MairiLicious7 @politicususa Great article',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepublicanSwine', 'name': 'Republican Swine', 'id': 238862918, 'id_str': '238862918', 'indices': [0, 16]}, {'screen_name': 'MairiLicious7', 'name': 'Mairi', 'id': 878397308794159104, 'id_str': '878397308794159104', 'indices': [17, 31]}, {'screen_name': 'politicususa', 'name': 'PoliticusUSA', 'id': 14792049, 'id_str': '14792049', 'indices': [32, 45]}], 'urls': []}",,en
1339021406990962688,2020-12-16 01:35:55,@Paul_Is_Muadib @Rosie_wearamask Agreed https://t.co/Klhdkp9r8w,b'@Paul_Is_Muadib @Rosie_wearamask Agreed https://t.co/Klhdkp9r8w',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Paul_Is_Muadib', 'name': ""Paul Muad'Dib"", 'id': 1254596544860319745, 'id_str': '1254596544860319745', 'indices': [0, 15]}, {'screen_name': 'Rosie_wearamask', 'name': '💛Rosemary💛🎄❄️⛄️WearAMask😷', 'id': 1273360963950071815, 'id_str': '1273360963950071815', 'indices': [16, 32]}], 'urls': [], 'media': [{'id': 1339021401274126338, 'id_str': '1339021401274126338', 'indices': [40, 63], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUo3rmXEAINZ03.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUo3rmXEAINZ03.jpg', 'url': 'https://t.co/Klhdkp9r8w', 'display_url': 'pic.twitter.com/Klhdkp9r8w', 'expanded_url': 'https://twitter.com/003_lost/status/1339021406990962688/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 288, 'h': 216, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 288, 'h': 216, 'resize': 'fit'}, 'medium': {'w': 288, 'h': 216, 'resize': 'fit'}}}]}",,en
1339019950804131840,2020-12-16 01:30:08,@Bill_Maxwell_ He won’t get away,b'@Bill_Maxwell_ He won\xe2\x80\x99t get away',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Bill_Maxwell_', 'name': 'Bill Maxwell 😷 #BuildBackBetter', 'id': 958555581198954497, 'id_str': '958555581198954497', 'indices': [0, 14]}], 'urls': []}",,en
1339019391464255488,2020-12-16 01:27:55,@showgirlcf Your fight is over,b'@showgirlcf Your fight is over',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'showgirlcf', 'name': 'NDredhead, RN, BAN, MBA 🌊🌊', 'id': 465194634, 'id_str': '465194634', 'indices': [0, 11]}], 'urls': []}",,en
1339019234786078723,2020-12-16 01:27:18,@goodbye56789 Number 9,b'@goodbye56789 Number 9',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'goodbye56789', 'name': 'Democracy 4 All 😷💛', 'id': 53438514, 'id_str': '53438514', 'indices': [0, 13]}], 'urls': []}",,en
1339019157296336898,2020-12-16 01:26:59,@PeteButtigieg You are hired,b'@PeteButtigieg You are hired',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PeteButtigieg', 'name': 'Pete Buttigieg', 'id': 226222147, 'id_str': '226222147', 'indices': [0, 14]}], 'urls': []}",,en
