id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339047419493937152,2020-12-16 03:19:17,@nocleanvocals Lol ouchy,b'@nocleanvocals Lol ouchy',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nocleanvocals', 'name': 'ʟɪʙᴇʀᴛʏ ɪꜱ 〽️ᴇᴛᴀʟ', 'id': 1088810870342369280, 'id_str': '1088810870342369280', 'indices': [0, 14]}], 'urls': []}",,ht
1339017664572891140,2020-12-16 01:21:03,"@MaryMargOlohan I like The Good, the Bad and the Ugly’s score, but A Few Dollars More has the best intro theme.","b'@MaryMargOlohan I like The Good, the Bad and the Ugly\xe2\x80\x99s score, but A Few Dollars More has the best intro theme.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaryMargOlohan', 'name': 'Mary Margaret Olohan', 'id': 955955001876254720, 'id_str': '955955001876254720', 'indices': [0, 15]}], 'urls': []}",,en
1339016759433629696,2020-12-16 01:17:27,@benshapiro Tweet of the week front runner.,b'@benshapiro Tweet of the week front runner.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'benshapiro', 'name': 'Ben Shapiro', 'id': 17995040, 'id_str': '17995040', 'indices': [0, 11]}], 'urls': []}",,en
1339015911068610560,2020-12-16 01:14:05,@nocleanvocals Cleaver not the greatest for slicing lol,b'@nocleanvocals Cleaver not the greatest for slicing lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nocleanvocals', 'name': 'ʟɪʙᴇʀᴛʏ ɪꜱ 〽️ᴇᴛᴀʟ', 'id': 1088810870342369280, 'id_str': '1088810870342369280', 'indices': [0, 14]}], 'urls': []}",,en
1339015179774943238,2020-12-16 01:11:11,@unrealAnnaAdams Roaring 20s my ass.,b'@unrealAnnaAdams Roaring 20s my ass.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'unrealAnnaAdams', 'name': 'Anna Adams', 'id': 951282681836273664, 'id_str': '951282681836273664', 'indices': [0, 16]}], 'urls': []}",,en
1339002084096667649,2020-12-16 00:19:08,"@audreyy_kaye I kinda wanna change my pick to Brad Pitt, but it’s close. He’s in a lot of fun movies.","b'@audreyy_kaye I kinda wanna change my pick to Brad Pitt, but it\xe2\x80\x99s close. He\xe2\x80\x99s in a lot of fun movies.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'audreyy_kaye', 'name': 'audrey, sarcasm phd 🦌🌲', 'id': 793054572293992448, 'id_str': '793054572293992448', 'indices': [0, 13]}], 'urls': []}",,en
1338999204828557312,2020-12-16 00:07:42,@Luketech03 @audreyy_kaye Daniel Craig?,b'@Luketech03 @audreyy_kaye Daniel Craig?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Luketech03', 'name': 'Luke', 'id': 708757872763650048, 'id_str': '708757872763650048', 'indices': [0, 11]}, {'screen_name': 'audreyy_kaye', 'name': 'audrey, sarcasm phd 🦌🌲', 'id': 793054572293992448, 'id_str': '793054572293992448', 'indices': [12, 25]}], 'urls': []}",,cy
1338998851760480256,2020-12-16 00:06:18,"@audreyy_kaye Favorite is different than best, and my favorite is Jeff Bridges.","b'@audreyy_kaye Favorite is different than best, and my favorite is Jeff Bridges.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'audreyy_kaye', 'name': 'audrey, sarcasm phd 🦌🌲', 'id': 793054572293992448, 'id_str': '793054572293992448', 'indices': [0, 13]}], 'urls': []}",,en
1338989164742782979,2020-12-15 23:27:48,@CNNPolitics Y’all are garbage people.,b'@CNNPolitics Y\xe2\x80\x99all are garbage people.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CNNPolitics', 'name': 'CNN Politics', 'id': 13850422, 'id_str': '13850422', 'indices': [0, 12]}], 'urls': []}",,en
1338989000871325698,2020-12-15 23:27:09,@BuckAngel Agreed.,b'@BuckAngel Agreed.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BuckAngel', 'name': 'Buck Angel® (TRANSSEXUAL MAN)', 'id': 22194330, 'id_str': '22194330', 'indices': [0, 10]}], 'urls': []}",,en
1338986147347894276,2020-12-15 23:15:49,@Bubola Big big mad*,b'@Bubola Big big mad*',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Bubola', 'name': 'Gretchen Lynn', 'id': 21149672, 'id_str': '21149672', 'indices': [0, 7]}], 'urls': []}",,tl
1338975094522191873,2020-12-15 22:31:54,I am Doc Awk. PHD in social awkwardness.,b'I am Doc Awk. PHD in social awkwardness.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338973250622251016,2020-12-15 22:24:34,@Bubola He is big mad.,b'@Bubola He is big mad.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Bubola', 'name': 'Gretchen Lynn', 'id': 21149672, 'id_str': '21149672', 'indices': [0, 7]}], 'urls': []}",,en
1338972730885091334,2020-12-15 22:22:30,@ghoulishpilgrim Most convincing camo I have ever seen. I would have never suspected...,b'@ghoulishpilgrim Most convincing camo I have ever seen. I would have never suspected...',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ghoulishpilgrim', 'name': 'palindrome', 'id': 854361205502353410, 'id_str': '854361205502353410', 'indices': [0, 16]}], 'urls': []}",,en
1338621285014917120,2020-12-14 23:05:59,@kali_thKitty These replies are more entertaining than I anticipated.,b'@kali_thKitty These replies are more entertaining than I anticipated.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kali_thKitty', 'name': 'Kali Kitty ♡ Christmas Kitty', 'id': 961011342357315584, 'id_str': '961011342357315584', 'indices': [0, 13]}], 'urls': []}",,en
1338620024936869889,2020-12-14 23:00:58,"I don’t know what’s going on, but can I also be a doctor?","b'I don\xe2\x80\x99t know what\xe2\x80\x99s going on, but can I also be a doctor?'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338220063271366656,2020-12-13 20:31:40,Dan Bailey should be sent to live with a leper colony. #VikingsBucs,b'Dan Bailey should be sent to live with a leper colony. #VikingsBucs',"{'hashtags': [{'text': 'VikingsBucs', 'indices': [55, 67]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338128227072618499,2020-12-13 14:26:45,"@mtracey @Timcast I went out for drinks last night in DC, and had no idea that there were any sort of clashes going on.","b'@mtracey @Timcast I went out for drinks last night in DC, and had no idea that there were any sort of clashes going on.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mtracey', 'name': 'Michael Tracey', 'id': 24127811, 'id_str': '24127811', 'indices': [0, 8]}, {'screen_name': 'Timcast', 'name': 'Tim Pool', 'id': 27000730, 'id_str': '27000730', 'indices': [9, 17]}], 'urls': []}",,en
1337754636564967426,2020-12-12 13:42:14,"@ghoulishpilgrim I think it’s absurd that my parents got to decide that I needed part of my penis cut off when I was a baby. Also, it’s ridiculous that doctors are just like “okay, sure”.","b'@ghoulishpilgrim I think it\xe2\x80\x99s absurd that my parents got to decide that I needed part of my penis cut off when I was a baby. Also, it\xe2\x80\x99s ridiculous that doctors are just like \xe2\x80\x9cokay, sure\xe2\x80\x9d.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ghoulishpilgrim', 'name': 'palindrome', 'id': 854361205502353410, 'id_str': '854361205502353410', 'indices': [0, 16]}], 'urls': []}",,en
1337560968155582465,2020-12-12 00:52:40,"Before the pandemic hit, people were all hyped to bring back the roaring 20’s. It can still happen. With all these lockdowns going on, speak easy style restaurants can make an actual comeback.","b'Before the pandemic hit, people were all hyped to bring back the roaring 20\xe2\x80\x99s. It can still happen. With all these lockdowns going on, speak easy style restaurants can make an actual comeback.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337528101010616322,2020-12-11 22:42:04,@audreyy_kaye Golden shower.,b'@audreyy_kaye Golden shower.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'audreyy_kaye', 'name': 'audrey, sarcasm phd 🦌🌲', 'id': 793054572293992448, 'id_str': '793054572293992448', 'indices': [0, 13]}], 'urls': []}",,en
1337184750461652994,2020-12-10 23:57:42,"I just got to move out of PA first. NC, SD, or TX here I come.","b'I just got to move out of PA first. NC, SD, or TX here I come.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337184219882205184,2020-12-10 23:55:36,"Yes, let’s make this happen. https://t.co/ZNElqTQGR3","b'Yes, let\xe2\x80\x99s make this happen. https://t.co/ZNElqTQGR3'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZNElqTQGR3', 'expanded_url': 'https://twitter.com/mattwalshblog/status/1337175605775917056', 'display_url': 'twitter.com/mattwalshblog/…', 'indices': [29, 52]}]}",,en
1337173067299233795,2020-12-10 23:11:17,@HitCockBottom Asperger’s?,b'@HitCockBottom Asperger\xe2\x80\x99s?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HitCockBottom', 'name': 'Mrs. Dong Copter', 'id': 783094336250482688, 'id_str': '783094336250482688', 'indices': [0, 14]}], 'urls': []}",,en
1337153725475983363,2020-12-10 21:54:25,"@Liz_Cheney @RandPaul Rand Paul is actually on our side. Please take a flying fuck, and bring all the war hawks with you.","b'@Liz_Cheney @RandPaul Rand Paul is actually on our side. Please take a flying fuck, and bring all the war hawks with you.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Liz_Cheney', 'name': 'Liz Cheney', 'id': 98471035, 'id_str': '98471035', 'indices': [0, 11]}, {'screen_name': 'RandPaul', 'name': 'Senator Rand Paul', 'id': 216881337, 'id_str': '216881337', 'indices': [12, 21]}], 'urls': []}",,en
1337152028850655232,2020-12-10 21:47:41,"@noahsmom7 I watched that show, and one of those characters didn’t seem like a beta. Martin Starr’s character was skinny and nerdy, but not a little bitch like the other three.","b'@noahsmom7 I watched that show, and one of those characters didn\xe2\x80\x99t seem like a beta. Martin Starr\xe2\x80\x99s character was skinny and nerdy, but not a little bitch like the other three.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'noahsmom7', 'name': 'CCP IS ASSHOE', 'id': 18860022, 'id_str': '18860022', 'indices': [0, 10]}], 'urls': []}",,en
1336368519999606786,2020-12-08 17:54:18,I’ve updated my bio in order to display my preferred pronouns. Don’t be a bigot.,b'I\xe2\x80\x99ve updated my bio in order to display my preferred pronouns. Don\xe2\x80\x99t be a bigot.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
