id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339039693573275654,2020-12-16 02:48:35,"@UnpaintedMelody @DrGJackBrown Your ability to reflect on your experiences and maintain your faith is remarkable. Much respect, friend. You have found balance amidst the chaos 🙏","b'@UnpaintedMelody @DrGJackBrown Your ability to reflect on your experiences and maintain your faith is remarkable. Much respect, friend. You have found balance amidst the chaos \xf0\x9f\x99\x8f'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UnpaintedMelody', 'name': 'Melody speaks gif fluently', 'id': 120674657, 'id_str': '120674657', 'indices': [0, 16]}, {'screen_name': 'DrGJackBrown', 'name': 'Dr. Jack Brown', 'id': 212445456, 'id_str': '212445456', 'indices': [17, 30]}], 'urls': []}",,en
1339031753348935685,2020-12-16 02:17:02,RT @RepSwalwell: Just a reminder: the majority of Republicans in Congress supported overthrowing our democratic process this week. Democrac…,b'RT @RepSwalwell: Just a reminder: the majority of Republicans in Congress supported overthrowing our democratic process this week. Democrac\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepSwalwell', 'name': 'Rep. Eric Swalwell', 'id': 942156122, 'id_str': '942156122', 'indices': [3, 15]}], 'urls': []}",,en
1339025806685655041,2020-12-16 01:53:24,@baddogs4343 Agree. My aunt is a retired school teacher. She has advocated for courses in critical thinking to be implemented in high schools. Unfortunately no one took her seriously. I always thought it was a good idea.,b'@baddogs4343 Agree. My aunt is a retired school teacher. She has advocated for courses in critical thinking to be implemented in high schools. Unfortunately no one took her seriously. I always thought it was a good idea.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'baddogs4343', 'name': '🐘Jazzie🐘', 'id': 853645234298900480, 'id_str': '853645234298900480', 'indices': [0, 12]}], 'urls': []}",,en
1339024494753587200,2020-12-16 01:48:12,This was a massive attack. The Pentagon was impacted. This is nothing minor. Every American should be furious. https://t.co/ExIC5JJ5Qw,b'This was a massive attack. The Pentagon was impacted. This is nothing minor. Every American should be furious. https://t.co/ExIC5JJ5Qw',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ExIC5JJ5Qw', 'expanded_url': 'https://twitter.com/joyce_karam/status/1339019482866601985', 'display_url': 'twitter.com/joyce_karam/st…', 'indices': [111, 134]}]}",,en
1339023927209693186,2020-12-16 01:45:56,"Next-door neighbors of Mar-a-Lago have a message for the outgoing commander in chief:

We don’t want you to be our neighbor 😂😂😂

Trump's would-be neighbors fight to keep him from living at Mar-a-Lago https://t.co/HHJ6RLuPDm","b""Next-door neighbors of Mar-a-Lago have a message for the outgoing commander in chief:\n\nWe don\xe2\x80\x99t want you to be our neighbor \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\nTrump's would-be neighbors fight to keep him from living at Mar-a-Lago https://t.co/HHJ6RLuPDm""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HHJ6RLuPDm', 'expanded_url': 'https://www.washingtonpost.com/lifestyle/style/trump-mar-a-lago-neighbors-dispute/2020/12/15/bc2ce1d0-3ed4-11eb-9453-fc36ba051781_story.html', 'display_url': 'washingtonpost.com/lifestyle/styl…', 'indices': [200, 223]}]}",,en
1339022080487038977,2020-12-16 01:38:36,@UnpaintedMelody @DrGJackBrown I try to teach my girls that one person’s reality is not the same as another’s. Their plight is not for us to judge and any moment it could be us walking in those torn shoes. Reality changes in a blink so treat everyone as if they were your future self. That’s what I tell them 💙,b'@UnpaintedMelody @DrGJackBrown I try to teach my girls that one person\xe2\x80\x99s reality is not the same as another\xe2\x80\x99s. Their plight is not for us to judge and any moment it could be us walking in those torn shoes. Reality changes in a blink so treat everyone as if they were your future self. That\xe2\x80\x99s what I tell them \xf0\x9f\x92\x99',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UnpaintedMelody', 'name': 'Melody speaks gif fluently', 'id': 120674657, 'id_str': '120674657', 'indices': [0, 16]}, {'screen_name': 'DrGJackBrown', 'name': 'Dr. Jack Brown', 'id': 212445456, 'id_str': '212445456', 'indices': [17, 30]}], 'urls': []}",,en
1339017906479222784,2020-12-16 01:22:01,"RT @Delavegalaw: Twenty years ago today my sister died at age 42. She was a doctor with smiling turquoise-blue eyes, a poet, mom and my bes…","b'RT @Delavegalaw: Twenty years ago today my sister died at age 42. She was a doctor with smiling turquoise-blue eyes, a poet, mom and my bes\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Delavegalaw', 'name': 'Elizabeth de la Vega', 'id': 872460123125448704, 'id_str': '872460123125448704', 'indices': [3, 15]}], 'urls': []}",,en
1339017676933320704,2020-12-16 01:21:06,@covie_93 It’ll never happen. @NewYorkStateAG has Ivanka in the crosshairs.,b'@covie_93 It\xe2\x80\x99ll never happen. @NewYorkStateAG has Ivanka in the crosshairs.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'covie_93', 'name': 'Covie', 'id': 2768271223, 'id_str': '2768271223', 'indices': [0, 9]}, {'screen_name': 'NewYorkStateAG', 'name': 'NY AG James', 'id': 132496568, 'id_str': '132496568', 'indices': [30, 45]}], 'urls': []}",,en
1339017188636704768,2020-12-16 01:19:10,"Oh, but Trump Russia was a hoax and a witch hunt? Please. https://t.co/5lKafQ8Mhr","b'Oh, but Trump Russia was a hoax and a witch hunt? Please. https://t.co/5lKafQ8Mhr'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5lKafQ8Mhr', 'expanded_url': 'https://twitter.com/thedailybeast/status/1339007344617918471', 'display_url': 'twitter.com/thedailybeast/…', 'indices': [58, 81]}]}",,en
1339015547204161537,2020-12-16 01:12:38,@UnpaintedMelody @DrGJackBrown Lovely photo. It seems to me many in America are so accustomed to soft living that we don’t realize how well we have it until we are forced to go without. Empathy is in short supply. Thank you for sharing your father’s story. I hope it serves as an awakening.,b'@UnpaintedMelody @DrGJackBrown Lovely photo. It seems to me many in America are so accustomed to soft living that we don\xe2\x80\x99t realize how well we have it until we are forced to go without. Empathy is in short supply. Thank you for sharing your father\xe2\x80\x99s story. I hope it serves as an awakening.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UnpaintedMelody', 'name': 'Melody speaks gif fluently', 'id': 120674657, 'id_str': '120674657', 'indices': [0, 16]}, {'screen_name': 'DrGJackBrown', 'name': 'Dr. Jack Brown', 'id': 212445456, 'id_str': '212445456', 'indices': [17, 30]}], 'urls': []}",,en
