id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339025932321865729,2020-12-16 01:53:54,"RT @realDonaldTrump: ""@ilduce2016: “It is better to live one day as a lion than 100 years as a sheep.” – @realDonaldTrump #MakeAmericaGreat…","b'RT @realDonaldTrump: ""@ilduce2016: \xe2\x80\x9cIt is better to live one day as a lion than 100 years as a sheep.\xe2\x80\x9d \xe2\x80\x93 @realDonaldTrump #MakeAmericaGreat\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [3, 19]}, {'screen_name': 'ilduce2016', 'name': 'ilduce2016', 'id': 4333267774, 'id_str': '4333267774', 'indices': [22, 33]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [105, 121]}], 'urls': []}",,en
1339025665408962561,2020-12-16 01:52:51,"RT @RepMoBrooks: A republic is nothing without honest &amp; accurate elections.

Heroic patriots fought &amp; died to give America a republic.

Med…",b'RT @RepMoBrooks: A republic is nothing without honest &amp; accurate elections.\n\nHeroic patriots fought &amp; died to give America a republic.\n\nMed\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepMoBrooks', 'name': 'Mo Brooks', 'id': 237299871, 'id_str': '237299871', 'indices': [3, 15]}], 'urls': []}",,en
1339025292967469057,2020-12-16 01:51:22,@paulsperry_ @realDonaldTrump,b'@paulsperry_ @realDonaldTrump',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'paulsperry_', 'name': 'Paul Sperry', 'id': 739610364975808513, 'id_str': '739610364975808513', 'indices': [0, 12]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [13, 29]}], 'urls': []}",,und
1339022900381224960,2020-12-16 01:41:51,One big happy family... except the child being molested https://t.co/xOdai1phAg,b'One big happy family... except the child being molested https://t.co/xOdai1phAg',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339022898800037888, 'id_str': '1339022898800037888', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/media/EpUqO2UXEAAIbLk.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUqO2UXEAAIbLk.jpg', 'url': 'https://t.co/xOdai1phAg', 'display_url': 'pic.twitter.com/xOdai1phAg', 'expanded_url': 'https://twitter.com/CRITHINKCLUB/status/1339022900381224960/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 442, 'h': 288, 'resize': 'fit'}, 'large': {'w': 442, 'h': 288, 'resize': 'fit'}, 'medium': {'w': 442, 'h': 288, 'resize': 'fit'}}}]}",,en
1339022541831213057,2020-12-16 01:40:26,👀👀👀👀👀 https://t.co/0JfTkLHKD7,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/0JfTkLHKD7',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0JfTkLHKD7', 'expanded_url': 'https://twitter.com/pepesgrandma/status/1338944944401223686', 'display_url': 'twitter.com/pepesgrandma/s…', 'indices': [6, 29]}]}",,und
1339022261928464384,2020-12-16 01:39:19,RT @TrumpRulzz: This is why I LOVE Governor DeSantis!! He REFUSED to acknowledge Biden as the president-elect!🤣🤣🤣🤣 https://t.co/K1pyNwwXFu,b'RT @TrumpRulzz: This is why I LOVE Governor DeSantis!! He REFUSED to acknowledge Biden as the president-elect!\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/K1pyNwwXFu',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TrumpRulzz', 'name': ""𝑴𝒊𝒄𝒉𝒆𝒍𝒍𝒆 6.0 JILL YOU'RE NOT A DOCTOR!🙄"", 'id': 1197653491214368768, 'id_str': '1197653491214368768', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338971821316710400, 'id_str': '1338971821316710400', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338971821316710400/pu/img/mJfvj56Gg4WEgzI0.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338971821316710400/pu/img/mJfvj56Gg4WEgzI0.jpg', 'url': 'https://t.co/K1pyNwwXFu', 'display_url': 'pic.twitter.com/K1pyNwwXFu', 'expanded_url': 'https://twitter.com/GrantB911/status/1338973057797541890/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1338973057797541890, 'source_status_id_str': '1338973057797541890', 'source_user_id': 212479621, 'source_user_id_str': '212479621'}]}",,en
1339020382028894208,2020-12-16 01:31:51,"RT @AmyMek: YES! AfD Slams Merkel for Importing a Culture that Hates Women – ‘You are turning Berlin into Baghdad’ 

""Migrants aren’t willi…","b'RT @AmyMek: YES! AfD Slams Merkel for Importing a Culture that Hates Women \xe2\x80\x93 \xe2\x80\x98You are turning Berlin into Baghdad\xe2\x80\x99 \n\n""Migrants aren\xe2\x80\x99t willi\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmyMek', 'name': 'Amy Mek', 'id': 954124423, 'id_str': '954124423', 'indices': [3, 10]}], 'urls': []}",,en
1339019598662922240,2020-12-16 01:28:44,RT @realDonaldTrump: Because of corruption or because I won despite corruption?,b'RT @realDonaldTrump: Because of corruption or because I won despite corruption?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [3, 19]}], 'urls': []}",,en
1339018737744306176,2020-12-16 01:25:19,@CodeMonkeyZ House panel investigates Elaine Chao for possible conflicts - Breitbart https://t.co/yl7WwBGX7v via @BreitbartNews,b'@CodeMonkeyZ House panel investigates Elaine Chao for possible conflicts - Breitbart https://t.co/yl7WwBGX7v via @BreitbartNews',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CodeMonkeyZ', 'name': 'Ron', 'id': 1812055789, 'id_str': '1812055789', 'indices': [0, 12]}, {'screen_name': 'BreitbartNews', 'name': 'Breitbart News', 'id': 457984599, 'id_str': '457984599', 'indices': [113, 127]}], 'urls': [{'url': 'https://t.co/yl7WwBGX7v', 'expanded_url': 'https://www.breitbart.com/news/house-panel-investigates-elaine-chao-for-possible-conflicts/', 'display_url': 'breitbart.com/news/house-pan…', 'indices': [85, 108]}]}",,en
1339018634371403778,2020-12-16 01:24:54,House panel investigates Elaine Chao for possible conflicts - Breitbart https://t.co/yl7WwBGX7v via @BreitbartNews,b'House panel investigates Elaine Chao for possible conflicts - Breitbart https://t.co/yl7WwBGX7v via @BreitbartNews',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BreitbartNews', 'name': 'Breitbart News', 'id': 457984599, 'id_str': '457984599', 'indices': [100, 114]}], 'urls': [{'url': 'https://t.co/yl7WwBGX7v', 'expanded_url': 'https://www.breitbart.com/news/house-panel-investigates-elaine-chao-for-possible-conflicts/', 'display_url': 'breitbart.com/news/house-pan…', 'indices': [72, 95]}]}",,en
1339017910614888449,2020-12-16 01:22:02,"@CodeMonkeyZ Family shipping fortune of Sen. Mitch McConnell, Secretary Elaine Chao shrouded in offshore tax haven, documents reveal https://t.co/XZwUH6tNIl by @lhfang @spencerwoodman","b'@CodeMonkeyZ Family shipping fortune of Sen. Mitch McConnell, Secretary Elaine Chao shrouded in offshore tax haven, documents reveal https://t.co/XZwUH6tNIl by @lhfang @spencerwoodman'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CodeMonkeyZ', 'name': 'Ron', 'id': 1812055789, 'id_str': '1812055789', 'indices': [0, 12]}, {'screen_name': 'lhfang', 'name': 'Lee Fang', 'id': 7900962, 'id_str': '7900962', 'indices': [160, 167]}, {'screen_name': 'spencerwoodman', 'name': 'Spencer Woodman', 'id': 113148501, 'id_str': '113148501', 'indices': [168, 183]}], 'urls': [{'url': 'https://t.co/XZwUH6tNIl', 'expanded_url': 'https://interc.pt/2E3ljto', 'display_url': 'interc.pt/2E3ljto', 'indices': [133, 156]}]}",,en
1339017678795780096,2020-12-16 01:21:07,"Family shipping fortune of Sen. Mitch McConnell, Secretary Elaine Chao shrouded in offshore tax haven, documents reveal https://t.co/XZwUH6tNIl by @lhfang @spencerwoodman","b'Family shipping fortune of Sen. Mitch McConnell, Secretary Elaine Chao shrouded in offshore tax haven, documents reveal https://t.co/XZwUH6tNIl by @lhfang @spencerwoodman'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lhfang', 'name': 'Lee Fang', 'id': 7900962, 'id_str': '7900962', 'indices': [147, 154]}, {'screen_name': 'spencerwoodman', 'name': 'Spencer Woodman', 'id': 113148501, 'id_str': '113148501', 'indices': [155, 170]}], 'urls': [{'url': 'https://t.co/XZwUH6tNIl', 'expanded_url': 'https://interc.pt/2E3ljto', 'display_url': 'interc.pt/2E3ljto', 'indices': [120, 143]}]}",,en
1339017297676132352,2020-12-16 01:19:36,@CodeMonkeyZ Mitchs wife is connected to the CCP https://t.co/0FSbJ2JCpk,b'@CodeMonkeyZ Mitchs wife is connected to the CCP https://t.co/0FSbJ2JCpk',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CodeMonkeyZ', 'name': 'Ron', 'id': 1812055789, 'id_str': '1812055789', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/0FSbJ2JCpk', 'expanded_url': 'https://twitter.com/michellemalkin/status/1241020612828467202?s=19', 'display_url': 'twitter.com/michellemalkin…', 'indices': [49, 72]}]}",,en
1339017116100534272,2020-12-16 01:18:52,https://t.co/0FSbJ2JCpk,b'https://t.co/0FSbJ2JCpk',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0FSbJ2JCpk', 'expanded_url': 'https://twitter.com/michellemalkin/status/1241020612828467202?s=19', 'display_url': 'twitter.com/michellemalkin…', 'indices': [0, 23]}]}",,und
1339016857693671424,2020-12-16 01:17:51,"House Panel to Probe Possible Conflicts of Interest by Transportation Secretary Elaine Chao
The House Oversight and Reform Committee has requested documents as it looks into whether Chao used her position to benefit her family https://t.co/CuSR2848kz",b'House Panel to Probe Possible Conflicts of Interest by Transportation Secretary Elaine Chao\nThe House Oversight and Reform Committee has requested documents as it looks into whether Chao used her position to benefit her family https://t.co/CuSR2848kz',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CuSR2848kz', 'expanded_url': 'https://www.wsj.com/articles/house-panel-to-probe-possible-conflicts-of-interest-by-transportation-secretary-elaine-chao-11568677954?redirect=amp#click=https://t.co/JgYflyrDl4', 'display_url': 'wsj.com/articles/house…', 'indices': [227, 250]}]}",,en
1339016477647785987,2020-12-16 01:16:20,@CodeMonkeyZ @CodeMonkeyZ  https://t.co/DegrTUylpo,b'@CodeMonkeyZ @CodeMonkeyZ  https://t.co/DegrTUylpo',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CodeMonkeyZ', 'name': 'Ron', 'id': 1812055789, 'id_str': '1812055789', 'indices': [0, 12]}, {'screen_name': 'CodeMonkeyZ', 'name': 'Ron', 'id': 1812055789, 'id_str': '1812055789', 'indices': [13, 25]}], 'urls': [{'url': 'https://t.co/DegrTUylpo', 'expanded_url': 'https://twitter.com/CRITHINKCLUB/status/1339014560179687427?s=19', 'display_url': 'twitter.com/CRITHINKCLUB/s…', 'indices': [27, 50]}]}",,und
1339016358709911552,2020-12-16 01:15:52,@CodeMonkeyZ https://t.co/nZb4SgTFoC,b'@CodeMonkeyZ https://t.co/nZb4SgTFoC',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CodeMonkeyZ', 'name': 'Ron', 'id': 1812055789, 'id_str': '1812055789', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/nZb4SgTFoC', 'expanded_url': 'https://twitter.com/CRITHINKCLUB/status/1338884107326136322?s=19', 'display_url': 'twitter.com/CRITHINKCLUB/s…', 'indices': [13, 36]}]}",,und
1339015279377068033,2020-12-16 01:11:34,@JamesOKeefeIII @wikileaks @realDonaldTrump Wasn't James at the White House a few days ago? 🤔,"b""@JamesOKeefeIII @wikileaks @realDonaldTrump Wasn't James at the White House a few days ago? \xf0\x9f\xa4\x94""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JamesOKeefeIII', 'name': ""James O'Keefe"", 'id': 16989178, 'id_str': '16989178', 'indices': [0, 15]}, {'screen_name': 'wikileaks', 'name': 'WikiLeaks', 'id': 16589206, 'id_str': '16589206', 'indices': [16, 26]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [27, 43]}], 'urls': []}",,en
1339015264445345794,2020-12-16 01:11:31,Wasn't James at the White House a few days ago? 🤔 https://t.co/SZBn2e7jxy,"b""Wasn't James at the White House a few days ago? \xf0\x9f\xa4\x94 https://t.co/SZBn2e7jxy""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SZBn2e7jxy', 'expanded_url': 'https://twitter.com/JamesOKeefeIII/status/1338958368497684481', 'display_url': 'twitter.com/JamesOKeefeIII…', 'indices': [50, 73]}]}",,en
1339014638680371204,2020-12-16 01:09:02,@RaheemKassam https://t.co/DegrTUylpo,b'@RaheemKassam https://t.co/DegrTUylpo',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaheemKassam', 'name': 'Raheem Kassam', 'id': 125128723, 'id_str': '125128723', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/DegrTUylpo', 'expanded_url': 'https://twitter.com/CRITHINKCLUB/status/1339014560179687427?s=19', 'display_url': 'twitter.com/CRITHINKCLUB/s…', 'indices': [14, 37]}]}",,und
1339014560179687427,2020-12-16 01:08:43,"What did @senatemajldr's wife discuss here with Wang Qishan, the Vice President of CHY-NA???

https://t.co/MQBYlRYmRs","b""What did @senatemajldr's wife discuss here with Wang Qishan, the Vice President of CHY-NA???\n\nhttps://t.co/MQBYlRYmRs""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [9, 22]}], 'urls': [{'url': 'https://t.co/MQBYlRYmRs', 'expanded_url': 'https://twitter.com/BellaZ47497919/status/1338953486117920770?s=19', 'display_url': 'twitter.com/BellaZ47497919…', 'indices': [94, 117]}]}",,en
1339014195996712964,2020-12-16 01:07:16,RT @MissNorman3: @TheRISEofROD From my Mom's old Bible...... https://t.co/TYvXFokryV,"b""RT @MissNorman3: @TheRISEofROD From my Mom's old Bible...... https://t.co/TYvXFokryV""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MissNorman3', 'name': 'Miss Norman', 'id': 1321454723493433346, 'id_str': '1321454723493433346', 'indices': [3, 15]}, {'screen_name': 'TheRISEofROD', 'name': 'Machiavelli', 'id': 951302891708583936, 'id_str': '951302891708583936', 'indices': [17, 30]}], 'urls': [], 'media': [{'id': 1338982750129426432, 'id_str': '1338982750129426432', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EpUFt43XEAA6IgW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUFt43XEAA6IgW.jpg', 'url': 'https://t.co/TYvXFokryV', 'display_url': 'pic.twitter.com/TYvXFokryV', 'expanded_url': 'https://twitter.com/MissNorman3/status/1338982956128464896/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1338982956128464896, 'source_status_id_str': '1338982956128464896', 'source_user_id': 1321454723493433346, 'source_user_id_str': '1321454723493433346'}]}",,en
1339013637894234113,2020-12-16 01:05:03,RT @PhillDKline: We’re hosting a national press conference tomorrow to release a groundbreaking report exposing a dark money apparatus of 1…,b'RT @PhillDKline: We\xe2\x80\x99re hosting a national press conference tomorrow to release a groundbreaking report exposing a dark money apparatus of 1\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhillDKline', 'name': 'Phillip Kline', 'id': 1330274087218851852, 'id_str': '1330274087218851852', 'indices': [3, 15]}], 'urls': []}",,en
1339013266190823424,2020-12-16 01:03:34,RT @seanhannity: Wisconsin Supreme Court Rules State Did Not Have Authority to Abandon Voter ID Rules Due to COVID https://t.co/QK9KCtKTCp,b'RT @seanhannity: Wisconsin Supreme Court Rules State Did Not Have Authority to Abandon Voter ID Rules Due to COVID https://t.co/QK9KCtKTCp',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'seanhannity', 'name': 'Sean Hannity', 'id': 41634520, 'id_str': '41634520', 'indices': [3, 15]}], 'urls': [{'url': 'https://t.co/QK9KCtKTCp', 'expanded_url': 'https://hann.it/3alw25z', 'display_url': 'hann.it/3alw25z', 'indices': [115, 138]}]}",,en
1339012681978818560,2020-12-16 01:01:15,"What did @senatemajldr's wife discuss here with Wang Qishan, the Vice President of CHY-NA???

https://t.co/MQBYlRYmRs","b""What did @senatemajldr's wife discuss here with Wang Qishan, the Vice President of CHY-NA???\n\nhttps://t.co/MQBYlRYmRs""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [9, 22]}], 'urls': [{'url': 'https://t.co/MQBYlRYmRs', 'expanded_url': 'https://twitter.com/BellaZ47497919/status/1338953486117920770?s=19', 'display_url': 'twitter.com/BellaZ47497919…', 'indices': [94, 117]}]}",,en
1339010471630921733,2020-12-16 00:52:28,RT @kirstiealley: American Medical Association Rescinds Hydroxychloroquine Prevention Order -- How Many People Died Because These Soulless…,b'RT @kirstiealley: American Medical Association Rescinds Hydroxychloroquine Prevention Order -- How Many People Died Because These Soulless\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kirstiealley', 'name': 'Kirstie Alley', 'id': 36528126, 'id_str': '36528126', 'indices': [3, 16]}], 'urls': []}",,en
1339009671101902849,2020-12-16 00:49:17,@SenRonJohnson Thank you Senator Johnson for all that you do,b'@SenRonJohnson Thank you Senator Johnson for all that you do',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SenRonJohnson', 'name': 'Senator Ron Johnson', 'id': 233737858, 'id_str': '233737858', 'indices': [0, 14]}], 'urls': []}",,en
1339009578890047488,2020-12-16 00:48:55,"RT @SenRonJohnson: We are holding an oversight hearing tomorrow to examine the irregularities in the 2020 election.

A large percentage of…",b'RT @SenRonJohnson: We are holding an oversight hearing tomorrow to examine the irregularities in the 2020 election.\n\nA large percentage of\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SenRonJohnson', 'name': 'Senator Ron Johnson', 'id': 233737858, 'id_str': '233737858', 'indices': [3, 17]}], 'urls': []}",,en
1338999358654738433,2020-12-16 00:08:19,@RealMFlynnJr @carolriggio7 https://t.co/nZb4SgTFoC,b'@RealMFlynnJr @carolriggio7 https://t.co/nZb4SgTFoC',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RealMFlynnJr', 'name': 'Michael Flynn Jr ⭐️⭐️⭐️', 'id': 739863724694110208, 'id_str': '739863724694110208', 'indices': [0, 13]}, {'screen_name': 'carolriggio7', 'name': 'JoyinJESUS', 'id': 877517551604965378, 'id_str': '877517551604965378', 'indices': [14, 27]}], 'urls': [{'url': 'https://t.co/nZb4SgTFoC', 'expanded_url': 'https://twitter.com/CRITHINKCLUB/status/1338884107326136322?s=19', 'display_url': 'twitter.com/CRITHINKCLUB/s…', 'indices': [28, 51]}]}",,und
1338990787447631873,2020-12-15 23:34:15,@Wizard_Predicts https://t.co/nZb4SgTFoC,b'@Wizard_Predicts https://t.co/nZb4SgTFoC',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Wizard_Predicts', 'name': 'The Election Wizard', 'id': 1290635110149169152, 'id_str': '1290635110149169152', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/nZb4SgTFoC', 'expanded_url': 'https://twitter.com/CRITHINKCLUB/status/1338884107326136322?s=19', 'display_url': 'twitter.com/CRITHINKCLUB/s…', 'indices': [17, 40]}]}",,und
1338989882983714816,2020-12-15 23:30:39,"RT @EntheosShines: MEMORABLE MOMENTS 

Legendary Comedian @normmacdonald Caused Chaos On #TheView In Early 2000's When He Became One Of Onl…","b""RT @EntheosShines: MEMORABLE MOMENTS \n\nLegendary Comedian @normmacdonald Caused Chaos On #TheView In Early 2000's When He Became One Of Onl\xe2\x80\xa6""","{'hashtags': [{'text': 'TheView', 'indices': [89, 97]}], 'symbols': [], 'user_mentions': [{'screen_name': 'EntheosShines', 'name': 'Enthéos', 'id': 2315583427, 'id_str': '2315583427', 'indices': [3, 17]}, {'screen_name': 'normmacdonald', 'name': 'Norm Macdonald', 'id': 35184346, 'id_str': '35184346', 'indices': [58, 72]}], 'urls': []}",,en
1338989137299263488,2020-12-15 23:27:42,@Ad_Inifinitum @KLoeffler Anyone can ask a politician for a selfie.,b'@Ad_Inifinitum @KLoeffler Anyone can ask a politician for a selfie.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ad_Inifinitum', 'name': 'Ad Infinitum', 'id': 759632651372236801, 'id_str': '759632651372236801', 'indices': [0, 14]}, {'screen_name': 'KLoeffler', 'name': 'Kelly Loeffler', 'id': 29495695, 'id_str': '29495695', 'indices': [15, 25]}], 'urls': []}",,en
1338988837029220352,2020-12-15 23:26:30,"@KLoeffler @LoveMyPotus2 Fight for Trump or loose the Senate.

The decision is yours",b'@KLoeffler @LoveMyPotus2 Fight for Trump or loose the Senate.\n\nThe decision is yours',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KLoeffler', 'name': 'Kelly Loeffler', 'id': 29495695, 'id_str': '29495695', 'indices': [0, 10]}, {'screen_name': 'LoveMyPotus2', 'name': 'Trump Independent!', 'id': 705804187221807104, 'id_str': '705804187221807104', 'indices': [11, 24]}], 'urls': []}",,en
1338988692371869704,2020-12-15 23:25:56,Don't believe your lying eyes https://t.co/b5NEuxT2ke,"b""Don't believe your lying eyes https://t.co/b5NEuxT2ke""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/b5NEuxT2ke', 'expanded_url': 'https://twitter.com/Jhomes551/status/1338980880644247554', 'display_url': 'twitter.com/Jhomes551/stat…', 'indices': [30, 53]}]}",,en
1338987951179620353,2020-12-15 23:22:59,@JohnBasham @senatemajldr @realDonaldTrump @JoeBiden https://t.co/nZb4SgTFoC,b'@JohnBasham @senatemajldr @realDonaldTrump @JoeBiden https://t.co/nZb4SgTFoC',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JohnBasham', 'name': 'John Basham 🇺🇲', 'id': 65159946, 'id_str': '65159946', 'indices': [0, 11]}, {'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [12, 25]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [26, 42]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [43, 52]}], 'urls': [{'url': 'https://t.co/nZb4SgTFoC', 'expanded_url': 'https://twitter.com/CRITHINKCLUB/status/1338884107326136322?s=19', 'display_url': 'twitter.com/CRITHINKCLUB/s…', 'indices': [53, 76]}]}",,und
1338983314280091649,2020-12-15 23:04:33,"""Ghislaine Maxwell's security fears she may suffer same fate as Princess Diana""

But I thought Diana was an accident 😅 https://t.co/Ps2gWlvteR via @nypost","b'""Ghislaine Maxwell\'s security fears she may suffer same fate as Princess Diana""\n\nBut I thought Diana was an accident \xf0\x9f\x98\x85 https://t.co/Ps2gWlvteR via @nypost'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nypost', 'name': 'New York Post', 'id': 17469289, 'id_str': '17469289', 'indices': [147, 154]}], 'urls': [{'url': 'https://t.co/Ps2gWlvteR', 'expanded_url': 'https://nypost.com/2020/12/15/ghislaine-maxwells-security-compares-her-to-princess-diana/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons', 'display_url': 'nypost.com/2020/12/15/ghi…', 'indices': [119, 142]}]}",,en
1338981862086152194,2020-12-15 22:58:47,👀👀👀👀👀 https://t.co/hO8qNPDXZg,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/hO8qNPDXZg',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hO8qNPDXZg', 'expanded_url': 'https://twitter.com/prayingmedic/status/1338977520851382273', 'display_url': 'twitter.com/prayingmedic/s…', 'indices': [6, 29]}]}",,und
