id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339054921895862272,2020-12-16 03:49:06,RT @davidmweissman: @melisalw @HC_Richardson Thank you for the shout out @HC_Richardson.,b'RT @davidmweissman: @melisalw @HC_Richardson Thank you for the shout out @HC_Richardson.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'davidmweissman', 'name': 'David Weissman', 'id': 880018682, 'id_str': '880018682', 'indices': [3, 18]}, {'screen_name': 'melisalw', 'name': 'Melisa Wells', 'id': 12498442, 'id_str': '12498442', 'indices': [20, 29]}, {'screen_name': 'HC_Richardson', 'name': 'Heather Cox Richardson (TDPR)', 'id': 1323214644, 'id_str': '1323214644', 'indices': [30, 44]}, {'screen_name': 'HC_Richardson', 'name': 'Heather Cox Richardson (TDPR)', 'id': 1323214644, 'id_str': '1323214644', 'indices': [73, 87]}], 'urls': []}",,en
1339054867588009984,2020-12-16 03:48:53,"RT @leonalioness6: Please check out this column by @davidmweissman  

An Open Letter to Joseph Epstein and the Wall Street Journal https://…",b'RT @leonalioness6: Please check out this column by @davidmweissman  \n\nAn Open Letter to Joseph Epstein and the Wall Street Journal https://\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'leonalioness6', 'name': 'Leona Lioness', 'id': 1162171744230215682, 'id_str': '1162171744230215682', 'indices': [3, 17]}, {'screen_name': 'davidmweissman', 'name': 'David Weissman', 'id': 880018682, 'id_str': '880018682', 'indices': [51, 66]}], 'urls': []}",,en
1339017658679877634,2020-12-16 01:21:02,"@ProfNateKelly according 2 Heather Cox Richardson, 2 appeal 2 the xtreme Rs in senate they set deadline to endorse B. after electoral cert.","b'@ProfNateKelly according 2 Heather Cox Richardson, 2 appeal 2 the xtreme Rs in senate they set deadline to endorse B. after electoral cert.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ProfNateKelly', 'name': 'Nathan Kelly', 'id': 341097551, 'id_str': '341097551', 'indices': [0, 14]}], 'urls': []}",,en
1338798353124044803,2020-12-15 10:49:35,"RT @murray_nyc: @realDonaldTrump Donald Trump LIES had been lying every single day of his presidency. Nobody owes him anything, especially…","b'RT @murray_nyc: @realDonaldTrump Donald Trump LIES had been lying every single day of his presidency. Nobody owes him anything, especially\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'murray_nyc', 'name': 'MURRAY🧢🇺🇸', 'id': 16972715, 'id_str': '16972715', 'indices': [3, 14]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [16, 32]}], 'urls': []}",,en
1338796130776326144,2020-12-15 10:40:45,RT @yourauntemma: 💯 https://t.co/4juc6kLiJR,b'RT @yourauntemma: \xf0\x9f\x92\xaf https://t.co/4juc6kLiJR',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yourauntemma', 'name': 'Elizabeth Mika', 'id': 734269853318647808, 'id_str': '734269853318647808', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/4juc6kLiJR', 'expanded_url': 'https://twitter.com/AC360/status/1338667984739586048', 'display_url': 'twitter.com/AC360/status/1…', 'indices': [20, 43]}]}",,und
1338795877746569217,2020-12-15 10:39:45,"RT @waltshaub: 306 &gt; 232
81,282,376 &gt; 74,222,576
Joe &gt; Don","b'RT @waltshaub: 306 &gt; 232\n81,282,376 &gt; 74,222,576\nJoe &gt; Don'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'waltshaub', 'name': 'Walter Shaub', 'id': 830908366377611266, 'id_str': '830908366377611266', 'indices': [3, 13]}], 'urls': []}",,en
1338795795349446656,2020-12-15 10:39:25,RT @kenolin1: Today is the first day of the rest of our Democracy.,b'RT @kenolin1: Today is the first day of the rest of our Democracy.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kenolin1', 'name': 'ken olin🇺🇸', 'id': 164679813, 'id_str': '164679813', 'indices': [3, 12]}], 'urls': []}",,en
1338795562536153091,2020-12-15 10:38:30,"RT @joncoopertweets: It looks like Trump will be the first president in US history to refuse to concede — a pathetic, sore loser until the…","b'RT @joncoopertweets: It looks like Trump will be the first president in US history to refuse to concede \xe2\x80\x94 a pathetic, sore loser until the\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'joncoopertweets', 'name': 'Jon Cooper 🇺🇸', 'id': 27493883, 'id_str': '27493883', 'indices': [3, 19]}], 'urls': []}",,en
1338795351378104320,2020-12-15 10:37:40,RT @gtconway3d: He's going to get worse.,"b""RT @gtconway3d: He's going to get worse.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gtconway3d', 'name': 'George Conway', 'id': 471677441, 'id_str': '471677441', 'indices': [3, 14]}], 'urls': []}",,en
1338795298425085954,2020-12-15 10:37:27,RT @KaivanShroff: 🚨NEW: former Director of the the National Security Agency @GenMhayden says he agrees Alex Jones should be immediately arr…,b'RT @KaivanShroff: \xf0\x9f\x9a\xa8NEW: former Director of the the National Security Agency @GenMhayden says he agrees Alex Jones should be immediately arr\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KaivanShroff', 'name': 'Kaivan Shroff', 'id': 2289770467, 'id_str': '2289770467', 'indices': [3, 16]}, {'screen_name': 'GenMhayden', 'name': 'Gen Michael Hayden', 'id': 3949525095, 'id_str': '3949525095', 'indices': [76, 87]}], 'urls': []}",,en
