id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339047045982806016,2020-12-16 03:17:48,"@gunnstreetgrrl “I didn’t kill her; I loved her!” Oddly, it’s not routine enough for me to have it on in the background tho. Really don’t understand it","b'@gunnstreetgrrl \xe2\x80\x9cI didn\xe2\x80\x99t kill her; I loved her!\xe2\x80\x9d Oddly, it\xe2\x80\x99s not routine enough for me to have it on in the background tho. Really don\xe2\x80\x99t understand it'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gunnstreetgrrl', 'name': 'lisa wright', 'id': 15093829, 'id_str': '15093829', 'indices': [0, 15]}], 'urls': []}",,en
1339042734372507648,2020-12-16 03:00:40,@kilojoule_ I have the same problem,b'@kilojoule_ I have the same problem',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kilojoule_', 'name': 'Lorenzo Servitje, PhD', 'id': 225872120, 'id_str': '225872120', 'indices': [0, 11]}], 'urls': []}",,en
1339042244419006465,2020-12-16 02:58:43,Hinterland might be too cliche for me. I predicted actual dialogue.,b'Hinterland might be too cliche for me. I predicted actual dialogue.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339041551054475264,2020-12-16 02:55:58,"@keguro_ And i am usually under the limit too. That’s the other thing that i do. Like if i know 21pp will get me a 45 min talk, I usually aim for 19pp 

BUT if i am having trouble ‘scripting’ because I’m using images, I write brief notes for those. I’m currently a mess tho","b'@keguro_ And i am usually under the limit too. That\xe2\x80\x99s the other thing that i do. Like if i know 21pp will get me a 45 min talk, I usually aim for 19pp \n\nBUT if i am having trouble \xe2\x80\x98scripting\xe2\x80\x99 because I\xe2\x80\x99m using images, I write brief notes for those. I\xe2\x80\x99m currently a mess tho'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'keguro_', 'name': ""k'eguro"", 'id': 1007674853544128512, 'id_str': '1007674853544128512', 'indices': [0, 8]}], 'urls': []}",,en
1339040396098330624,2020-12-16 02:51:23,"@keguro_ Oh, I hate that. It’s actually a joke in my play “I’m being told that i am running out of time, so let me skip to the end”

I dont time my entire talk anymore, but know that if i write a ‘script’, it has to be 3.5pp single spaced for 15m, and so on. I have a ‘rhythm’?","b'@keguro_ Oh, I hate that. It\xe2\x80\x99s actually a joke in my play \xe2\x80\x9cI\xe2\x80\x99m being told that i am running out of time, so let me skip to the end\xe2\x80\x9d\n\nI dont time my entire talk anymore, but know that if i write a \xe2\x80\x98script\xe2\x80\x99, it has to be 3.5pp single spaced for 15m, and so on. I have a \xe2\x80\x98rhythm\xe2\x80\x99?'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'keguro_', 'name': ""k'eguro"", 'id': 1007674853544128512, 'id_str': '1007674853544128512', 'indices': [0, 8]}], 'urls': []}",,en
1339027544725725185,2020-12-16 02:00:19,"@keguro_ I was thinking about this when I was listening to a recording of something the other day. Definitely try to be aware of speed when presenting, may not always be succeeding.","b'@keguro_ I was thinking about this when I was listening to a recording of something the other day. Definitely try to be aware of speed when presenting, may not always be succeeding.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'keguro_', 'name': ""k'eguro"", 'id': 1007674853544128512, 'id_str': '1007674853544128512', 'indices': [0, 8]}], 'urls': []}",,en
1339026656070135810,2020-12-16 01:56:47,@kilojoule_ @professorshih Nope. I don’t think I made it past season 2?,b'@kilojoule_ @professorshih Nope. I don\xe2\x80\x99t think I made it past season 2?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kilojoule_', 'name': 'Lorenzo Servitje, PhD', 'id': 225872120, 'id_str': '225872120', 'indices': [0, 11]}, {'screen_name': 'professorshih', 'name': 'David Shih', 'id': 220232833, 'id_str': '220232833', 'indices': [12, 26]}], 'urls': []}",,en
1339026295959789568,2020-12-16 01:55:21,"@kilojoule_ Was thinking about bizarre love triangle covers, then went from new order to Depeche Mode (who did a decent u2 cover), which made me think of yaz","b'@kilojoule_ Was thinking about bizarre love triangle covers, then went from new order to Depeche Mode (who did a decent u2 cover), which made me think of yaz'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kilojoule_', 'name': 'Lorenzo Servitje, PhD', 'id': 225872120, 'id_str': '225872120', 'indices': [0, 11]}], 'urls': []}",,en
1339021515346636800,2020-12-16 01:36:21,@kilojoule_ @raulpacheco Only worthy karaoke Bowie duet is under pressure sorry,b'@kilojoule_ @raulpacheco Only worthy karaoke Bowie duet is under pressure sorry',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kilojoule_', 'name': 'Lorenzo Servitje, PhD', 'id': 225872120, 'id_str': '225872120', 'indices': [0, 11]}, {'screen_name': 'raulpacheco', 'name': 'Dr Raul Pacheco-Vega', 'id': 15432179, 'id_str': '15432179', 'indices': [12, 24]}], 'urls': []}",,en
1339019699623964672,2020-12-16 01:29:08,@StevenStrafford I’m in a pretend a capella group doing the percussion 😆,b'@StevenStrafford I\xe2\x80\x99m in a pretend a capella group doing the percussion \xf0\x9f\x98\x86',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StevenStrafford', 'name': 'Steven Strafford', 'id': 184781566, 'id_str': '184781566', 'indices': [0, 16]}], 'urls': []}",,en
