id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017665814335489,2020-12-16 01:21:03,@jimmytraxx I can’t believe some people would act like this. This man is ACTIVELY TRYING to be a part of his child’s life. This is the absolute lowest of lows. Disgusting. Praying for this man.,b'@jimmytraxx I can\xe2\x80\x99t believe some people would act like this. This man is ACTIVELY TRYING to be a part of his child\xe2\x80\x99s life. This is the absolute lowest of lows. Disgusting. Praying for this man.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jimmytraxx', 'name': 'PAGES 💯💯💦', 'id': 1026479145054818304, 'id_str': '1026479145054818304', 'indices': [0, 11]}], 'urls': []}",,en
1338561374876790786,2020-12-14 19:07:55,All I want for Christmas is a new knee,b'All I want for Christmas is a new knee',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336089293618638851,2020-12-07 23:24:45,You can’t guard loose on any Pittsburgh WR,b'You can\xe2\x80\x99t guard loose on any Pittsburgh WR',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333977105391030272,2020-12-02 03:31:40,"Thank you @nfrealmusic for spending 1,562 minutes with me this year on @Spotify. You are my #1. #2020Wrapped https://t.co/D45Ag3WTqo top 2% of NF listeners this year 😅","b'Thank you @nfrealmusic for spending 1,562 minutes with me this year on @Spotify. You are my #1. #2020Wrapped https://t.co/D45Ag3WTqo top 2% of NF listeners this year \xf0\x9f\x98\x85'","{'hashtags': [{'text': '2020Wrapped', 'indices': [96, 108]}], 'symbols': [], 'user_mentions': [{'screen_name': 'nfrealmusic', 'name': 'NF', 'id': 335540047, 'id_str': '335540047', 'indices': [10, 22]}, {'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [71, 79]}], 'urls': [{'url': 'https://t.co/D45Ag3WTqo', 'expanded_url': 'https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz', 'display_url': 'open.spotify.com/artist/6fOMl44…', 'indices': [109, 132]}]}",,en
1333931611394633732,2020-12-02 00:30:54,RT @mchooyah: You're not getting yesterday back. Learn from it. Get over it. Guilt is a bag of bricks.,"b""RT @mchooyah: You're not getting yesterday back. Learn from it. Get over it. Guilt is a bag of bricks.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mchooyah', 'name': ""Robert J. O'Neill"", 'id': 2315698776, 'id_str': '2315698776', 'indices': [3, 12]}], 'urls': []}",,en
1330561078863032326,2020-11-22 17:17:36,RT @tedcruz: https://t.co/HSCSdXkst9,b'RT @tedcruz: https://t.co/HSCSdXkst9',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': 23022687, 'id_str': '23022687', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1330360252408193026, 'id_str': '1330360252408193026', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/media/EnZjmdwW4AIqreu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnZjmdwW4AIqreu.jpg', 'url': 'https://t.co/HSCSdXkst9', 'display_url': 'pic.twitter.com/HSCSdXkst9', 'expanded_url': 'https://twitter.com/tedcruz/status/1330360255449100294/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1030, 'h': 579, 'resize': 'fit'}, 'medium': {'w': 1030, 'h': 579, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}, 'source_status_id': 1330360255449100294, 'source_status_id_str': '1330360255449100294', 'source_user_id': 23022687, 'source_user_id_str': '23022687'}]}",,und
1329214005605494786,2020-11-19 00:04:49,@MitchellLowe68 I don’t know... roll it harder probably? 🤷🏻‍♂️,b'@MitchellLowe68 I don\xe2\x80\x99t know... roll it harder probably? \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MitchellLowe68', 'name': 'Mitchell Lowe', 'id': 805873771, 'id_str': '805873771', 'indices': [0, 15]}], 'urls': []}",,en
1329090335801180165,2020-11-18 15:53:24,So who wants to give me a loan so I can get the new 392 Wrangler? I’m in love https://t.co/A3jJUuALfz,b'So who wants to give me a loan so I can get the new 392 Wrangler? I\xe2\x80\x99m in love https://t.co/A3jJUuALfz',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1329090325193793538, 'id_str': '1329090325193793538', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/EnHgm-OVoAIqVib.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnHgm-OVoAIqVib.jpg', 'url': 'https://t.co/A3jJUuALfz', 'display_url': 'pic.twitter.com/A3jJUuALfz', 'expanded_url': 'https://twitter.com/FrederickZach/status/1329090335801180165/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 300, 'h': 168, 'resize': 'fit'}, 'medium': {'w': 300, 'h': 168, 'resize': 'fit'}, 'small': {'w': 300, 'h': 168, 'resize': 'fit'}}}]}",,en
1328901283676352513,2020-11-18 03:22:10,@Jim_Jordan @TrumpStudents Or do meth 🤷🏻‍♂️,b'@Jim_Jordan @TrumpStudents Or do meth \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}, {'screen_name': 'TrumpStudents', 'name': 'Students For Trump', 'id': 3981225735, 'id_str': '3981225735', 'indices': [12, 26]}], 'urls': []}",,en
1328897122700234753,2020-11-18 03:05:38,@BabySchafe13 @barstoolsports @DogWalkBarstool Convinced we have the same taste buds,b'@BabySchafe13 @barstoolsports @DogWalkBarstool Convinced we have the same taste buds',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BabySchafe13', 'name': 'Luke Schafer', 'id': 383996584, 'id_str': '383996584', 'indices': [0, 13]}, {'screen_name': 'barstoolsports', 'name': 'Barstool Sports', 'id': 22637974, 'id_str': '22637974', 'indices': [14, 29]}, {'screen_name': 'DogWalkBarstool', 'name': 'The Dog Walk', 'id': 1081265067306504193, 'id_str': '1081265067306504193', 'indices': [30, 46]}], 'urls': []}",,en
