id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017668158922752,2020-12-16 01:21:04,"Hello Everyone ! No stream tonight..
. don't worry though, our shutdown at work starts at the end of this week and we'll have a bunch of extra streams to make up for it !  | : D","b""Hello Everyone ! No stream tonight..\n. don't worry though, our shutdown at work starts at the end of this week and we'll have a bunch of extra streams to make up for it !  | : D""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338001512811806726,2020-12-13 06:03:14,- RISE OF THE TOMB RAIDER !!! - Part 4 - Blind Playthrough - Stream Going Live !!! | : D https://t.co/2nbpKQI0Wc #TombRaider #LaraCroft #Playstation #PS4 #CrystalDynamics #Twitch #Streaming #LetsPlay #RobotArmy #Adventure !!! https://t.co/NNQDVP8RpA,b'- RISE OF THE TOMB RAIDER !!! - Part 4 - Blind Playthrough - Stream Going Live !!! | : D https://t.co/2nbpKQI0Wc #TombRaider #LaraCroft #Playstation #PS4 #CrystalDynamics #Twitch #Streaming #LetsPlay #RobotArmy #Adventure !!! https://t.co/NNQDVP8RpA',"{'hashtags': [{'text': 'TombRaider', 'indices': [113, 124]}, {'text': 'LaraCroft', 'indices': [125, 135]}, {'text': 'Playstation', 'indices': [136, 148]}, {'text': 'PS4', 'indices': [149, 153]}, {'text': 'CrystalDynamics', 'indices': [154, 170]}, {'text': 'Twitch', 'indices': [171, 178]}, {'text': 'Streaming', 'indices': [179, 189]}, {'text': 'LetsPlay', 'indices': [190, 199]}, {'text': 'RobotArmy', 'indices': [200, 210]}, {'text': 'Adventure', 'indices': [211, 221]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2nbpKQI0Wc', 'expanded_url': 'http://twitch.tv/gyreck', 'display_url': 'twitch.tv/gyreck', 'indices': [89, 112]}], 'media': [{'id': 1338001496273637377, 'id_str': '1338001496273637377', 'indices': [226, 249], 'media_url': 'http://pbs.twimg.com/media/EpGJRZZU0AEGof0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpGJRZZU0AEGof0.jpg', 'url': 'https://t.co/NNQDVP8RpA', 'display_url': 'pic.twitter.com/NNQDVP8RpA', 'expanded_url': 'https://twitter.com/GYRECK/status/1338001512811806726/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",,en
1337649368480935937,2020-12-12 06:43:56,"Ended up being a short stream tonight, more wrecked from work this week than expected. Back again tomorrow night for the next part of Rise of The Tomb Raider !!!

| : ] '","b""Ended up being a short stream tonight, more wrecked from work this week than expected. Back again tomorrow night for the next part of Rise of The Tomb Raider !!!\n\n| : ] '""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337608762639564801,2020-12-12 04:02:35,"- FALLOUT FRIDAY !!! ""LIVING IN A VIRTUAL UNIVERSE"" Stream Going Live !!!  | : D  https://t.co/2nbpKQI0Wc  Join us for our continued adventure through the Virtual Universe !!! #Robots #Twitch #Streaming #Bethesda #Fallout4 #OpenWorld #Wasteland #LetsPlay #RobotArmy #Adventure !!! https://t.co/Rvixlm5cux","b'- FALLOUT FRIDAY !!! ""LIVING IN A VIRTUAL UNIVERSE"" Stream Going Live !!!  | : D  https://t.co/2nbpKQI0Wc  Join us for our continued adventure through the Virtual Universe !!! #Robots #Twitch #Streaming #Bethesda #Fallout4 #OpenWorld #Wasteland #LetsPlay #RobotArmy #Adventure !!! https://t.co/Rvixlm5cux'","{'hashtags': [{'text': 'Robots', 'indices': [176, 183]}, {'text': 'Twitch', 'indices': [184, 191]}, {'text': 'Streaming', 'indices': [192, 202]}, {'text': 'Bethesda', 'indices': [203, 212]}, {'text': 'Fallout4', 'indices': [213, 222]}, {'text': 'OpenWorld', 'indices': [223, 233]}, {'text': 'Wasteland', 'indices': [234, 244]}, {'text': 'LetsPlay', 'indices': [245, 254]}, {'text': 'RobotArmy', 'indices': [255, 265]}, {'text': 'Adventure', 'indices': [266, 276]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2nbpKQI0Wc', 'expanded_url': 'http://twitch.tv/gyreck', 'display_url': 'twitch.tv/gyreck', 'indices': [82, 105]}], 'media': [{'id': 1337608730708340737, 'id_str': '1337608730708340737', 'indices': [281, 304], 'media_url': 'http://pbs.twimg.com/media/EpAkDbpU8AE8gCS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpAkDbpU8AE8gCS.jpg', 'url': 'https://t.co/Rvixlm5cux', 'display_url': 'pic.twitter.com/Rvixlm5cux', 'expanded_url': 'https://twitter.com/GYRECK/status/1337608762639564801/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",,en
1337278965828837376,2020-12-11 06:12:05,"@David__Cage Congratulations on your continued success ! 

| : ] '","b""@David__Cage Congratulations on your continued success ! \n\n| : ] '""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'David__Cage', 'name': 'David Cage', 'id': 1024587002010918912, 'id_str': '1024587002010918912', 'indices': [0, 12]}], 'urls': []}",,en
1335721491296440323,2020-12-06 23:03:14,- SUNDAY GAMING !!! Streaming with friend of the channel @fast3ddy88 !!! | : D Starting State of Decay 2 - https://t.co/2nbpKQI0Wc #StateOfDecay2 #Zombies #OpenWorld #Survival #Twitch #Streaming #LetsPlay #RobotArmy #Adventure !!! https://t.co/4WMLM4Gtbq,b'- SUNDAY GAMING !!! Streaming with friend of the channel @fast3ddy88 !!! | : D Starting State of Decay 2 - https://t.co/2nbpKQI0Wc #StateOfDecay2 #Zombies #OpenWorld #Survival #Twitch #Streaming #LetsPlay #RobotArmy #Adventure !!! https://t.co/4WMLM4Gtbq',"{'hashtags': [{'text': 'StateOfDecay2', 'indices': [131, 145]}, {'text': 'Zombies', 'indices': [146, 154]}, {'text': 'OpenWorld', 'indices': [155, 165]}, {'text': 'Survival', 'indices': [166, 175]}, {'text': 'Twitch', 'indices': [176, 183]}, {'text': 'Streaming', 'indices': [184, 194]}, {'text': 'LetsPlay', 'indices': [195, 204]}, {'text': 'RobotArmy', 'indices': [205, 215]}, {'text': 'Adventure', 'indices': [216, 226]}], 'symbols': [], 'user_mentions': [{'screen_name': 'fast3ddy88', 'name': '|CC|Fast Eddy Van Halen', 'id': 951645097220870144, 'id_str': '951645097220870144', 'indices': [57, 68]}], 'urls': [{'url': 'https://t.co/2nbpKQI0Wc', 'expanded_url': 'http://twitch.tv/gyreck', 'display_url': 'twitch.tv/gyreck', 'indices': [107, 130]}], 'media': [{'id': 1335721464297734145, 'id_str': '1335721464297734145', 'indices': [231, 254], 'media_url': 'http://pbs.twimg.com/media/EolvmEZUwAEh4l3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EolvmEZUwAEh4l3.jpg', 'url': 'https://t.co/4WMLM4Gtbq', 'display_url': 'pic.twitter.com/4WMLM4Gtbq', 'expanded_url': 'https://twitter.com/GYRECK/status/1335721491296440323/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]}",,en
1335465559543058442,2020-12-06 06:06:15,- RISE OF THE TOMB RAIDER !!! - Part 3 - Blind Playthrough - Stream Going Live !!! | : D https://t.co/2nbpKQI0Wc #TombRaider #LaraCroft #Playstation #PS4 #CrystalDynamics #Twitch #Streaming #LetsPlay #RobotArmy #Adventure !!! https://t.co/A9SknVnScj,b'- RISE OF THE TOMB RAIDER !!! - Part 3 - Blind Playthrough - Stream Going Live !!! | : D https://t.co/2nbpKQI0Wc #TombRaider #LaraCroft #Playstation #PS4 #CrystalDynamics #Twitch #Streaming #LetsPlay #RobotArmy #Adventure !!! https://t.co/A9SknVnScj',"{'hashtags': [{'text': 'TombRaider', 'indices': [113, 124]}, {'text': 'LaraCroft', 'indices': [125, 135]}, {'text': 'Playstation', 'indices': [136, 148]}, {'text': 'PS4', 'indices': [149, 153]}, {'text': 'CrystalDynamics', 'indices': [154, 170]}, {'text': 'Twitch', 'indices': [171, 178]}, {'text': 'Streaming', 'indices': [179, 189]}, {'text': 'LetsPlay', 'indices': [190, 199]}, {'text': 'RobotArmy', 'indices': [200, 210]}, {'text': 'Adventure', 'indices': [211, 221]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2nbpKQI0Wc', 'expanded_url': 'http://twitch.tv/gyreck', 'display_url': 'twitch.tv/gyreck', 'indices': [89, 112]}], 'media': [{'id': 1335465539406204930, 'id_str': '1335465539406204930', 'indices': [226, 249], 'media_url': 'http://pbs.twimg.com/media/EoiG1R4VEAIvT5i.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoiG1R4VEAIvT5i.jpg', 'url': 'https://t.co/A9SknVnScj', 'display_url': 'pic.twitter.com/A9SknVnScj', 'expanded_url': 'https://twitter.com/GYRECK/status/1335465559543058442/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",,en
1335463089269923840,2020-12-06 05:56:26,"Favorite moment from last stream - Someone came back after following a year ago, &amp; after hanging out with our crew for 45 minutes said it felt like they'd been in the community for months because of how welcoming everyone was. | : D #wholesome #streaming #twitch #RobotArmy !!!","b""Favorite moment from last stream - Someone came back after following a year ago, &amp; after hanging out with our crew for 45 minutes said it felt like they'd been in the community for months because of how welcoming everyone was. | : D #wholesome #streaming #twitch #RobotArmy !!!""","{'hashtags': [{'text': 'wholesome', 'indices': [237, 247]}, {'text': 'streaming', 'indices': [248, 258]}, {'text': 'twitch', 'indices': [259, 266]}, {'text': 'RobotArmy', 'indices': [267, 277]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335071184996601856,2020-12-05 03:59:09,"- FALLOUT FRIDAY !!! ""LIVING IN A VIRTUAL UNIVERSE"" Stream Going Live !!!  | : D  https://t.co/2nbpKQI0Wc  Join us for our continued adventure through the Virtual Universe !!! #Robots #Twitch #Streaming #Bethesda #Fallout4 #OpenWorld #Wasteland #LetsPlay #RobotArmy #Adventure !!! https://t.co/YSmyJDvAlJ","b'- FALLOUT FRIDAY !!! ""LIVING IN A VIRTUAL UNIVERSE"" Stream Going Live !!!  | : D  https://t.co/2nbpKQI0Wc  Join us for our continued adventure through the Virtual Universe !!! #Robots #Twitch #Streaming #Bethesda #Fallout4 #OpenWorld #Wasteland #LetsPlay #RobotArmy #Adventure !!! https://t.co/YSmyJDvAlJ'","{'hashtags': [{'text': 'Robots', 'indices': [176, 183]}, {'text': 'Twitch', 'indices': [184, 191]}, {'text': 'Streaming', 'indices': [192, 202]}, {'text': 'Bethesda', 'indices': [203, 212]}, {'text': 'Fallout4', 'indices': [213, 222]}, {'text': 'OpenWorld', 'indices': [223, 233]}, {'text': 'Wasteland', 'indices': [234, 244]}, {'text': 'LetsPlay', 'indices': [245, 254]}, {'text': 'RobotArmy', 'indices': [255, 265]}, {'text': 'Adventure', 'indices': [266, 276]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2nbpKQI0Wc', 'expanded_url': 'http://twitch.tv/gyreck', 'display_url': 'twitch.tv/gyreck', 'indices': [82, 105]}], 'media': [{'id': 1335071160036327424, 'id_str': '1335071160036327424', 'indices': [281, 304], 'media_url': 'http://pbs.twimg.com/media/EocgJYPVgAAMrMh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EocgJYPVgAAMrMh.jpg', 'url': 'https://t.co/YSmyJDvAlJ', 'display_url': 'pic.twitter.com/YSmyJDvAlJ', 'expanded_url': 'https://twitter.com/GYRECK/status/1335071184996601856/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]}",,en
1334593193699000320,2020-12-03 20:19:47,"@fast3ddy88 What, no pinball ???","b'@fast3ddy88 What, no pinball ???'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fast3ddy88', 'name': '|CC|Fast Eddy Van Halen', 'id': 951645097220870144, 'id_str': '951645097220870144', 'indices': [0, 11]}], 'urls': []}",,en
