id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339052755466547200,2020-12-16 03:40:29,RT @darby_darrin: Follow me on Twitch @ DarbzNation https://t.co/tvimeTCNsl,b'RT @darby_darrin: Follow me on Twitch @ DarbzNation https://t.co/tvimeTCNsl',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'darby_darrin', 'name': 'Darrin Darby', 'id': 893212176026148864, 'id_str': '893212176026148864', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1339052517250846721, 'id_str': '1339052517250846721', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/EpVFK3pUUAEnMFJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpVFK3pUUAEnMFJ.jpg', 'url': 'https://t.co/tvimeTCNsl', 'display_url': 'pic.twitter.com/tvimeTCNsl', 'expanded_url': 'https://twitter.com/darby_darrin/status/1339052519784247296/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}}, 'source_status_id': 1339052519784247296, 'source_status_id_str': '1339052519784247296', 'source_user_id': 893212176026148864, 'source_user_id_str': '893212176026148864'}]}",,en
1339017668557410304,2020-12-16 01:21:04,We’re about to be watching the same tournaments we watched during blackout in about a week. 😂 #Alcatraz,b'We\xe2\x80\x99re about to be watching the same tournaments we watched during blackout in about a week. \xf0\x9f\x98\x82 #Alcatraz',"{'hashtags': [{'text': 'Alcatraz', 'indices': [94, 103]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017301778108416,2020-12-16 01:19:37,For whatever reason I thought they would take this map and make it more of a real BR then what we had in blackout.. Idk what made me think that. it’s treyarch so I should have known,b'For whatever reason I thought they would take this map and make it more of a real BR then what we had in blackout.. Idk what made me think that. it\xe2\x80\x99s treyarch so I should have known',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338999587563069445,2020-12-16 00:09:13,Smh https://t.co/9qJPy7pN6M,b'Smh https://t.co/9qJPy7pN6M',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9qJPy7pN6M', 'expanded_url': 'https://twitter.com/keemstar/status/1338931945766604802', 'display_url': 'twitter.com/keemstar/statu…', 'indices': [4, 27]}]}",,und
1338990255991472128,2020-12-15 23:32:08,Had to add Tyrone to the laptop 🐐 https://t.co/276W94PGFf,b'Had to add Tyrone to the laptop \xf0\x9f\x90\x90 https://t.co/276W94PGFf',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338990250903937026, 'id_str': '1338990250903937026', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/EpUMifbXIAItKQC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUMifbXIAItKQC.jpg', 'url': 'https://t.co/276W94PGFf', 'display_url': 'pic.twitter.com/276W94PGFf', 'expanded_url': 'https://twitter.com/ImDeemo3/status/1338990255991472128/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1128, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1925, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 639, 'h': 680, 'resize': 'fit'}}}]}",,en
1338955921930784769,2020-12-15 21:15:43,@BirdmanTfg Nah but I’m assuming it’s going to be significantly smaller. I hope,b'@BirdmanTfg Nah but I\xe2\x80\x99m assuming it\xe2\x80\x99s going to be significantly smaller. I hope',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BirdmanTfg', 'name': 'BirdmanTFG 🦅', 'id': 851095096422518785, 'id_str': '851095096422518785', 'indices': [0, 11]}], 'urls': []}",,en
1338944251233787905,2020-12-15 20:29:20,This looks promising... not too many building. Hopefully it plays better than Verdansk https://t.co/sCeOUXXZM3,b'This looks promising... not too many building. Hopefully it plays better than Verdansk https://t.co/sCeOUXXZM3',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338944044374892550, 'id_str': '1338944044374892550', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/EpTig6sXIAY2PU6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpTig6sXIAY2PU6.jpg', 'url': 'https://t.co/sCeOUXXZM3', 'display_url': 'pic.twitter.com/sCeOUXXZM3', 'expanded_url': 'https://twitter.com/ImDeemo3/status/1338944251233787905/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 628, 'h': 680, 'resize': 'fit'}, 'large': {'w': 628, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 628, 'h': 680, 'resize': 'fit'}}}]}",,en
1338928297527435264,2020-12-15 19:25:56,Basketball and Baseball money is different https://t.co/NktM2O5KzX,b'Basketball and Baseball money is different https://t.co/NktM2O5KzX',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NktM2O5KzX', 'expanded_url': 'https://twitter.com/BleacherReport/status/1338913345659940864', 'display_url': 'twitter.com/BleacherReport…', 'indices': [43, 66]}]}",,en
1338913087961903105,2020-12-15 18:25:30,@The_IdiotChris called his wife a 4 lol,b'@The_IdiotChris called his wife a 4 lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'The_IdiotChris', 'name': 'CHRIS-19', 'id': 114360127, 'id_str': '114360127', 'indices': [0, 15]}], 'urls': []}",,en
1338889942332809217,2020-12-15 16:53:32,Do better @Activision @FacebookGaming  🤣 https://t.co/pPhP9Htteb,b'Do better @Activision @FacebookGaming  \xf0\x9f\xa4\xa3 https://t.co/pPhP9Htteb',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Activision', 'name': 'Activision', 'id': 612782611, 'id_str': '612782611', 'indices': [10, 21]}, {'screen_name': 'FacebookGaming', 'name': 'Facebook Gaming', 'id': 918574108148764672, 'id_str': '918574108148764672', 'indices': [22, 37]}], 'urls': [], 'media': [{'id': 1338889937446432769, 'id_str': '1338889937446432769', 'indices': [41, 64], 'media_url': 'http://pbs.twimg.com/media/EpSxTerW8AEpHZj.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpSxTerW8AEpHZj.jpg', 'url': 'https://t.co/pPhP9Htteb', 'display_url': 'pic.twitter.com/pPhP9Htteb', 'expanded_url': 'https://twitter.com/ImDeemo3/status/1338889942332809217/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 431, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1298, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 761, 'resize': 'fit'}}}]}",,en
