id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017662207205378,2020-12-16 01:21:03,"You can always count on a member of the Seattle Cuty Council to demonstrate the opposite of #ServantLeadership. Great reporting as always @jasonrantz.

https://t.co/44WDqHFa0b via @Mynorthwest",b'You can always count on a member of the Seattle Cuty Council to demonstrate the opposite of #ServantLeadership. Great reporting as always @jasonrantz.\n\nhttps://t.co/44WDqHFa0b via @Mynorthwest',"{'hashtags': [{'text': 'ServantLeadership', 'indices': [92, 110]}], 'symbols': [], 'user_mentions': [{'screen_name': 'jasonrantz', 'name': '(((Jason Rantz))) on KTTH Radio', 'id': 16193763, 'id_str': '16193763', 'indices': [138, 149]}, {'screen_name': 'Mynorthwest', 'name': 'MyNorthwest.com 🌲', 'id': 21224486, 'id_str': '21224486', 'indices': [180, 192]}], 'urls': [{'url': 'https://t.co/44WDqHFa0b', 'expanded_url': 'https://mynorthwest.com/2370278/rantz-seattle-cm-called-police-she-defunded-to-report-crime-she-is-effectively-legalizing/', 'display_url': 'mynorthwest.com/2370278/rantz-…', 'indices': [152, 175]}]}",,en
1338730249350045696,2020-12-15 06:18:58,"RT @secstatewa: Over the weekend, our office was made aware of a website threatening election officials.

The site includes images of the o…","b'RT @secstatewa: Over the weekend, our office was made aware of a website threatening election officials.\n\nThe site includes images of the o\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'secstatewa', 'name': 'Washington Office of the Secretary of State', 'id': 15534771, 'id_str': '15534771', 'indices': [3, 14]}], 'urls': []}",,en
1338711087194066945,2020-12-15 05:02:49,"RT @jtwilcox111: Horrific threats are being made to elections staff all over the country including WA.  Including pictures, scope crosshair…","b'RT @jtwilcox111: Horrific threats are being made to elections staff all over the country including WA.  Including pictures, scope crosshair\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jtwilcox111', 'name': 'Rep. JT Wilcox', 'id': 86523551, 'id_str': '86523551', 'indices': [3, 15]}], 'urls': []}",,en
1338385528463347712,2020-12-14 07:29:10,"RT @Liz_Cheney: Edward Snowden is a traitor.

He is responsible for the largest and most damaging release of classified info in US history.…",b'RT @Liz_Cheney: Edward Snowden is a traitor.\n\nHe is responsible for the largest and most damaging release of classified info in US history.\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Liz_Cheney', 'name': 'Liz Cheney', 'id': 98471035, 'id_str': '98471035', 'indices': [3, 14]}], 'urls': []}",,en
1337903739072520192,2020-12-12 23:34:43,“Farmyard” was a typo. Kind of fit though...,b'\xe2\x80\x9cFarmyard\xe2\x80\x9d was a typo. Kind of fit though...',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337902955610001409,2020-12-12 23:31:36,RT @VoteMeijer: 15-0 https://t.co/wt1AZMlVdL,b'RT @VoteMeijer: 15-0 https://t.co/wt1AZMlVdL',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VoteMeijer', 'name': 'Peter Meijer', 'id': 1134953735980036096, 'id_str': '1134953735980036096', 'indices': [3, 14]}], 'urls': []}",,und
1337898986938617857,2020-12-12 23:15:50,This is my kind of farmyard Navy game! #ArmyNavy https://t.co/sPyKk0SGWv,b'This is my kind of farmyard Navy game! #ArmyNavy https://t.co/sPyKk0SGWv',"{'hashtags': [{'text': 'ArmyNavy', 'indices': [39, 48]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337898983126024192, 'id_str': '1337898983126024192', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/media/EpEsCWKVQAAiAe-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpEsCWKVQAAiAe-.jpg', 'url': 'https://t.co/sPyKk0SGWv', 'display_url': 'pic.twitter.com/sPyKk0SGWv', 'expanded_url': 'https://twitter.com/JesseJensen2020/status/1337898986938617857/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 824, 'h': 928, 'resize': 'fit'}, 'small': {'w': 604, 'h': 680, 'resize': 'fit'}, 'large': {'w': 824, 'h': 928, 'resize': 'fit'}}}]}",,en
1337886444807880704,2020-12-12 22:25:59,Remember when @NPR refused to report on Hunter Biden allegations? 🤔 https://t.co/7FPkRGdm7w,b'Remember when @NPR refused to report on Hunter Biden allegations? \xf0\x9f\xa4\x94 https://t.co/7FPkRGdm7w',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NPR', 'name': 'NPR', 'id': 5392522, 'id_str': '5392522', 'indices': [14, 18]}], 'urls': [{'url': 'https://t.co/7FPkRGdm7w', 'expanded_url': 'https://twitter.com/nbcnews/status/1337560311105277953', 'display_url': 'twitter.com/nbcnews/status…', 'indices': [68, 91]}]}",,en
1337860453054083072,2020-12-12 20:42:42,"RT @CBSSports: HELLO! 
Army bringing the boom. https://t.co/y9myPlXoSs",b'RT @CBSSports: HELLO! \nArmy bringing the boom. https://t.co/y9myPlXoSs',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CBSSports', 'name': 'CBS Sports', 'id': 14885860, 'id_str': '14885860', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1337856662351200256, 'id_str': '1337856662351200256', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1337856662351200256/img/kAibkBqYS9vuBJre.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1337856662351200256/img/kAibkBqYS9vuBJre.jpg', 'url': 'https://t.co/y9myPlXoSs', 'display_url': 'pic.twitter.com/y9myPlXoSs', 'expanded_url': 'https://twitter.com/CBSSports/status/1337856811106508804/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1337856811106508804, 'source_status_id_str': '1337856811106508804', 'source_user_id': 14885860, 'source_user_id_str': '14885860'}]}",,en
1337829158387294209,2020-12-12 18:38:21,"RT @KVIseattle: Kirby's at home without a voice, so @KVIJohnCarlson is here to fill in and support our #KOMOToyDrive! 

Join him on 570 KVI…","b""RT @KVIseattle: Kirby's at home without a voice, so @KVIJohnCarlson is here to fill in and support our #KOMOToyDrive! \n\nJoin him on 570 KVI\xe2\x80\xa6""","{'hashtags': [{'text': 'KOMOToyDrive', 'indices': [103, 116]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KVIseattle', 'name': 'TALK RADIO 570 KVI', 'id': 226321171, 'id_str': '226321171', 'indices': [3, 14]}, {'screen_name': 'KVIJohnCarlson', 'name': 'John Carlson', 'id': 1089488761, 'id_str': '1089488761', 'indices': [52, 67]}], 'urls': []}",,en
1337826905366560769,2020-12-12 18:29:24,"Go Army, beat Navy!","b'Go Army, beat Navy!'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337825330170482690,2020-12-12 18:23:08,Have you met @RepJayapal? https://t.co/ryBfDhWv3g,b'Have you met @RepJayapal? https://t.co/ryBfDhWv3g',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepJayapal', 'name': 'Rep. Pramila Jayapal', 'id': 815733290955112448, 'id_str': '815733290955112448', 'indices': [13, 24]}], 'urls': [{'url': 'https://t.co/ryBfDhWv3g', 'expanded_url': 'https://twitter.com/krakentrump2020/status/1337804952807206912', 'display_url': 'twitter.com/krakentrump202…', 'indices': [26, 49]}]}",,en
1337824359545622528,2020-12-12 18:19:17,"Dear @netflix, season 2 of @Kidszone_HD (Grizzy &amp; the Lemmings) is on. We won’t be leaving our couch so, yes, we’re still watching. 

Sincerely,

My kids https://t.co/1wVrfPVWON","b'Dear @netflix, season 2 of @Kidszone_HD (Grizzy &amp; the Lemmings) is on. We won\xe2\x80\x99t be leaving our couch so, yes, we\xe2\x80\x99re still watching. \n\nSincerely,\n\nMy kids https://t.co/1wVrfPVWON'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [5, 13]}, {'screen_name': 'Kidszone_HD', 'name': 'Grizzy and the Lemmings', 'id': 1071077136885153792, 'id_str': '1071077136885153792', 'indices': [27, 39]}], 'urls': [], 'media': [{'id': 1337824355611365376, 'id_str': '1337824355611365376', 'indices': [158, 181], 'media_url': 'http://pbs.twimg.com/media/EpDoKdAU0AAsZIL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpDoKdAU0AAsZIL.jpg', 'url': 'https://t.co/1wVrfPVWON', 'display_url': 'pic.twitter.com/1wVrfPVWON', 'expanded_url': 'https://twitter.com/JesseJensen2020/status/1337824359545622528/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}}}]}",,en
1337300314886610946,2020-12-11 07:36:55,"Israel and Morocco agreed to normalize relations, President Trump said, a deal that required U.S. recognition of Moroccan sovereignty over Western Sahara https://t.co/NFPa27q43D","b'Israel and Morocco agreed to normalize relations, President Trump said, a deal that required U.S. recognition of Moroccan sovereignty over Western Sahara https://t.co/NFPa27q43D'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NFPa27q43D', 'expanded_url': 'https://www.wsj.com/articles/trump-says-morocco-will-establish-full-diplomatic-relations-with-israel-11607617872', 'display_url': 'wsj.com/articles/trump…', 'indices': [154, 177]}]}",,en
1337277619549564928,2020-12-11 06:06:44,#2020 https://t.co/Jfz0VEtqBw,b'#2020 https://t.co/Jfz0VEtqBw',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Jfz0VEtqBw', 'expanded_url': 'https://twitter.com/q13fox/status/1337272192531374082', 'display_url': 'twitter.com/q13fox/status/…', 'indices': [6, 29]}]}",,und
1337245348092252160,2020-12-11 03:58:30,Really? https://t.co/4Lo6kwscYY,b'Really? https://t.co/4Lo6kwscYY',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4Lo6kwscYY', 'expanded_url': 'https://www.king5.com/mobile/article/news/nation-world/time-unveils-shortlist-for-2020-person-of-the-year/507-0c40f21d-6d56-4fb8-be16-a3a6ac2b04f6', 'display_url': 'king5.com/mobile/article…', 'indices': [8, 31]}]}",,en
1336832001127550982,2020-12-10 00:36:00,RT @jtwilcox111: Thank goodness no one was injured.  We all need to intervene whenever possible to prevent political violence.  It destroys…,b'RT @jtwilcox111: Thank goodness no one was injured.  We all need to intervene whenever possible to prevent political violence.  It destroys\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jtwilcox111', 'name': 'Rep. JT Wilcox', 'id': 86523551, 'id_str': '86523551', 'indices': [3, 15]}], 'urls': []}",,en
1336022069570465795,2020-12-07 18:57:38,Today will always be a day that will “live in infamy”. Let us never forget those that lost their lives at #PearlHarbor 79 years ago today.,b'Today will always be a day that will \xe2\x80\x9clive in infamy\xe2\x80\x9d. Let us never forget those that lost their lives at #PearlHarbor 79 years ago today.',"{'hashtags': [{'text': 'PearlHarbor', 'indices': [106, 118]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336016690644099073,2020-12-07 18:36:15,"Seattle ⁦@MayorJenny⁩ Durkan will not run for re-election. For the sake of Seattle, I fear who will ultimately replace her... 

https://t.co/9rEpReRIXz","b'Seattle \xe2\x81\xa6@MayorJenny\xe2\x81\xa9 Durkan will not run for re-election. For the sake of Seattle, I fear who will ultimately replace her... \n\nhttps://t.co/9rEpReRIXz'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MayorJenny', 'name': 'Mayor Jenny Durkan', 'id': 931187167811985409, 'id_str': '931187167811985409', 'indices': [9, 20]}], 'urls': [{'url': 'https://t.co/9rEpReRIXz', 'expanded_url': 'https://q13fox.com/news/seattle-mayor-jenny-durkan-will-not-run-for-re-election', 'display_url': 'q13fox.com/news/seattle-m…', 'indices': [128, 151]}]}",,en
1335816269963034624,2020-12-07 05:19:51,"RT @votetimscott: Jon @Ossoff will help turn our beloved nation into a socialist utopia. Georgia, we cannot let that happen! We need @Perdu…","b'RT @votetimscott: Jon @Ossoff will help turn our beloved nation into a socialist utopia. Georgia, we cannot let that happen! We need @Perdu\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'votetimscott', 'name': 'Tim Scott', 'id': 81191343, 'id_str': '81191343', 'indices': [3, 16]}, {'screen_name': 'ossoff', 'name': 'Jon Ossoff', 'id': 521747968, 'id_str': '521747968', 'indices': [22, 29]}], 'urls': []}",,en
1335783066892029952,2020-12-07 03:07:55,RT @Jon_Nehring: Appreciated the opportunity to share some thoughts on The Divide with @BrandiKruse this morning.,b'RT @Jon_Nehring: Appreciated the opportunity to share some thoughts on The Divide with @BrandiKruse this morning.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jon_Nehring', 'name': 'Jon Nehring', 'id': 248939152, 'id_str': '248939152', 'indices': [3, 15]}, {'screen_name': 'BrandiKruse', 'name': 'Brandi Kruse', 'id': 272572385, 'id_str': '272572385', 'indices': [87, 99]}], 'urls': []}",,en
1335781459844460544,2020-12-07 03:01:32,Congrats @realJoshuaFreed! https://t.co/107M57ocQE,b'Congrats @realJoshuaFreed! https://t.co/107M57ocQE',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realJoshuaFreed', 'name': 'Joshua Freed', 'id': 797569827585953797, 'id_str': '797569827585953797', 'indices': [9, 25]}], 'urls': [{'url': 'https://t.co/107M57ocQE', 'expanded_url': 'https://twitter.com/Jim_Brunner/status/1335663625642463232', 'display_url': 'twitter.com/Jim_Brunner/st…', 'indices': [27, 50]}]}",,en
1335780931395702785,2020-12-07 02:59:26,@BrandiKruse That’s hurtful rhetoric @BrandiKruse,b'@BrandiKruse That\xe2\x80\x99s hurtful rhetoric @BrandiKruse',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BrandiKruse', 'name': 'Brandi Kruse', 'id': 272572385, 'id_str': '272572385', 'indices': [0, 12]}, {'screen_name': 'BrandiKruse', 'name': 'Brandi Kruse', 'id': 272572385, 'id_str': '272572385', 'indices': [37, 49]}], 'urls': []}",,en
1334019562761699328,2020-12-02 06:20:23,"RT @carmenbest: Mass exodus: Seattle police lose 34 more officers as cops resign, retire or transfer out at frantic rates https://t.co/usmF…","b'RT @carmenbest: Mass exodus: Seattle police lose 34 more officers as cops resign, retire or transfer out at frantic rates https://t.co/usmF\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'carmenbest', 'name': 'Chief Carmen Best (Ret.)', 'id': 41001412, 'id_str': '41001412', 'indices': [3, 14]}], 'urls': []}",,en
1332786694349746177,2020-11-28 20:41:24,Visited the #LondonBridge in... Arizona 😳 https://t.co/VkWw18zNc9,b'Visited the #LondonBridge in... Arizona \xf0\x9f\x98\xb3 https://t.co/VkWw18zNc9',"{'hashtags': [{'text': 'LondonBridge', 'indices': [12, 25]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1332786683381596160, 'id_str': '1332786683381596160', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/media/En8CbVhUwAAhovs.jpg', 'media_url_https': 'https://pbs.twimg.com/media/En8CbVhUwAAhovs.jpg', 'url': 'https://t.co/VkWw18zNc9', 'display_url': 'pic.twitter.com/VkWw18zNc9', 'expanded_url': 'https://twitter.com/JesseJensen2020/status/1332786694349746177/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1440, 'resize': 'fit'}}}]}",,en
1332042527772295169,2020-11-26 19:24:21,Thanksgiving feasts started early this year... https://t.co/uRvMaiZeWY,b'Thanksgiving feasts started early this year... https://t.co/uRvMaiZeWY',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1332042468456480769, 'id_str': '1332042468456480769', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/EnxdkU4VQAEsyv-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnxdkU4VQAEsyv-.jpg', 'url': 'https://t.co/uRvMaiZeWY', 'display_url': 'pic.twitter.com/uRvMaiZeWY', 'expanded_url': 'https://twitter.com/JesseJensen2020/status/1332042527772295169/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}}]}",,en
1332042127086219265,2020-11-26 19:22:45,"RT @RichardGrenell: Today I am grateful to be cancer free for the past 6 years. 

Dealing with a cancer diagnosis can be devastating and fe…",b'RT @RichardGrenell: Today I am grateful to be cancer free for the past 6 years. \n\nDealing with a cancer diagnosis can be devastating and fe\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RichardGrenell', 'name': 'Richard Grenell', 'id': 90480218, 'id_str': '90480218', 'indices': [3, 18]}], 'urls': []}",,en
1332010522548441090,2020-11-26 17:17:10,Happy Thanksgiving all! 🦃🥧 I hope you’re able to connect with loved ones and give thanks. https://t.co/0IiYvzKqUv,b'Happy Thanksgiving all! \xf0\x9f\xa6\x83\xf0\x9f\xa5\xa7 I hope you\xe2\x80\x99re able to connect with loved ones and give thanks. https://t.co/0IiYvzKqUv',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1332010512897380353, 'id_str': '1332010512897380353', 'indices': [90, 113], 'media_url': 'http://pbs.twimg.com/media/EnxAgRJVkAEqbxK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnxAgRJVkAEqbxK.jpg', 'url': 'https://t.co/0IiYvzKqUv', 'display_url': 'pic.twitter.com/0IiYvzKqUv', 'expanded_url': 'https://twitter.com/JesseJensen2020/status/1332010522548441090/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 628, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 628, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}}}]}",,en
