id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339114436817260544,2020-12-16 07:45:35,@GCFTokyo1108 You should have warned us to sit down first... lol,b'@GCFTokyo1108 You should have warned us to sit down first... lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GCFTokyo1108', 'name': '☀️JayKay⁷₁₃🌕', 'id': 1258608421064052739, 'id_str': '1258608421064052739', 'indices': [0, 13]}], 'urls': []}",,en
1339070621188239360,2020-12-16 04:51:29,@ScoutiBangtan 42,b'@ScoutiBangtan 42',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ScoutiBangtan', 'name': '¹³scouti⁷', 'id': 2730659555, 'id_str': '2730659555', 'indices': [0, 14]}], 'urls': []}",,und
1339052892515405826,2020-12-16 03:41:02,@PearlySea21 I bet you heard an echo too.... lol,b'@PearlySea21 I bet you heard an echo too.... lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PearlySea21', 'name': '🦋ℂ𝕙𝕣𝕚𝕤𝕤𝕪ʲᵏ🦋 updated One and Only', 'id': 718212443982446592, 'id_str': '718212443982446592', 'indices': [0, 12]}], 'urls': []}",,en
1339044590939205637,2020-12-16 03:08:03,but i'd also not tell a soul..... https://t.co/HTqESOd360 https://t.co/nmGJggIcav,"b""but i'd also not tell a soul..... https://t.co/HTqESOd360 https://t.co/nmGJggIcav""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HTqESOd360', 'expanded_url': 'https://twitter.com/GCFTokyo1108/status/1338997902878920707', 'display_url': 'twitter.com/GCFTokyo1108/s…', 'indices': [34, 57]}], 'media': [{'id': 1339044585197236224, 'id_str': '1339044585197236224', 'indices': [58, 81], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpU99KcXcAAhsBO.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpU99KcXcAAhsBO.jpg', 'url': 'https://t.co/nmGJggIcav', 'display_url': 'pic.twitter.com/nmGJggIcav', 'expanded_url': 'https://twitter.com/JiKoo13_OT7/status/1339044590939205637/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 320, 'h': 256, 'resize': 'fit'}, 'large': {'w': 320, 'h': 256, 'resize': 'fit'}, 'medium': {'w': 320, 'h': 256, 'resize': 'fit'}}}]}",,en
1339043346401124352,2020-12-16 03:03:06,@Buckyl3 https://t.co/8uuXisetG6,b'@Buckyl3 https://t.co/8uuXisetG6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Buckyl3', 'name': '⚜Hadley Kane⚜', 'id': 1041541937491144705, 'id_str': '1041541937491144705', 'indices': [0, 8]}], 'urls': [], 'media': [{'id': 1339043318043435013, 'id_str': '1339043318043435013', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpU8zZ7W4AUuimg.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpU8zZ7W4AUuimg.jpg', 'url': 'https://t.co/8uuXisetG6', 'display_url': 'pic.twitter.com/8uuXisetG6', 'expanded_url': 'https://twitter.com/JiKoo13_OT7/status/1339043346401124352/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 450, 'h': 450, 'resize': 'fit'}, 'large': {'w': 450, 'h': 450, 'resize': 'fit'}, 'medium': {'w': 450, 'h': 450, 'resize': 'fit'}}}]}",,und
1339037607989309440,2020-12-16 02:40:18,"wasn't the🐑 on the ark? lol... then again, so were the 🥚... well, shit. https://t.co/oKdC30IkcM","b""wasn't the\xf0\x9f\x90\x91 on the ark? lol... then again, so were the \xf0\x9f\xa5\x9a... well, shit. https://t.co/oKdC30IkcM""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oKdC30IkcM', 'expanded_url': 'https://twitter.com/GCFTokyo1108/status/1338935049916473345', 'display_url': 'twitter.com/GCFTokyo1108/s…', 'indices': [72, 95]}]}",,en
1339035153516154881,2020-12-16 02:30:33,@lachibolala25 LOL... I've done it before... it's a curse.....  or a gift? Idk... LOL,"b""@lachibolala25 LOL... I've done it before... it's a curse.....  or a gift? Idk... LOL""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lachibolala25', 'name': '⟭⟬grammy nominated artist’s fan⟬⟭빌보드1위 가수 팬', 'id': 1291930018696671234, 'id_str': '1291930018696671234', 'indices': [0, 14]}], 'urls': []}",,en
1339034748467949568,2020-12-16 02:28:56,why are ppl pressed over the egg? https://t.co/sEKryxfuB4,b'why are ppl pressed over the egg? https://t.co/sEKryxfuB4',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sEKryxfuB4', 'expanded_url': 'https://twitter.com/mimikkyuu_/status/1338918508059652096', 'display_url': 'twitter.com/mimikkyuu_/sta…', 'indices': [34, 57]}]}",,en
1339034541432954880,2020-12-16 02:28:07,@lachibolala25 I'm just sayin'.... it's not impossible. lol https://t.co/gvZrfUg2fJ,"b""@lachibolala25 I'm just sayin'.... it's not impossible. lol https://t.co/gvZrfUg2fJ""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lachibolala25', 'name': '⟭⟬grammy nominated artist’s fan⟬⟭빌보드1위 가수 팬', 'id': 1291930018696671234, 'id_str': '1291930018696671234', 'indices': [0, 14]}], 'urls': [], 'media': [{'id': 1339034434394333184, 'id_str': '1339034434394333184', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EpU0uTwXIAAhdDX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpU0uTwXIAAhdDX.jpg', 'url': 'https://t.co/gvZrfUg2fJ', 'display_url': 'pic.twitter.com/gvZrfUg2fJ', 'expanded_url': 'https://twitter.com/JiKoo13_OT7/status/1339034541432954880/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}, 'large': {'w': 1375, 'h': 772, 'resize': 'fit'}}}]}",,en
1339033547718463490,2020-12-16 02:24:10,"@lachibolala25 you know they are just that chaotic... LOL
Imagine Jimin wielding that flip-flop and saying this.... https://t.co/5sLGgCLea5",b'@lachibolala25 you know they are just that chaotic... LOL\nImagine Jimin wielding that flip-flop and saying this.... https://t.co/5sLGgCLea5',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lachibolala25', 'name': '⟭⟬grammy nominated artist’s fan⟬⟭빌보드1위 가수 팬', 'id': 1291930018696671234, 'id_str': '1291930018696671234', 'indices': [0, 14]}], 'urls': [], 'media': [{'id': 1339033407595089920, 'id_str': '1339033407595089920', 'indices': [116, 139], 'media_url': 'http://pbs.twimg.com/media/EpUzyioWEAAMZlF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUzyioWEAAMZlF.jpg', 'url': 'https://t.co/5sLGgCLea5', 'display_url': 'pic.twitter.com/5sLGgCLea5', 'expanded_url': 'https://twitter.com/JiKoo13_OT7/status/1339033547718463490/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 750, 'h': 750, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 750, 'h': 750, 'resize': 'fit'}}}]}",,en
1339033057471426563,2020-12-16 02:22:13,Just in case no one read it first...... https://t.co/mLnJKMuy0r,b'Just in case no one read it first...... https://t.co/mLnJKMuy0r',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mLnJKMuy0r', 'expanded_url': 'https://twitter.com/JiKoo13_OT7/status/1334662251266052096', 'display_url': 'twitter.com/JiKoo13_OT7/st…', 'indices': [40, 63]}]}",,en
1339029899072466947,2020-12-16 02:09:40,I updated my pinned... if anyone wants to re-read it.,b'I updated my pinned... if anyone wants to re-read it.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
