id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017669610254337,2020-12-16 01:21:04,@StormTeam4NY Is the mixing going to be closer to southern brooklyn?,b'@StormTeam4NY Is the mixing going to be closer to southern brooklyn?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StormTeam4NY', 'name': 'Storm Team 4 NY', 'id': 424274065, 'id_str': '424274065', 'indices': [0, 13]}], 'urls': []}",,en
1337497955859910659,2020-12-11 20:42:16,"RT @NYGovCuomo: Indoor dining will close in New York City starting Monday.

Hospitalizations have not stabilized, and with a rising infecti…","b'RT @NYGovCuomo: Indoor dining will close in New York City starting Monday.\n\nHospitalizations have not stabilized, and with a rising infecti\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NYGovCuomo', 'name': 'Andrew Cuomo', 'id': 232268199, 'id_str': '232268199', 'indices': [3, 14]}], 'urls': []}",,en
1337180227458445312,2020-12-10 23:39:44,Also just to clarify. This was happening long before the pandemic because the gov’t hates the homeless and working class citizens of this country. Let us use this as a crucial learning moment to DO F@CKING BETTER.,b'Also just to clarify. This was happening long before the pandemic because the gov\xe2\x80\x99t hates the homeless and working class citizens of this country. Let us use this as a crucial learning moment to DO F@CKING BETTER.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337179703409602560,2020-12-10 23:37:39,"Yesterday as I was walking to the train, there were people handing out food boxes to people in the neighborhood bc so many are out of work so I just want everyone to remember that when they choose not to wear a mask, socially distance, or forget their is a pandemic going on. Thx.","b'Yesterday as I was walking to the train, there were people handing out food boxes to people in the neighborhood bc so many are out of work so I just want everyone to remember that when they choose not to wear a mask, socially distance, or forget their is a pandemic going on. Thx.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336164972284534784,2020-12-08 04:25:28,@StefanCupka Ah yes more directed at the groups of them that I’ve worked with not everyone of them I’ve met.,b'@StefanCupka Ah yes more directed at the groups of them that I\xe2\x80\x99ve worked with not everyone of them I\xe2\x80\x99ve met.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StefanCupka', 'name': 'Stefan Cupka', 'id': 811725192, 'id_str': '811725192', 'indices': [0, 12]}], 'urls': []}",,en
1336137417984794625,2020-12-08 02:35:59,Answer me this Twitter why are Virgo men the most controlling yet emotional immature people?,b'Answer me this Twitter why are Virgo men the most controlling yet emotional immature people?',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335084614994563073,2020-12-05 04:52:31,@MaggieJeanM God I love u,b'@MaggieJeanM God I love u',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaggieJeanM', 'name': 'Maggie Jeane', 'id': 536037453, 'id_str': '536037453', 'indices': [0, 12]}], 'urls': []}",,en
1334988812989177859,2020-12-04 22:31:50,RT @nowthisisliving: you’re telling me i watched a whole movie where aubrey plaza plays a lesbian.. and i didn’t get to see her kiss one gi…,b'RT @nowthisisliving: you\xe2\x80\x99re telling me i watched a whole movie where aubrey plaza plays a lesbian.. and i didn\xe2\x80\x99t get to see her kiss one gi\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nowthisisliving', 'name': 'Shannon Beveridge', 'id': 340035311, 'id_str': '340035311', 'indices': [3, 19]}], 'urls': []}",,en
1334151976108646400,2020-12-02 15:06:33,@emilyrosenewman Noooooo are you okay? Is this a joke or real life?,b'@emilyrosenewman Noooooo are you okay? Is this a joke or real life?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'emilyrosenewman', 'name': 'Emily', 'id': 789644453124407296, 'id_str': '789644453124407296', 'indices': [0, 16]}], 'urls': []}",,en
1333919102268829696,2020-12-01 23:41:11,"Therapy sessions that make progress and new connections in my brain, are sooooo good but they do also make me a little manic about trying to solve every problem that’s ever existed.","b'Therapy sessions that make progress and new connections in my brain, are sooooo good but they do also make me a little manic about trying to solve every problem that\xe2\x80\x99s ever existed.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333541419739451397,2020-11-30 22:40:25,Just to be clear no one said they didn’t like her I’m just making a general statement.,b'Just to be clear no one said they didn\xe2\x80\x99t like her I\xe2\x80\x99m just making a general statement.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333538556699156484,2020-11-30 22:29:02,"@MaggieJeanM is the most incredible woman I know. I love her so much!!!! 

And anyone who thinks otherwise 💪🏼😡",b'@MaggieJeanM is the most incredible woman I know. I love her so much!!!! \n\nAnd anyone who thinks otherwise \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x98\xa1',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaggieJeanM', 'name': 'Maggie Jeane', 'id': 536037453, 'id_str': '536037453', 'indices': [0, 12]}], 'urls': []}",,en
1333080063735107584,2020-11-29 16:07:09,"It’s a left eye twitching, still drinking caffeine, kind of day. WOO.","b'It\xe2\x80\x99s a left eye twitching, still drinking caffeine, kind of day. WOO.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1332849949046878211,2020-11-29 00:52:45,"And none of them want to keep their mask on or care about staying away from other people in the store, they really love touching my hand when I give them their drink too. That’s my favorite.","b'And none of them want to keep their mask on or care about staying away from other people in the store, they really love touching my hand when I give them their drink too. That\xe2\x80\x99s my favorite.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1332849517981528065,2020-11-29 00:51:02,There has been a line to the door and out the door at work since 4:30 this afternoon. There have been customers yell at my team and other customers for how long their drinks are taking. How u act in the MIDDLE OF A PANDEMIC tells me all I need to know about you as a person.,b'There has been a line to the door and out the door at work since 4:30 this afternoon. There have been customers yell at my team and other customers for how long their drinks are taking. How u act in the MIDDLE OF A PANDEMIC tells me all I need to know about you as a person.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1332687419443982336,2020-11-28 14:06:55,"Libra sun, Gemini moon lol https://t.co/fbbGpRFgqX","b'Libra sun, Gemini moon lol https://t.co/fbbGpRFgqX'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fbbGpRFgqX', 'expanded_url': 'https://twitter.com/savvy_rey/status/1332612076645347329', 'display_url': 'twitter.com/savvy_rey/stat…', 'indices': [27, 50]}]}",,ht
1331720599446708229,2020-11-25 22:05:07,@MaggieJeanM I love YOU.,b'@MaggieJeanM I love YOU.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaggieJeanM', 'name': 'Maggie Jeane', 'id': 536037453, 'id_str': '536037453', 'indices': [0, 12]}], 'urls': []}",,en
1331041379561181186,2020-11-24 01:06:09,"RT @Public_Citizen: WHY

IS

THE

SENATE

ON

VACATION

WHILE

AMERICANS

ARE

DYING

WITH

NO

RELIEF?",b'RT @Public_Citizen: WHY\n\nIS\n\nTHE\n\nSENATE\n\nON\n\nVACATION\n\nWHILE\n\nAMERICANS\n\nARE\n\nDYING\n\nWITH\n\nNO\n\nRELIEF?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Public_Citizen', 'name': 'Public Citizen', 'id': 14335586, 'id_str': '14335586', 'indices': [3, 18]}], 'urls': []}",,en
1330908407981871105,2020-11-23 16:17:46,"RT @KamalaHarris: As we head into this holiday week, please take every precaution you can to keep yourself, your family, and your community…","b'RT @KamalaHarris: As we head into this holiday week, please take every precaution you can to keep yourself, your family, and your community\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KamalaHarris', 'name': 'Kamala Harris', 'id': 30354991, 'id_str': '30354991', 'indices': [3, 16]}], 'urls': []}",,en
1330645131926626305,2020-11-22 22:51:36,"Dear customers who r coming in to my store, who are clearly tourists, who don’t understand why we make u wear a mask or why our bathrooms are closed: theres this quirky little thing called COVID &amp; my voice is going out from having to repeat myself. Please stop making me do that.","b'Dear customers who r coming in to my store, who are clearly tourists, who don\xe2\x80\x99t understand why we make u wear a mask or why our bathrooms are closed: theres this quirky little thing called COVID &amp; my voice is going out from having to repeat myself. Please stop making me do that.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1330614997257515012,2020-11-22 20:51:51,"I hope everyone enjoys their socially distanced, mask wearing thanksgiving holiday. Wearing a mask and being safe is kind to everyone involved!!!! Thank you!!!","b'I hope everyone enjoys their socially distanced, mask wearing thanksgiving holiday. Wearing a mask and being safe is kind to everyone involved!!!! Thank you!!!'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1330016071110234113,2020-11-21 05:11:56,You ever order fries and a hamburger from McDonald’s and when you get it it’s nuggets and THIRTEEN chocolate chip cookies?! Oh and also fries and two caramel frappes. Wow. It could’ve been worse lol,b'You ever order fries and a hamburger from McDonald\xe2\x80\x99s and when you get it it\xe2\x80\x99s nuggets and THIRTEEN chocolate chip cookies?! Oh and also fries and two caramel frappes. Wow. It could\xe2\x80\x99ve been worse lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1329839843183124482,2020-11-20 17:31:40,THIS. https://t.co/qQ4f73eom3,b'THIS. https://t.co/qQ4f73eom3',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qQ4f73eom3', 'expanded_url': 'https://twitter.com/PaymanBenz/status/1329556264255332352', 'display_url': 'twitter.com/PaymanBenz/sta…', 'indices': [6, 29]}]}",,en
1329819874806403072,2020-11-20 16:12:19,JUST A FRIENDLY REMINDER TO WEAR A MASK!!!!!!! https://t.co/uXHKaG3Baf,b'JUST A FRIENDLY REMINDER TO WEAR A MASK!!!!!!! https://t.co/uXHKaG3Baf',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1329819845647622145, 'id_str': '1329819845647622145', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/EnR4GpsXYAE4wRp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnR4GpsXYAE4wRp.jpg', 'url': 'https://t.co/uXHKaG3Baf', 'display_url': 'pic.twitter.com/uXHKaG3Baf', 'expanded_url': 'https://twitter.com/KamilleFisher/status/1329819874806403072/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1792, 'resize': 'fit'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}}}]}",,en
