id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339042210562494465,2020-12-16 02:58:35,Good night https://t.co/hgiRrl7tjd,b'Good night https://t.co/hgiRrl7tjd',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hgiRrl7tjd', 'expanded_url': 'https://twitter.com/ldschafer/status/1339039584953401347', 'display_url': 'twitter.com/ldschafer/stat…', 'indices': [11, 34]}]}",,en
1339042136050692098,2020-12-16 02:58:18,Right back at you Brian! 🙏 https://t.co/NWe10mX5i7,b'Right back at you Brian! \xf0\x9f\x99\x8f https://t.co/NWe10mX5i7',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NWe10mX5i7', 'expanded_url': 'https://twitter.com/Brian8502/status/1339039605824360448', 'display_url': 'twitter.com/Brian8502/stat…', 'indices': [27, 50]}]}",,en
1339041250377302016,2020-12-16 02:54:46,Good night https://t.co/YBMCj8fA2w,b'Good night https://t.co/YBMCj8fA2w',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YBMCj8fA2w', 'expanded_url': 'https://twitter.com/Tee41K/status/1339040622267813890', 'display_url': 'twitter.com/Tee41K/status/…', 'indices': [11, 34]}]}",,en
1339040642052227072,2020-12-16 02:52:21,Good night https://t.co/LPAvcTDVAy,b'Good night https://t.co/LPAvcTDVAy',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LPAvcTDVAy', 'expanded_url': 'https://twitter.com/gllssman43/status/1339040083928870912', 'display_url': 'twitter.com/gllssman43/sta…', 'indices': [11, 34]}]}",,en
1339039208296468481,2020-12-16 02:46:40,"Alright Patriots, Have an awesome night! Be Blessed! Back here in the morning! Peace &amp; Much Love KD 👊🇺🇸🙏❤️","b'Alright Patriots, Have an awesome night! Be Blessed! Back here in the morning! Peace &amp; Much Love KD \xf0\x9f\x91\x8a\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339037528196694016,2020-12-16 02:39:59,Joe Biden should Concede! Pass it on!,b'Joe Biden should Concede! Pass it on!',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339036487338270721,2020-12-16 02:35:51,"They found a 100 gold bars! Just kidding, they found a piece of a cast iron stove lol","b'They found a 100 gold bars! Just kidding, they found a piece of a cast iron stove lol'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339031263701712896,2020-12-16 02:15:05,So our votes mean nothing  Where's the voting integrity? MIA https://t.co/FzECutc63l,"b""So our votes mean nothing  Where's the voting integrity? MIA https://t.co/FzECutc63l""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FzECutc63l', 'expanded_url': 'https://twitter.com/bartlet_dave/status/1339030866719281155', 'display_url': 'twitter.com/bartlet_dave/s…', 'indices': [61, 84]}]}",,en
1339023552851238912,2020-12-16 01:44:27,Delish! https://t.co/Lk2jp6KV02,b'Delish! https://t.co/Lk2jp6KV02',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Lk2jp6KV02', 'expanded_url': 'https://twitter.com/RETTinol/status/1339023138760355840', 'display_url': 'twitter.com/RETTinol/statu…', 'indices': [8, 31]}]}",,en
1339023398605783040,2020-12-16 01:43:50,I'm always learning 2020 has taught me a lot! https://t.co/2mGvkgNiTD,"b""I'm always learning 2020 has taught me a lot! https://t.co/2mGvkgNiTD""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2mGvkgNiTD', 'expanded_url': 'https://twitter.com/Pappapyoung/status/1339022098522664962', 'display_url': 'twitter.com/Pappapyoung/st…', 'indices': [46, 69]}]}",,en
1339023116601737216,2020-12-16 01:42:43,Yes audit it all https://t.co/1nx1n68qeR,b'Yes audit it all https://t.co/1nx1n68qeR',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1nx1n68qeR', 'expanded_url': 'https://twitter.com/10keyQueenG/status/1339021372593463298', 'display_url': 'twitter.com/10keyQueenG/st…', 'indices': [17, 40]}]}",,en
1339021113209196544,2020-12-16 01:34:45,"Why yes, yes he is! https://t.co/w1cnnGQAp6","b'Why yes, yes he is! https://t.co/w1cnnGQAp6'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/w1cnnGQAp6', 'expanded_url': 'https://twitter.com/RN549/status/1339020987992592384', 'display_url': 'twitter.com/RN549/status/1…', 'indices': [20, 43]}]}",,en
1339020166072467457,2020-12-16 01:31:00,"Last time I checked the Constitution, Mitch doesn't elect the President, WE DO!!","b""Last time I checked the Constitution, Mitch doesn't elect the President, WE DO!!""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339019569625669633,2020-12-16 01:28:37,MI Dems literally stole his Senate seat https://t.co/HS7OdwJvlj,b'MI Dems literally stole his Senate seat https://t.co/HS7OdwJvlj',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HS7OdwJvlj', 'expanded_url': 'https://twitter.com/Lasvegashub/status/1339019009392431104', 'display_url': 'twitter.com/Lasvegashub/st…', 'indices': [40, 63]}]}",,en
1339018472550887426,2020-12-16 01:24:16,"Politically speaking, So much has been revealed to the American public Like opening Pandora's box!","b""Politically speaking, So much has been revealed to the American public Like opening Pandora's box!""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017862598467584,2020-12-16 01:21:50,ymw! https://t.co/MLrvs54ISg,b'ymw! https://t.co/MLrvs54ISg',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MLrvs54ISg', 'expanded_url': 'https://twitter.com/MLong38747879/status/1339017722173206528', 'display_url': 'twitter.com/MLong38747879/…', 'indices': [5, 28]}]}",,und
1339017675968679937,2020-12-16 01:21:06,The new episode starts in 40 mins fingers crossed https://t.co/FrIIbn7Rt7,b'The new episode starts in 40 mins fingers crossed https://t.co/FrIIbn7Rt7',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FrIIbn7Rt7', 'expanded_url': 'https://twitter.com/Brian8502/status/1339017496851001352', 'display_url': 'twitter.com/Brian8502/stat…', 'indices': [50, 73]}]}",,en
1339017341372256256,2020-12-16 01:19:46,https://t.co/h6Z9PP1UmY https://t.co/6oFyos3x7e,b'https://t.co/h6Z9PP1UmY https://t.co/6oFyos3x7e',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/h6Z9PP1UmY', 'expanded_url': 'https://twitter.com/MLong38747879/status/1339016568144060417', 'display_url': 'twitter.com/MLong38747879/…', 'indices': [0, 23]}], 'media': [{'id': 1339017328474816512, 'id_str': '1339017328474816512', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EpUlKnPVgAAC2j3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUlKnPVgAAC2j3.jpg', 'url': 'https://t.co/6oFyos3x7e', 'display_url': 'pic.twitter.com/6oFyos3x7e', 'expanded_url': 'https://twitter.com/KingDrue17/status/1339017341372256256/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 350, 'h': 277, 'resize': 'fit'}, 'medium': {'w': 350, 'h': 277, 'resize': 'fit'}, 'small': {'w': 350, 'h': 277, 'resize': 'fit'}}}]}",,und
1339016697567617024,2020-12-16 01:17:13,So I've been watching seasons of this show for nothing? https://t.co/sRIQj7c4Gm,"b""So I've been watching seasons of this show for nothing? https://t.co/sRIQj7c4Gm""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sRIQj7c4Gm', 'expanded_url': 'https://twitter.com/Brian8502/status/1339016336496873473', 'display_url': 'twitter.com/Brian8502/stat…', 'indices': [56, 79]}]}",,en
1339016211292536832,2020-12-16 01:15:17,sure enough https://t.co/D40dIKIlin,b'sure enough https://t.co/D40dIKIlin',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/D40dIKIlin', 'expanded_url': 'https://twitter.com/SassieSpeaks/status/1339015969323298816', 'display_url': 'twitter.com/SassieSpeaks/s…', 'indices': [12, 35]}]}",,en
1339015833280909313,2020-12-16 01:13:47,🔥🔥🔥,b'\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,und
