id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339021042908614657,2020-12-16 01:34:29,@Sam47Iam Thanks for sharing! We hope you enjoy the episode 😊,b'@Sam47Iam Thanks for sharing! We hope you enjoy the episode \xf0\x9f\x98\x8a',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sam47Iam', 'name': 'Sanam J Lalani, PhD', 'id': 1216739598, 'id_str': '1216739598', 'indices': [0, 9]}], 'urls': []}",,en
1339017678271492097,2020-12-16 01:21:06,We are very grateful to Dr. Jeremy Sharp from The Testing Psychologist for having John and Ryan on his show! Check out the episode and the TTP Facebook group: https://t.co/rKkwIHeri7 https://t.co/gQPBkMDIDf #NeuropsychTwitter,b'We are very grateful to Dr. Jeremy Sharp from The Testing Psychologist for having John and Ryan on his show! Check out the episode and the TTP Facebook group: https://t.co/rKkwIHeri7 https://t.co/gQPBkMDIDf #NeuropsychTwitter',"{'hashtags': [{'text': 'NeuropsychTwitter', 'indices': [207, 225]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rKkwIHeri7', 'expanded_url': 'https://www.thetestingpsychologist.com/167-becoming-a-neuropsychologist-w-dr-ryan-van-patten-and-dr-john-bellone-from-navigating-neuropsychology/', 'display_url': 'thetestingpsychologist.com/167-becoming-a…', 'indices': [159, 182]}, {'url': 'https://t.co/gQPBkMDIDf', 'expanded_url': 'https://www.facebook.com/groups/testingpsychologistcommunity', 'display_url': 'facebook.com/groups/testing…', 'indices': [183, 206]}]}",,en
1339014539266953219,2020-12-16 01:08:38,"Navigating Neuropsychology | Episode 61: John and Ryan talk to Robin Peterson, Ph.D., ABPP-CN about the assessment and treatment of learning disorders. https://t.co/mfm2OfRJF1 @INSneuro #NeuropsychTwitter","b'Navigating Neuropsychology | Episode 61: John and Ryan talk to Robin Peterson, Ph.D., ABPP-CN about the assessment and treatment of learning disorders. https://t.co/mfm2OfRJF1 @INSneuro #NeuropsychTwitter'","{'hashtags': [{'text': 'NeuropsychTwitter', 'indices': [186, 204]}], 'symbols': [], 'user_mentions': [{'screen_name': 'INSneuro', 'name': 'INS', 'id': 883440791896674304, 'id_str': '883440791896674304', 'indices': [176, 185]}], 'urls': [{'url': 'https://t.co/mfm2OfRJF1', 'expanded_url': 'https://www.navneuro.com/61-specific-learning-disorders-with-dr-robin-peterson/', 'display_url': 'navneuro.com/61-specific-le…', 'indices': [152, 175]}]}",,en
1338916846062477313,2020-12-15 18:40:26,RT @Sam47Iam: Cross over episode! My two favorite #Neuropsychology podcasts come together! Excited to listen! ⁦@NavNeuro⁩ #NeuropsychTwitte…,b'RT @Sam47Iam: Cross over episode! My two favorite #Neuropsychology podcasts come together! Excited to listen! \xe2\x81\xa6@NavNeuro\xe2\x81\xa9 #NeuropsychTwitte\xe2\x80\xa6',"{'hashtags': [{'text': 'Neuropsychology', 'indices': [50, 66]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Sam47Iam', 'name': 'Sanam J Lalani, PhD', 'id': 1216739598, 'id_str': '1216739598', 'indices': [3, 12]}, {'screen_name': 'NavNeuro', 'name': 'NavNeuro', 'id': 1028047685985566720, 'id_str': '1028047685985566720', 'indices': [111, 120]}], 'urls': []}",,en
1338537622705217538,2020-12-14 17:33:32,RT @raskinsar: Women in Neuropsychology (WIN) @SCN_WIN  subcommittee is soliciting nominations for the WINner’s Box! Article in @APADivisio…,b'RT @raskinsar: Women in Neuropsychology (WIN) @SCN_WIN  subcommittee is soliciting nominations for the WINner\xe2\x80\x99s Box! Article in @APADivisio\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'raskinsar', 'name': 'Sarah Raskin', 'id': 19068705, 'id_str': '19068705', 'indices': [3, 13]}, {'screen_name': 'SCN_WIN', 'name': 'Women in Neuropsychology (WIN)', 'id': 1298624165566701568, 'id_str': '1298624165566701568', 'indices': [46, 54]}], 'urls': []}",,en
1338537548017250314,2020-12-14 17:33:14,"RT @KnowNeuropsych: We hope you enjoyed the last lecture of our Volume II Series! 

Be sure to head over to https://t.co/DlNiq07KQT to catc…",b'RT @KnowNeuropsych: We hope you enjoyed the last lecture of our Volume II Series! \n\nBe sure to head over to https://t.co/DlNiq07KQT to catc\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KnowNeuropsych', 'name': 'KnowNeuropsychology', 'id': 1251976496450875392, 'id_str': '1251976496450875392', 'indices': [3, 18]}], 'urls': [{'url': 'https://t.co/DlNiq07KQT', 'expanded_url': 'http://KnowNeuropsych.org', 'display_url': 'KnowNeuropsych.org', 'indices': [108, 131]}]}",,en
1338537531890077697,2020-12-14 17:33:11,"RT @Div40ANST: Applications for ANST's new Equity and Inclusion Officer are due on Friday, December 18!  Those interested should send their…","b""RT @Div40ANST: Applications for ANST's new Equity and Inclusion Officer are due on Friday, December 18!  Those interested should send their\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Div40ANST', 'name': 'DIV40ANST', 'id': 1037025349446643713, 'id_str': '1037025349446643713', 'indices': [3, 13]}], 'urls': []}",,en
1338234400883044352,2020-12-13 21:28:39,RT @INSneuro: #ICYMI: For the safety of our community The 49th Annual Meeting of @INSneuro will be a virtual conference. The meeting will f…,b'RT @INSneuro: #ICYMI: For the safety of our community The 49th Annual Meeting of @INSneuro will be a virtual conference. The meeting will f\xe2\x80\xa6',"{'hashtags': [{'text': 'ICYMI', 'indices': [14, 20]}], 'symbols': [], 'user_mentions': [{'screen_name': 'INSneuro', 'name': 'INS', 'id': 883440791896674304, 'id_str': '883440791896674304', 'indices': [3, 12]}, {'screen_name': 'INSneuro', 'name': 'INS', 'id': 883440791896674304, 'id_str': '883440791896674304', 'indices': [81, 90]}], 'urls': []}",,en
1338234339386159104,2020-12-13 21:28:24,RT @INSneuro: Early registration for the #INS2021VirtualEvent has been extended until December 17! Register early and save on access to CE…,b'RT @INSneuro: Early registration for the #INS2021VirtualEvent has been extended until December 17! Register early and save on access to CE\xe2\x80\xa6',"{'hashtags': [{'text': 'INS2021VirtualEvent', 'indices': [41, 61]}], 'symbols': [], 'user_mentions': [{'screen_name': 'INSneuro', 'name': 'INS', 'id': 883440791896674304, 'id_str': '883440791896674304', 'indices': [3, 12]}], 'urls': []}",,en
1337086101199138817,2020-12-10 17:25:43,RT @DrMLamar: Apply for the Summer 2021 @rushalzheimers CEDHA Health Disparities Research Internship! Amazing experience for budding young…,b'RT @DrMLamar: Apply for the Summer 2021 @rushalzheimers CEDHA Health Disparities Research Internship! Amazing experience for budding young\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrMLamar', 'name': 'Melissa Lamar', 'id': 4589684776, 'id_str': '4589684776', 'indices': [3, 12]}, {'screen_name': 'rushalzheimers', 'name': ""Rush Alzheimer's Disease Center"", 'id': 1136652707677253632, 'id_str': '1136652707677253632', 'indices': [40, 55]}], 'urls': []}",,en
