id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339020955696427008,2020-12-16 01:34:08,@StompTheGOP I FUCKING HATE FOOD INSECURITY.  I was hungry as a child.  I never felt insecure.  I WAS HUNGRY.  Stop this useless term,b'@StompTheGOP I FUCKING HATE FOOD INSECURITY.  I was hungry as a child.  I never felt insecure.  I WAS HUNGRY.  Stop this useless term',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StompTheGOP', 'name': 'Scary Larry Says #ConcedeNowTrump 😡 🤬', 'id': 1266463392681701376, 'id_str': '1266463392681701376', 'indices': [0, 12]}], 'urls': []}",,en
1339020229087780864,2020-12-16 01:31:15,@ossoff Cause he can't make money.  right @sendavidperdue,"b""@ossoff Cause he can't make money.  right @sendavidperdue""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ossoff', 'name': 'Jon Ossoff', 'id': 521747968, 'id_str': '521747968', 'indices': [0, 7]}, {'screen_name': 'sendavidperdue', 'name': 'David Perdue', 'id': 2863210809, 'id_str': '2863210809', 'indices': [42, 57]}], 'urls': []}",,en
1339020032978915328,2020-12-16 01:30:28,@Dknight10k Right near pussy mountain next to clit pass.,b'@Dknight10k Right near pussy mountain next to clit pass.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dknight10k', 'name': 'I Smoked Bill Barr', 'id': 1296905068680228865, 'id_str': '1296905068680228865', 'indices': [0, 11]}], 'urls': []}",,en
1339019830641483784,2020-12-16 01:29:40,@MysterySolvent Good,b'@MysterySolvent Good',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MysterySolvent', 'name': 'Mystery Solvent', 'id': 1094713876132872192, 'id_str': '1094713876132872192', 'indices': [0, 15]}], 'urls': []}",,en
1339019615398211585,2020-12-16 01:28:48,@SRG1097 Got kids?,b'@SRG1097 Got kids?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SRG1097', 'name': 'SRG 🇺🇸🌮🍺', 'id': 902080279, 'id_str': '902080279', 'indices': [0, 8]}], 'urls': []}",,en
1339019376637382657,2020-12-16 01:27:51,@realist_brutal @Traitor_Warrior Send him a fuck you call me asshole card with your phone number.  Bet ya get a call.  If not so what.,b'@realist_brutal @Traitor_Warrior Send him a fuck you call me asshole card with your phone number.  Bet ya get a call.  If not so what.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realist_brutal', 'name': 'Brutal Realist', 'id': 946694976, 'id_str': '946694976', 'indices': [0, 15]}, {'screen_name': 'Traitor_Warrior', 'name': '🎄🎅🏻TraitorWarrior🎁🎄', 'id': 882696535976300544, 'id_str': '882696535976300544', 'indices': [16, 32]}], 'urls': []}",,en
1339018915553349634,2020-12-16 01:26:01,@A_malabuu_life @ossoff @KLoeffler Kelly be lovin the racists that's her base.  You go kelly steal more money with your husband in the stock market.  That's what scum do!,"b""@A_malabuu_life @ossoff @KLoeffler Kelly be lovin the racists that's her base.  You go kelly steal more money with your husband in the stock market.  That's what scum do!""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'A_malabuu_life', 'name': 'A_malabuu_life', 'id': 54685596, 'id_str': '54685596', 'indices': [0, 15]}, {'screen_name': 'ossoff', 'name': 'Jon Ossoff', 'id': 521747968, 'id_str': '521747968', 'indices': [16, 23]}, {'screen_name': 'KLoeffler', 'name': 'Kelly Loeffler', 'id': 29495695, 'id_str': '29495695', 'indices': [24, 34]}], 'urls': []}",,en
1339018115003396097,2020-12-16 01:22:51,@BattlecorgiG @ossoff Ya fuckin sad Ain't it,"b""@BattlecorgiG @ossoff Ya fuckin sad Ain't it""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BattlecorgiG', 'name': 'BidenCorgi GalactiHarris - Actual', 'id': 1269047207057076229, 'id_str': '1269047207057076229', 'indices': [0, 13]}, {'screen_name': 'ossoff', 'name': 'Jon Ossoff', 'id': 521747968, 'id_str': '521747968', 'indices': [14, 21]}], 'urls': []}",,en
1339017948955086848,2020-12-16 01:22:11,@grayjonv @soulfodder @ossoff Well then take it the fuckin back from the rich fucks we have it to.,b'@grayjonv @soulfodder @ossoff Well then take it the fuckin back from the rich fucks we have it to.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'grayjonv', 'name': 'John Gray', 'id': 29110005, 'id_str': '29110005', 'indices': [0, 9]}, {'screen_name': 'soulfodder', 'name': 'Steph', 'id': 286746850, 'id_str': '286746850', 'indices': [10, 21]}, {'screen_name': 'ossoff', 'name': 'Jon Ossoff', 'id': 521747968, 'id_str': '521747968', 'indices': [22, 29]}], 'urls': []}",,en
1339017672613359616,2020-12-16 01:21:05,"@grayjonv @vmainard @ossoff @Bros4Joe So you are of perfect health?  No illnesses?  No pre-existing conditions?  Check the list
  Many times it's not too out life but environment.  Ever lived near a toxic manufacturing plant?","b""@grayjonv @vmainard @ossoff @Bros4Joe So you are of perfect health?  No illnesses?  No pre-existing conditions?  Check the list\n  Many times it's not too out life but environment.  Ever lived near a toxic manufacturing plant?""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'grayjonv', 'name': 'John Gray', 'id': 29110005, 'id_str': '29110005', 'indices': [0, 9]}, {'screen_name': 'vmainard', 'name': 'Vicki Mainard 🇦🇺🕹🏀🐈 Scomo is my PM.', 'id': 27397450, 'id_str': '27397450', 'indices': [10, 19]}, {'screen_name': 'ossoff', 'name': 'Jon Ossoff', 'id': 521747968, 'id_str': '521747968', 'indices': [20, 27]}, {'screen_name': 'Bros4Joe', 'name': 'Bros4Joe 🥁', 'id': 1236085479323267072, 'id_str': '1236085479323267072', 'indices': [28, 37]}], 'urls': []}",,en
