id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339063344116928512,2020-12-16 04:22:34,"Oh no! Almost forgot, I don't want to leave Sam Vincent out but I don't know his Twitter. T-T Can someone @ him for me so I can wish him Merry Christmas too? #ninjago https://t.co/6Y7mO95Ooc","b""Oh no! Almost forgot, I don't want to leave Sam Vincent out but I don't know his Twitter. T-T Can someone @ him for me so I can wish him Merry Christmas too? #ninjago https://t.co/6Y7mO95Ooc""","{'hashtags': [{'text': 'ninjago', 'indices': [158, 166]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6Y7mO95Ooc', 'expanded_url': 'https://twitter.com/PokedashWarrior/status/1339017666963632128', 'display_url': 'twitter.com/PokedashWarrio…', 'indices': [167, 190]}]}",,en
1339017687146631170,2020-12-16 01:21:09,"Couldn't decide between Zane's, so he gets two. @BrentMillervox https://t.co/ZMrI05X0gT","b""Couldn't decide between Zane's, so he gets two. @BrentMillervox https://t.co/ZMrI05X0gT""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BrentMillervox', 'name': 'Brent Miller', 'id': 748431547628281856, 'id_str': '748431547628281856', 'indices': [48, 63]}], 'urls': [], 'media': [{'id': 1339017672030367746, 'id_str': '1339017672030367746', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/EpUlenFXMAIPfKE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUlenFXMAIPfKE.jpg', 'url': 'https://t.co/ZMrI05X0gT', 'display_url': 'pic.twitter.com/ZMrI05X0gT', 'expanded_url': 'https://twitter.com/PokedashWarrior/status/1339017687146631170/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",,en
1339017666963632128,2020-12-16 01:21:04,"Ninja in Christmas sweaters thread.
Merry almost Christmas @TommyAndreasen @VincentTong007 @BrentMillervox @kelly_metzger @M_Adamthwaite
I'm sure it's been rough with the #ninjago crew, hopefully some Ninja in cute Christmas sweaters can help cheer you up. ^^ https://t.co/LZrsokzkjr","b""Ninja in Christmas sweaters thread.\nMerry almost Christmas @TommyAndreasen @VincentTong007 @BrentMillervox @kelly_metzger @M_Adamthwaite\nI'm sure it's been rough with the #ninjago crew, hopefully some Ninja in cute Christmas sweaters can help cheer you up. ^^ https://t.co/LZrsokzkjr""","{'hashtags': [{'text': 'ninjago', 'indices': [171, 179]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TommyAndreasen', 'name': 'Tommy Andreasen', 'id': 3426252741, 'id_str': '3426252741', 'indices': [59, 74]}, {'screen_name': 'VincentTong007', 'name': 'Vincent Tong', 'id': 366329771, 'id_str': '366329771', 'indices': [75, 90]}, {'screen_name': 'BrentMillervox', 'name': 'Brent Miller', 'id': 748431547628281856, 'id_str': '748431547628281856', 'indices': [91, 106]}, {'screen_name': 'kelly_metzger', 'name': 'Kelly Metzger', 'id': 3255038814, 'id_str': '3255038814', 'indices': [107, 121]}, {'screen_name': 'M_Adamthwaite', 'name': 'Michael Adamthwaite', 'id': 91409755, 'id_str': '91409755', 'indices': [122, 136]}], 'urls': [], 'media': [{'id': 1339017651998351370, 'id_str': '1339017651998351370', 'indices': [260, 283], 'media_url': 'http://pbs.twimg.com/media/EpUldcdW4AoSbzG.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUldcdW4AoSbzG.jpg', 'url': 'https://t.co/LZrsokzkjr', 'display_url': 'pic.twitter.com/LZrsokzkjr', 'expanded_url': 'https://twitter.com/PokedashWarrior/status/1339017666963632128/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",,en
1339014204641173507,2020-12-16 01:07:18,@DrinksCaffeine @blueberrryjay @thefold I see you reblogged some of my stuff! Thanks! :3,b'@DrinksCaffeine @blueberrryjay @thefold I see you reblogged some of my stuff! Thanks! :3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrinksCaffeine', 'name': 'Krillacreat - Rest easy, Kirby 🖤💔', 'id': 4848086794, 'id_str': '4848086794', 'indices': [0, 15]}, {'screen_name': 'blueberrryjay', 'name': 'i love Lloyd | RIP KIRBY ♡', 'id': 1291664177954729984, 'id_str': '1291664177954729984', 'indices': [16, 30]}, {'screen_name': 'thefold', 'name': 'T H E F O L D', 'id': 19155248, 'id_str': '19155248', 'indices': [31, 39]}], 'urls': []}",,en
1338988942012665865,2020-12-15 23:26:55,@DrinksCaffeine @blueberrryjay @thefold Yeah! I've made a fair amount of Ninjago memes and comics on the tumblr Pokedshwarrior55.,"b""@DrinksCaffeine @blueberrryjay @thefold Yeah! I've made a fair amount of Ninjago memes and comics on the tumblr Pokedshwarrior55.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrinksCaffeine', 'name': 'Krillacreat - Rest easy, Kirby 🖤💔', 'id': 4848086794, 'id_str': '4848086794', 'indices': [0, 15]}, {'screen_name': 'blueberrryjay', 'name': 'i love Lloyd | RIP KIRBY ♡', 'id': 1291664177954729984, 'id_str': '1291664177954729984', 'indices': [16, 30]}, {'screen_name': 'thefold', 'name': 'T H E F O L D', 'id': 19155248, 'id_str': '19155248', 'indices': [31, 39]}], 'urls': []}",,en
1337839755720003584,2020-12-12 19:20:28,@blueberrryjay @thefold Me and my sister made it togther!(we share a Twitter),b'@blueberrryjay @thefold Me and my sister made it togther!(we share a Twitter)',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'blueberrryjay', 'name': 'i love Lloyd | RIP KIRBY ♡', 'id': 1291664177954729984, 'id_str': '1291664177954729984', 'indices': [0, 14]}, {'screen_name': 'thefold', 'name': 'T H E F O L D', 'id': 19155248, 'id_str': '19155248', 'indices': [15, 23]}], 'urls': []}",,en
1336723708489191427,2020-12-09 17:25:41,"@Kalzoni_ There was like one day where we did Draw the Squads, and that was fun.","b'@Kalzoni_ There was like one day where we did Draw the Squads, and that was fun.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Kalzoni_', 'name': 'Kal - #SaveRotTMNT', 'id': 1069762884618530816, 'id_str': '1069762884618530816', 'indices': [0, 9]}], 'urls': []}",,en
1336359059746922497,2020-12-08 17:16:42,The critical ditt-scord has wonderful ideas for me to draw! @criticalditto @StewClarke  (I posted this to the discord a while ago but figured it belongs on twitter too) https://t.co/50piDqBdwX,b'The critical ditt-scord has wonderful ideas for me to draw! @criticalditto @StewClarke  (I posted this to the discord a while ago but figured it belongs on twitter too) https://t.co/50piDqBdwX',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'criticalditto', 'name': 'Critical Ditto', 'id': 1127977555682910210, 'id_str': '1127977555682910210', 'indices': [60, 74]}, {'screen_name': 'StewClarke', 'name': 'Stewart Clarke', 'id': 14702395, 'id_str': '14702395', 'indices': [75, 86]}], 'urls': [], 'media': [{'id': 1336358119748857859, 'id_str': '1336358119748857859', 'indices': [169, 192], 'media_url': 'http://pbs.twimg.com/media/EouyoSxW8AMUpST.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EouyoSxW8AMUpST.jpg', 'url': 'https://t.co/50piDqBdwX', 'display_url': 'pic.twitter.com/50piDqBdwX', 'expanded_url': 'https://twitter.com/PokedashWarrior/status/1336359059746922497/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1000, 'h': 1000, 'resize': 'fit'}, 'large': {'w': 1000, 'h': 1000, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",,en
1335024259622637573,2020-12-05 00:52:41,My #Dreamworks #tiermaker Tierlist is all facts and no opinions. @TierMaker https://t.co/P8xPIf5BLI,b'My #Dreamworks #tiermaker Tierlist is all facts and no opinions. @TierMaker https://t.co/P8xPIf5BLI',"{'hashtags': [{'text': 'Dreamworks', 'indices': [3, 14]}, {'text': 'tiermaker', 'indices': [15, 25]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TierMaker', 'name': 'TierMaker', 'id': 1060923632828866561, 'id_str': '1060923632828866561', 'indices': [65, 75]}], 'urls': [], 'media': [{'id': 1335023217841463302, 'id_str': '1335023217841463302', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/Eob0ixpW4AYjk3u.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eob0ixpW4AYjk3u.jpg', 'url': 'https://t.co/P8xPIf5BLI', 'display_url': 'pic.twitter.com/P8xPIf5BLI', 'expanded_url': 'https://twitter.com/PokedashWarrior/status/1335024259622637573/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 474, 'resize': 'fit'}, 'large': {'w': 1010, 'h': 704, 'resize': 'fit'}, 'medium': {'w': 1010, 'h': 704, 'resize': 'fit'}}}]}",,en
1333501377411244033,2020-11-30 20:01:18,"I'm not usually that creative, but for a good cause like giving some poor kids Legos I'll do my best! It's important to remember the meaning for the season, after all. #BuildtoGive #LEGO https://t.co/THhzYsoOEI","b""I'm not usually that creative, but for a good cause like giving some poor kids Legos I'll do my best! It's important to remember the meaning for the season, after all. #BuildtoGive #LEGO https://t.co/THhzYsoOEI""","{'hashtags': [{'text': 'BuildtoGive', 'indices': [168, 180]}, {'text': 'LEGO', 'indices': [181, 186]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1333501371874729988, 'id_str': '1333501371874729988', 'indices': [187, 210], 'media_url': 'http://pbs.twimg.com/media/EoGMbroW4AQ2ddh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoGMbroW4AQ2ddh.jpg', 'url': 'https://t.co/THhzYsoOEI', 'display_url': 'pic.twitter.com/THhzYsoOEI', 'expanded_url': 'https://twitter.com/PokedashWarrior/status/1333501377411244033/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 900, 'h': 1200, 'resize': 'fit'}}}]}",,en
1330542898337763330,2020-11-22 16:05:21,@thequeenbaldnya I miss Kirby morrow dearly💛. Have some more coles to brighten up your day https://t.co/5Hp6CNbsq7,b'@thequeenbaldnya I miss Kirby morrow dearly\xf0\x9f\x92\x9b. Have some more coles to brighten up your day https://t.co/5Hp6CNbsq7',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thequeenbaldnya', 'name': '🎄ky-mas time🎄| rip kirby morrow🖤', 'id': 1245749721618055168, 'id_str': '1245749721618055168', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1330542615083835394, 'id_str': '1330542615083835394', 'indices': [91, 114], 'media_url': 'http://pbs.twimg.com/media/EncJdXqXYAI7yAB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EncJdXqXYAI7yAB.jpg', 'url': 'https://t.co/5Hp6CNbsq7', 'display_url': 'pic.twitter.com/5Hp6CNbsq7', 'expanded_url': 'https://twitter.com/PokedashWarrior/status/1330542898337763330/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 574, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 830, 'h': 984, 'resize': 'fit'}, 'large': {'w': 830, 'h': 984, 'resize': 'fit'}}}]}",,en
