id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339029321042812928,2020-12-16 02:07:22,@Chels_Chanel1 Awww Chelsea glad you are back.,b'@Chels_Chanel1 Awww Chelsea glad you are back.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Chels_Chanel1', 'name': 'Chelsea', 'id': 1243396450920173571, 'id_str': '1243396450920173571', 'indices': [0, 14]}], 'urls': []}",,en
1339027477168091144,2020-12-16 02:00:03,"@ben_sterlingCD (( In my head, I am seeing a snake squeeze him! ))","b'@ben_sterlingCD (( In my head, I am seeing a snake squeeze him! ))'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ben_sterlingCD', 'name': 'Forgotten and Unforgiven ((Ded))', 'id': 2565805677, 'id_str': '2565805677', 'indices': [0, 15]}], 'urls': []}",,en
1339027307353300994,2020-12-16 01:59:22,@HoneyAnwater @thepenit @LSoniar @The_Osullivan @BayouSiren @CdDinzel You are very welcome! Glad I could help!,b'@HoneyAnwater @thepenit @LSoniar @The_Osullivan @BayouSiren @CdDinzel You are very welcome! Glad I could help!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HoneyAnwater', 'name': 'Honey Anwater', 'id': 893434610142650368, 'id_str': '893434610142650368', 'indices': [0, 13]}, {'screen_name': 'thepenit', 'name': 'Jenia Volkova-Zhao', 'id': 848244785055977476, 'id_str': '848244785055977476', 'indices': [14, 23]}, {'screen_name': 'LSoniar', 'name': 'Lacey Disgracey 🍑', 'id': 1184395659199336449, 'id_str': '1184395659199336449', 'indices': [24, 32]}, {'screen_name': 'The_Osullivan', 'name': ""Tʀᴇ O'Sᴜʟʟɪvᴀɴ"", 'id': 934707924437471233, 'id_str': '934707924437471233', 'indices': [33, 47]}, {'screen_name': 'BayouSiren', 'name': 'Spready Mercury 🧜\u200d♀️👑', 'id': 912556479651155968, 'id_str': '912556479651155968', 'indices': [48, 59]}, {'screen_name': 'CdDinzel', 'name': 'CDAveryDinzel', 'id': 1309151315721936897, 'id_str': '1309151315721936897', 'indices': [60, 69]}], 'urls': []}",,en
1339026401127698432,2020-12-16 01:55:46,@ben_sterlingCD (( Ben will be missed! I hope he had a good death. )),b'@ben_sterlingCD (( Ben will be missed! I hope he had a good death. ))',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ben_sterlingCD', 'name': 'Forgotten and Unforgiven ((Ded))', 'id': 2565805677, 'id_str': '2565805677', 'indices': [0, 15]}], 'urls': []}",,en
1339026001100218369,2020-12-16 01:54:11,@DisneyDreamerCD @thepenit (( Some do from there.. And Addams sometimes too. )),b'@DisneyDreamerCD @thepenit (( Some do from there.. And Addams sometimes too. ))',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DisneyDreamerCD', 'name': 'Emily Rose', 'id': 918931487990452225, 'id_str': '918931487990452225', 'indices': [0, 16]}, {'screen_name': 'thepenit', 'name': 'Jenia Volkova-Zhao', 'id': 848244785055977476, 'id_str': '848244785055977476', 'indices': [17, 26]}], 'urls': []}",,en
1339024753898741761,2020-12-16 01:49:13,"@VincentCastle4 Have I told you lately I don't like you? Well, I don't!","b""@VincentCastle4 Have I told you lately I don't like you? Well, I don't!""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VincentCastle4', 'name': 'Vincenzo Francis Castle', 'id': 1204735140661989376, 'id_str': '1204735140661989376', 'indices': [0, 15]}], 'urls': []}",,en
1339024404186066946,2020-12-16 01:47:50,@thepenit (( that SUCK!! I hate when that happens! I end up finding the perfect outfit all the time then try to put on a cute pair of boots.. and no luck! )),b'@thepenit (( that SUCK!! I hate when that happens! I end up finding the perfect outfit all the time then try to put on a cute pair of boots.. and no luck! ))',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thepenit', 'name': 'Jenia Volkova-Zhao', 'id': 848244785055977476, 'id_str': '848244785055977476', 'indices': [0, 9]}], 'urls': []}",,en
1339023544550907905,2020-12-16 01:44:25,"@VincentCastle4 You know who he is.  Don't start with me!  Yes, I am.","b""@VincentCastle4 You know who he is.  Don't start with me!  Yes, I am.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VincentCastle4', 'name': 'Vincenzo Francis Castle', 'id': 1204735140661989376, 'id_str': '1204735140661989376', 'indices': [0, 15]}], 'urls': []}",,en
1339023435486334976,2020-12-16 01:43:59,@thepenit (( OMG YES!! It's SO annoying to Try and put on pants and boots. Unless it's a full outfit.)),"b""@thepenit (( OMG YES!! It's SO annoying to Try and put on pants and boots. Unless it's a full outfit.))""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thepenit', 'name': 'Jenia Volkova-Zhao', 'id': 848244785055977476, 'id_str': '848244785055977476', 'indices': [0, 9]}], 'urls': []}",,en
1339021974228623365,2020-12-16 01:38:11,@VincentCastle4 Okay I suppose. If a man answers just tell him who you are.,b'@VincentCastle4 Okay I suppose. If a man answers just tell him who you are.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VincentCastle4', 'name': 'Vincenzo Francis Castle', 'id': 1204735140661989376, 'id_str': '1204735140661989376', 'indices': [0, 15]}], 'urls': []}",,en
1339021818389204992,2020-12-16 01:37:33,@LeMarchandSL Totally! I will let ya know when I am in town next.,b'@LeMarchandSL Totally! I will let ya know when I am in town next.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LeMarchandSL', 'name': 'Simon LeMarchand', 'id': 1087262961813471232, 'id_str': '1087262961813471232', 'indices': [0, 13]}], 'urls': []}",,en
1339020086942765063,2020-12-16 01:30:41,@VincentCastle4 Am I in trouble? If So No one is home.,b'@VincentCastle4 Am I in trouble? If So No one is home.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VincentCastle4', 'name': 'Vincenzo Francis Castle', 'id': 1204735140661989376, 'id_str': '1204735140661989376', 'indices': [0, 15]}], 'urls': []}",,en
1339019706586587137,2020-12-16 01:29:10,@VincentCastle4 Cool!,b'@VincentCastle4 Cool!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VincentCastle4', 'name': 'Vincenzo Francis Castle', 'id': 1204735140661989376, 'id_str': '1204735140661989376', 'indices': [0, 15]}], 'urls': []}",,en
1339019456949968904,2020-12-16 01:28:10,@thepenit @The_Osullivan @LSoniar @BayouSiren @CdDinzel @HoneyAnwater Try again! they love surprises. I think.. I dunno I was just friends with mine and suddenly he was in love with me. NO idea what happened.. lol,b'@thepenit @The_Osullivan @LSoniar @BayouSiren @CdDinzel @HoneyAnwater Try again! they love surprises. I think.. I dunno I was just friends with mine and suddenly he was in love with me. NO idea what happened.. lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thepenit', 'name': 'Jenia Volkova-Zhao', 'id': 848244785055977476, 'id_str': '848244785055977476', 'indices': [0, 9]}, {'screen_name': 'The_Osullivan', 'name': ""Tʀᴇ O'Sᴜʟʟɪvᴀɴ"", 'id': 934707924437471233, 'id_str': '934707924437471233', 'indices': [10, 24]}, {'screen_name': 'LSoniar', 'name': 'Lacey Disgracey 🍑', 'id': 1184395659199336449, 'id_str': '1184395659199336449', 'indices': [25, 33]}, {'screen_name': 'BayouSiren', 'name': 'Spready Mercury 🧜\u200d♀️👑', 'id': 912556479651155968, 'id_str': '912556479651155968', 'indices': [34, 45]}, {'screen_name': 'CdDinzel', 'name': 'CDAveryDinzel', 'id': 1309151315721936897, 'id_str': '1309151315721936897', 'indices': [46, 55]}, {'screen_name': 'HoneyAnwater', 'name': 'Honey Anwater', 'id': 893434610142650368, 'id_str': '893434610142650368', 'indices': [56, 69]}], 'urls': []}",,en
1339019071862546435,2020-12-16 01:26:39,@LeMarchandSL Good to know. How are you doing? Been a while since we spoke!,b'@LeMarchandSL Good to know. How are you doing? Been a while since we spoke!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LeMarchandSL', 'name': 'Simon LeMarchand', 'id': 1087262961813471232, 'id_str': '1087262961813471232', 'indices': [0, 13]}], 'urls': []}",,en
1339018979243855872,2020-12-16 01:26:17,@VincentCastle4 I don't have one.. I like noodles tho!,"b""@VincentCastle4 I don't have one.. I like noodles tho!""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VincentCastle4', 'name': 'Vincenzo Francis Castle', 'id': 1204735140661989376, 'id_str': '1204735140661989376', 'indices': [0, 15]}], 'urls': []}",,en
