id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339035419808305152,2020-12-16 02:31:36,@mmm_youngmitch Men are from Mars Women are from Venus,b'@mmm_youngmitch Men are from Mars Women are from Venus',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mmm_youngmitch', 'name': 'MoneyMakingMitch', 'id': 413669330, 'id_str': '413669330', 'indices': [0, 15]}], 'urls': []}",,en
1339018666076155905,2020-12-16 01:25:02,@_carsoncity U hard 🤧,b'@_carsoncity U hard \xf0\x9f\xa4\xa7',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_carsoncity', 'name': 'Monesha Tyliece ✨', 'id': 2991461863, 'id_str': '2991461863', 'indices': [0, 12]}], 'urls': []}",,en
1339018518415745024,2020-12-16 01:24:27,@_kassiaciana @amackkkkkkkk It’s the secret. Literally everything contains sugar! But we gone start with the junk 🥲🥶,b'@_kassiaciana @amackkkkkkkk It\xe2\x80\x99s the secret. Literally everything contains sugar! But we gone start with the junk \xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_kassiaciana', 'name': 'K ✨', 'id': 596570984, 'id_str': '596570984', 'indices': [0, 13]}, {'screen_name': 'amackkkkkkkk', 'name': 'Amack', 'id': 1243033202488422401, 'id_str': '1243033202488422401', 'indices': [14, 27]}], 'urls': []}",,en
1339018179608252418,2020-12-16 01:23:06,@amackkkkkkkk Turkey 😂😅 ...go turkey,b'@amackkkkkkkk Turkey \xf0\x9f\x98\x82\xf0\x9f\x98\x85 ...go turkey',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'amackkkkkkkk', 'name': 'Amack', 'id': 1243033202488422401, 'id_str': '1243033202488422401', 'indices': [0, 13]}], 'urls': []}",,tl
1339017661309743104,2020-12-16 01:21:02,@amackkkkkkkk For the rest of December 🙃,b'@amackkkkkkkk For the rest of December \xf0\x9f\x99\x83',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'amackkkkkkkk', 'name': 'Amack', 'id': 1243033202488422401, 'id_str': '1243033202488422401', 'indices': [0, 13]}], 'urls': []}",,en
1339013469140635648,2020-12-16 01:04:23,“I came from nuh-in now bitch I’m Royal.”,b'\xe2\x80\x9cI came from nuh-in now bitch I\xe2\x80\x99m Royal.\xe2\x80\x9d',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338996096702541826,2020-12-15 23:55:21,🙄okay maybe a lamp if your nice to me😆,b'\xf0\x9f\x99\x84okay maybe a lamp if your nice to me\xf0\x9f\x98\x86',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338995970026201088,2020-12-15 23:54:51,@turnaonetake Goddess can be lower cause. He a G tho,b'@turnaonetake Goddess can be lower cause. He a G tho',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'turnaonetake', 'name': 'TURNA', 'id': 444468079, 'id_str': '444468079', 'indices': [0, 13]}], 'urls': []}",,en
1338991041748283394,2020-12-15 23:35:16,"Iam Princess. 

You are, a rock.","b'Iam Princess. \n\nYou are, a rock.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338985548531298305,2020-12-15 23:13:26,@Srt8John I promise I’ll be 80 on this mf probably🤷🏽‍♀️,b'@Srt8John I promise I\xe2\x80\x99ll be 80 on this mf probably\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Srt8John', 'name': 'Lil John Clark', 'id': 178577546, 'id_str': '178577546', 'indices': [0, 9]}], 'urls': []}",,en
1338952484220440576,2020-12-15 21:02:03,"Polished babygirl nails for the first time 😇 

&amp; I’m in awwwee 😍",b'Polished babygirl nails for the first time \xf0\x9f\x98\x87 \n\n&amp; I\xe2\x80\x99m in awwwee \xf0\x9f\x98\x8d',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338933782422941702,2020-12-15 19:47:44,We wouldn’t have typos if we proof read💡,b'We wouldn\xe2\x80\x99t have typos if we proof read\xf0\x9f\x92\xa1',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338933570837110790,2020-12-15 19:46:54,*I’m feeling like 🌹,b'*I\xe2\x80\x99m feeling like \xf0\x9f\x8c\xb9',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338933513987518465,2020-12-15 19:46:40,🌚,b'\xf0\x9f\x8c\x9a',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,und
1338930378405507076,2020-12-15 19:34:12,What’s a life without allies?,b'What\xe2\x80\x99s a life without allies?',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338922028976496645,2020-12-15 19:01:02,@Biggs____ Biscotti they be posting look like K to me 😆,b'@Biggs____ Biscotti they be posting look like K to me \xf0\x9f\x98\x86',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Biggs____', 'name': '.', 'id': 1141365779159367680, 'id_str': '1141365779159367680', 'indices': [0, 10]}], 'urls': []}",,en
1338919373889810441,2020-12-15 18:50:29,Exactly what it is. Exactly how it sound.,b'Exactly what it is. Exactly how it sound.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338919332038979584,2020-12-15 18:50:19,Easy Money 💰,b'Easy Money \xf0\x9f\x92\xb0',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338918964194390017,2020-12-15 18:48:51,@bniceloco @keepingupwithmk Omggg 😂,b'@bniceloco @keepingupwithmk Omggg \xf0\x9f\x98\x82',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bniceloco', 'name': 'The Based Messiah', 'id': 122881733, 'id_str': '122881733', 'indices': [0, 10]}, {'screen_name': 'keepingupwithmk', 'name': 'bitch craft🔮📿\U0001fa84', 'id': 239602680, 'id_str': '239602680', 'indices': [11, 27]}], 'urls': []}",,und
1338918065342459909,2020-12-15 18:45:17,Can’t be folded! 💋,b'Can\xe2\x80\x99t be folded! \xf0\x9f\x92\x8b',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338917047351332864,2020-12-15 18:41:14,Tried to leave the street life behind but it just gained upon me.,b'Tried to leave the street life behind but it just gained upon me.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338915660261421056,2020-12-15 18:35:43,Life too real I can’t be phony.,b'Life too real I can\xe2\x80\x99t be phony.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
