id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339088679155875840,2020-12-16 06:03:14,RT @reallynotjin: nobody has the sheer amount of class and - for the lack of a better word - Swag™ as the japanese fandom artists who have…,b'RT @reallynotjin: nobody has the sheer amount of class and - for the lack of a better word - Swag\xe2\x84\xa2 as the japanese fandom artists who have\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'reallynotjin', 'name': 'literallies ☾ (was @heystobbbit)', 'id': 1051675869326917634, 'id_str': '1051675869326917634', 'indices': [3, 16]}], 'urls': []}",,en
1339088401971048448,2020-12-16 06:02:08,"RT @thorlokid: ""i would die for you but i'm also going to be the one to kill you"" is just a great dynamic regardless of the context yknow","b'RT @thorlokid: ""i would die for you but i\'m also going to be the one to kill you"" is just a great dynamic regardless of the context yknow'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thorlokid', 'name': 'hermione', 'id': 426136705, 'id_str': '426136705', 'indices': [3, 13]}], 'urls': []}",,en
1339087547230605312,2020-12-16 05:58:44,"RT @TheDistantCoder: Yu-Gi-Oh Players 30 seconds after asking ""wait, it does what?"" https://t.co/VGO3Knzx6X","b'RT @TheDistantCoder: Yu-Gi-Oh Players 30 seconds after asking ""wait, it does what?"" https://t.co/VGO3Knzx6X'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheDistantCoder', 'name': 'DistantCoder', 'id': 984854510135898115, 'id_str': '984854510135898115', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1338638730840715267, 'id_str': '1338638730840715267', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/media/EpPM1VJXMAMrvxo.png', 'media_url_https': 'https://pbs.twimg.com/media/EpPM1VJXMAMrvxo.png', 'url': 'https://t.co/VGO3Knzx6X', 'display_url': 'pic.twitter.com/VGO3Knzx6X', 'expanded_url': 'https://twitter.com/TheDistantCoder/status/1338638980233957384/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 400, 'h': 309, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 309, 'resize': 'fit'}, 'large': {'w': 400, 'h': 309, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_status_id': 1338638980233957384, 'source_status_id_str': '1338638980233957384', 'source_user_id': 984854510135898115, 'source_user_id_str': '984854510135898115'}]}",,en
1339082907718045701,2020-12-16 05:40:18,"Reminds one time when my sis' friend visited our house and mentioned abt BDaman and I said we only have the Crash ones bc the others are missing/hidden in storage and theyre like ""oh only Battle matters, the rest are just garbage"" and Im secretly like :)))) Get Out Of My House","b'Reminds one time when my sis\' friend visited our house and mentioned abt BDaman and I said we only have the Crash ones bc the others are missing/hidden in storage and theyre like ""oh only Battle matters, the rest are just garbage"" and Im secretly like :)))) Get Out Of My House'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339080085077278723,2020-12-16 05:29:05,RT @gankuma_: 私、都内のあちこちの学校に行くんだけど、アニメや漫画の小学校や中学校では1枚目のような狭い廊下の学校描写をよく見るけど、今は大抵の学校で2〜3枚目のように廊下が広くなってて下手すると教室の壁が無いんだよ。自分も含めて学校描写をしている人の年代がもはや…,b'RT @gankuma_: \xe7\xa7\x81\xe3\x80\x81\xe9\x83\xbd\xe5\x86\x85\xe3\x81\xae\xe3\x81\x82\xe3\x81\xa1\xe3\x81\x93\xe3\x81\xa1\xe3\x81\xae\xe5\xad\xa6\xe6\xa0\xa1\xe3\x81\xab\xe8\xa1\x8c\xe3\x81\x8f\xe3\x82\x93\xe3\x81\xa0\xe3\x81\x91\xe3\x81\xa9\xe3\x80\x81\xe3\x82\xa2\xe3\x83\x8b\xe3\x83\xa1\xe3\x82\x84\xe6\xbc\xab\xe7\x94\xbb\xe3\x81\xae\xe5\xb0\x8f\xe5\xad\xa6\xe6\xa0\xa1\xe3\x82\x84\xe4\xb8\xad\xe5\xad\xa6\xe6\xa0\xa1\xe3\x81\xa7\xe3\x81\xaf1\xe6\x9e\x9a\xe7\x9b\xae\xe3\x81\xae\xe3\x82\x88\xe3\x81\x86\xe3\x81\xaa\xe7\x8b\xad\xe3\x81\x84\xe5\xbb\x8a\xe4\xb8\x8b\xe3\x81\xae\xe5\xad\xa6\xe6\xa0\xa1\xe6\x8f\x8f\xe5\x86\x99\xe3\x82\x92\xe3\x82\x88\xe3\x81\x8f\xe8\xa6\x8b\xe3\x82\x8b\xe3\x81\x91\xe3\x81\xa9\xe3\x80\x81\xe4\xbb\x8a\xe3\x81\xaf\xe5\xa4\xa7\xe6\x8a\xb5\xe3\x81\xae\xe5\xad\xa6\xe6\xa0\xa1\xe3\x81\xa72\xe3\x80\x9c3\xe6\x9e\x9a\xe7\x9b\xae\xe3\x81\xae\xe3\x82\x88\xe3\x81\x86\xe3\x81\xab\xe5\xbb\x8a\xe4\xb8\x8b\xe3\x81\x8c\xe5\xba\x83\xe3\x81\x8f\xe3\x81\xaa\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\xa6\xe4\xb8\x8b\xe6\x89\x8b\xe3\x81\x99\xe3\x82\x8b\xe3\x81\xa8\xe6\x95\x99\xe5\xae\xa4\xe3\x81\xae\xe5\xa3\x81\xe3\x81\x8c\xe7\x84\xa1\xe3\x81\x84\xe3\x82\x93\xe3\x81\xa0\xe3\x82\x88\xe3\x80\x82\xe8\x87\xaa\xe5\x88\x86\xe3\x82\x82\xe5\x90\xab\xe3\x82\x81\xe3\x81\xa6\xe5\xad\xa6\xe6\xa0\xa1\xe6\x8f\x8f\xe5\x86\x99\xe3\x82\x92\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x84\xe3\x82\x8b\xe4\xba\xba\xe3\x81\xae\xe5\xb9\xb4\xe4\xbb\xa3\xe3\x81\x8c\xe3\x82\x82\xe3\x81\xaf\xe3\x82\x84\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gankuma_', 'name': '晒黑的がんくま', 'id': 123928821, 'id_str': '123928821', 'indices': [3, 12]}], 'urls': []}",,ja
1339079865065095168,2020-12-16 05:28:13,"RT @AshiaMonet: I wrote an article about femininity, female protagonists in YA, and white feminism because, even though they’ve stopped say…","b'RT @AshiaMonet: I wrote an article about femininity, female protagonists in YA, and white feminism because, even though they\xe2\x80\x99ve stopped say\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AshiaMonet', 'name': 'ashia monet 🌙🕯', 'id': 2473122523, 'id_str': '2473122523', 'indices': [3, 14]}], 'urls': []}",,en
1339063221068640256,2020-12-16 04:22:05,@jinjiroubouei ladies... i love them,b'@jinjiroubouei ladies... i love them',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jinjiroubouei', 'name': 'Double 🎁🎄ダブル🎄🎁', 'id': 728398893411540992, 'id_str': '728398893411540992', 'indices': [0, 14]}], 'urls': []}",,en
1339062265668984840,2020-12-16 04:18:17,@SAVARKTIS We usually binge 10 episodes in one night so sure! Let us know when you wanna hop in too~,b'@SAVARKTIS We usually binge 10 episodes in one night so sure! Let us know when you wanna hop in too~',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SAVARKTIS', 'name': 'Super Mario Torture 4', 'id': 1240117996741369856, 'id_str': '1240117996741369856', 'indices': [0, 10]}], 'urls': []}",,en
1339061326908325888,2020-12-16 04:14:33,@SAVARKTIS Im off work at 8PM so likely 9PM or so!! Which is 9AM for you I believe?,b'@SAVARKTIS Im off work at 8PM so likely 9PM or so!! Which is 9AM for you I believe?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SAVARKTIS', 'name': 'Super Mario Torture 4', 'id': 1240117996741369856, 'id_str': '1240117996741369856', 'indices': [0, 10]}], 'urls': []}",,en
1339060378097991680,2020-12-16 04:10:47,It is TGIFGTWDMTN (Thank God I Finally Get To Watch Duema Tonight) but we're entering Joe era!! WOOHOO,"b""It is TGIFGTWDMTN (Thank God I Finally Get To Watch Duema Tonight) but we're entering Joe era!! WOOHOO""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339023338065121281,2020-12-16 01:43:36,take a shot everytime you see a hobbyani genwunners be like: &lt;this original/older season&gt; is better than the new one!!! solely for purely nostalgic reason despite barely remember it lol,b'take a shot everytime you see a hobbyani genwunners be like: &lt;this original/older season&gt; is better than the new one!!! solely for purely nostalgic reason despite barely remember it lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339020652171259904,2020-12-16 01:32:55,"RT @armormodechang: ""what's the best entry point into touhou"" there is none. the series does absolutely nothing to introduce you to it and…","b'RT @armormodechang: ""what\'s the best entry point into touhou"" there is none. the series does absolutely nothing to introduce you to it and\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'armormodechang', 'name': ""K'eeg (~Hallucinated People~)"", 'id': 1008533506123804672, 'id_str': '1008533506123804672', 'indices': [3, 18]}], 'urls': []}",,en
1339017658792960001,2020-12-16 01:21:02,"Dark civilization girls, that's the tweet https://t.co/Dv0JyyAWUJ","b""Dark civilization girls, that's the tweet https://t.co/Dv0JyyAWUJ""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339017532280168448, 'id_str': '1339017532280168448', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/media/EpUlWeeUYAAzWVj.png', 'media_url_https': 'https://pbs.twimg.com/media/EpUlWeeUYAAzWVj.png', 'url': 'https://t.co/Dv0JyyAWUJ', 'display_url': 'pic.twitter.com/Dv0JyyAWUJ', 'expanded_url': 'https://twitter.com/aIcadeias/status/1339017658792960001/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 640, 'h': 480, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 480, 'resize': 'fit'}, 'large': {'w': 640, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",,en
