id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017665503850497,2020-12-16 01:21:03,i respect it though! let's get that #1 for 1 week and let the world move on,"b""i respect it though! let's get that #1 for 1 week and let the world move on""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017549044858882,2020-12-16 01:20:36,RT @taylorswift13: Ever find yourself waiting for the signal &amp; meeting someone after dark &amp; happening upon a majestic coven in the woods? M…,b'RT @taylorswift13: Ever find yourself waiting for the signal &amp; meeting someone after dark &amp; happening upon a majestic coven in the woods? M\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taylorswift13', 'name': 'Taylor Swift', 'id': 17919972, 'id_str': '17919972', 'indices': [3, 17]}], 'urls': []}",,en
1339017540702359552,2020-12-16 01:20:34,😅 https://t.co/DsUYLVGL2f,b'\xf0\x9f\x98\x85 https://t.co/DsUYLVGL2f',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DsUYLVGL2f', 'expanded_url': 'https://twitter.com/taylorswift13/status/1339014864791089152', 'display_url': 'twitter.com/taylorswift13/…', 'indices': [2, 25]}]}",,und
1338849238000627714,2020-12-15 14:11:47,"RT @MarvelStudios: Marvel Studios: Legends is a new series that revisits some of the most iconic moments from the MCU, one character at a t…","b'RT @MarvelStudios: Marvel Studios: Legends is a new series that revisits some of the most iconic moments from the MCU, one character at a t\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [3, 17]}], 'urls': []}",,en
1338849220183265282,2020-12-15 14:11:43,wow they aren't done https://t.co/m1bTx0cml5,"b""wow they aren't done https://t.co/m1bTx0cml5""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/m1bTx0cml5', 'expanded_url': 'https://twitter.com/MarvelStudios/status/1338846284015226881', 'display_url': 'twitter.com/MarvelStudios/…', 'indices': [21, 44]}]}",,en
1338750853960749057,2020-12-15 07:40:51,RT @minseokpics: #XIUMIN for allure korea https://t.co/ISAUymP6k5,b'RT @minseokpics: #XIUMIN for allure korea https://t.co/ISAUymP6k5',"{'hashtags': [{'text': 'XIUMIN', 'indices': [17, 24]}], 'symbols': [], 'user_mentions': [{'screen_name': 'minseokpics', 'name': 'xiumin pics', 'id': 2983259684, 'id_str': '2983259684', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1338742520973582336, 'id_str': '1338742520973582336', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/media/EpQrOthXYAAUyP7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQrOthXYAAUyP7.jpg', 'url': 'https://t.co/ISAUymP6k5', 'display_url': 'pic.twitter.com/ISAUymP6k5', 'expanded_url': 'https://twitter.com/minseokpics/status/1338742537029292032/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1000, 'h': 1342, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 507, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 894, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338742537029292032, 'source_status_id_str': '1338742537029292032', 'source_user_id': 2983259684, 'source_user_id_str': '2983259684'}]}",,en
1338750833580621825,2020-12-15 07:40:46,MY KING https://t.co/heaBQbn8ff,b'MY KING https://t.co/heaBQbn8ff',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/heaBQbn8ff', 'expanded_url': 'https://twitter.com/minseokpics/status/1338742537029292032', 'display_url': 'twitter.com/minseokpics/st…', 'indices': [8, 31]}]}",,en
1338719231609720833,2020-12-15 05:35:11,RT @taylorswift13: Witches be like “Sometimes I just want to listen to music while pining away/sulking/staring out a window.” It’s me. I’m…,b'RT @taylorswift13: Witches be like \xe2\x80\x9cSometimes I just want to listen to music while pining away/sulking/staring out a window.\xe2\x80\x9d It\xe2\x80\x99s me. I\xe2\x80\x99m\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taylorswift13', 'name': 'Taylor Swift', 'id': 17919972, 'id_str': '17919972', 'indices': [3, 17]}], 'urls': []}",,en
1338719221878931456,2020-12-15 05:35:09,she wants that #1 so bad 😭 https://t.co/SHzsEZUxA1,b'she wants that #1 so bad \xf0\x9f\x98\xad https://t.co/SHzsEZUxA1',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SHzsEZUxA1', 'expanded_url': 'https://twitter.com/taylorswift13/status/1338718606885064705', 'display_url': 'twitter.com/taylorswift13/…', 'indices': [27, 50]}]}",,en
1338679050617798656,2020-12-15 02:55:31,"RT @weareoneEXO: 엑소 카이, 온라인 팬미팅 ‘Merry KAI-mas’ 20일 오후 4시 개최!
카이와 보내는 미리 크리스마스! 연말 선물 같은 유쾌한 시간!

#카이 #KAI 
#엑소 #EXO #weareoneEXO https://t…","b'RT @weareoneEXO: \xec\x97\x91\xec\x86\x8c \xec\xb9\xb4\xec\x9d\xb4, \xec\x98\xa8\xeb\x9d\xbc\xec\x9d\xb8 \xed\x8c\xac\xeb\xaf\xb8\xed\x8c\x85 \xe2\x80\x98Merry KAI-mas\xe2\x80\x99 20\xec\x9d\xbc \xec\x98\xa4\xed\x9b\x84 4\xec\x8b\x9c \xea\xb0\x9c\xec\xb5\x9c!\n\xec\xb9\xb4\xec\x9d\xb4\xec\x99\x80 \xeb\xb3\xb4\xeb\x82\xb4\xeb\x8a\x94 \xeb\xaf\xb8\xeb\xa6\xac \xed\x81\xac\xeb\xa6\xac\xec\x8a\xa4\xeb\xa7\x88\xec\x8a\xa4! \xec\x97\xb0\xeb\xa7\x90 \xec\x84\xa0\xeb\xac\xbc \xea\xb0\x99\xec\x9d\x80 \xec\x9c\xa0\xec\xbe\x8c\xed\x95\x9c \xec\x8b\x9c\xea\xb0\x84!\n\n#\xec\xb9\xb4\xec\x9d\xb4 #KAI \n#\xec\x97\x91\xec\x86\x8c #EXO #weareoneEXO https://t\xe2\x80\xa6'","{'hashtags': [{'text': '카이', 'indices': [98, 101]}, {'text': 'KAI', 'indices': [102, 106]}, {'text': '엑소', 'indices': [108, 111]}, {'text': 'EXO', 'indices': [112, 116]}, {'text': 'weareoneEXO', 'indices': [117, 129]}], 'symbols': [], 'user_mentions': [{'screen_name': 'weareoneEXO', 'name': 'EXO', 'id': 873115441303924736, 'id_str': '873115441303924736', 'indices': [3, 15]}], 'urls': []}",,ko
