id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339113604109373441,2020-12-16 07:42:17,@Ela10_x Ooh I wanna see!!,b'@Ela10_x Ooh I wanna see!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ela10_x', 'name': 'Ela ☃️', 'id': 131373829, 'id_str': '131373829', 'indices': [0, 8]}], 'urls': []}",,en
1339109254653902854,2020-12-16 07:25:00,@pomelopaints @dodoscribble Me laughing at dodo https://t.co/5bRghdravp,b'@pomelopaints @dodoscribble Me laughing at dodo https://t.co/5bRghdravp',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pomelopaints', 'name': 'caitlin. 🐰', 'id': 1259890927436357632, 'id_str': '1259890927436357632', 'indices': [0, 13]}, {'screen_name': 'dodoscribble', 'name': 'Dodo 🐻🧡', 'id': 1273073407517528064, 'id_str': '1273073407517528064', 'indices': [14, 27]}], 'urls': [], 'media': [{'id': 1339109246944755713, 'id_str': '1339109246944755713', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/EpV4w-OVQAEjm6P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpV4w-OVQAEjm6P.jpg', 'url': 'https://t.co/5bRghdravp', 'display_url': 'pic.twitter.com/5bRghdravp', 'expanded_url': 'https://twitter.com/boredstephanie/status/1339109254653902854/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 190, 'h': 311, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 190, 'h': 311, 'resize': 'fit'}, 'large': {'w': 190, 'h': 311, 'resize': 'fit'}}}]}",,en
1339108316337696768,2020-12-16 07:21:16,RT @koushio_: Hi guys! I'm doing an ✨Art Giveaway✨ in late celebration of reaching 500 followers and to thank you all for sticking with me!…,"b""RT @koushio_: Hi guys! I'm doing an \xe2\x9c\xa8Art Giveaway\xe2\x9c\xa8 in late celebration of reaching 500 followers and to thank you all for sticking with me!\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'koushio_', 'name': 'koushio 🌼 | Art Raffle Pinned!', 'id': 1314827554105163776, 'id_str': '1314827554105163776', 'indices': [3, 12]}], 'urls': []}",,en
1339107234698051585,2020-12-16 07:16:58,@omuart_ Yea they don't deserve the item anyway😤,"b""@omuart_ Yea they don't deserve the item anyway\xf0\x9f\x98\xa4""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'omuart_', 'name': 'denise🌷🌸', 'id': 1152413588, 'id_str': '1152413588', 'indices': [0, 8]}], 'urls': []}",,en
1339105891530862593,2020-12-16 07:11:38,@smolsnooze That is the ideal form of all creatures🟡🟣🟢🟠🔵,b'@smolsnooze That is the ideal form of all creatures\xf0\x9f\x9f\xa1\xf0\x9f\x9f\xa3\xf0\x9f\x9f\xa2\xf0\x9f\x9f\xa0\xf0\x9f\x94\xb5',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'smolsnooze', 'name': '✨marshmallow bun', 'id': 444136285, 'id_str': '444136285', 'indices': [0, 11]}], 'urls': []}",,en
1339099086914347008,2020-12-16 06:44:36,@puffygators So pretty!!🥺🧡,b'@puffygators So pretty!!\xf0\x9f\xa5\xba\xf0\x9f\xa7\xa1',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'puffygators', 'name': 'Nana Qi', 'id': 879683320119996416, 'id_str': '879683320119996416', 'indices': [0, 12]}], 'urls': []}",,en
1339098944702304256,2020-12-16 06:44:02,@kiyoshiriart I know this feeling😂,b'@kiyoshiriart I know this feeling\xf0\x9f\x98\x82',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kiyoshiriart', 'name': 'kiyoshiri ♡', 'id': 1006861506955304960, 'id_str': '1006861506955304960', 'indices': [0, 13]}], 'urls': []}",,en
1339098769774706689,2020-12-16 06:43:20,@pokibelle Omg what did they say? :/,b'@pokibelle Omg what did they say? :/',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pokibelle', 'name': '𝒦𝑒𝓃𝒹𝒶𝓁𝓁 ⋆ ☽ ⋆', 'id': 866709996809179136, 'id_str': '866709996809179136', 'indices': [0, 10]}], 'urls': []}",,en
1339095967832797184,2020-12-16 06:32:12,@nooksstyles Ariana you are so cute!! So proud of you!!🥰 and omg my artwork was on the news too thanks to you😂,b'@nooksstyles Ariana you are so cute!! So proud of you!!\xf0\x9f\xa5\xb0 and omg my artwork was on the news too thanks to you\xf0\x9f\x98\x82',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nooksstyles', 'name': 'falala-riana ☃️🎄', 'id': 1264625340703313922, 'id_str': '1264625340703313922', 'indices': [0, 12]}], 'urls': []}",,en
1339094591379632128,2020-12-16 06:26:44,@jaoscribs Yeah I just stared at it for awhile and took some photos😋🧡,b'@jaoscribs Yeah I just stared at it for awhile and took some photos\xf0\x9f\x98\x8b\xf0\x9f\xa7\xa1',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jaoscribs', 'name': 'emily 🎁✨', 'id': 1237196136865132544, 'id_str': '1237196136865132544', 'indices': [0, 10]}], 'urls': []}",,en
1339093208467312641,2020-12-16 06:21:14,@messywallfIower Wow memoriesss,b'@messywallfIower Wow memoriesss',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'messywallfIower', 'name': 'joyce', 'id': 1247011754430935040, 'id_str': '1247011754430935040', 'indices': [0, 16]}], 'urls': []}",,en
