id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339021184403271680,2020-12-16 01:35:02,@educated_educ8r All the time. Melania will likely leave Donald once they have left the limelight and perhaps Barron will start having the semblance of a normal life. He did not ask for this.,b'@educated_educ8r All the time. Melania will likely leave Donald once they have left the limelight and perhaps Barron will start having the semblance of a normal life. He did not ask for this.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'educated_educ8r', 'name': '🏳️\u200d🌈3️⃣6️⃣ days🇺🇸', 'id': 894567754682048514, 'id_str': '894567754682048514', 'indices': [0, 16]}], 'urls': []}",,en
1339020692881362944,2020-12-16 01:33:05,RT @BillPascrell: 213 days ago House Democrats passed another round of stimulus checks up to $1200. And for 213 straight days mcconnell rep…,b'RT @BillPascrell: 213 days ago House Democrats passed another round of stimulus checks up to $1200. And for 213 straight days mcconnell rep\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BillPascrell', 'name': 'Bill Pascrell, Jr.', 'id': 74508260, 'id_str': '74508260', 'indices': [3, 16]}], 'urls': []}",,en
1339020460034465792,2020-12-16 01:32:10,@GeoRebekah I have just seen your correction on the date.,b'@GeoRebekah I have just seen your correction on the date.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GeoRebekah', 'name': 'Rebekah Jones, MS, GISP', 'id': 2579571584, 'id_str': '2579571584', 'indices': [0, 11]}], 'urls': []}",,en
1339020225967128576,2020-12-16 01:31:14,"@GeoRebekah November 10?  It's December... his letter had at least two typos... so my thoughts regarding his 'brains'? Not so much. Let your lawyer know about this, if you have not already done so. Please take care Rebekah. ❤️","b""@GeoRebekah November 10?  It's December... his letter had at least two typos... so my thoughts regarding his 'brains'? Not so much. Let your lawyer know about this, if you have not already done so. Please take care Rebekah. \xe2\x9d\xa4\xef\xb8\x8f""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GeoRebekah', 'name': 'Rebekah Jones, MS, GISP', 'id': 2579571584, 'id_str': '2579571584', 'indices': [0, 11]}], 'urls': []}",,en
1339017958102687744,2020-12-16 01:22:13,"@von_lex Oh, I don't know haha","b""@von_lex Oh, I don't know haha""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'von_lex', 'name': 'vonsky', 'id': 863506797604163584, 'id_str': '863506797604163584', 'indices': [0, 8]}], 'urls': []}",,en
1339017678585925633,2020-12-16 01:21:06,"@aussie_jew @in_ethics @PeteButtigieg Exactly. He made that promise to his fellow Republican Senators the afternoon Obama was sworn in, 1/20/08.","b'@aussie_jew @in_ethics @PeteButtigieg Exactly. He made that promise to his fellow Republican Senators the afternoon Obama was sworn in, 1/20/08.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aussie_jew', 'name': '(((Jew-pendous)))', 'id': 1281234634450391040, 'id_str': '1281234634450391040', 'indices': [0, 11]}, {'screen_name': 'in_ethics', 'name': 'GabaGhoul', 'id': 847066638713327617, 'id_str': '847066638713327617', 'indices': [12, 22]}, {'screen_name': 'PeteButtigieg', 'name': 'Pete Buttigieg', 'id': 226222147, 'id_str': '226222147', 'indices': [23, 37]}], 'urls': []}",,en
1339017016699617281,2020-12-16 01:18:29,@PeteButtigieg Congratulations!!! Extremely pleased. Well deserved.,b'@PeteButtigieg Congratulations!!! Extremely pleased. Well deserved.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PeteButtigieg', 'name': 'Pete Buttigieg', 'id': 226222147, 'id_str': '226222147', 'indices': [0, 14]}], 'urls': []}",,en
1339016753905463296,2020-12-16 01:17:26,❤️🔥 https://t.co/JdnVCohB1z,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x94\xa5 https://t.co/JdnVCohB1z',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JdnVCohB1z', 'expanded_url': 'https://twitter.com/the_resistor/status/1339016010578284545', 'display_url': 'twitter.com/the_resistor/s…', 'indices': [4, 27]}]}",,und
1339015926444789761,2020-12-16 01:14:09,"RT @RonaldKlain: The Biden cabinet includes yet another first — on top of many other “firsts” (e.g., first woman at Treasury, first AfAm at…","b'RT @RonaldKlain: The Biden cabinet includes yet another first \xe2\x80\x94 on top of many other \xe2\x80\x9cfirsts\xe2\x80\x9d (e.g., first woman at Treasury, first AfAm at\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RonaldKlain', 'name': 'Ronald Klain', 'id': 248884036, 'id_str': '248884036', 'indices': [3, 15]}], 'urls': []}",,en
1339010622114115585,2020-12-16 00:53:04,"RT @von_lex: @carpediemer52 @thomaskaine5 By the time many of us actually get to receiving the vaccine, many, many people will have already…","b'RT @von_lex: @carpediemer52 @thomaskaine5 By the time many of us actually get to receiving the vaccine, many, many people will have already\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'von_lex', 'name': 'vonsky', 'id': 863506797604163584, 'id_str': '863506797604163584', 'indices': [3, 11]}, {'screen_name': 'carpediemer52', 'name': 'Kare 🇨🇦🇩🇰', 'id': 863108401, 'id_str': '863108401', 'indices': [13, 27]}, {'screen_name': 'thomaskaine5', 'name': 'Thomas Kaine', 'id': 860654500431880192, 'id_str': '860654500431880192', 'indices': [28, 41]}], 'urls': []}",,en
1338990692509437954,2020-12-15 23:33:52,@LindaResist @thomaskaine5 Same here. I am immunocompromised and will need to change medications to increase my immune system in order to get the vaccine. I have grocery delivery and go virtually nowhere. I live alone. I am cooking my own turkey dinner on the 25th. Too close to the end to take  chance.,b'@LindaResist @thomaskaine5 Same here. I am immunocompromised and will need to change medications to increase my immune system in order to get the vaccine. I have grocery delivery and go virtually nowhere. I live alone. I am cooking my own turkey dinner on the 25th. Too close to the end to take  chance.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LindaResist', 'name': 'LindaGone', 'id': 894010490044784640, 'id_str': '894010490044784640', 'indices': [0, 12]}, {'screen_name': 'thomaskaine5', 'name': 'Thomas Kaine', 'id': 860654500431880192, 'id_str': '860654500431880192', 'indices': [13, 26]}], 'urls': []}",,en
1338988725968097281,2020-12-15 23:26:04,@chipfranklin No,b'@chipfranklin No',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chipfranklin', 'name': 'Chip Franklin InsideTheBeltway.com', 'id': 48325671, 'id_str': '48325671', 'indices': [0, 13]}], 'urls': []}",,und
1338988391891836930,2020-12-15 23:24:44,"RT @staceyabrams: It’s a pleasure to have President-elect @JoeBiden back in Georgia!

Let's send @ossoff and @ReverendWarnock to Washington…","b""RT @staceyabrams: It\xe2\x80\x99s a pleasure to have President-elect @JoeBiden back in Georgia!\n\nLet's send @ossoff and @ReverendWarnock to Washington\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'staceyabrams', 'name': 'Stacey Abrams', 'id': 216065430, 'id_str': '216065430', 'indices': [3, 16]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [58, 67]}, {'screen_name': 'ossoff', 'name': 'Jon Ossoff', 'id': 521747968, 'id_str': '521747968', 'indices': [97, 104]}, {'screen_name': 'ReverendWarnock', 'name': 'Reverend Raphael Warnock', 'id': 1221242033530195970, 'id_str': '1221242033530195970', 'indices': [109, 125]}], 'urls': []}",,en
1338987708048281603,2020-12-15 23:22:01,"@LindaResist @thomaskaine5 I am truly sorry. I do realise how fortunate I am. Stay safe, ok? x","b'@LindaResist @thomaskaine5 I am truly sorry. I do realise how fortunate I am. Stay safe, ok? x'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LindaResist', 'name': 'LindaGone', 'id': 894010490044784640, 'id_str': '894010490044784640', 'indices': [0, 12]}, {'screen_name': 'thomaskaine5', 'name': 'Thomas Kaine', 'id': 860654500431880192, 'id_str': '860654500431880192', 'indices': [13, 26]}], 'urls': []}",,en
1338987272625000448,2020-12-15 23:20:17,"@C315Mike @mfstern Trump TV, Newsmax and Oann or whatever it's called, might. No industry with any real gravitas.","b""@C315Mike @mfstern Trump TV, Newsmax and Oann or whatever it's called, might. No industry with any real gravitas.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'C315Mike', 'name': 'MikeC315', 'id': 1072985457011486720, 'id_str': '1072985457011486720', 'indices': [0, 9]}, {'screen_name': 'mfstern', 'name': 'Mark Stern', 'id': 30898742, 'id_str': '30898742', 'indices': [10, 18]}], 'urls': []}",,en
1338986827361918977,2020-12-15 23:18:31,"RT @CatherineRicha6: @mfstern So glad to see these go!
They were repulsively delivered in a a demeaning manner, full of mis and dis informa…","b'RT @CatherineRicha6: @mfstern So glad to see these go!\nThey were repulsively delivered in a a demeaning manner, full of mis and dis informa\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CatherineRicha6', 'name': 'Catherine', 'id': 524292950, 'id_str': '524292950', 'indices': [3, 19]}, {'screen_name': 'mfstern', 'name': 'Mark Stern', 'id': 30898742, 'id_str': '30898742', 'indices': [21, 29]}], 'urls': []}",,en
1338985250035097603,2020-12-15 23:12:15,"@thomaskaine5 Absolutely. In fact, I cannot wait to be in the category next in line to receive it. I have just seen on the news here in British Columbia that only 6% of BC citizens say no, and a further 9% are not sure which means 85% will be getting the vaccine. It will wonderful being safe.","b'@thomaskaine5 Absolutely. In fact, I cannot wait to be in the category next in line to receive it. I have just seen on the news here in British Columbia that only 6% of BC citizens say no, and a further 9% are not sure which means 85% will be getting the vaccine. It will wonderful being safe.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thomaskaine5', 'name': 'Thomas Kaine', 'id': 860654500431880192, 'id_str': '860654500431880192', 'indices': [0, 13]}], 'urls': []}",,en
1338983611312164865,2020-12-15 23:05:44,@Tzipshmil @KFILE Same here. This little baby is all of ours.,b'@Tzipshmil @KFILE Same here. This little baby is all of ours.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Tzipshmil', 'name': 'Tzippy Shmilovitz 🤦\u200d♀️', 'id': 123663332, 'id_str': '123663332', 'indices': [0, 10]}, {'screen_name': 'KFILE', 'name': 'andrew kaczynski', 'id': 326255267, 'id_str': '326255267', 'indices': [11, 17]}], 'urls': []}",,en
1338983338434985985,2020-12-15 23:04:39,"@KFILE This is such distressing new. I am praying for Francesca, and your entire family Andrew. 💔","b'@KFILE This is such distressing new. I am praying for Francesca, and your entire family Andrew. \xf0\x9f\x92\x94'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KFILE', 'name': 'andrew kaczynski', 'id': 326255267, 'id_str': '326255267', 'indices': [0, 6]}], 'urls': []}",,en
1338981648897957889,2020-12-15 22:57:56,RT @funder: Jim Acosta is a real life superhero.,b'RT @funder: Jim Acosta is a real life superhero.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'funder', 'name': 'Scott Dworkin', 'id': 14247236, 'id_str': '14247236', 'indices': [3, 10]}], 'urls': []}",,en
1338981522536165377,2020-12-15 22:57:26,"RT @davidmweissman: Thank you, Jim Acosta, for holding Kayleigh Mcenany accountable. @Acosta","b'RT @davidmweissman: Thank you, Jim Acosta, for holding Kayleigh Mcenany accountable. @Acosta'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'davidmweissman', 'name': 'David Weissman', 'id': 880018682, 'id_str': '880018682', 'indices': [3, 18]}, {'screen_name': 'Acosta', 'name': 'Jim Acosta', 'id': 22771961, 'id_str': '22771961', 'indices': [85, 92]}], 'urls': []}",,en
1338972434217627649,2020-12-15 22:21:19,"RT @joncoopertweets: Law enforcement officials in Kentucky are investigating a possible anti-Semitic assault, after witnesses claim someone…","b'RT @joncoopertweets: Law enforcement officials in Kentucky are investigating a possible anti-Semitic assault, after witnesses claim someone\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'joncoopertweets', 'name': 'Jon Cooper 🇺🇸', 'id': 27493883, 'id_str': '27493883', 'indices': [3, 19]}], 'urls': []}",,en
1338971562985189376,2020-12-15 22:17:52,Please share https://t.co/XRyXohTmGP,b'Please share https://t.co/XRyXohTmGP',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XRyXohTmGP', 'expanded_url': 'https://twitter.com/chrismurphyct/status/1338476818685431810', 'display_url': 'twitter.com/chrismurphyct/…', 'indices': [13, 36]}]}",,en
1338968176575479808,2020-12-15 22:04:24,@TobyBerry6325 @SparkieSparks1 Ah puppy.... poor Kona :(,b'@TobyBerry6325 @SparkieSparks1 Ah puppy.... poor Kona :(',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TobyBerry6325', 'name': 'Toby Berry', 'id': 879574275857973248, 'id_str': '879574275857973248', 'indices': [0, 14]}, {'screen_name': 'SparkieSparks1', 'name': 'Sparkie Sparks 🆘️', 'id': 1935109831, 'id_str': '1935109831', 'indices': [15, 30]}], 'urls': []}",,en
1338968003614920705,2020-12-15 22:03:43,#Breaking https://t.co/29SnA7V2SA,b'#Breaking https://t.co/29SnA7V2SA',"{'hashtags': [{'text': 'Breaking', 'indices': [0, 9]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/29SnA7V2SA', 'expanded_url': 'https://twitter.com/NewYorkStateAG/status/1338947187707957249', 'display_url': 'twitter.com/NewYorkStateAG…', 'indices': [10, 33]}]}",,und
