id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017663406690304,2020-12-16 01:21:03,All the sliding around in my car cracks me up but once I crash I won’t be laughing anymore lol,b'All the sliding around in my car cracks me up but once I crash I won\xe2\x80\x99t be laughing anymore lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338909425982087168,2020-12-15 18:10:57,Honestly might cry when Carina and I move out of our apartment,b'Honestly might cry when Carina and I move out of our apartment',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338585696043298816,2020-12-14 20:44:34,No se porque me importa,b'No se porque me importa',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,es
1338495464392458241,2020-12-14 14:46:01,I’m just so confused. And upset. And confused. I don’t get it,b'I\xe2\x80\x99m just so confused. And upset. And confused. I don\xe2\x80\x99t get it',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338374230941913088,2020-12-14 06:44:17,I can do one more day right 😕,b'I can do one more day right \xf0\x9f\x98\x95',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338292899729969152,2020-12-14 01:21:06,I’m on a suicide mission,b'I\xe2\x80\x99m on a suicide mission',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338256113637060609,2020-12-13 22:54:55,Everything is so frustrating,b'Everything is so frustrating',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338045899524608000,2020-12-13 08:59:36,I don’t understand,b'I don\xe2\x80\x99t understand',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338027122401525760,2020-12-13 07:44:59,Sad girls hours. Tragos armargos is playing,b'Sad girls hours. Tragos armargos is playing',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337283320191729665,2020-12-11 06:29:23,Decorating a tree is hard work man. Not even done,b'Decorating a tree is hard work man. Not even done',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336897600385998859,2020-12-10 04:56:40,And look where I ended up back,b'And look where I ended up back',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336409238189436929,2020-12-08 20:36:06,The smell of some stuff makes me sick instantly. Gross🤧,b'The smell of some stuff makes me sick instantly. Gross\xf0\x9f\xa4\xa7',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336105533384736769,2020-12-08 00:29:17,"I didn’t let them merge🤷🏻‍♀️
Beeky- 1     Little dick Honda-0",b'I didn\xe2\x80\x99t let them merge\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\nBeeky- 1     Little dick Honda-0',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336102777198505984,2020-12-08 00:18:20,This motherfucking Honda had all the space to go behind me but instead the bitch cuts me off. Little dick move 🖕🏼,b'This motherfucking Honda had all the space to go behind me but instead the bitch cuts me off. Little dick move \xf0\x9f\x96\x95\xf0\x9f\x8f\xbc',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335680774972997632,2020-12-06 20:21:27,@HandoSenpai Forreal,b'@HandoSenpai Forreal',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HandoSenpai', 'name': 'HandoSenpai', 'id': 2380595113, 'id_str': '2380595113', 'indices': [0, 12]}], 'urls': []}",,en
1335520324142522369,2020-12-06 09:43:52,I can’t do life anymore,b'I can\xe2\x80\x99t do life anymore',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335479452105490432,2020-12-06 07:01:28,I miss my friend. Wish you were still here so we could catch up.,b'I miss my friend. Wish you were still here so we could catch up.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335339370597904385,2020-12-05 21:44:50,@andweawaquel Lemme see,b'@andweawaquel Lemme see',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'andweawaquel', 'name': 'andrea', 'id': 795578942, 'id_str': '795578942', 'indices': [0, 13]}], 'urls': []}",,en
1334654959598542850,2020-12-04 00:25:13,I keep having the same dreams about drowning. Is it suppose to mean something? Is it telling me to that I should learn how to swim or I’m gonna drown to my death?,b'I keep having the same dreams about drowning. Is it suppose to mean something? Is it telling me to that I should learn how to swim or I\xe2\x80\x99m gonna drown to my death?',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334589268220473349,2020-12-03 20:04:11,Lmaoo this pharmacy is a mess.,b'Lmaoo this pharmacy is a mess.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334589139518255104,2020-12-03 20:03:40,"My coworker everyday: please don’t leave with all this mess
Me: I just might",b'My coworker everyday: please don\xe2\x80\x99t leave with all this mess\nMe: I just might',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334345141000130560,2020-12-03 03:54:07,I didn’t sign up for this shit 🙄,b'I didn\xe2\x80\x99t sign up for this shit \xf0\x9f\x99\x84',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334343116195655680,2020-12-03 03:46:04,Fuck this bullshit,b'Fuck this bullshit',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334052721641418752,2020-12-02 08:32:08,Life sucks,b'Life sucks',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333895782684979200,2020-12-01 22:08:31,@__tattedmama Be careful it isn’t your kidneys either 😅 It’s happened to me too 🙃,b'@__tattedmama Be careful it isn\xe2\x80\x99t your kidneys either \xf0\x9f\x98\x85 It\xe2\x80\x99s happened to me too \xf0\x9f\x99\x83',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '__tattedmama', 'name': 'ali', 'id': 1928977891, 'id_str': '1928977891', 'indices': [0, 13]}], 'urls': []}",,en
