id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339037421850210305,2020-12-16 02:39:34,Told you so @eroston: https://t.co/6Qt969OvRe 😎,b'Told you so @eroston: https://t.co/6Qt969OvRe \xf0\x9f\x98\x8e',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'eroston', 'name': 'Eric Roston', 'id': 11620892, 'id_str': '11620892', 'indices': [12, 20]}], 'urls': [{'url': 'https://t.co/6Qt969OvRe', 'expanded_url': 'https://twitter.com/jeffrey_schub/status/1339011765758287875', 'display_url': 'twitter.com/jeffrey_schub/…', 'indices': [22, 45]}]}",,en
1339017657140596736,2020-12-16 01:21:01,"A fitting tribute to the Supreme Court precedent that makes executive action on climate pollution possible, Massachusetts v. EPA, 549 US 497 (2007).

Not so fun fact: only one of the five Justices who joined the 5-4 majority opinion is still on the Court: Stephen Breyer. https://t.co/O8yqKbLWzR","b'A fitting tribute to the Supreme Court precedent that makes executive action on climate pollution possible, Massachusetts v. EPA, 549 US 497 (2007).\n\nNot so fun fact: only one of the five Justices who joined the 5-4 majority opinion is still on the Court: Stephen Breyer. https://t.co/O8yqKbLWzR'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/O8yqKbLWzR', 'expanded_url': 'https://twitter.com/Zhirji28/status/1339014718271483904', 'display_url': 'twitter.com/Zhirji28/statu…', 'indices': [272, 295]}]}",,en
1339014622586802176,2020-12-16 01:08:58,"I have issues with #Section1504, but I wholeheartedly agree!

https://t.co/2UtfiKvTip https://t.co/zETk9LYbS3","b'I have issues with #Section1504, but I wholeheartedly agree!\n\nhttps://t.co/2UtfiKvTip https://t.co/zETk9LYbS3'","{'hashtags': [{'text': 'Section1504', 'indices': [19, 31]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2UtfiKvTip', 'expanded_url': 'https://twitter.com/dfirgs/status/1334878678166204416', 'display_url': 'twitter.com/dfirgs/status/…', 'indices': [62, 85]}, {'url': 'https://t.co/zETk9LYbS3', 'expanded_url': 'https://twitter.com/SenWarren/status/1339013883667812353', 'display_url': 'twitter.com/SenWarren/stat…', 'indices': [86, 109]}]}",,en
1339012998237745152,2020-12-16 01:02:31,"+1
+1
+1 https://t.co/bjNP9hDr05",b'+1\n+1\n+1 https://t.co/bjNP9hDr05',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bjNP9hDr05', 'expanded_url': 'https://twitter.com/christygoldfuss/status/1339012433831190530', 'display_url': 'twitter.com/christygoldfus…', 'indices': [9, 32]}]}",,und
1339009006325682178,2020-12-16 00:46:39,Everybody’s being all snarky about Mayor Pete tonight but can anyone point me to an appointee for Transportation Secretary talking about climate and equity literally *ever* in the history of the agency? https://t.co/YmFvesfsgg,b'Everybody\xe2\x80\x99s being all snarky about Mayor Pete tonight but can anyone point me to an appointee for Transportation Secretary talking about climate and equity literally *ever* in the history of the agency? https://t.co/YmFvesfsgg',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YmFvesfsgg', 'expanded_url': 'https://twitter.com/petebuttigieg/status/1339002261066878981', 'display_url': 'twitter.com/petebuttigieg/…', 'indices': [203, 226]}]}",,en
1339000670909853700,2020-12-16 00:13:32,"Yesss!!! Among so so so many other reasons, I just love picturing “McCarthy &amp; Zaidi” as a #ClimateAction buddy comedy/bureaucracy procedural in the mold of The West Wing meets Rizzoli &amp; Isles. Wait did I just invent a new TV genre?! https://t.co/wa3i0vxNNl https://t.co/Iz55bPMRGd","b'Yesss!!! Among so so so many other reasons, I just love picturing \xe2\x80\x9cMcCarthy &amp; Zaidi\xe2\x80\x9d as a #ClimateAction buddy comedy/bureaucracy procedural in the mold of The West Wing meets Rizzoli &amp; Isles. Wait did I just invent a new TV genre?! https://t.co/wa3i0vxNNl https://t.co/Iz55bPMRGd'","{'hashtags': [{'text': 'ClimateAction', 'indices': [94, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wa3i0vxNNl', 'expanded_url': 'https://twitter.com/eilperin/status/1338988538830970880', 'display_url': 'twitter.com/eilperin/statu…', 'indices': [241, 264]}], 'media': [{'id': 1339000660503752710, 'id_str': '1339000660503752710', 'indices': [265, 288], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUWAaNW8AYj7NB.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUWAaNW8AYj7NB.jpg', 'url': 'https://t.co/Iz55bPMRGd', 'display_url': 'pic.twitter.com/Iz55bPMRGd', 'expanded_url': 'https://twitter.com/dfirgs/status/1339000670909853700/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}}]}",,en
1338977474567417857,2020-12-15 22:41:21,Great choice! @JenGranholm will be an incredible addition to the all-in on #climateaction team! https://t.co/mvVYOtr0Ju,b'Great choice! @JenGranholm will be an incredible addition to the all-in on #climateaction team! https://t.co/mvVYOtr0Ju',"{'hashtags': [{'text': 'climateaction', 'indices': [75, 89]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JenGranholm', 'name': 'Jennifer Granholm', 'id': 14185317, 'id_str': '14185317', 'indices': [14, 26]}], 'urls': [{'url': 'https://t.co/mvVYOtr0Ju', 'expanded_url': 'https://twitter.com/zcolman/status/1338974782730227712', 'display_url': 'twitter.com/zcolman/status…', 'indices': [96, 119]}]}",,en
1338972995755388930,2020-12-15 22:23:33,@JesseJenkins @bradplumer Indeed! Bravo on today's launch Jesse. Onwards!,"b""@JesseJenkins @bradplumer Indeed! Bravo on today's launch Jesse. Onwards!""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JesseJenkins', 'name': 'JesseJenkins', 'id': 17026589, 'id_str': '17026589', 'indices': [0, 13]}, {'screen_name': 'bradplumer', 'name': 'brad plumer', 'id': 15507433, 'id_str': '15507433', 'indices': [14, 25]}], 'urls': []}",,en
1338972353741680644,2020-12-15 22:21:00,"""At once optimistic and sobering"" is not a bad tagline to characterize the transition pathway to a net zero economy. @bradplumer https://t.co/g4TAqGlNoR","b'""At once optimistic and sobering"" is not a bad tagline to characterize the transition pathway to a net zero economy. @bradplumer https://t.co/g4TAqGlNoR'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bradplumer', 'name': 'brad plumer', 'id': 15507433, 'id_str': '15507433', 'indices': [117, 128]}], 'urls': [{'url': 'https://t.co/g4TAqGlNoR', 'expanded_url': 'https://twitter.com/JesseJenkins/status/1338960157846482944', 'display_url': 'twitter.com/JesseJenkins/s…', 'indices': [129, 152]}]}",,en
1338969862471868416,2020-12-15 22:11:06,"National Investment Authority

Chair: @SeanCasten

cc @stephanygj @jnoisecat @CGreenCapital @SeanMcElwee @theilmatic @ClimateWorks @DataProgress 

https://t.co/4PNN79zOjS https://t.co/BfkzplaqUK",b'National Investment Authority\n\nChair: @SeanCasten\n\ncc @stephanygj @jnoisecat @CGreenCapital @SeanMcElwee @theilmatic @ClimateWorks @DataProgress \n\nhttps://t.co/4PNN79zOjS https://t.co/BfkzplaqUK',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SeanCasten', 'name': 'Sean Casten', 'id': 66804351, 'id_str': '66804351', 'indices': [38, 49]}, {'screen_name': 'stephanygj', 'name': 'Stephany Griffith-Jones', 'id': 1037152662, 'id_str': '1037152662', 'indices': [54, 65]}, {'screen_name': 'jnoisecat', 'name': '#DebforInterior', 'id': 3305651181, 'id_str': '3305651181', 'indices': [66, 76]}, {'screen_name': 'CGreenCapital', 'name': 'CGC', 'id': 3345646899, 'id_str': '3345646899', 'indices': [77, 91]}, {'screen_name': 'SeanMcElwee', 'name': 'sean', 'id': 318692762, 'id_str': '318692762', 'indices': [92, 104]}, {'screen_name': 'theilmatic', 'name': 'Ilmi Granoff', 'id': 914412950, 'id_str': '914412950', 'indices': [105, 116]}, {'screen_name': 'ClimateWorks', 'name': 'ClimateWorks Foundation', 'id': 97085091, 'id_str': '97085091', 'indices': [117, 130]}, {'screen_name': 'DataProgress', 'name': 'Data for Progress', 'id': 957024441338417154, 'id_str': '957024441338417154', 'indices': [131, 144]}], 'urls': [{'url': 'https://t.co/4PNN79zOjS', 'expanded_url': 'https://www.dataforprogress.org/a-national-investment-authority', 'display_url': 'dataforprogress.org/a-national-inv…', 'indices': [147, 170]}, {'url': 'https://t.co/BfkzplaqUK', 'expanded_url': 'https://twitter.com/eroston/status/1338962690321117184', 'display_url': 'twitter.com/eroston/status…', 'indices': [171, 194]}]}",,fr
