id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339036174782930944,2020-12-16 02:34:36,"RT @makampoo: 𝘾𝙤𝙣𝙜𝙧𝙖𝙩𝙪𝙡𝙖𝙩𝙞𝙤𝙣𝙨!  ˗ˏˋ🤶🏻⁺🎪•₊˚ˎˊ˗  
        ยินดีด้วยน้า ในที่สุดก็เดินทางมาถึง 300Kแล้ว ขอให้พี่เฟริสท์เติบโตขึ้นไปเรื่อยๆเลย…",b'RT @makampoo: \xf0\x9d\x98\xbe\xf0\x9d\x99\xa4\xf0\x9d\x99\xa3\xf0\x9d\x99\x9c\xf0\x9d\x99\xa7\xf0\x9d\x99\x96\xf0\x9d\x99\xa9\xf0\x9d\x99\xaa\xf0\x9d\x99\xa1\xf0\x9d\x99\x96\xf0\x9d\x99\xa9\xf0\x9d\x99\x9e\xf0\x9d\x99\xa4\xf0\x9d\x99\xa3\xf0\x9d\x99\xa8!  \xcb\x97\xcb\x8f\xcb\x8b\xf0\x9f\xa4\xb6\xf0\x9f\x8f\xbb\xe2\x81\xba\xf0\x9f\x8e\xaa\xe2\x80\xa2\xe2\x82\x8a\xcb\x9a\xcb\x8e\xcb\x8a\xcb\x97  \n        \xe0\xb8\xa2\xe0\xb8\xb4\xe0\xb8\x99\xe0\xb8\x94\xe0\xb8\xb5\xe0\xb8\x94\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb8\xa2\xe0\xb8\x99\xe0\xb9\x89\xe0\xb8\xb2 \xe0\xb9\x83\xe0\xb8\x99\xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\xaa\xe0\xb8\xb8\xe0\xb8\x94\xe0\xb8\x81\xe0\xb9\x87\xe0\xb9\x80\xe0\xb8\x94\xe0\xb8\xb4\xe0\xb8\x99\xe0\xb8\x97\xe0\xb8\xb2\xe0\xb8\x87\xe0\xb8\xa1\xe0\xb8\xb2\xe0\xb8\x96\xe0\xb8\xb6\xe0\xb8\x87 300K\xe0\xb9\x81\xe0\xb8\xa5\xe0\xb9\x89\xe0\xb8\xa7 \xe0\xb8\x82\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\xab\xe0\xb9\x89\xe0\xb8\x9e\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb9\x80\xe0\xb8\x9f\xe0\xb8\xa3\xe0\xb8\xb4\xe0\xb8\xaa\xe0\xb8\x97\xe0\xb9\x8c\xe0\xb9\x80\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x9a\xe0\xb9\x82\xe0\xb8\x95\xe0\xb8\x82\xe0\xb8\xb6\xe0\xb9\x89\xe0\xb8\x99\xe0\xb9\x84\xe0\xb8\x9b\xe0\xb9\x80\xe0\xb8\xa3\xe0\xb8\xb7\xe0\xb9\x88\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb9\x86\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'makampoo', 'name': 'มะขามเฟริสท์ ⌒*🕊', 'id': 1189594936561131520, 'id_str': '1189594936561131520', 'indices': [3, 12]}], 'urls': []}",,th
1339036040997216256,2020-12-16 02:34:04,RT @nnnn1638: ยินดีด้วยนะจ๊ะ คุณฉลองรัฐ มีคนรักคุณมากมายเลย เราจะอยู่ข้างๆ ค่อยกวนประสาทเอ้ย คอยสนับสนุน ปล.จำชื่อเราให้ได้นะคุณ เมื่อวานเร…,b'RT @nnnn1638: \xe0\xb8\xa2\xe0\xb8\xb4\xe0\xb8\x99\xe0\xb8\x94\xe0\xb8\xb5\xe0\xb8\x94\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb8\xa2\xe0\xb8\x99\xe0\xb8\xb0\xe0\xb8\x88\xe0\xb9\x8a\xe0\xb8\xb0 \xe0\xb8\x84\xe0\xb8\xb8\xe0\xb8\x93\xe0\xb8\x89\xe0\xb8\xa5\xe0\xb8\xad\xe0\xb8\x87\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x90 \xe0\xb8\xa1\xe0\xb8\xb5\xe0\xb8\x84\xe0\xb8\x99\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\xb8\xe0\xb8\x93\xe0\xb8\xa1\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb8\xa1\xe0\xb8\xb2\xe0\xb8\xa2\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xe0\xb9\x80\xe0\xb8\xa3\xe0\xb8\xb2\xe0\xb8\x88\xe0\xb8\xb0\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb9\xe0\xb9\x88\xe0\xb8\x82\xe0\xb9\x89\xe0\xb8\xb2\xe0\xb8\x87\xe0\xb9\x86 \xe0\xb8\x84\xe0\xb9\x88\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\x81\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9b\xe0\xb8\xa3\xe0\xb8\xb0\xe0\xb8\xaa\xe0\xb8\xb2\xe0\xb8\x97\xe0\xb9\x80\xe0\xb8\xad\xe0\xb9\x89\xe0\xb8\xa2 \xe0\xb8\x84\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xaa\xe0\xb8\x99\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\xaa\xe0\xb8\x99\xe0\xb8\xb8\xe0\xb8\x99 \xe0\xb8\x9b\xe0\xb8\xa5.\xe0\xb8\x88\xe0\xb8\xb3\xe0\xb8\x8a\xe0\xb8\xb7\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x80\xe0\xb8\xa3\xe0\xb8\xb2\xe0\xb9\x83\xe0\xb8\xab\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb8\x99\xe0\xb8\xb0\xe0\xb8\x84\xe0\xb8\xb8\xe0\xb8\x93 \xe0\xb9\x80\xe0\xb8\xa1\xe0\xb8\xb7\xe0\xb9\x88\xe0\xb8\xad\xe0\xb8\xa7\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\xa3\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nnnn1638', 'name': 'n.nnnเนี๊ยบ ft.แก๊งมี๊และสะใภ้คณาวุฒิ', 'id': 1269085087837990912, 'id_str': '1269085087837990912', 'indices': [3, 12]}], 'urls': []}",,th
1339035919223943170,2020-12-16 02:33:35,RT @Sixsuperstars: I’m so happy to see you in such a happy and beautiful environment. You deserve all the love baby! Love you! #300kDayOfFi…,b'RT @Sixsuperstars: I\xe2\x80\x99m so happy to see you in such a happy and beautiful environment. You deserve all the love baby! Love you! #300kDayOfFi\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sixsuperstars', 'name': 'Alex Sinthuyon', 'id': 2424856664, 'id_str': '2424856664', 'indices': [3, 17]}], 'urls': []}",,en
1339034275270729733,2020-12-16 02:27:03,"RT @mochisaint: Nooo First is a baby kahdjs 🥺😂
#300kDayOfFirst",b'RT @mochisaint: Nooo First is a baby kahdjs \xf0\x9f\xa5\xba\xf0\x9f\x98\x82\n#300kDayOfFirst',"{'hashtags': [{'text': '300kDayOfFirst', 'indices': [47, 62]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mochisaint', 'name': 'Danie ꒰ Saint & First ꒱', 'id': 1251256245069254664, 'id_str': '1251256245069254664', 'indices': [3, 14]}], 'urls': []}",,en
1339034259273576449,2020-12-16 02:27:00,@mochisaint He's still cute as a badboy. 🧡😂,"b""@mochisaint He's still cute as a badboy. \xf0\x9f\xa7\xa1\xf0\x9f\x98\x82""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mochisaint', 'name': 'Danie ꒰ Saint & First ꒱', 'id': 1251256245069254664, 'id_str': '1251256245069254664', 'indices': [0, 11]}], 'urls': []}",,en
1339032518943653888,2020-12-16 02:20:05,"RT @leenasep_: You're my sunshine, my only sunshine 🐱 #300KDayOfFirst https://t.co/a7FEcc5YkT","b""RT @leenasep_: You're my sunshine, my only sunshine \xf0\x9f\x90\xb1 #300KDayOfFirst https://t.co/a7FEcc5YkT""","{'hashtags': [{'text': '300KDayOfFirst', 'indices': [54, 69]}], 'symbols': [], 'user_mentions': [{'screen_name': 'leenasep_', 'name': '904 Times', 'id': 1276042352067440640, 'id_str': '1276042352067440640', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1339029851383029761, 'id_str': '1339029851383029761', 'indices': [70, 93], 'media_url': 'http://pbs.twimg.com/media/EpUwjitUYAElHtf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUwjitUYAElHtf.jpg', 'url': 'https://t.co/a7FEcc5YkT', 'display_url': 'pic.twitter.com/a7FEcc5YkT', 'expanded_url': 'https://twitter.com/leenasep_/status/1339029859746476032/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 640, 'h': 421, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 640, 'h': 421, 'resize': 'fit'}, 'large': {'w': 640, 'h': 421, 'resize': 'fit'}}, 'source_status_id': 1339029859746476032, 'source_status_id_str': '1339029859746476032', 'source_user_id': 1276042352067440640, 'source_user_id_str': '1276042352067440640'}]}",,en
1339032469870284801,2020-12-16 02:19:53,RT @leenasep_: You're my sweetie pie  #300KDayOfFirst https://t.co/Mq9IBABV2U,"b""RT @leenasep_: You're my sweetie pie  #300KDayOfFirst https://t.co/Mq9IBABV2U""","{'hashtags': [{'text': '300KDayOfFirst', 'indices': [38, 53]}], 'symbols': [], 'user_mentions': [{'screen_name': 'leenasep_', 'name': '904 Times', 'id': 1276042352067440640, 'id_str': '1276042352067440640', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1339030140387389441, 'id_str': '1339030140387389441', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/media/EpUw0XVU8AEwPew.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUw0XVU8AEwPew.jpg', 'url': 'https://t.co/Mq9IBABV2U', 'display_url': 'pic.twitter.com/Mq9IBABV2U', 'expanded_url': 'https://twitter.com/leenasep_/status/1339030148117450753/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 640, 'h': 423, 'resize': 'fit'}, 'small': {'w': 640, 'h': 423, 'resize': 'fit'}, 'large': {'w': 640, 'h': 423, 'resize': 'fit'}}, 'source_status_id': 1339030148117450753, 'source_status_id_str': '1339030148117450753', 'source_user_id': 1276042352067440640, 'source_user_id_str': '1276042352067440640'}]}",,en
1339032429823107072,2020-12-16 02:19:43,"~Want to listen to the whole song? Here's a link for you to spotify! 😉🧡

#300KDayOfFirst 🎉 @firstfh5 #FirstChalongrat #FirstLoveIsU 

https://t.co/wdLYoNpoHR","b""~Want to listen to the whole song? Here's a link for you to spotify! \xf0\x9f\x98\x89\xf0\x9f\xa7\xa1\n\n#300KDayOfFirst \xf0\x9f\x8e\x89 @firstfh5 #FirstChalongrat #FirstLoveIsU \n\nhttps://t.co/wdLYoNpoHR""","{'hashtags': [{'text': '300KDayOfFirst', 'indices': [73, 88]}, {'text': 'FirstChalongrat', 'indices': [101, 117]}, {'text': 'FirstLoveIsU', 'indices': [118, 131]}], 'symbols': [], 'user_mentions': [{'screen_name': 'firstfh5', 'name': 'first_fh', 'id': 1231586103267713024, 'id_str': '1231586103267713024', 'indices': [91, 100]}], 'urls': [{'url': 'https://t.co/wdLYoNpoHR', 'expanded_url': 'https://open.spotify.com/track/6R9YzJHkfYoN6PianPhTdB?si=5iUA9E2GRM2WxJC02YVzdg', 'display_url': 'open.spotify.com/track/6R9YzJHk…', 'indices': [134, 157]}]}",,en
1339031546720763906,2020-12-16 02:16:13,"~First as badboy. This is hilarious! 😂🧡

#300KDayOfFirst 🎉 @firstfh5 #FirstChalongrat #FirstLoveIsU 

https://t.co/0ekm3Wwi8m",b'~First as badboy. This is hilarious! \xf0\x9f\x98\x82\xf0\x9f\xa7\xa1\n\n#300KDayOfFirst \xf0\x9f\x8e\x89 @firstfh5 #FirstChalongrat #FirstLoveIsU \n\nhttps://t.co/0ekm3Wwi8m',"{'hashtags': [{'text': '300KDayOfFirst', 'indices': [41, 56]}, {'text': 'FirstChalongrat', 'indices': [69, 85]}, {'text': 'FirstLoveIsU', 'indices': [86, 99]}], 'symbols': [], 'user_mentions': [{'screen_name': 'firstfh5', 'name': 'first_fh', 'id': 1231586103267713024, 'id_str': '1231586103267713024', 'indices': [59, 68]}], 'urls': [], 'media': [{'id': 1283407806897373184, 'id_str': '1283407806897373184', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1283407806897373184/pu/img/IsfBNrJW2tEDz098.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1283407806897373184/pu/img/IsfBNrJW2tEDz098.jpg', 'url': 'https://t.co/0ekm3Wwi8m', 'display_url': 'pic.twitter.com/0ekm3Wwi8m', 'expanded_url': 'https://twitter.com/firstfh_PH/status/1283408148405997568/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 930, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 930, 'resize': 'fit'}, 'small': {'w': 351, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1283408148405997568, 'source_status_id_str': '1283408148405997568', 'source_user_id': 1260386530113159168, 'source_user_id_str': '1260386530113159168'}]}",,en
1339030938999615488,2020-12-16 02:13:48,"RT @mochisaint: Estaremos a tu lado, por mucho tiempo, apoyándote y viéndote conquistar el mundo. 
#300kDayOfFirst","b'RT @mochisaint: Estaremos a tu lado, por mucho tiempo, apoy\xc3\xa1ndote y vi\xc3\xa9ndote conquistar el mundo. \n#300kDayOfFirst'","{'hashtags': [{'text': '300kDayOfFirst', 'indices': [99, 114]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mochisaint', 'name': 'Danie ꒰ Saint & First ꒱', 'id': 1251256245069254664, 'id_str': '1251256245069254664', 'indices': [3, 14]}], 'urls': []}",,es
