id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339051840709734408,2020-12-16 03:36:51,@StrongSaints 😭😭🤍🤍🤍🤍🤍🤍,b'@StrongSaints \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StrongSaints', 'name': '🌹 𝔹𝕣𝕪𝕒𝕟𝕟𝕒 𝕊𝕒𝕟𝕥𝕠𝕤 🌹', 'id': 1252429520742776832, 'id_str': '1252429520742776832', 'indices': [0, 13]}], 'urls': []}",,und
1339046727664476165,2020-12-16 03:16:32,@wiIdstares I LOVE YOU SO MUCH PLEASE,b'@wiIdstares I LOVE YOU SO MUCH PLEASE',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wiIdstares', 'name': 'crystal', 'id': 1017237418972499968, 'id_str': '1017237418972499968', 'indices': [0, 11]}], 'urls': []}",,en
1339046702523834368,2020-12-16 03:16:26,RT @wiIdstares: GORGEOUS BBBBYYYY,b'RT @wiIdstares: GORGEOUS BBBBYYYY',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wiIdstares', 'name': 'crystal', 'id': 1017237418972499968, 'id_str': '1017237418972499968', 'indices': [3, 14]}], 'urls': []}",,en
1339046633267408898,2020-12-16 03:16:10,"you have bewitched me. body and soul. and i love, i love, i love you. and wish from this day forth never to be parted from you","b'you have bewitched me. body and soul. and i love, i love, i love you. and wish from this day forth never to be parted from you'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339046010564251649,2020-12-16 03:13:41,RT @philzadmz: Do you ever get sad because your parents deserve better than what this life gave them????,b'RT @philzadmz: Do you ever get sad because your parents deserve better than what this life gave them????',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'philzadmz', 'name': 'Admz', 'id': 1280871283878768641, 'id_str': '1280871283878768641', 'indices': [3, 13]}], 'urls': []}",,en
1339045853944803328,2020-12-16 03:13:04,RT @initiation: https://t.co/WffeF8QAIN,b'RT @initiation: https://t.co/WffeF8QAIN',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'initiation', 'name': 'Kaleb (proud ps5 owner)', 'id': 809378064501272577, 'id_str': '809378064501272577', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338017824418136064, 'id_str': '1338017824418136064', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EpGYH0eVgAAxvRY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpGYH0eVgAAxvRY.jpg', 'url': 'https://t.co/WffeF8QAIN', 'display_url': 'pic.twitter.com/WffeF8QAIN', 'expanded_url': 'https://twitter.com/initiation/status/1338017829254139905/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1056, 'resize': 'fit'}, 'small': {'w': 680, 'h': 598, 'resize': 'fit'}, 'large': {'w': 1242, 'h': 1093, 'resize': 'fit'}}, 'source_status_id': 1338017829254139905, 'source_status_id_str': '1338017829254139905', 'source_user_id': 809378064501272577, 'source_user_id_str': '809378064501272577'}]}",,und
1339045766606753792,2020-12-16 03:12:43,@veIvetgoldmines absolutely,b'@veIvetgoldmines absolutely',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'veIvetgoldmines', 'name': 'merry kristen', 'id': 2730752000, 'id_str': '2730752000', 'indices': [0, 16]}], 'urls': []}",,en
1339045641436221443,2020-12-16 03:12:13,RT @EVILDE4D: no thoughts just ewan and his pooh bear https://t.co/tRL5OMuHUj,b'RT @EVILDE4D: no thoughts just ewan and his pooh bear https://t.co/tRL5OMuHUj',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EVILDE4D', 'name': 'allis 🧷', 'id': 1156077553771327488, 'id_str': '1156077553771327488', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1338521887249477636, 'id_str': '1338521887249477636', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/media/EpNikI2XMAQqQID.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNikI2XMAQqQID.jpg', 'url': 'https://t.co/tRL5OMuHUj', 'display_url': 'pic.twitter.com/tRL5OMuHUj', 'expanded_url': 'https://twitter.com/EVILDE4D/status/1338521891842220039/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 600, 'h': 400, 'resize': 'fit'}, 'large': {'w': 600, 'h': 400, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 400, 'resize': 'fit'}}, 'source_status_id': 1338521891842220039, 'source_status_id_str': '1338521891842220039', 'source_user_id': 1156077553771327488, 'source_user_id_str': '1156077553771327488'}]}",,en
1339045354944262144,2020-12-16 03:11:05,RT @dailyjackiehyde: https://t.co/eV0WIOdGy9,b'RT @dailyjackiehyde: https://t.co/eV0WIOdGy9',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dailyjackiehyde', 'name': 'best of jackie and hyde', 'id': 1336481687199494144, 'id_str': '1336481687199494144', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1338931586016944128, 'id_str': '1338931586016944128', 'indices': [21, 44], 'media_url': 'http://pbs.twimg.com/media/EpTXLvsXIAAFGMC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpTXLvsXIAAFGMC.jpg', 'url': 'https://t.co/eV0WIOdGy9', 'display_url': 'pic.twitter.com/eV0WIOdGy9', 'expanded_url': 'https://twitter.com/dailyjackiehyde/status/1338931592161538049/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 700, 'h': 649, 'resize': 'fit'}, 'large': {'w': 700, 'h': 649, 'resize': 'fit'}, 'small': {'w': 680, 'h': 630, 'resize': 'fit'}}, 'source_status_id': 1338931592161538049, 'source_status_id_str': '1338931592161538049', 'source_user_id': 1336481687199494144, 'source_user_id_str': '1336481687199494144'}]}",,und
1339045264942882816,2020-12-16 03:10:44,"@StrongSaints GET YOU A FRIEND LIKE BRYANNA!!! I LOVE YOU SO MUCH!!!! I WOULD FIGHT ANYONE THAT WOULD DARE TO EVEN THINK ABOUT HURTING YOU, I LOVE YOU A WHOLE TON GIRLIE! 🥺🤍🤍🤍🤍","b'@StrongSaints GET YOU A FRIEND LIKE BRYANNA!!! I LOVE YOU SO MUCH!!!! I WOULD FIGHT ANYONE THAT WOULD DARE TO EVEN THINK ABOUT HURTING YOU, I LOVE YOU A WHOLE TON GIRLIE! \xf0\x9f\xa5\xba\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StrongSaints', 'name': '🌹 𝔹𝕣𝕪𝕒𝕟𝕟𝕒 𝕊𝕒𝕟𝕥𝕠𝕤 🌹', 'id': 1252429520742776832, 'id_str': '1252429520742776832', 'indices': [0, 13]}], 'urls': []}",,en
1339045104389124097,2020-12-16 03:10:05,RT @StrongSaints: SHE STAYS BLESSING MY TIMELINE!!! LA AMO POR SIEMPRE!!! ESA ES DE LA MÍA!!! YO LE DARÍA TROMPONES Y COCOTAZOS A CUALQUIER…,b'RT @StrongSaints: SHE STAYS BLESSING MY TIMELINE!!! LA AMO POR SIEMPRE!!! ESA ES DE LA M\xc3\x8dA!!! YO LE DAR\xc3\x8dA TROMPONES Y COCOTAZOS A CUALQUIER\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StrongSaints', 'name': '🌹 𝔹𝕣𝕪𝕒𝕟𝕟𝕒 𝕊𝕒𝕟𝕥𝕠𝕤 🌹', 'id': 1252429520742776832, 'id_str': '1252429520742776832', 'indices': [3, 16]}], 'urls': []}",,es
1339045089490972672,2020-12-16 03:10:02,me and the girls once we get the vaccine https://t.co/5XooKspfkT,b'me and the girls once we get the vaccine https://t.co/5XooKspfkT',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339045029319421952, 'id_str': '1339045029319421952', 'indices': [41, 64], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpU-XA7WMAAGJWm.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpU-XA7WMAAGJWm.jpg', 'url': 'https://t.co/5XooKspfkT', 'display_url': 'pic.twitter.com/5XooKspfkT', 'expanded_url': 'https://twitter.com/gIosspearl/status/1339045089490972672/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 540, 'h': 224, 'resize': 'fit'}, 'small': {'w': 540, 'h': 224, 'resize': 'fit'}, 'large': {'w': 540, 'h': 224, 'resize': 'fit'}}}]}",,en
1339042962731307009,2020-12-16 03:01:35,RT @ULTRAGLOSS: this was the best part of 2020 https://t.co/DoETNzVQh0,b'RT @ULTRAGLOSS: this was the best part of 2020 https://t.co/DoETNzVQh0',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ULTRAGLOSS', 'name': 'trish', 'id': 932112668542099456, 'id_str': '932112668542099456', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338635717573009410, 'id_str': '1338635717573009410', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/EpPKF72W4AImBhM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPKF72W4AImBhM.jpg', 'url': 'https://t.co/DoETNzVQh0', 'display_url': 'pic.twitter.com/DoETNzVQh0', 'expanded_url': 'https://twitter.com/ULTRAGLOSS/status/1338635720764911616/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 748, 'h': 748, 'resize': 'fit'}, 'large': {'w': 748, 'h': 748, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1338635720764911616, 'source_status_id_str': '1338635720764911616', 'source_user_id': 932112668542099456, 'source_user_id_str': '932112668542099456'}]}",,en
1339042391689482240,2020-12-16 02:59:19,https://t.co/dj4GlbbpNB,b'https://t.co/dj4GlbbpNB',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dj4GlbbpNB', 'expanded_url': 'https://open.spotify.com/track/0KlahhzNb98zyN83Vwae0l?si=8kKIyS6RRRmtr6N6TUdXuA', 'display_url': 'open.spotify.com/track/0KlahhzN…', 'indices': [0, 23]}]}",,und
1339042279944835083,2020-12-16 02:58:52,👼🏼 https://t.co/GlJW9Em3DG,b'\xf0\x9f\x91\xbc\xf0\x9f\x8f\xbc https://t.co/GlJW9Em3DG',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339042259816296448, 'id_str': '1339042259816296448', 'indices': [3, 26], 'media_url': 'http://pbs.twimg.com/media/EpU71zuWMAAh37E.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpU71zuWMAAh37E.jpg', 'url': 'https://t.co/GlJW9Em3DG', 'display_url': 'pic.twitter.com/GlJW9Em3DG', 'expanded_url': 'https://twitter.com/gIosspearl/status/1339042279944835083/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1034, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1242, 'h': 1442, 'resize': 'fit'}, 'small': {'w': 586, 'h': 680, 'resize': 'fit'}}}]}",,und
