id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339040393393037312,2020-12-16 02:51:22,Everyone is beautiful in their own way but regardless we all got flaws and insecurities which we won’t have in the hereafter,b'Everyone is beautiful in their own way but regardless we all got flaws and insecurities which we won\xe2\x80\x99t have in the hereafter',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339039153711968258,2020-12-16 02:46:27,"Your body is an ammanah from Allah swt. This body of yours will decay after your death and your soul will return to Him. You’ll be blessed with another body much more beautiful and will be given to you in the hereafter. Don’t worry too much about your looks, it’s all temporary.","b'Your body is an ammanah from Allah swt. This body of yours will decay after your death and your soul will return to Him. You\xe2\x80\x99ll be blessed with another body much more beautiful and will be given to you in the hereafter. Don\xe2\x80\x99t worry too much about your looks, it\xe2\x80\x99s all temporary.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339018278560260096,2020-12-16 01:23:30,"@farzxnaa_ nah idc about them, i just thought it was embarrassing 😂","b'@farzxnaa_ nah idc about them, i just thought it was embarrassing \xf0\x9f\x98\x82'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'farzxnaa_', 'name': 'فرزانه', 'id': 897515450, 'id_str': '897515450', 'indices': [0, 10]}], 'urls': []}",,en
1339017661221625857,2020-12-16 01:21:02,@farzxnaa_ bruh i literally deleted the tweets seconds before ur reply 😹,b'@farzxnaa_ bruh i literally deleted the tweets seconds before ur reply \xf0\x9f\x98\xb9',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'farzxnaa_', 'name': 'فرزانه', 'id': 897515450, 'id_str': '897515450', 'indices': [0, 10]}], 'urls': []}",,en
1339012070474473474,2020-12-16 00:58:49,head’s empty tbh,b'head\xe2\x80\x99s empty tbh',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339011923988406274,2020-12-16 00:58:14,remember when i used tweet a lot? now i just be retweeting lol,b'remember when i used tweet a lot? now i just be retweeting lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339009278435348492,2020-12-16 00:47:44,RT @wooptybaby: also OUR friend should not know my personal business unless I tell you both,b'RT @wooptybaby: also OUR friend should not know my personal business unless I tell you both',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wooptybaby', 'name': 'whoopty', 'id': 893637599021191168, 'id_str': '893637599021191168', 'indices': [3, 14]}], 'urls': []}",,en
1339006824234819584,2020-12-16 00:37:59,RT @kkz5_: sehri twitters vibes were unmatched,b'RT @kkz5_: sehri twitters vibes were unmatched',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kkz5_', 'name': '𝗸𝘇', 'id': 1210362499100532736, 'id_str': '1210362499100532736', 'indices': [3, 9]}], 'urls': []}",,en
1338980223921086464,2020-12-15 22:52:17,RT @sabrful: This is a very beautiful Qur’an Verse https://t.co/x93hbghehC,b'RT @sabrful: This is a very beautiful Qur\xe2\x80\x99an Verse https://t.co/x93hbghehC',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sabrful', 'name': 'sabr', 'id': 1185184778385088512, 'id_str': '1185184778385088512', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1338669861581578241, 'id_str': '1338669861581578241', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338669861581578241/pu/img/JW125qWFeSIj4Q2o.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338669861581578241/pu/img/JW125qWFeSIj4Q2o.jpg', 'url': 'https://t.co/x93hbghehC', 'display_url': 'pic.twitter.com/x93hbghehC', 'expanded_url': 'https://twitter.com/sabrful/status/1338669891495350273/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1338669891495350273, 'source_status_id_str': '1338669891495350273', 'source_user_id': 1185184778385088512, 'source_user_id_str': '1185184778385088512'}]}",,en
1338979534603948033,2020-12-15 22:49:32,RT @Mohazini_: ptddr wAllah c’est vrai je suis choqué https://t.co/O1J7JVVNE9,b'RT @Mohazini_: ptddr wAllah c\xe2\x80\x99est vrai je suis choqu\xc3\xa9 https://t.co/O1J7JVVNE9',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mohazini_', 'name': 'Moha', 'id': 4322407835, 'id_str': '4322407835', 'indices': [3, 13]}], 'urls': []}",,fr
1338978372924354567,2020-12-15 22:44:55,RT @srmiah_: Why does my day start backwards? I wake up tired and go back to bed wide awake,b'RT @srmiah_: Why does my day start backwards? I wake up tired and go back to bed wide awake',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'srmiah_', 'name': 'سليمان', 'id': 1205570619791810562, 'id_str': '1205570619791810562', 'indices': [3, 11]}], 'urls': []}",,en
1338970153535549441,2020-12-15 22:12:16,"my best mate might quit on music soon, please keep him in your duas","b'my best mate might quit on music soon, please keep him in your duas'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338945072440729601,2020-12-15 20:32:36,"RT @farzxnaa_: Our existence in this dunya is merely a number of days, and we don’t know which will be our last. 

What steps did you take…","b'RT @farzxnaa_: Our existence in this dunya is merely a number of days, and we don\xe2\x80\x99t know which will be our last. \n\nWhat steps did you take\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'farzxnaa_', 'name': 'فرزانه', 'id': 897515450, 'id_str': '897515450', 'indices': [3, 13]}], 'urls': []}",,en
1338932415994138625,2020-12-15 19:42:18,RT @omarsuleiman504: The world’s largest slave trade &amp; genocide. Millions of Uighur Muslims have disappeared into these camps forced to mak…,b'RT @omarsuleiman504: The world\xe2\x80\x99s largest slave trade &amp; genocide. Millions of Uighur Muslims have disappeared into these camps forced to mak\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'omarsuleiman504', 'name': 'Dr. Omar Suleiman', 'id': 776528756, 'id_str': '776528756', 'indices': [3, 19]}], 'urls': []}",,en
1338930313666433026,2020-12-15 19:33:57,RT @joshua1eo: What they saw: https://t.co/TOIgHbFhix,b'RT @joshua1eo: What they saw: https://t.co/TOIgHbFhix',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'joshua1eo', 'name': 'J', 'id': 959495051528364032, 'id_str': '959495051528364032', 'indices': [3, 13]}], 'urls': []}",,en
1338929194051506176,2020-12-15 19:29:30,"RT @farhamniyaAllah: a nice car, nice house, a good career doesn’t mean you’re successful; not if all this is attained without salah, witho…","b'RT @farhamniyaAllah: a nice car, nice house, a good career doesn\xe2\x80\x99t mean you\xe2\x80\x99re successful; not if all this is attained without salah, witho\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'farhamniyaAllah', 'name': 'Beloved 🕊\U0001f90d', 'id': 1318245518791921665, 'id_str': '1318245518791921665', 'indices': [3, 19]}], 'urls': []}",,en
1338899728214405125,2020-12-15 17:32:25,RT @TyBoogieThePlug: I hate people who try to be woke and positive on social media but be messy as hell in real life  😑🙄,b'RT @TyBoogieThePlug: I hate people who try to be woke and positive on social media but be messy as hell in real life  \xf0\x9f\x98\x91\xf0\x9f\x99\x84',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TyBoogieThePlug', 'name': 'Tyler Brown', 'id': 3078100835, 'id_str': '3078100835', 'indices': [3, 19]}], 'urls': []}",,en
1338897407258615810,2020-12-15 17:23:12,"RT @YahyaRaaby: The difference between caution and bad assumptions:

Caution: Over-examining things and people, then deciding whether they…","b'RT @YahyaRaaby: The difference between caution and bad assumptions:\n\nCaution: Over-examining things and people, then deciding whether they\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YahyaRaaby', 'name': 'Yahya Al-Raaby ©', 'id': 604436400, 'id_str': '604436400', 'indices': [3, 14]}], 'urls': []}",,en
1338893571877969921,2020-12-15 17:07:57,“Bismillahi awwalahu wa aakhirahu” https://t.co/pjLHQ7F4Ib,b'\xe2\x80\x9cBismillahi awwalahu wa aakhirahu\xe2\x80\x9d https://t.co/pjLHQ7F4Ib',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338893567239008256, 'id_str': '1338893567239008256', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/EpS0mwtWMAAWvOi.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpS0mwtWMAAWvOi.jpg', 'url': 'https://t.co/pjLHQ7F4Ib', 'display_url': 'pic.twitter.com/pjLHQ7F4Ib', 'expanded_url': 'https://twitter.com/hasan_farazy/status/1338893571877969921/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 828, 'h': 1084, 'resize': 'fit'}, 'small': {'w': 519, 'h': 680, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1084, 'resize': 'fit'}}}]}",,in
1338846096261582849,2020-12-15 13:59:18,RT @ibzzyy: Appreciate your parents sacrifices,b'RT @ibzzyy: Appreciate your parents sacrifices',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ibzzyy', 'name': 'Ibi', 'id': 1261358666546118657, 'id_str': '1261358666546118657', 'indices': [3, 10]}], 'urls': []}",,en
1338844731154051072,2020-12-15 13:53:53,"@hxfssa Rarely anyone appreciates your efforts these days, so yeah, you do you","b'@hxfssa Rarely anyone appreciates your efforts these days, so yeah, you do you'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hxfssa', 'name': 'حفصة', 'id': 867859390602391552, 'id_str': '867859390602391552', 'indices': [0, 7]}], 'urls': []}",,en
