id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339055327132721153,2020-12-16 03:50:43,RT @Iamofage: BREAKING NEWS: The finger that retweets this will receive good news this week. 🙌,b'RT @Iamofage: BREAKING NEWS: The finger that retweets this will receive good news this week. \xf0\x9f\x99\x8c',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Iamofage', 'name': 'Chi.', 'id': 1243685877886390275, 'id_str': '1243685877886390275', 'indices': [3, 12]}], 'urls': []}",,en
1339022806730891264,2020-12-16 01:41:29,Good Night folks 😴💤,b'Good Night folks \xf0\x9f\x98\xb4\xf0\x9f\x92\xa4',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339022315162640385,2020-12-16 01:39:32,"@jwwxxz Oh hey, I'm on board of that ship https://t.co/6iDEjZUypR","b""@jwwxxz Oh hey, I'm on board of that ship https://t.co/6iDEjZUypR""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jwwxxz', 'name': 'jasmin', 'id': 616942160, 'id_str': '616942160', 'indices': [0, 7]}], 'urls': [], 'media': [{'id': 1339022306409132033, 'id_str': '1339022306409132033', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUpsXfXMAEcAMu.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUpsXfXMAEcAMu.jpg', 'url': 'https://t.co/6iDEjZUypR', 'display_url': 'pic.twitter.com/6iDEjZUypR', 'expanded_url': 'https://twitter.com/huffkitten/status/1339022315162640385/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 498, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 498, 'resize': 'fit'}, 'small': {'w': 498, 'h': 498, 'resize': 'fit'}}}]}",,en
1339021939352997888,2020-12-16 01:38:02,"@Dramamirajj I'm not crazy, i was just kidding 😂💀","b""@Dramamirajj I'm not crazy, i was just kidding \xf0\x9f\x98\x82\xf0\x9f\x92\x80""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dramamirajj', 'name': 'Laat✨', 'id': 1152767721593102342, 'id_str': '1152767721593102342', 'indices': [0, 12]}], 'urls': []}",,en
1339021713514827780,2020-12-16 01:37:08,"@Dramamirajj Then at least I would make your wish come true by casting Lee Min Ho and Song Hye Kyo together as leads in one of my dramas, how about that?","b'@Dramamirajj Then at least I would make your wish come true by casting Lee Min Ho and Song Hye Kyo together as leads in one of my dramas, how about that?'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dramamirajj', 'name': 'Laat✨', 'id': 1152767721593102342, 'id_str': '1152767721593102342', 'indices': [0, 12]}], 'urls': []}",,en
1339020406196490240,2020-12-16 01:31:57,"@Dramamirajj I would hire you as an assistant, you do have great ideas too 👏","b'@Dramamirajj I would hire you as an assistant, you do have great ideas too \xf0\x9f\x91\x8f'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dramamirajj', 'name': 'Laat✨', 'id': 1152767721593102342, 'id_str': '1152767721593102342', 'indices': [0, 12]}], 'urls': []}",,en
1339020282665832448,2020-12-16 01:31:27,"@Dramamirajj Myself, more than enough 😂","b'@Dramamirajj Myself, more than enough \xf0\x9f\x98\x82'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dramamirajj', 'name': 'Laat✨', 'id': 1152767721593102342, 'id_str': '1152767721593102342', 'indices': [0, 12]}], 'urls': []}",,en
1339019268617351171,2020-12-16 01:27:26,"Me and Rang
Me and Yeong
Me and Seo Jun

No need to look further into the matter. https://t.co/xFTkqnK7hX",b'Me and Rang\nMe and Yeong\nMe and Seo Jun\n\nNo need to look further into the matter. https://t.co/xFTkqnK7hX',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xFTkqnK7hX', 'expanded_url': 'https://twitter.com/Dramamirajj/status/1339018871005732869', 'display_url': 'twitter.com/Dramamirajj/st…', 'indices': [82, 105]}]}",,en
1339018892358934537,2020-12-16 01:25:56,"@Dramamirajj I would end all the korean writers whole career, I'm telling you. https://t.co/dUiWY1eU1X","b""@Dramamirajj I would end all the korean writers whole career, I'm telling you. https://t.co/dUiWY1eU1X""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dramamirajj', 'name': 'Laat✨', 'id': 1152767721593102342, 'id_str': '1152767721593102342', 'indices': [0, 12]}], 'urls': [], 'media': [{'id': 1339018884154843143, 'id_str': '1339018884154843143', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUmlKmW4Ac7gML.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUmlKmW4Ac7gML.jpg', 'url': 'https://t.co/dUiWY1eU1X', 'display_url': 'pic.twitter.com/dUiWY1eU1X', 'expanded_url': 'https://twitter.com/huffkitten/status/1339018892358934537/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 200, 'h': 356, 'resize': 'fit'}, 'large': {'w': 200, 'h': 356, 'resize': 'fit'}, 'medium': {'w': 200, 'h': 356, 'resize': 'fit'}}}]}",,en
1339018574015434753,2020-12-16 01:24:40,"@yuzulina_ I'm unaware of the fact related to Bao Na appearing at some moments within episodes 40 and 45 , I have no idea whether she does or doesn't until episode 46.","b""@yuzulina_ I'm unaware of the fact related to Bao Na appearing at some moments within episodes 40 and 45 , I have no idea whether she does or doesn't until episode 46.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yuzulina_', 'name': 'Carol;🌸', 'id': 1200950802996703233, 'id_str': '1200950802996703233', 'indices': [0, 10]}], 'urls': []}",,en
