id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339018808074309633,2020-12-16 01:25:36,"I tap into this! End of 2021, my language finna be different https://t.co/luMZtLpjXl","b'I tap into this! End of 2021, my language finna be different https://t.co/luMZtLpjXl'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/luMZtLpjXl', 'expanded_url': 'https://twitter.com/t0nit0ne/status/1339018346549874690', 'display_url': 'twitter.com/t0nit0ne/statu…', 'indices': [61, 84]}]}",,en
1339018280229625856,2020-12-16 01:23:30,"Personally I think it’s connected to Matthew 6:21, i.e. where your treasure is, there your heart is also. Whatever you place your money in reflects what brings you the most joy!","b'Personally I think it\xe2\x80\x99s connected to Matthew 6:21, i.e. where your treasure is, there your heart is also. Whatever you place your money in reflects what brings you the most joy!'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017673963937798,2020-12-16 01:21:05,There’s something so exhilarating about giving! Stingy people are really missing out on the joy,b'There\xe2\x80\x99s something so exhilarating about giving! Stingy people are really missing out on the joy',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338957654014701577,2020-12-15 21:22:36,Why is it so hard for men to just call women women,b'Why is it so hard for men to just call women women',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338924350477660162,2020-12-15 19:10:15,I would rly like to see certain people’s take on that chapter. Cus if he said that today ppl would accuse him of promoting a works-mentality,b'I would rly like to see certain people\xe2\x80\x99s take on that chapter. Cus if he said that today ppl would accuse him of promoting a works-mentality',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338923689287487489,2020-12-15 19:07:38,"I think ppl imagine apostle Paul to be a lottttt more chill than he actually was, have you read 1 Corinthians 5 🙂","b'I think ppl imagine apostle Paul to be a lottttt more chill than he actually was, have you read 1 Corinthians 5 \xf0\x9f\x99\x82'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338920487255150600,2020-12-15 18:54:54,@desalu_cherry 😂😂😂 pls you will never catch me moving to a boy still,b'@desalu_cherry \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 pls you will never catch me moving to a boy still',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'desalu_cherry', 'name': 'Cherry🇳🇬🇳🇬', 'id': 2822381015, 'id_str': '2822381015', 'indices': [0, 14]}], 'urls': []}",,en
1338919932394942469,2020-12-15 18:52:42,RT @Demi_Irawo: I’m always conscious that the things I say and do in the public space is a witness to those who don’t yet believe. If the w…,b'RT @Demi_Irawo: I\xe2\x80\x99m always conscious that the things I say and do in the public space is a witness to those who don\xe2\x80\x99t yet believe. If the w\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Demi_Irawo', 'name': 'Demi Irawo', 'id': 940677074565648386, 'id_str': '940677074565648386', 'indices': [3, 14]}], 'urls': []}",,en
1338871922797531136,2020-12-15 15:41:56,@Imagineessa Loooooollll hehehe,b'@Imagineessa Loooooollll hehehe',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Imagineessa', 'name': 'Abba’s💐', 'id': 743821030397968386, 'id_str': '743821030397968386', 'indices': [0, 12]}], 'urls': []}",,tl
1338871832741613569,2020-12-15 15:41:34,@Labssssss Maybe when everyones asleep 🤭😂,b'@Labssssss Maybe when everyones asleep \xf0\x9f\xa4\xad\xf0\x9f\x98\x82',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Labssssss', 'name': '#EndSars 🇳🇬🙏🏿', 'id': 273064477, 'id_str': '273064477', 'indices': [0, 10]}], 'urls': []}",,en
