id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017663511752704,2020-12-16 01:21:03,Ay y’all answer this for me pls. https://t.co/12vFwcBIgq,b'Ay y\xe2\x80\x99all answer this for me pls. https://t.co/12vFwcBIgq',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/12vFwcBIgq', 'expanded_url': 'https://twitter.com/ifjams/status/1338688185753329664', 'display_url': 'twitter.com/ifjams/status/…', 'indices': [33, 56]}]}",,en
1338957296764915712,2020-12-15 21:21:10,RT @Saweetie: 🖤 https://t.co/hHdEzNnzGE,b'RT @Saweetie: \xf0\x9f\x96\xa4 https://t.co/hHdEzNnzGE',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Saweetie', 'name': 'diamonté', 'id': 292747917, 'id_str': '292747917', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1338804747910828033, 'id_str': '1338804747910828033', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EpRj0y7U0AEzGXZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpRj0y7U0AEzGXZ.jpg', 'url': 'https://t.co/hHdEzNnzGE', 'display_url': 'pic.twitter.com/hHdEzNnzGE', 'expanded_url': 'https://twitter.com/Saweetie/status/1338804752490983425/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338804752490983425, 'source_status_id_str': '1338804752490983425', 'source_user_id': 292747917, 'source_user_id_str': '292747917'}]}",,und
1338957224358645760,2020-12-15 21:20:53,RT @freakalika__: ME LOLLLLLLLLLL,b'RT @freakalika__: ME LOLLLLLLLLLL',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'freakalika__', 'name': 'allegedly', 'id': 1264332796912381953, 'id_str': '1264332796912381953', 'indices': [3, 16]}], 'urls': []}",,en
1338957009530605570,2020-12-15 21:20:02,RT @manifestitryan: BREAKING NEWS: That phone you are using to read this tweet will ring for success and good news today. RT and claim it.,b'RT @manifestitryan: BREAKING NEWS: That phone you are using to read this tweet will ring for success and good news today. RT and claim it.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'manifestitryan', 'name': '🦋💙Manifest Mom Ryan💙🦋', 'id': 1312980490413105154, 'id_str': '1312980490413105154', 'indices': [3, 18]}], 'urls': []}",,en
1338948275760746497,2020-12-15 20:45:20,"RT @kjgbrks: y’all: without the police, who will keep us safe! 
the police: https://t.co/4pQcrLMfrL","b'RT @kjgbrks: y\xe2\x80\x99all: without the police, who will keep us safe! \nthe police: https://t.co/4pQcrLMfrL'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kjgbrks', 'name': 'luxury low cost housing lady', 'id': 1241928735068246018, 'id_str': '1241928735068246018', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1338931991060819976, 'id_str': '1338931991060819976', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/EpTXjUmWMAgjRYf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpTXjUmWMAgjRYf.jpg', 'url': 'https://t.co/4pQcrLMfrL', 'display_url': 'pic.twitter.com/4pQcrLMfrL', 'expanded_url': 'https://twitter.com/kjgbrks/status/1338931995758501888/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 502, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 886, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1512, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 1338931995758501888, 'source_status_id_str': '1338931995758501888', 'source_user_id': 1241928735068246018, 'source_user_id_str': '1241928735068246018'}]}",,en
1338947868095172608,2020-12-15 20:43:42,"RT @N4EJchicago: @royalpratt @cbschicago The Lightfoot Playbook: talk up a big game about reform and equity, focus heavily on messaging, st…","b'RT @N4EJchicago: @royalpratt @cbschicago The Lightfoot Playbook: talk up a big game about reform and equity, focus heavily on messaging, st\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'N4EJchicago', 'name': 'Neighbors4EJ', 'id': 1012048107385876480, 'id_str': '1012048107385876480', 'indices': [3, 15]}, {'screen_name': 'royalpratt', 'name': 'Gregory Pratt', 'id': 88263959, 'id_str': '88263959', 'indices': [17, 28]}, {'screen_name': 'cbschicago', 'name': 'CBS Chicago', 'id': 15032862, 'id_str': '15032862', 'indices': [29, 40]}], 'urls': []}",,en
1338947726818598912,2020-12-15 20:43:09,RT @royalpratt: Wow: Mayor Lori Lightfoot’s law department went to court to try and stop @cbschicago from airing video of Chicago police ra…,b'RT @royalpratt: Wow: Mayor Lori Lightfoot\xe2\x80\x99s law department went to court to try and stop @cbschicago from airing video of Chicago police ra\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'royalpratt', 'name': 'Gregory Pratt', 'id': 88263959, 'id_str': '88263959', 'indices': [3, 14]}, {'screen_name': 'cbschicago', 'name': 'CBS Chicago', 'id': 15032862, 'id_str': '15032862', 'indices': [89, 100]}], 'urls': []}",,en
1338945288329977859,2020-12-15 20:33:27,RT @_CharlesPreston: Chicago mayors 🤝 CPD Cover-ups,b'RT @_CharlesPreston: Chicago mayors \xf0\x9f\xa4\x9d CPD Cover-ups',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_CharlesPreston', 'name': 'Charles Preston', 'id': 269000293, 'id_str': '269000293', 'indices': [3, 19]}], 'urls': []}",,en
1338945117307219968,2020-12-15 20:32:47,RT @BittieBoss: y’all classist without the class! and capitalist without the capital. someone explain. quickly!,b'RT @BittieBoss: y\xe2\x80\x99all classist without the class! and capitalist without the capital. someone explain. quickly!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BittieBoss', 'name': 'lionsgate baby. ✨', 'id': 1011399586055720960, 'id_str': '1011399586055720960', 'indices': [3, 14]}], 'urls': []}",,en
1338944791682301953,2020-12-15 20:31:29,"Yup! Mfs ain’t want theirs, give that shit to me then. https://t.co/SQQiiVbPDM","b'Yup! Mfs ain\xe2\x80\x99t want theirs, give that shit to me then. https://t.co/SQQiiVbPDM'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SQQiiVbPDM', 'expanded_url': 'https://twitter.com/musbenyce/status/1338942902563647496', 'display_url': 'twitter.com/musbenyce/stat…', 'indices': [55, 78]}]}",,en
1338912206847680512,2020-12-15 18:22:00,"RT @RiseFallNick: Shrek has been inducted into the National Film Registry, and will now be available in the Library of Congress. It is the…","b'RT @RiseFallNick: Shrek has been inducted into the National Film Registry, and will now be available in the Library of Congress. It is the\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RiseFallNick', 'name': 'TRAFON', 'id': 103396427, 'id_str': '103396427', 'indices': [3, 16]}], 'urls': []}",,en
1338894659360329739,2020-12-15 17:12:16,🤣 https://t.co/nXe0nRj61b,b'\xf0\x9f\xa4\xa3 https://t.co/nXe0nRj61b',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nXe0nRj61b', 'expanded_url': 'https://twitter.com/aftscouts/status/1338583684245491712', 'display_url': 'twitter.com/aftscouts/stat…', 'indices': [2, 25]}]}",,und
1338718856987205632,2020-12-15 05:33:42,This teanna trump room bussing lmao,b'This teanna trump room bussing lmao',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338705302586322950,2020-12-15 04:39:50,the thoseniggas gc is pure comedy.,b'the thoseniggas gc is pure comedy.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338705162806943745,2020-12-15 04:39:17,RT @real_joshjones: Jake and Logan Paul remind me of these 2 mfs 😂😂😂😂😂 https://t.co/rVemYvoNOg,b'RT @real_joshjones: Jake and Logan Paul remind me of these 2 mfs \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/rVemYvoNOg',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'real_joshjones', 'name': 'Official JO$H JONE$', 'id': 449091545, 'id_str': '449091545', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338513564500422656, 'id_str': '1338513564500422656', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EpNa_sMW8AAV-Kn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNa_sMW8AAV-Kn.jpg', 'url': 'https://t.co/rVemYvoNOg', 'display_url': 'pic.twitter.com/rVemYvoNOg', 'expanded_url': 'https://twitter.com/real_joshjones/status/1338513566719160323/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 852, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 852, 'h': 480, 'resize': 'fit'}}, 'source_status_id': 1338513566719160323, 'source_status_id_str': '1338513566719160323', 'source_user_id': 449091545, 'source_user_id_str': '449091545'}]}",,en
1338694496263999489,2020-12-15 03:56:54,🤣 https://t.co/8NKBjzLLJD,b'\xf0\x9f\xa4\xa3 https://t.co/8NKBjzLLJD',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8NKBjzLLJD', 'expanded_url': 'https://twitter.com/essegotdatheat/status/1338378887559073794', 'display_url': 'twitter.com/essegotdatheat…', 'indices': [2, 25]}]}",,und
1338688185753329664,2020-12-15 03:31:49,What service y’all use to stream music?,b'What service y\xe2\x80\x99all use to stream music?',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338676180933861378,2020-12-15 02:44:07,Y’all remember when everyone used to wear rosaries? Lol,b'Y\xe2\x80\x99all remember when everyone used to wear rosaries? Lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338675321214787590,2020-12-15 02:40:42,"RT @abolachian: shoutout to whoever decided to name the thing that you work really hard to kill in video games ""the boss""","b'RT @abolachian: shoutout to whoever decided to name the thing that you work really hard to kill in video games ""the boss""'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'abolachian', 'name': 'Free Maroon Now!', 'id': 1029133556310843393, 'id_str': '1029133556310843393', 'indices': [3, 14]}], 'urls': []}",,en
1338670305536073728,2020-12-15 02:20:46,"RT @annieeee_belle: If you need anything, just buzz me, I'm one call away!

Me: https://t.co/cgy7Zy3KJF","b""RT @annieeee_belle: If you need anything, just buzz me, I'm one call away!\n\nMe: https://t.co/cgy7Zy3KJF""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'annieeee_belle', 'name': 'anniebelle', 'id': 1225634616771366913, 'id_str': '1225634616771366913', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338470909930303492, 'id_str': '1338470909930303492', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/media/EpM0M3iW8AQ_daL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpM0M3iW8AQ_daL.jpg', 'url': 'https://t.co/cgy7Zy3KJF', 'display_url': 'pic.twitter.com/cgy7Zy3KJF', 'expanded_url': 'https://twitter.com/annieeee_belle/status/1338470912463613952/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 687, 'h': 499, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 494, 'resize': 'fit'}, 'large': {'w': 687, 'h': 499, 'resize': 'fit'}}, 'source_status_id': 1338470912463613952, 'source_status_id_str': '1338470912463613952', 'source_user_id': 1225634616771366913, 'source_user_id_str': '1225634616771366913'}]}",,en
