id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339076053839433728,2020-12-16 05:13:04,i still can’t believe madonna went on national tv and said she wanted to blow up the white house... in front of the white house... https://t.co/6hwIBh30ud,b'i still can\xe2\x80\x99t believe madonna went on national tv and said she wanted to blow up the white house... in front of the white house... https://t.co/6hwIBh30ud',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339076048382640133, 'id_str': '1339076048382640133', 'indices': [131, 154], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpVakj8UwAU0KTX.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpVakj8UwAU0KTX.jpg', 'url': 'https://t.co/6hwIBh30ud', 'display_url': 'pic.twitter.com/6hwIBh30ud', 'expanded_url': 'https://twitter.com/isacisathot/status/1339076053839433728/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 220, 'h': 156, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 220, 'h': 156, 'resize': 'fit'}, 'small': {'w': 220, 'h': 156, 'resize': 'fit'}}}]}",,en
1339068993873739777,2020-12-16 04:45:01,@1thinkheknows i honestly don’t know but it reminded me,b'@1thinkheknows i honestly don\xe2\x80\x99t know but it reminded me',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '1thinkheknows', 'name': 'marcus', 'id': 1216436066695204867, 'id_str': '1216436066695204867', 'indices': [0, 14]}], 'urls': []}",,en
1339064095090167811,2020-12-16 04:25:33,all this cupcakke drama just reminded me... when are lady gaga’s oreos coming out,b'all this cupcakke drama just reminded me... when are lady gaga\xe2\x80\x99s oreos coming out',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339059051716509697,2020-12-16 04:05:31,@ThickAssPinkWig HELP,b'@ThickAssPinkWig HELP',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ThickAssPinkWig', 'name': '𝙲𝚘𝚌𝚘 𝙲𝚑𝚊𝚗𝚝𝚎 🌸', 'id': 913286427848437761, 'id_str': '913286427848437761', 'indices': [0, 16]}], 'urls': []}",,en
1339057958735376384,2020-12-16 04:01:10,cupcakke knew not the mention meghan trainor !!!! nice to meet YA okay !!!,b'cupcakke knew not the mention meghan trainor !!!! nice to meet YA okay !!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339057740166000645,2020-12-16 04:00:18,@prettyjiggybit https://t.co/lU9XNSPo2Z,b'@prettyjiggybit https://t.co/lU9XNSPo2Z',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'prettyjiggybit', 'name': '#auntieleah', 'id': 1212533769862701056, 'id_str': '1212533769862701056', 'indices': [0, 15]}], 'urls': [], 'media': [{'id': 1339057730443567104, 'id_str': '1339057730443567104', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1339057730443567104/pu/img/RBPcnoyQULCqV9o-.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1339057730443567104/pu/img/RBPcnoyQULCqV9o-.jpg', 'url': 'https://t.co/lU9XNSPo2Z', 'display_url': 'pic.twitter.com/lU9XNSPo2Z', 'expanded_url': 'https://twitter.com/isacisathot/status/1339057740166000645/video/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}}]}",,und
1339056838411632642,2020-12-16 03:56:43,@yungbabytate post a pic with him then,b'@yungbabytate post a pic with him then',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yungbabytate', 'name': 'real bitch', 'id': 2288583506, 'id_str': '2288583506', 'indices': [0, 13]}], 'urls': []}",,en
1339056446470688769,2020-12-16 03:55:09,@prettyjiggybit https://t.co/OiLWXm7fbi,b'@prettyjiggybit https://t.co/OiLWXm7fbi',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'prettyjiggybit', 'name': '#auntieleah', 'id': 1212533769862701056, 'id_str': '1212533769862701056', 'indices': [0, 15]}], 'urls': [], 'media': [{'id': 1339056440904859650, 'id_str': '1339056440904859650', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpVIvQZVQAIxuPl.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpVIvQZVQAIxuPl.jpg', 'url': 'https://t.co/OiLWXm7fbi', 'display_url': 'pic.twitter.com/OiLWXm7fbi', 'expanded_url': 'https://twitter.com/isacisathot/status/1339056446470688769/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 240, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 240, 'resize': 'fit'}, 'small': {'w': 480, 'h': 240, 'resize': 'fit'}}}]}",,und
1339056130236956673,2020-12-16 03:53:54,who https://t.co/qvzD3vjHeW,b'who https://t.co/qvzD3vjHeW',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qvzD3vjHeW', 'expanded_url': 'https://twitter.com/prettyjiggybit/status/1339056045977706499', 'display_url': 'twitter.com/prettyjiggybit…', 'indices': [4, 27]}]}",,und
1339055595056295937,2020-12-16 03:51:46,cupcakke didn’t mention ava max cuz she gonna put her on the remix of the remix so she can diss the pop girls yea &gt;&gt;&gt;&gt;&gt;,b'cupcakke didn\xe2\x80\x99t mention ava max cuz she gonna put her on the remix of the remix so she can diss the pop girls yea &gt;&gt;&gt;&gt;&gt;',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
