id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339018211665252353,2020-12-16 01:23:14,🎵 Michael Buble - It’s Beginning to look a like Christmas,b'\xf0\x9f\x8e\xb5 Michael Buble - It\xe2\x80\x99s Beginning to look a like Christmas',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017665969614851,2020-12-16 01:21:03,"One of my favourite activities at Christmas is putting up the tree. No better way to bring in the holiday cheer 🎅🎄

22x speed lapse - original 1hr 19mins.

#gouache #gouacheartwork #winter #christmastree #holiday #speedlapse #artprocess #dailyart #painting #paint #art #sketch https://t.co/19CoJiFhOo",b'One of my favourite activities at Christmas is putting up the tree. No better way to bring in the holiday cheer \xf0\x9f\x8e\x85\xf0\x9f\x8e\x84\n\n22x speed lapse - original 1hr 19mins.\n\n#gouache #gouacheartwork #winter #christmastree #holiday #speedlapse #artprocess #dailyart #painting #paint #art #sketch https://t.co/19CoJiFhOo',"{'hashtags': [{'text': 'gouache', 'indices': [156, 164]}, {'text': 'gouacheartwork', 'indices': [165, 180]}, {'text': 'winter', 'indices': [181, 188]}, {'text': 'christmastree', 'indices': [189, 203]}, {'text': 'holiday', 'indices': [204, 212]}, {'text': 'speedlapse', 'indices': [213, 224]}, {'text': 'artprocess', 'indices': [225, 236]}, {'text': 'dailyart', 'indices': [237, 246]}, {'text': 'painting', 'indices': [247, 256]}, {'text': 'paint', 'indices': [257, 263]}, {'text': 'art', 'indices': [264, 268]}, {'text': 'sketch', 'indices': [269, 276]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339017586965622785, 'id_str': '1339017586965622785', 'indices': [277, 300], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1339017586965622785/pu/img/FRn5US794hKW7HRX.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1339017586965622785/pu/img/FRn5US794hKW7HRX.jpg', 'url': 'https://t.co/19CoJiFhOo', 'display_url': 'pic.twitter.com/19CoJiFhOo', 'expanded_url': 'https://twitter.com/jessartelier/status/1339017665969614851/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}",,en
1338331024095404034,2020-12-14 03:52:35,🎵 Bing Crosby - White Christmas,b'\xf0\x9f\x8e\xb5 Bing Crosby - White Christmas',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338330571571859458,2020-12-14 03:50:47,"Gotta have that marshmallow-melted, hot chocolate for Christmas 😌 

30x speed lapse - original time 2hrs 2mins.

#speedlapse #dailyart #painting #art #gouache #gouachepainting  #gouacheart #artist #aesthetics #artwork #paint #hotchocolate #christmas #cozy #winter #thankful https://t.co/6DGsU1M3lF","b'Gotta have that marshmallow-melted, hot chocolate for Christmas \xf0\x9f\x98\x8c \n\n30x speed lapse - original time 2hrs 2mins.\n\n#speedlapse #dailyart #painting #art #gouache #gouachepainting  #gouacheart #artist #aesthetics #artwork #paint #hotchocolate #christmas #cozy #winter #thankful https://t.co/6DGsU1M3lF'","{'hashtags': [{'text': 'speedlapse', 'indices': [113, 124]}, {'text': 'dailyart', 'indices': [125, 134]}, {'text': 'painting', 'indices': [135, 144]}, {'text': 'art', 'indices': [145, 149]}, {'text': 'gouache', 'indices': [150, 158]}, {'text': 'gouachepainting', 'indices': [159, 175]}, {'text': 'gouacheart', 'indices': [177, 188]}, {'text': 'artist', 'indices': [189, 196]}, {'text': 'aesthetics', 'indices': [197, 208]}, {'text': 'artwork', 'indices': [209, 217]}, {'text': 'paint', 'indices': [218, 224]}, {'text': 'hotchocolate', 'indices': [225, 238]}, {'text': 'christmas', 'indices': [239, 249]}, {'text': 'cozy', 'indices': [250, 255]}, {'text': 'winter', 'indices': [256, 263]}, {'text': 'thankful', 'indices': [264, 273]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338330498767204352, 'id_str': '1338330498767204352', 'indices': [274, 297], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338330498767204352/pu/img/urCuV5L9PCB5nE9v.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338330498767204352/pu/img/urCuV5L9PCB5nE9v.jpg', 'url': 'https://t.co/6DGsU1M3lF', 'display_url': 'pic.twitter.com/6DGsU1M3lF', 'expanded_url': 'https://twitter.com/jessartelier/status/1338330571571859458/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}",,en
1337405753716576258,2020-12-11 14:35:54,"Day 12/30.
With the holidays around the corner, can’t forgot to enjoy a cup of hot chocolate with the loved ones 🥰

#dailyart #paintdaily #painting #art #gouache #30daychallenge #artist #artistsupport #artwork #paint #arttherapy #Christmas #holidays #hotchocolate #family #cozy https://t.co/2HDVJB1QTC","b'Day 12/30.\nWith the holidays around the corner, can\xe2\x80\x99t forgot to enjoy a cup of hot chocolate with the loved ones \xf0\x9f\xa5\xb0\n\n#dailyart #paintdaily #painting #art #gouache #30daychallenge #artist #artistsupport #artwork #paint #arttherapy #Christmas #holidays #hotchocolate #family #cozy https://t.co/2HDVJB1QTC'","{'hashtags': [{'text': 'dailyart', 'indices': [116, 125]}, {'text': 'paintdaily', 'indices': [126, 137]}, {'text': 'painting', 'indices': [138, 147]}, {'text': 'art', 'indices': [148, 152]}, {'text': 'gouache', 'indices': [153, 161]}, {'text': '30daychallenge', 'indices': [162, 177]}, {'text': 'artist', 'indices': [178, 185]}, {'text': 'artistsupport', 'indices': [186, 200]}, {'text': 'artwork', 'indices': [201, 209]}, {'text': 'paint', 'indices': [210, 216]}, {'text': 'arttherapy', 'indices': [217, 228]}, {'text': 'Christmas', 'indices': [229, 239]}, {'text': 'holidays', 'indices': [240, 249]}, {'text': 'hotchocolate', 'indices': [250, 263]}, {'text': 'family', 'indices': [264, 271]}, {'text': 'cozy', 'indices': [272, 277]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337405745797746691, 'id_str': '1337405745797746691', 'indices': [278, 301], 'media_url': 'http://pbs.twimg.com/media/Eo9rcJ7XUAMDSxJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo9rcJ7XUAMDSxJ.jpg', 'url': 'https://t.co/2HDVJB1QTC', 'display_url': 'pic.twitter.com/2HDVJB1QTC', 'expanded_url': 'https://twitter.com/jessartelier/status/1337405753716576258/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1866, 'h': 1866, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",,en
1337387976972783616,2020-12-11 13:25:15,🎵 Kavv - I’ll be Home For Christmas,b'\xf0\x9f\x8e\xb5 Kavv - I\xe2\x80\x99ll be Home For Christmas',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337387102242222084,2020-12-11 13:21:47,"What better way than to spend the holidays in a cozy red cabin 😌

#tapepeel #satisfying #paint #painting #cozy #winter #christmas #gouache #gouachepainting #dailyart #artchallenge #artist #art #dailyart #Finland #holidays #family #sketch #asmr #artwork #art https://t.co/9KtpMf6u5D",b'What better way than to spend the holidays in a cozy red cabin \xf0\x9f\x98\x8c\n\n#tapepeel #satisfying #paint #painting #cozy #winter #christmas #gouache #gouachepainting #dailyart #artchallenge #artist #art #dailyart #Finland #holidays #family #sketch #asmr #artwork #art https://t.co/9KtpMf6u5D',"{'hashtags': [{'text': 'tapepeel', 'indices': [66, 75]}, {'text': 'satisfying', 'indices': [76, 87]}, {'text': 'paint', 'indices': [88, 94]}, {'text': 'painting', 'indices': [95, 104]}, {'text': 'cozy', 'indices': [105, 110]}, {'text': 'winter', 'indices': [111, 118]}, {'text': 'christmas', 'indices': [119, 129]}, {'text': 'gouache', 'indices': [130, 138]}, {'text': 'gouachepainting', 'indices': [139, 155]}, {'text': 'dailyart', 'indices': [156, 165]}, {'text': 'artchallenge', 'indices': [166, 179]}, {'text': 'artist', 'indices': [180, 187]}, {'text': 'art', 'indices': [188, 192]}, {'text': 'dailyart', 'indices': [193, 202]}, {'text': 'Finland', 'indices': [203, 211]}, {'text': 'holidays', 'indices': [212, 221]}, {'text': 'family', 'indices': [222, 229]}, {'text': 'sketch', 'indices': [230, 237]}, {'text': 'asmr', 'indices': [238, 243]}, {'text': 'artwork', 'indices': [244, 252]}, {'text': 'art', 'indices': [253, 257]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337387018540740608, 'id_str': '1337387018540740608', 'indices': [258, 281], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1337387018540740608/pu/img/qQhRE1m_9687l7KI.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1337387018540740608/pu/img/qQhRE1m_9687l7KI.jpg', 'url': 'https://t.co/9KtpMf6u5D', 'display_url': 'pic.twitter.com/9KtpMf6u5D', 'expanded_url': 'https://twitter.com/jessartelier/status/1337387102242222084/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}",,en
1335592273405505536,2020-12-06 14:29:46,"Day 11/30.
Painted a sunset ski slope in Vogel, Slovenia! Do you go skiing/snowboarding in the winter as well? ☺️ 

#dailyart #paintdaily #painting #art #gouache #slovenia #sketch  #30daychallenge #artist #artistsupport #artwork #paint #arttherapy #creative #ski #snowboard https://t.co/2PD2oLsiHK","b'Day 11/30.\nPainted a sunset ski slope in Vogel, Slovenia! Do you go skiing/snowboarding in the winter as well? \xe2\x98\xba\xef\xb8\x8f \n\n#dailyart #paintdaily #painting #art #gouache #slovenia #sketch  #30daychallenge #artist #artistsupport #artwork #paint #arttherapy #creative #ski #snowboard https://t.co/2PD2oLsiHK'","{'hashtags': [{'text': 'dailyart', 'indices': [116, 125]}, {'text': 'paintdaily', 'indices': [126, 137]}, {'text': 'painting', 'indices': [138, 147]}, {'text': 'art', 'indices': [148, 152]}, {'text': 'gouache', 'indices': [153, 161]}, {'text': 'slovenia', 'indices': [162, 171]}, {'text': 'sketch', 'indices': [172, 179]}, {'text': '30daychallenge', 'indices': [181, 196]}, {'text': 'artist', 'indices': [197, 204]}, {'text': 'artistsupport', 'indices': [205, 219]}, {'text': 'artwork', 'indices': [220, 228]}, {'text': 'paint', 'indices': [229, 235]}, {'text': 'arttherapy', 'indices': [236, 247]}, {'text': 'creative', 'indices': [248, 257]}, {'text': 'ski', 'indices': [258, 262]}, {'text': 'snowboard', 'indices': [263, 273]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1335592264115085319, 'id_str': '1335592264115085319', 'indices': [274, 297], 'media_url': 'http://pbs.twimg.com/media/Eoj6FoNW4AcnN4t.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eoj6FoNW4AcnN4t.jpg', 'url': 'https://t.co/2PD2oLsiHK', 'display_url': 'pic.twitter.com/2PD2oLsiHK', 'expanded_url': 'https://twitter.com/jessartelier/status/1335592273405505536/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1954, 'h': 1954, 'resize': 'fit'}}}]}",,en
1334178707355934727,2020-12-02 16:52:46,"Day 10/30.
So now begins my countdown to Christmas, 23 days left! Painted a red buggy bringing home a Christmas tree. Have you put your tree up yet? 🎄 

#dailyart #paintdaily #painting #art #gouache #artoftheday #30daychallenge #artist #artwork #paint #christmas #holidays #paint https://t.co/mg9cw1vK08","b'Day 10/30.\nSo now begins my countdown to Christmas, 23 days left! Painted a red buggy bringing home a Christmas tree. Have you put your tree up yet? \xf0\x9f\x8e\x84 \n\n#dailyart #paintdaily #painting #art #gouache #artoftheday #30daychallenge #artist #artwork #paint #christmas #holidays #paint https://t.co/mg9cw1vK08'","{'hashtags': [{'text': 'dailyart', 'indices': [153, 162]}, {'text': 'paintdaily', 'indices': [163, 174]}, {'text': 'painting', 'indices': [175, 184]}, {'text': 'art', 'indices': [185, 189]}, {'text': 'gouache', 'indices': [190, 198]}, {'text': 'artoftheday', 'indices': [199, 211]}, {'text': '30daychallenge', 'indices': [212, 227]}, {'text': 'artist', 'indices': [228, 235]}, {'text': 'artwork', 'indices': [236, 244]}, {'text': 'paint', 'indices': [245, 251]}, {'text': 'christmas', 'indices': [252, 262]}, {'text': 'holidays', 'indices': [263, 272]}, {'text': 'paint', 'indices': [273, 279]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1334178697880989697, 'id_str': '1334178697880989697', 'indices': [280, 303], 'media_url': 'http://pbs.twimg.com/media/EoP0dPoW8AEY3bv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoP0dPoW8AEY3bv.jpg', 'url': 'https://t.co/mg9cw1vK08', 'display_url': 'pic.twitter.com/mg9cw1vK08', 'expanded_url': 'https://twitter.com/jessartelier/status/1334178707355934727/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1830, 'h': 1830, 'resize': 'fit'}}}]}",,en
1333432085546209281,2020-11-30 15:25:57,"Day 9/30.
December’s right around the corner which means winter and Christmas are approaching. Here’s my first winter painting of a red Christmas cabin in Finland red ❤️

#dailyart #paintdaily #painting #art #gouache #artoftheday #30daychallenge #artist #artwork #paint #winter https://t.co/N3lQRlzKF2",b'Day 9/30.\nDecember\xe2\x80\x99s right around the corner which means winter and Christmas are approaching. Here\xe2\x80\x99s my first winter painting of a red Christmas cabin in Finland red \xe2\x9d\xa4\xef\xb8\x8f\n\n#dailyart #paintdaily #painting #art #gouache #artoftheday #30daychallenge #artist #artwork #paint #winter https://t.co/N3lQRlzKF2',"{'hashtags': [{'text': 'dailyart', 'indices': [171, 180]}, {'text': 'paintdaily', 'indices': [181, 192]}, {'text': 'painting', 'indices': [193, 202]}, {'text': 'art', 'indices': [203, 207]}, {'text': 'gouache', 'indices': [208, 216]}, {'text': 'artoftheday', 'indices': [217, 229]}, {'text': '30daychallenge', 'indices': [230, 245]}, {'text': 'artist', 'indices': [246, 253]}, {'text': 'artwork', 'indices': [254, 262]}, {'text': 'paint', 'indices': [263, 269]}, {'text': 'winter', 'indices': [270, 277]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1333432076331266050, 'id_str': '1333432076331266050', 'indices': [278, 301], 'media_url': 'http://pbs.twimg.com/media/EoFNaJnWMAIJHmP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoFNaJnWMAIJHmP.jpg', 'url': 'https://t.co/N3lQRlzKF2', 'display_url': 'pic.twitter.com/N3lQRlzKF2', 'expanded_url': 'https://twitter.com/jessartelier/status/1333432085546209281/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1908, 'h': 1908, 'resize': 'fit'}}}]}",,en
