id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339058369525501952,2020-12-16 04:02:48,@JJUNIVER5E niel are you ok?? always here for you ilysm,b'@JJUNIVER5E niel are you ok?? always here for you ilysm',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JJUNIVER5E', 'name': 'blob teddy bear .. ?', 'id': 1324121304719523846, 'id_str': '1324121304719523846', 'indices': [0, 11]}], 'urls': []}",,en
1339055814372327424,2020-12-16 03:52:39,ARMYONCEBLINKS WINNING https://t.co/u9mEMSTiqH,b'ARMYONCEBLINKS WINNING https://t.co/u9mEMSTiqH',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u9mEMSTiqH', 'expanded_url': 'https://twitter.com/kchartsmaster/status/1338930504796680193', 'display_url': 'twitter.com/kchartsmaster/…', 'indices': [23, 46]}]}",,en
1339054920142450688,2020-12-16 03:49:06,@jmc4re yes omg,b'@jmc4re yes omg',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jmc4re', 'name': 'lada', 'id': 1334841964399710208, 'id_str': '1334841964399710208', 'indices': [0, 7]}], 'urls': []}",,en
1339053660521689089,2020-12-16 03:44:05,@jmc4re yes,b'@jmc4re yes',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jmc4re', 'name': 'lada', 'id': 1334841964399710208, 'id_str': '1334841964399710208', 'indices': [0, 7]}], 'urls': []}",,und
1339046247034880000,2020-12-16 03:14:38,@95PJMlN im oomfs w jungkook omgee 😲😲 /s,b'@95PJMlN im oomfs w jungkook omgee \xf0\x9f\x98\xb2\xf0\x9f\x98\xb2 /s',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '95PJMlN', 'name': 'nic⁷₁₃', 'id': 745032584598458368, 'id_str': '745032584598458368', 'indices': [0, 8]}], 'urls': []}",,nl
1339046163001921536,2020-12-16 03:14:18,@korefltr BESTIE WHY,b'@korefltr BESTIE WHY',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'korefltr', 'name': '## bel⁷ !!', 'id': 1312779143919013888, 'id_str': '1312779143919013888', 'indices': [0, 9]}], 'urls': []}",,en
1339046125794291713,2020-12-16 03:14:09,@95PJMlN i will be with you in spirit~~,b'@95PJMlN i will be with you in spirit~~',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '95PJMlN', 'name': 'nic⁷₁₃', 'id': 745032584598458368, 'id_str': '745032584598458368', 'indices': [0, 8]}], 'urls': []}",,en
1339045641612247042,2020-12-16 03:12:13,@haruharu_w_bts @BTS_twt kingggg,b'@haruharu_w_bts @BTS_twt kingggg',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'haruharu_w_bts', 'name': 'haruharu💜', 'id': 926680717286715392, 'id_str': '926680717286715392', 'indices': [0, 15]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [16, 24]}], 'urls': []}",,en
1339045509076459525,2020-12-16 03:11:42,@haruharu_w_bts @BTS_twt sexc!!!!!! boo cola,b'@haruharu_w_bts @BTS_twt sexc!!!!!! boo cola',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'haruharu_w_bts', 'name': 'haruharu💜', 'id': 926680717286715392, 'id_str': '926680717286715392', 'indices': [0, 15]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [16, 24]}], 'urls': []}",,pt
1339043328998850561,2020-12-16 03:03:02,@choi_bts2 @BTS_twt taste,b'@choi_bts2 @BTS_twt taste',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'choi_bts2', 'name': ""ᴮᴱSoo Choi⁷💜Grammy Nominated Artist's fan"", 'id': 953663868659798017, 'id_str': '953663868659798017', 'indices': [0, 10]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [11, 19]}], 'urls': []}",,en
1339042764986576896,2020-12-16 03:00:48,ryujin https://t.co/yDRYUFOEC3,b'ryujin https://t.co/yDRYUFOEC3',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yDRYUFOEC3', 'expanded_url': 'https://twitter.com/hhaefleur/status/1338780982426492928', 'display_url': 'twitter.com/hhaefleur/stat…', 'indices': [7, 30]}]}",,fi
1339042559427891201,2020-12-16 02:59:59,@ggukminies why do you always choose pain 😭😭,b'@ggukminies why do you always choose pain \xf0\x9f\x98\xad\xf0\x9f\x98\xad',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ggukminies', 'name': 'mika⁷', 'id': 978964480045457408, 'id_str': '978964480045457408', 'indices': [0, 11]}], 'urls': []}",,en
1339040804992557056,2020-12-16 02:53:00,I OPENED MY DOOR BC I WAS GONNA GO TO THE TOILET AND I REALISED THEY'RE DOING FOGGING TODAY NOOOOOOO NOW MY ROOM SMELLS BAD AND I CAN'T BREATHE,"b""I OPENED MY DOOR BC I WAS GONNA GO TO THE TOILET AND I REALISED THEY'RE DOING FOGGING TODAY NOOOOOOO NOW MY ROOM SMELLS BAD AND I CAN'T BREATHE""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339040586876084224,2020-12-16 02:52:08,@kefihobi famous,b'@kefihobi famous',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kefihobi', 'name': 'ًeve ⁷⁺⁴ ☻', 'id': 1286605872660062210, 'id_str': '1286605872660062210', 'indices': [0, 9]}], 'urls': []}",,ht
1339038648835035137,2020-12-16 02:44:26,@ellamochii very late but thanks sexc,b'@ellamochii very late but thanks sexc',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ellamochii', 'name': 'ella', 'id': 1023527208252395521, 'id_str': '1023527208252395521', 'indices': [0, 11]}], 'urls': []}",,en
1339038495252234240,2020-12-16 02:43:50,also summer dream still hits,b'also summer dream still hits',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339038451186814976,2020-12-16 02:43:39,ladida will never get old,b'ladida will never get old',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339038343674249217,2020-12-16 02:43:13,@flwryujn rest well!,b'@flwryujn rest well!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'flwryujn', 'name': 'leafy⁷', 'id': 1318901336851709953, 'id_str': '1318901336851709953', 'indices': [0, 9]}], 'urls': []}",,en
1339038312497999872,2020-12-16 02:43:06,@vanteflwrie ilymmm 😚😚,b'@vanteflwrie ilymmm \xf0\x9f\x98\x9a\xf0\x9f\x98\x9a',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vanteflwrie', 'name': 'rie⁷', 'id': 1299681543841959938, 'id_str': '1299681543841959938', 'indices': [0, 12]}], 'urls': []}",,en
1339038255644168193,2020-12-16 02:42:52,@MINSINGULAR how are you new oomf?,b'@MINSINGULAR how are you new oomf?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MINSINGULAR', 'name': 'bey⁷', 'id': 1462996544, 'id_str': '1462996544', 'indices': [0, 12]}], 'urls': []}",,en
1339038191978827776,2020-12-16 02:42:37,RT @e4nbi: if youre active please open this thread and spread /srs,b'RT @e4nbi: if youre active please open this thread and spread /srs',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'e4nbi', 'name': 'nini', 'id': 1324107829754667010, 'id_str': '1324107829754667010', 'indices': [3, 9]}], 'urls': []}",,en
1339022614824546304,2020-12-16 01:40:43,ok bye i need to study 🏃🏻‍♀️🏃🏻‍♀️ https://t.co/ubl3PeHQDe,b'ok bye i need to study \xf0\x9f\x8f\x83\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/ubl3PeHQDe',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339022612584751105, 'id_str': '1339022612584751105', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/EpUp-MFUYAEKMUB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUp-MFUYAEKMUB.jpg', 'url': 'https://t.co/ubl3PeHQDe', 'display_url': 'pic.twitter.com/ubl3PeHQDe', 'expanded_url': 'https://twitter.com/joonifilter/status/1339022614824546304/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 750, 'h': 710, 'resize': 'fit'}, 'medium': {'w': 750, 'h': 710, 'resize': 'fit'}, 'small': {'w': 680, 'h': 644, 'resize': 'fit'}}}]}",,en
1339022483714834432,2020-12-16 01:40:12,@JJUNIVER5E you're vv valid!!! take your time,"b""@JJUNIVER5E you're vv valid!!! take your time""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JJUNIVER5E', 'name': 'blob teddy bear .. ?', 'id': 1324121304719523846, 'id_str': '1324121304719523846', 'indices': [0, 11]}], 'urls': []}",,en
1339022317565792256,2020-12-16 01:39:32,@JJUNIVER5E it's ok~ take your time to think about it,"b""@JJUNIVER5E it's ok~ take your time to think about it""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JJUNIVER5E', 'name': 'blob teddy bear .. ?', 'id': 1324121304719523846, 'id_str': '1324121304719523846', 'indices': [0, 11]}], 'urls': []}",,en
1339020500668837888,2020-12-16 01:32:19,@flwryujn how are you,b'@flwryujn how are you',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'flwryujn', 'name': 'leafy⁷', 'id': 1318901336851709953, 'id_str': '1318901336851709953', 'indices': [0, 9]}], 'urls': []}",,en
1339020448307183618,2020-12-16 01:32:07,@kefihobi gm!,b'@kefihobi gm!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kefihobi', 'name': 'ًeve ⁷⁺⁴ ☻', 'id': 1286605872660062210, 'id_str': '1286605872660062210', 'indices': [0, 9]}], 'urls': []}",,und
1339019008817786880,2020-12-16 01:26:24,@vanteflwrie gm!!!,b'@vanteflwrie gm!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vanteflwrie', 'name': 'rie⁷', 'id': 1299681543841959938, 'id_str': '1299681543841959938', 'indices': [0, 12]}], 'urls': []}",,und
1339018930937970688,2020-12-16 01:26:05,@JJUNIVER5E niel****,b'@JJUNIVER5E niel****',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JJUNIVER5E', 'name': 'blob teddy bear .. ?', 'id': 1324121304719523846, 'id_str': '1324121304719523846', 'indices': [0, 11]}], 'urls': []}",,pl
1339018887430488066,2020-12-16 01:25:55,"@JJUNIVER5E neil is so cool, i love interacting w her on the tl","b'@JJUNIVER5E neil is so cool, i love interacting w her on the tl'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JJUNIVER5E', 'name': 'blob teddy bear .. ?', 'id': 1324121304719523846, 'id_str': '1324121304719523846', 'indices': [0, 11]}], 'urls': []}",,en
1339018533259210752,2020-12-16 01:24:30,@flirtytae HI BESTIE,b'@flirtytae HI BESTIE',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'flirtytae', 'name': 'daja ❀⁷', 'id': 2490633824, 'id_str': '2490633824', 'indices': [0, 10]}], 'urls': []}",,eu
