id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017672986681344,2020-12-16 01:21:05,@AppleMusic @taylorswift13 @zanelowe The “drop everything now” speak now re-records are coming,b'@AppleMusic @taylorswift13 @zanelowe The \xe2\x80\x9cdrop everything now\xe2\x80\x9d speak now re-records are coming',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AppleMusic', 'name': 'Apple Music', 'id': 74580436, 'id_str': '74580436', 'indices': [0, 11]}, {'screen_name': 'taylorswift13', 'name': 'Taylor Swift', 'id': 17919972, 'id_str': '17919972', 'indices': [12, 26]}, {'screen_name': 'zanelowe', 'name': 'Zane Lowe', 'id': 21288052, 'id_str': '21288052', 'indices': [27, 36]}], 'urls': []}",,en
1338930171722731520,2020-12-15 19:33:23,"Goodbye, public transportation","b'Goodbye, public transportation'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338930019243012099,2020-12-15 19:32:47,"RT @Lubchansky: mayor pete to replace all trains, somehow, with an app that causes a housing bubble","b'RT @Lubchansky: mayor pete to replace all trains, somehow, with an app that causes a housing bubble'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lubchansky', 'name': 'CFO of Theytheon', 'id': 119561017, 'id_str': '119561017', 'indices': [3, 14]}], 'urls': []}",,en
1338708157724504065,2020-12-15 04:51:11,@Lin_Manuel @HBO @hbomax Lin’s folklore incoming,b'@Lin_Manuel @HBO @hbomax Lin\xe2\x80\x99s folklore incoming',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lin_Manuel', 'name': 'Lin-Manuel Miranda', 'id': 79923701, 'id_str': '79923701', 'indices': [0, 11]}, {'screen_name': 'HBO', 'name': 'HBO', 'id': 15635604, 'id_str': '15635604', 'indices': [12, 16]}, {'screen_name': 'hbomax', 'name': 'HBO Max', 'id': 89090040, 'id_str': '89090040', 'indices': [17, 24]}], 'urls': []}",,en
1338326851840847874,2020-12-14 03:36:01,RT @eatinginmycar: replies to this are a great reminder of how quickly liberals threw metoo right in the trash when they were done playing…,b'RT @eatinginmycar: replies to this are a great reminder of how quickly liberals threw metoo right in the trash when they were done playing\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'eatinginmycar', 'name': 'Cari Hernandez', 'id': 14845977, 'id_str': '14845977', 'indices': [3, 17]}], 'urls': []}",,en
1337853161554337792,2020-12-12 20:13:44,RT @jasfizzzle: the void 4:08-5:25 https://t.co/6cbl3levPv,b'RT @jasfizzzle: the void 4:08-5:25 https://t.co/6cbl3levPv',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jasfizzzle', 'name': 'j. cudi', 'id': 719524628083961856, 'id_str': '719524628083961856', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1337274920955490305, 'id_str': '1337274920955490305', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/Eo70dJaXMAEvzj-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo70dJaXMAEvzj-.jpg', 'url': 'https://t.co/6cbl3levPv', 'display_url': 'pic.twitter.com/6cbl3levPv', 'expanded_url': 'https://twitter.com/jasfizzzle/status/1337274924956852224/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 636, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 828, 'h': 774, 'resize': 'fit'}, 'large': {'w': 828, 'h': 774, 'resize': 'fit'}}, 'source_status_id': 1337274924956852224, 'source_status_id_str': '1337274924956852224', 'source_user_id': 719524628083961856, 'source_user_id_str': '719524628083961856'}]}",,en
1337834920488685575,2020-12-12 19:01:15,@JoeyShoyer_Yall I am an expert on Mac and cheese all forms are great,b'@JoeyShoyer_Yall I am an expert on Mac and cheese all forms are great',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeyShoyer_Yall', 'name': 'Youngster Joey', 'id': 1328162384, 'id_str': '1328162384', 'indices': [0, 16]}], 'urls': []}",,en
1337828774386294785,2020-12-12 18:36:50,@JoeyShoyer_Yall Disagree,b'@JoeyShoyer_Yall Disagree',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeyShoyer_Yall', 'name': 'Youngster Joey', 'id': 1328162384, 'id_str': '1328162384', 'indices': [0, 16]}], 'urls': []}",,en
1337280718016221184,2020-12-11 06:19:03,RT @rosedommu: Taylor knows what happened on Natalie Maines’ boat,b'RT @rosedommu: Taylor knows what happened on Natalie Maines\xe2\x80\x99 boat',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rosedommu', 'name': 'Rose Dommu', 'id': 17367743, 'id_str': '17367743', 'indices': [3, 13]}], 'urls': []}",,en
1337252977363603457,2020-12-11 04:28:49,@TIME Confused!,b'@TIME Confused!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TIME', 'name': 'TIME', 'id': 14293310, 'id_str': '14293310', 'indices': [0, 5]}], 'urls': []}",,en
1337168810655297536,2020-12-10 22:54:22,RT @KindaHagi: time person of the year is white people who posted a black square and then felt weird about it and deleted it and then just…,b'RT @KindaHagi: time person of the year is white people who posted a black square and then felt weird about it and deleted it and then just\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KindaHagi', 'name': '""sarah"" ""hagi""', 'id': 1335766234328129539, 'id_str': '1335766234328129539', 'indices': [3, 13]}], 'urls': []}",,en
1337094899167064068,2020-12-10 18:00:40,RT @sbstryker: I’m sorry but I’m not done talking about Kacey Musgraves,b'RT @sbstryker: I\xe2\x80\x99m sorry but I\xe2\x80\x99m not done talking about Kacey Musgraves',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sbstryker', 'name': 'Sam Stryker', 'id': 221952464, 'id_str': '221952464', 'indices': [3, 13]}], 'urls': []}",,en
1337091909416783872,2020-12-10 17:48:47,@ruraljurormovie Kid cudi first Taylor second,b'@ruraljurormovie Kid cudi first Taylor second',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ruraljurormovie', 'name': 'yung professional', 'id': 1891837376, 'id_str': '1891837376', 'indices': [0, 16]}], 'urls': []}",,en
1337091640540934144,2020-12-10 17:47:43,RT @cuntanadien: https://t.co/Liwwy4juUh,b'RT @cuntanadien: https://t.co/Liwwy4juUh',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cuntanadien', 'name': 'the blessed canadian', 'id': 1214772449696350208, 'id_str': '1214772449696350208', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1327321315976556546, 'id_str': '1327321315976556546', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1327321315976556546/pu/img/Ft2FiZl59mLrrYBN.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1327321315976556546/pu/img/Ft2FiZl59mLrrYBN.jpg', 'url': 'https://t.co/Liwwy4juUh', 'display_url': 'pic.twitter.com/Liwwy4juUh', 'expanded_url': 'https://twitter.com/typike_/status/1327321366710902796/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 640, 'h': 1138, 'resize': 'fit'}, 'large': {'w': 640, 'h': 1138, 'resize': 'fit'}, 'small': {'w': 382, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1327321366710902796, 'source_status_id_str': '1327321366710902796', 'source_user_id': 1156912204777758721, 'source_user_id_str': '1156912204777758721'}]}",,und
1337077874793340933,2020-12-10 16:53:01,@KaceyMusgraves when r u making that disco twang album,b'@KaceyMusgraves when r u making that disco twang album',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KaceyMusgraves', 'name': 'K A C E Y', 'id': 30925378, 'id_str': '30925378', 'indices': [0, 15]}], 'urls': []}",,en
1336492933575479297,2020-12-09 02:08:40,"why do people find brand accounts having personality fun?

It terrifies me",b'why do people find brand accounts having personality fun?\n\nIt terrifies me',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336481413793804289,2020-12-09 01:22:54,RT @parisandemily: Emily has sunk into a deep depression after finding out that her coworkers don’t hate her because she’s American they ha…,b'RT @parisandemily: Emily has sunk into a deep depression after finding out that her coworkers don\xe2\x80\x99t hate her because she\xe2\x80\x99s American they ha\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'parisandemily', 'name': 'Emily in Paris Updates', 'id': 1314095938818977793, 'id_str': '1314095938818977793', 'indices': [3, 17]}], 'urls': []}",,en
1335678316888674310,2020-12-06 20:11:41,Sometimes I get sad and then I get giddy cuz an autobiographical Madonna biopic is coming out and it’s gonna be a trainwreck,b'Sometimes I get sad and then I get giddy cuz an autobiographical Madonna biopic is coming out and it\xe2\x80\x99s gonna be a trainwreck',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
